label	x	m	y	n	a_X_to_M	a_se	a_p	b_M_to_Y_given_X	b_se	b_p	c_total	c_total_p	c_prime_direct	c_prime_p	ab_indirect	ab_indirect_p	ab_CI95_lo	ab_CI95_hi	sobel_z	sobel_p	pct_mediated	gene	module
HLA-DOB	DM1_use	IFNG_hallmark	Y	527	0.48722369298843854	0.05866407638341516	8.514645603591077e-16	2.854181896178105	0.08111245591052073	3.2077054810294664e-140	1.8259979309963401	4.874604046423327e-19	0.49257530675932937	5.862160850884946e-05	1.3334226242370117	0.0	1.0321850242677966	1.664783921262813	8.08321410361378	6.661338147750939e-16	73.02432284298598	HLA-DOB	HLA-II
HLA-DPA1	DM1_use	IFNG_hallmark	Y	527	0.48722369298843854	0.05866407638341516	8.514645603591077e-16	2.4662692109431967	0.06498559737417606	1.3390099615917789e-152	1.6146103280894004	8.40277658741544e-21	0.46724654368711455	1.8189036100845642e-06	1.1473637844022855	0.0	0.8738705104438464	1.4421656659713336	8.113305691749234	4.440892098500626e-16	71.06134306473706	HLA-DPA1	HLA-II
CD74	DM1_use	IFNG_hallmark	Y	527	0.48722369298843854	0.05866407638341516	8.514645603591077e-16	2.00831332380151	0.056345396744585795	2.7534999746011765e-142	1.3155573563483305	4.170746365532166e-20	0.38134482508207107	7.229782853091448e-06	0.9342125312662606	0.0	0.7189097478917299	1.1564170286206314	8.088629123812552	6.661338147750939e-16	71.01267966448904	CD74	HLA-II
HLA-DOA	DM1_use	IFNG_hallmark	Y	527	0.48722369298843854	0.05866407638341516	8.514645603591077e-16	2.9370608494564894	0.07599553323737514	1.1746028754428065e-155	1.9449966993940133	1.7033766264316417e-21	0.5815229069529715	3.642698049650519e-07	1.3634737924410414	0.0	1.0338169222125022	1.7169048143080448	8.119938958659978	4.440892098500626e-16	70.10159929144598	HLA-DOA	HLA-II
ERAP1	DM1_use	IFNG_hallmark	Y	527	0.48722369298843854	0.05866407638341516	8.514645603591077e-16	0.6015599934537565	0.038911072708977035	1.0493006832463264e-44	0.400253258998256	1.3114197010270265e-09	0.12123829422505283	0.04036463980604965	0.2790149647732031	0.0	0.21168661006092823	0.3609811586859268	7.316385712659032	2.546851618490109e-13	69.70960473164288	ERAP1	HLA-I
TAP1	DM1_use	IFNG_hallmark	Y	527	0.48722369298843854	0.05866407638341516	8.514645603591077e-16	1.5620494350634075	0.03517820928184329	6.692435226352824e-180	1.0423175444500716	2.515775535631612e-23	0.3182027034746135	1.5094915016506995e-09	0.724114840975457	0.0	0.5556472496180275	0.9044463507615986	8.16374312095745	2.220446049250313e-16	69.47161590352977	TAP1	HLA-I
HLA-DQA1	DM1_use	IFNG_hallmark	Y	527	0.48722369298843854	0.05866407638341516	8.514645603591077e-16	2.7859184971610316	0.08786281018170636	4.624739077596209e-124	1.8612415020921407	2.0270694459394089e-19	0.5700788551107299	1.7234884356227535e-05	1.2911626469814126	0.0	0.9679610335616633	1.6190201503012784	8.034273289255866	8.881784197001252e-16	69.37104322733363	HLA-DQA1	HLA-II
CIITA	DM1_use	IFNG_hallmark	Y	527	0.48722369298843854	0.05866407638341516	8.514645603591077e-16	2.306401564393953	0.06464166549072012	1.8740215608215464e-142	1.6028722082440459	1.138278137386075e-22	0.542091410023936	2.2857584570321807e-08	1.060780798220112	0.0	0.8159284013241173	1.3432594166241825	8.089059722242274	6.661338147750939e-16	66.17999817853243	CIITA	HLA-II
HLA-DRA	DM1_use	IFNG_hallmark	Y	527	0.48722369298843854	0.05866407638341516	8.514645603591077e-16	2.417490018299719	0.06378854597877655	2.2816044597985043e-152	1.735354418903175	4.3623129291101175e-25	0.630743837170155	3.368962127576989e-11	1.1046105817330223	0.0	0.8538788961377588	1.4062048390117756	8.112791564172902	4.440892098500626e-16	63.653313104258416	HLA-DRA	HLA-II
HLA-DRB1	DM1_use	IFNG_hallmark	Y	527	0.48722369298843854	0.05866407638341516	8.514645603591077e-16	2.2306257949095456	0.07352810704577856	1.5458042006613009e-117	1.6202434222129136	2.8912294248347586e-22	0.6035155114014512	4.5865790744461236e-08	1.0167279108114633	0.0	0.7776827911846941	1.2849984852781213	8.010548207591258	1.1102230246251565e-15	62.751553061257034	HLA-DRB1	HLA-II
B2M	DM1_use	IFNG_hallmark	Y	527	0.48722369298843854	0.05866407638341516	8.514645603591077e-16	1.4109624775384746	0.04938791066601013	5.307010241591904e-109	1.056872631870497	1.2335914010328535e-22	0.41795511254869044	1.6859577304680598e-08	0.638917519321808	0.0	0.4844524868684172	0.7956648387891535	7.975149123366985	1.5543122344752192e-15	60.4535967774116	B2M	HLA-I
HLA-A	DM1_use	IFNG_hallmark	Y	527	0.48722369298843854	0.05866407638341516	8.514645603591077e-16	1.257992307087305	0.04988251437143244	1.5657005020384105e-92	0.971023870197271	1.2715489086280547e-21	0.4051499928000915	6.38014430461643e-08	0.565873877397179	0.0	0.4178052910687458	0.7080507700507485	7.888545953557594	3.1086244689504383e-15	58.276000700396516	HLA-A	HLA-I
HLA-C	DM1_use	IFNG_hallmark	Y	527	0.48722369298843854	0.05866407638341516	8.514645603591077e-16	1.3749224840099548	0.04835869229162655	2.4689320242787917e-108	1.0766240601037205	1.0634224029084014e-24	0.46016826258360255	1.89387866217967e-10	0.6164557975201184	0.0	0.46760616217807416	0.7820179372771936	7.9721439197623605	1.5543122344752192e-15	57.25822228612743	HLA-C	HLA-I
HLA-DQB1	DM1_use	IFNG_hallmark	Y	527	0.48722369298843854	0.05866407638341516	8.514645603591077e-16	2.106693792420088	0.10137297441497096	1.908468916401725e-70	1.7479345239480995	1.4143084240294247e-20	0.8162996970549338	8.316075331831934e-08	0.9316348268931655	0.0	0.6977998312692189	1.1890322295906333	7.712229810675451	1.2434497875801753e-14	53.299183357787385	HLA-DQB1	HLA-II
