sample_id	source	group	p_DM2	p_DM2_oof	DM_call	score_basis	n_panel_genes	p_DM2_prev_v4	abs_delta_prev_v4
TCGA-DJ-A3UV-01A	TCGA-THCA	TCGA_DM2	0.5349109194878252	0.5600827818777935	DM2	centered_panel8_log2	8		
TCGA-FE-A3PD-01A	TCGA-THCA	TCGA_DM2	0.992411037638503	0.989757512469383	DM2	centered_panel8_log2	8		
TCGA-IM-A4EB-01A	TCGA-THCA	TCGA_DM2	0.9905627806850891	0.9886391186163487	DM2	centered_panel8_log2	8		
TCGA-ET-A3BN-01A	TCGA-THCA	TCGA_DM2	0.9754877075323068	0.9735552882773449	DM2	centered_panel8_log2	8		
TCGA-BJ-A45E-01A	TCGA-THCA	TCGA_DM2	0.741621637874167	0.6485424807173148	DM2	centered_panel8_log2	8		
TCGA-FY-A40L-01A	TCGA-THCA	TCGA_DM2	0.9324826584821867	0.9256753651578884	DM2	centered_panel8_log2	8		
TCGA-E3-A3E5-01A	TCGA-THCA	TCGA_DM2	0.9987058084629595	0.9995252363611657	DM2	centered_panel8_log2	8		
TCGA-EL-A3D5-01A	TCGA-THCA	TCGA_DM1	0.13338753608072026	0.09512354391114979	DM1	centered_panel8_log2	8		
TCGA-DJ-A3UW-01A	TCGA-THCA	TCGA_DM2	0.9269930864444277	0.9117625141738593	DM2	centered_panel8_log2	8		
TCGA-EL-A3D0-01A	TCGA-THCA	TCGA_DM2	0.9999625563399199	0.999947216042478	DM2	centered_panel8_log2	8		
TCGA-EL-A4K6-01A	TCGA-THCA	TCGA_DM1	0.2717969026757816	0.24108474330982094	DM1	centered_panel8_log2	8		
TCGA-ET-A3BV-01A	TCGA-THCA	TCGA_DM2	0.9992663956899945	0.9997286358719513	DM2	centered_panel8_log2	8		
TCGA-H2-A3RH-01A	TCGA-THCA	TCGA_DM1	0.37096310136517435	0.3388320235055678	DM1	centered_panel8_log2	8		
TCGA-FY-A4B3-01A	TCGA-THCA	TCGA_DM2	0.9530699839651933	0.9628778552386916	DM2	centered_panel8_log2	8		
TCGA-EL-A3CW-01A	TCGA-THCA	TCGA_DM2	0.06624199931647269	0.06999499298352435	DM1	centered_panel8_log2	8		
TCGA-FY-A3NP-01A	TCGA-THCA	TCGA_DM1	0.11700499771319668	0.11176523367053587	DM1	centered_panel8_log2	8		
TCGA-DJ-A2PP-01A	TCGA-THCA	TCGA_DM1	0.14251597295991594	0.13060808199344798	DM1	centered_panel8_log2	8		
TCGA-EL-A4K0-01A	TCGA-THCA	TCGA_DM2	0.964029129888925	0.9687570678883384	DM2	centered_panel8_log2	8		
TCGA-DJ-A13T-01A	TCGA-THCA	TCGA_DM2	0.9984600223630028	0.9994013830228098	DM2	centered_panel8_log2	8		
TCGA-KS-A41J-01A	TCGA-THCA	TCGA_DM2	0.9757051682295591	0.98311397834027	DM2	centered_panel8_log2	8		
TCGA-ET-A2N0-01A	TCGA-THCA	TCGA_DM2	0.9325822029458497	0.912520691140681	DM2	centered_panel8_log2	8		
TCGA-H2-A2K9-01A	TCGA-THCA	TCGA_DM1	0.011299161869991555	0.017076461300135102	DM1	centered_panel8_log2	8		
TCGA-EM-A1CT-01A	TCGA-THCA	TCGA_DM2	0.9934046536752392	0.9930458356979059	DM2	centered_panel8_log2	8		
TCGA-EL-A3CN-01A	TCGA-THCA	TCGA_DM2	0.9981119994108983	0.9992218043265934	DM2	centered_panel8_log2	8		
TCGA-BJ-A0ZA-01A	TCGA-THCA	TCGA_DM1	0.0548559748406675	0.05677924060386859	DM1	centered_panel8_log2	8		
TCGA-KS-A41L-01A	TCGA-THCA	TCGA_DM1	0.327361866136639	0.3047972051521753	DM1	centered_panel8_log2	8		
TCGA-E8-A433-01A	TCGA-THCA	TCGA_DM2	0.9697326756148321	0.9647139829209498	DM2	centered_panel8_log2	8		
TCGA-E8-A242-01A	TCGA-THCA	TCGA_DM2	0.9964565410322863	0.9965926008542784	DM2	centered_panel8_log2	8		
TCGA-EL-A4JW-01A	TCGA-THCA	TCGA_DM2	0.8641337925805741	0.8111004329879	DM2	centered_panel8_log2	8		
TCGA-KS-A4I9-01A	TCGA-THCA	TCGA_DM2	0.9996599908339014	0.9996398387662866	DM2	centered_panel8_log2	8		
TCGA-BJ-A28R-01A	TCGA-THCA	TCGA_DM2	0.9994681182231084	0.9996562059396783	DM2	centered_panel8_log2	8		
TCGA-BJ-A28S-01A	TCGA-THCA	TCGA_DM1	0.5765334886497472	0.5829399356802887	DM2	centered_panel8_log2	8		
TCGA-FY-A4B4-01A	TCGA-THCA	TCGA_DM2	0.8805966516470445	0.8879460057604166	DM2	centered_panel8_log2	8		
TCGA-BJ-A45J-01A	TCGA-THCA	TCGA_DM2	0.9964266813309343	0.9976280117585572	DM2	centered_panel8_log2	8		
TCGA-BJ-A28Z-01A	TCGA-THCA	TCGA_DM2	0.9924413740254798	0.99150806845412	DM2	centered_panel8_log2	8		
