stage	subset	kind	median_rho_mapk_panel	mean_rho_mapk_panel	n_samples
PTC	all	spatial_poly_resid	0.005014103375631158	0.004004458303990799	4
PTC	epithelial_enriched_top50	basic_resid	0.007472070516226669	-0.021596745478866343	4
PTC	epithelial_enriched_top50	full_resid	0.0003674246115976578	-0.02449658658220147	4
PTC	epithelial_enriched_top50	local_knn30_resid	0.11550620985067811	0.09977352597221112	4
PTC	epithelial_enriched_top50	raw	0.08379675375295222	0.08345851883259303	4
PTC	epithelial_enriched_top50	spatial_poly_resid	-0.007827391151161657	-0.007480671425610661	4
PTC	epithelial_enriched_top75	basic_resid	-0.006784640268826997	-0.03490382843852598	4
PTC	epithelial_enriched_top75	full_resid	-0.018180449728983555	-0.04222642005913748	4
PTC	epithelial_enriched_top75	local_knn30_resid	0.1290568826710612	0.10922875183196998	4
PTC	epithelial_enriched_top75	raw	0.08655735174387286	0.09189729449971049	4
PTC	epithelial_enriched_top75	spatial_poly_resid	-0.02644141610963223	-0.024310908234397414	4
PTC	epithelial_iqr_25_75	basic_resid	-0.016453230978187457	-0.032386110935657575	4
PTC	epithelial_iqr_25_75	full_resid	-0.022712801537987347	-0.029260143439593836	4
PTC	epithelial_iqr_25_75	local_knn30_resid	0.10035236347667484	0.09724287022183567	4
PTC	epithelial_iqr_25_75	raw	0.09465557634438022	0.08460618293216217	4
PTC	epithelial_iqr_25_75	spatial_poly_resid	-0.003852449738244409	0.0010396899329952556	4
