method	analysis	cell_type	cohen_d	p	DM1_mean	DM2_mean	n_DM1	n_DM2
Ridge-NNLS	residual_canonical_score	residualize on ALL 8 fractions	-0.538959544516281		-0.08437086755422148	0.31896303587571073	465	123
LR-clip	fraction_d	B cell	0.0	1.0	0.0	0.0	465	123
LR-clip	fraction_d	Endothelial cell	0.33751747594885434	0.001255411185559814	0.44943142684812876	0.3381567320870305	465	123
LR-clip	fraction_d	Epithelial cell	-1.115139706921077	5.8805018540245e-28	0.30143123799011234	0.6282248359921807	465	123
LR-clip	fraction_d	Fibroblast	0.2319912250750636	0.00019008071195561818	0.07709432440907064	0.03361843192078863	465	123
LR-clip	fraction_d	Malignant cell	0.0	1.0	0.0	0.0	465	123
LR-clip	fraction_d	Myeloid cell	0.0	1.0	0.0	0.0	465	123
LR-clip	fraction_d	NK cell	0.0	1.0	0.0	0.0	465	123
LR-clip	fraction_d	T cell	0.0	1.0	0.0	0.0	465	123
LR-clip	residual_canonical_score	raw (no residualization)	-2.28370287782678		7.065307075858123	8.9292301061891	465	123
LR-clip	residual_canonical_score	residualize on immune	-2.2837028778267783		-0.3899022665488269	1.474020763782149	465	123
LR-clip	residual_canonical_score	residualize on stromal	-2.1415311431498094		-0.3612606180639832	1.3657413609735933	465	123
LR-clip	residual_canonical_score	residualize on epithelial-only	-1.5926366498373588		-0.2631984117715494	0.9950183859656103	465	123
LR-clip	residual_canonical_score	residualize on ALL 8 fractions	-1.6010167273987168		-0.26279199251358687	0.9934819229172172	465	123
nu-SVR	fraction_d	B cell	0.35075956039122963	0.0033137647315871536	0.05430713698568914	0.04748124631790825	465	123
nu-SVR	fraction_d	Endothelial cell	-0.3906742408192106	2.552895564958299e-05	0.12513529065661244	0.133701633041747	465	123
nu-SVR	fraction_d	Epithelial cell	-1.2484548480889088	6.841668797732431e-33	0.07612845677414262	0.11287581905927252	465	123
nu-SVR	fraction_d	Fibroblast	0.34060316686623626	0.0007873754887001966	0.07965443481773987	0.07081407648314669	465	123
nu-SVR	fraction_d	Malignant cell	1.3455914657075871	9.917886922125901e-37	0.29903919750166963	0.2579321920307264	465	123
nu-SVR	fraction_d	Myeloid cell	0.9220554396853643	2.8151246177995913e-21	0.22640781514813768	0.20767694506009252	465	123
nu-SVR	fraction_d	NK cell	0.26473544088880663	0.007602725311793572	0.03464101290011649	0.030256161041382918	465	123
nu-SVR	fraction_d	T cell	-0.8427290655344793	2.93312897301768e-16	0.10468665521589218	0.13926192696572376	465	123
nu-SVR	residual_canonical_score	raw (no residualization)	-2.28370287782678		7.065307075858123	8.9292301061891	465	123
nu-SVR	residual_canonical_score	residualize on immune	-1.7955417299016527		-0.3156455709604637	1.1932942316798039	465	123
nu-SVR	residual_canonical_score	residualize on stromal	-2.1015824126288196		-0.3527681347283974	1.333635631290282	465	123
nu-SVR	residual_canonical_score	residualize on epithelial-only	-1.4864416087257715		-0.24897951508033103	0.9412640204256384	465	123
nu-SVR	residual_canonical_score	residualize on ALL 8 fractions	-1.0832097177944482		-0.17715580165660968	0.6697353477262079	465	123
