sample_id	stage	module	adjustment	rho_mapk_module_panel	p	n	n_module_genes
GSM7980863_N-4	PT	no_CCND1	full	-0.0009647920065588836	0.9700789990035623	1514	8
GSM7980863_N-4	PT	CCND1_only	raw	0.04012876416749894	0.11858148139556109	1514	1
GSM7980863_N-4	PT	CCND1_only	full	-0.015663573270552022	0.5425204603502073	1514	1
GSM7980864_PTC-1	PTC	MAPK_all9	raw	0.012272399959190577	0.6801311512278478	1131	9
GSM7980864_PTC-1	PTC	MAPK_all9	full	-0.13718512057357268	3.649789795735538e-06	1131	9
GSM7980864_PTC-1	PTC	feedback_DUSP_SPRY	raw	-0.006404438442746984	0.8296523179918797	1131	5
GSM7980864_PTC-1	PTC	feedback_DUSP_SPRY	full	-0.14163431024819587	1.734996885013621e-06	1131	5
GSM7980864_PTC-1	PTC	transcriptional_ETV_PHLDA1	raw	0.08585132695283838	0.0038603565121743807	1131	3
GSM7980864_PTC-1	PTC	transcriptional_ETV_PHLDA1	full	0.017827523251125594	0.549219324505849	1131	3
GSM7980864_PTC-1	PTC	no_CCND1	raw	0.02759512938314065	0.35383098728231843	1131	8
GSM7980864_PTC-1	PTC	no_CCND1	full	-0.10530216986727779	0.00038920333500723167	1131	8
GSM7980864_PTC-1	PTC	CCND1_only	raw	-0.05806275690437598	0.050919413778026654	1131	1
GSM7980864_PTC-1	PTC	CCND1_only	full	-0.13293223843930072	7.273157744439491e-06	1131	1
GSM7980865_PTC-2	PTC	MAPK_all9	raw	0.15532110754671385	7.920009594311099e-15	2474	9
GSM7980865_PTC-2	PTC	MAPK_all9	full	-0.004080284113574939	0.8392531842735913	2474	9
GSM7980865_PTC-2	PTC	feedback_DUSP_SPRY	raw	0.18051992426791774	1.4450048169117176e-19	2474	5
GSM7980865_PTC-2	PTC	feedback_DUSP_SPRY	full	0.01312357394601165	0.5141071390366957	2474	5
GSM7980865_PTC-2	PTC	transcriptional_ETV_PHLDA1	raw	0.10948667668242892	4.775850147710699e-08	2474	3
GSM7980865_PTC-2	PTC	transcriptional_ETV_PHLDA1	full	0.022324399464833857	0.267008672340002	2474	3
GSM7980865_PTC-2	PTC	no_CCND1	raw	0.18356173398616296	3.450862849042408e-20	2474	8
GSM7980865_PTC-2	PTC	no_CCND1	full	0.01906093801592512	0.34328980778457646	2474	8
GSM7980865_PTC-2	PTC	CCND1_only	raw	-0.11678665274317483	5.680616547634152e-09	2474	1
GSM7980865_PTC-2	PTC	CCND1_only	full	-0.08776029654107233	1.234706618533632e-05	2474	1
GSM7980866_PTC-3	PTC	MAPK_all9	raw	0.007956306901952663	0.7055288450332465	2258	9
GSM7980866_PTC-3	PTC	MAPK_all9	full	-0.05686585502141557	0.0068744372232250415	2258	9
GSM7980866_PTC-3	PTC	feedback_DUSP_SPRY	raw	0.010473267808637294	0.618899124922594	2258	5
GSM7980866_PTC-3	PTC	feedback_DUSP_SPRY	full	-0.041384836944383885	0.049264497605079144	2258	5
GSM7980866_PTC-3	PTC	transcriptional_ETV_PHLDA1	raw	0.022459938812904905	0.2860601990579988	2258	3
GSM7980866_PTC-3	PTC	transcriptional_ETV_PHLDA1	full	-0.022760445810582168	0.279660851561471	2258	3
GSM7980866_PTC-3	PTC	no_CCND1	raw	0.020291229990315778	0.33516002228639263	2258	8
GSM7980866_PTC-3	PTC	no_CCND1	full	-0.04234666477110835	0.04421627097230198	2258	8
GSM7980866_PTC-3	PTC	CCND1_only	raw	-0.05818364131647496	0.0056817024156739625	2258	1
GSM7980866_PTC-3	PTC	CCND1_only	full	-0.06567449443834826	0.0017938839974692737	2258	1
GSM7980867_PTC-4	PTC	MAPK_all9	raw	0.158284260922515	4.35657880389694e-14	2249	9
GSM7980867_PTC-4	PTC	MAPK_all9	full	0.004918880514708791	0.8156504753836257	2249	9
GSM7980867_PTC-4	PTC	feedback_DUSP_SPRY	raw	0.15299636035144898	2.9956448743256454e-13	2249	5
GSM7980867_PTC-4	PTC	feedback_DUSP_SPRY	full	0.015026326713282875	0.47631190471904034	2249	5
GSM7980867_PTC-4	PTC	transcriptional_ETV_PHLDA1	raw	0.10696547715635638	3.6866704796037857e-07	2249	3
GSM7980867_PTC-4	PTC	transcriptional_ETV_PHLDA1	full	0.01061129791703918	0.6149919852679918	2249	3
GSM7980867_PTC-4	PTC	no_CCND1	raw	0.16605136438081586	2.273039762476449e-15	2249	8
GSM7980867_PTC-4	PTC	no_CCND1	full	0.022462796962087275	0.2869622244568102	2249	8
GSM7980867_PTC-4	PTC	CCND1_only	raw	-0.02694268172440311	0.20151714738125187	2249	1
GSM7980867_PTC-4	PTC	CCND1_only	full	-0.06887075579129145	0.0010824690705267404	2249	1
GSM7980868_LPTC-1	LPTC	MAPK_all9	raw	0.10444729798756225	0.003944561312990439	760	9
GSM7980868_LPTC-1	LPTC	MAPK_all9	full	-0.006482033018536535	0.858404875922348	760	9
GSM7980868_LPTC-1	LPTC	feedback_DUSP_SPRY	raw	0.15849659973055608	1.1333178364508465e-05	760	5
GSM7980868_LPTC-1	LPTC	feedback_DUSP_SPRY	full	0.012891515248103743	0.7227212072493577	760	5
GSM7980868_LPTC-1	LPTC	transcriptional_ETV_PHLDA1	raw	0.022865526110670376	0.5290847420740519	760	3
GSM7980868_LPTC-1	LPTC	transcriptional_ETV_PHLDA1	full	-0.0232291552480272	0.5225524499838933	760	3
GSM7980868_LPTC-1	LPTC	no_CCND1	raw	0.12130878925580266	0.000804821298423134	760	8
GSM7980868_LPTC-1	LPTC	no_CCND1	full	-0.00021434466326620153	0.9952930282883805	760	8
GSM7980868_LPTC-1	LPTC	CCND1_only	raw	-0.07208960821611411	0.04695703418784562	760	1
GSM7980868_LPTC-1	LPTC	CCND1_only	full	-0.04600920088340289	0.20516623972377113	760	1
GSM7980869_LPTC-2	LPTC	MAPK_all9	raw	0.5206253193847785	7.830289876711764e-142	2036	9
GSM7980869_LPTC-2	LPTC	MAPK_all9	full	0.17891883204503461	4.155420334339461e-16	2036	9
GSM7980869_LPTC-2	LPTC	feedback_DUSP_SPRY	raw	0.4094181065070102	3.980203346276376e-83	2036	5
GSM7980869_LPTC-2	LPTC	feedback_DUSP_SPRY	full	0.11719131016317737	1.1394792052459621e-07	2036	5
GSM7980869_LPTC-2	LPTC	transcriptional_ETV_PHLDA1	raw	0.39444544809211957	9.053318923541676e-77	2036	3
GSM7980869_LPTC-2	LPTC	transcriptional_ETV_PHLDA1	full	0.1349959734096813	9.621348259331805e-10	2036	3
GSM7980869_LPTC-2	LPTC	no_CCND1	raw	0.4800999196023576	6.953054078078775e-118	2036	8
GSM7980869_LPTC-2	LPTC	no_CCND1	full	0.15825371179512107	6.88764852664686e-13	2036	8
GSM7980869_LPTC-2	LPTC	CCND1_only	raw	0.35313357952572433	7.416621359081135e-61	2036	1
GSM7980869_LPTC-2	LPTC	CCND1_only	full	0.11944838040882436	6.45159110934238e-08	2036	1
GSM7980870_LPTC-3	LPTC	MAPK_all9	raw	0.45473311635485747	6.701876319026815e-86	1668	9
GSM7980870_LPTC-3	LPTC	MAPK_all9	full	0.0654446633077271	0.007501984984945862	1668	9
GSM7980870_LPTC-3	LPTC	feedback_DUSP_SPRY	raw	0.40642795469912774	2.3226935853506115e-67	1668	5
GSM7980870_LPTC-3	LPTC	feedback_DUSP_SPRY	full	0.06673770573247188	0.0063982436054394595	1668	5
GSM7980870_LPTC-3	LPTC	transcriptional_ETV_PHLDA1	raw	0.3274740723006797	5.445535451024455e-43	1668	3
GSM7980870_LPTC-3	LPTC	transcriptional_ETV_PHLDA1	full	0.050279713057048064	0.040049221846835674	1668	3
GSM7980870_LPTC-3	LPTC	no_CCND1	raw	0.4409560563249948	2.6552626583316876e-80	1668	8
GSM7980870_LPTC-3	LPTC	no_CCND1	full	0.07230264142825577	0.0031309776809496925	1668	8
GSM7980870_LPTC-3	LPTC	CCND1_only	raw	0.1406781759753788	7.933409318028456e-09	1668	1
GSM7980870_LPTC-3	LPTC	CCND1_only	full	-0.03341472478206748	0.17255062721016787	1668	1
GSM7980871_LPTC-4	LPTC	MAPK_all9	raw	0.16419999660476747	1.0844685939907541e-15	2354	9
GSM7980871_LPTC-4	LPTC	MAPK_all9	full	-0.004824532450453356	0.8150207820366961	2354	9
GSM7980871_LPTC-4	LPTC	feedback_DUSP_SPRY	raw	0.13002930002096894	2.415083534600851e-10	2354	5
GSM7980871_LPTC-4	LPTC	feedback_DUSP_SPRY	full	-0.047551272322478445	0.02104511363449898	2354	5
GSM7980871_LPTC-4	LPTC	transcriptional_ETV_PHLDA1	raw	0.128218681199804	4.281597573464823e-10	2354	3
GSM7980871_LPTC-4	LPTC	transcriptional_ETV_PHLDA1	full	0.045030984984132674	0.028906239554005078	2354	3
GSM7980871_LPTC-4	LPTC	no_CCND1	raw	0.1619151545029715	2.704412820934728e-15	2354	8
GSM7980871_LPTC-4	LPTC	no_CCND1	full	-0.008259580159051942	0.688764272849703	2354	8
GSM7980871_LPTC-4	LPTC	CCND1_only	raw	0.02971981237503071	0.1494436166677344	2354	1
GSM7980871_LPTC-4	LPTC	CCND1_only	full	0.0005876614417835794	0.9772657299480868	2354	1
GSM7980872_ATC-1	ATC	MAPK_all9	raw	0.11462894106915486	2.3811017351914922e-08	2358	9
GSM7980872_ATC-1	ATC	MAPK_all9	full	0.025323464039859897	0.21898434427803978	2358	9
GSM7980872_ATC-1	ATC	feedback_DUSP_SPRY	raw	0.09791718666098644	1.9006178261275574e-06	2358	5
GSM7980872_ATC-1	ATC	feedback_DUSP_SPRY	full	0.031778312607809625	0.12290305856456676	2358	5
GSM7980872_ATC-1	ATC	transcriptional_ETV_PHLDA1	raw	0.09006209031659983	1.187169196461579e-05	2358	3
GSM7980872_ATC-1	ATC	transcriptional_ETV_PHLDA1	full	0.04261362660117412	0.03853407016640778	2358	3
GSM7980872_ATC-1	ATC	no_CCND1	raw	0.11220139363547191	4.687279678850242e-08	2358	8
GSM7980872_ATC-1	ATC	no_CCND1	full	0.026006984192157558	0.20679649915891923	2358	8
GSM7980872_ATC-1	ATC	CCND1_only	raw	0.01121628000802217	0.5861783664149859	2358	1
GSM7980872_ATC-1	ATC	CCND1_only	full	0.0007706105201917948	0.970165732440269	2358	1
GSM7980873_ATC-2	ATC	MAPK_all9	raw	0.04184969559577464	0.1513273607735439	1177	9
GSM7980873_ATC-2	ATC	MAPK_all9	full	-0.04762130455244761	0.1024784025730016	1177	9
GSM7980873_ATC-2	ATC	feedback_DUSP_SPRY	raw	0.02936827487351342	0.3140805415918842	1177	5
GSM7980873_ATC-2	ATC	feedback_DUSP_SPRY	full	-0.015481066678928686	0.5957076889021828	1177	5
GSM7980873_ATC-2	ATC	transcriptional_ETV_PHLDA1	raw	0.04935611984923066	0.09054797853208557	1177	3
GSM7980873_ATC-2	ATC	transcriptional_ETV_PHLDA1	full	-0.06157163313790941	0.03467578055787209	1177	3
GSM7980873_ATC-2	ATC	no_CCND1	raw	0.03950688409006877	0.17558697391526654	1177	8
GSM7980873_ATC-2	ATC	no_CCND1	full	-0.04293641126452731	0.14097988493649097	1177	8
GSM7980873_ATC-2	ATC	CCND1_only	raw	0.008879303875910434	0.7608929089307561	1177	1
GSM7980873_ATC-2	ATC	CCND1_only	full	-0.09967470132013237	0.0006159755373235018	1177	1
GSM7980874_ATC-3	ATC	MAPK_all9	raw	0.02226063712000776	0.5267072273240678	811	9
GSM7980874_ATC-3	ATC	MAPK_all9	full	0.03253766908259021	0.35474457662594405	811	9
GSM7980874_ATC-3	ATC	feedback_DUSP_SPRY	raw	-0.005974409538739397	0.8651055355618619	811	5
GSM7980874_ATC-3	ATC	feedback_DUSP_SPRY	full	0.03385887937952226	0.3355354046261651	811	5
GSM7980874_ATC-3	ATC	transcriptional_ETV_PHLDA1	raw	0.0343017266672421	0.3292492845531575	811	3
GSM7980874_ATC-3	ATC	transcriptional_ETV_PHLDA1	full	0.015663166400867835	0.6560336428785665	811	3
GSM7980874_ATC-3	ATC	no_CCND1	raw	0.011337690162372675	0.7471589265828583	811	8
GSM7980874_ATC-3	ATC	no_CCND1	full	0.033993837246526555	0.3336115874939054	811	8
GSM7980874_ATC-3	ATC	CCND1_only	raw	0.06177924104332459	0.07869321437240435	811	1
GSM7980874_ATC-3	ATC	CCND1_only	full	0.0011770737651940085	0.9733005158575914	811	1
GSM7980875_ATC-4	ATC	MAPK_all9	raw	0.017389845110459944	0.5321339149466293	1293	9
GSM7980875_ATC-4	ATC	MAPK_all9	full	-0.06334915758669032	0.02272575817280004	1293	9
GSM7980875_ATC-4	ATC	feedback_DUSP_SPRY	raw	-0.036437333823677115	0.19040142737302307	1293	5
GSM7980875_ATC-4	ATC	feedback_DUSP_SPRY	full	-0.10996474207387785	7.421763960130646e-05	1293	5
GSM7980875_ATC-4	ATC	transcriptional_ETV_PHLDA1	raw	0.1381994951710383	6.082825374805575e-07	1293	3
GSM7980875_ATC-4	ATC	transcriptional_ETV_PHLDA1	full	0.07199239052038733	0.009609265068739945	1293	3
GSM7980875_ATC-4	ATC	no_CCND1	raw	0.04206302053701981	0.1306047796140541	1293	8
GSM7980875_ATC-4	ATC	no_CCND1	full	-0.04097816439112556	0.1408322286573259	1293	8
GSM7980875_ATC-4	ATC	CCND1_only	raw	-0.06222368300145028	0.025256110915232527	1293	1
GSM7980875_ATC-4	ATC	CCND1_only	full	-0.05152439451222439	0.06400163116637628	1293	1
