contrast	gene	a_mean	b_mean	cohen_d	p	n_a	n_b
NTRK_fusion_vs_driver_neg	TPO	0.84842	0.5441352272727272	1.1879009148701989	0.0006510618639966308	10	88
NTRK_fusion_vs_driver_neg	TSHR	0.17548999999999998	0.13054772727272726	0.36095277134688536	0.018615333737814436	10	88
NTRK_fusion_vs_driver_neg	mean_8g_beta	0.36535875	0.3056428977272727	0.645672942430183	0.02045356865226704	10	88
BRAF_V600E_vs_RAS_mut	DIO1	0.521873448275862	0.4181037735849057	0.5002041000813586	0.000743241972674815	290	53
BRAF_V600E_vs_RAS_mut	FOXE1	0.0823551724137931	0.05536037735849056	0.6401929519339877	1.6147028413113645e-07	290	53
BRAF_V600E_vs_RAS_mut	NKX2-1	0.04719862068965517	0.020962264150943394	0.4047997862445452	2.1884992019051537e-06	290	53
BRAF_V600E_vs_RAS_mut	PAX8	0.06768275862068966	0.04279811320754718	0.6940997350995104	3.972564555161448e-08	290	53
BRAF_V600E_vs_RAS_mut	SLC5A5	0.5773631034482758	0.5943584905660377	-0.1515868760873609	0.10103516422823562	290	53
BRAF_V600E_vs_RAS_mut	TG	0.6527596551724137	0.4886528301886792	1.0826235773812176	6.862775545826742e-10	290	53
BRAF_V600E_vs_RAS_mut	TPO	0.8779355172413794	0.4821754716981132	3.233251231825866	7.80059466654537e-21	290	53
BRAF_V600E_vs_RAS_mut	TSHR	0.1481934482758621	0.06972264150943397	0.9224826452036454	2.4480330809896144e-13	290	53
BRAF_V600E_vs_RAS_mut	mean_8g_beta	0.37192021551724136	0.2715167452830189	1.9655524561751327	6.784635635180497e-22	290	53
BRAF_V600E_vs_RET_fusion	DIO1	0.521873448275862	0.5524424242424242	-0.14979956941503783	0.7027199052577846	290	33
BRAF_V600E_vs_RET_fusion	FOXE1	0.0823551724137931	0.09293939393939393	-0.23120591102058086	0.21960275594959222	290	33
BRAF_V600E_vs_RET_fusion	NKX2-1	0.04719862068965517	0.051236363636363635	-0.05757669083125883	0.08393421900931779	290	33
BRAF_V600E_vs_RET_fusion	PAX8	0.06768275862068966	0.08288181818181818	-0.38128188110504846	0.03436047479191333	290	33
BRAF_V600E_vs_RET_fusion	SLC5A5	0.5773631034482758	0.6030939393939394	-0.23874435440183292	0.4347962399589289	290	33
BRAF_V600E_vs_RET_fusion	TG	0.6527596551724137	0.6512969696969697	0.010139163297116727	0.8087995472814001	290	33
BRAF_V600E_vs_RET_fusion	TPO	0.8779355172413794	0.8742484848484847	0.05118710463591028	0.17433424819502574	290	33
BRAF_V600E_vs_RET_fusion	TSHR	0.1481934482758621	0.17190303030303034	-0.2551297299298907	0.15407231947802322	290	33
BRAF_V600E_vs_RET_fusion	mean_8g_beta	0.37192021551724136	0.38500530303030295	-0.2611856203685913	0.1636710909333844	290	33
RET_fusion_vs_RAS_mut	DIO1	0.5524424242424242	0.4181037735849057	0.6377085817320196	0.005147966701110653	33	53
RET_fusion_vs_RAS_mut	FOXE1	0.09293939393939393	0.05536037735849056	1.1260529282355485	2.7638730798302636e-05	33	53
RET_fusion_vs_RAS_mut	NKX2-1	0.051236363636363635	0.020962264150943394	0.6176751818046003	9.713427871475153e-06	33	53
RET_fusion_vs_RAS_mut	PAX8	0.08288181818181818	0.04279811320754718	1.1569248976853093	1.2912132674209705e-07	33	53
RET_fusion_vs_RAS_mut	SLC5A5	0.6030939393939394	0.5943584905660377	0.08306560758246267	0.38896755847224973	33	53
RET_fusion_vs_RAS_mut	TG	0.6512969696969697	0.4886528301886792	1.0775113304992723	6.1668335418140186e-06	33	53
RET_fusion_vs_RAS_mut	TPO	0.8742484848484847	0.4821754716981132	1.872832152058814	9.40326466016079e-10	33	53
RET_fusion_vs_RAS_mut	TSHR	0.17190303030303034	0.06972264150943397	1.4613513280573656	3.3191408087102996e-09	33	53
RET_fusion_vs_RAS_mut	mean_8g_beta	0.38500530303030295	0.2715167452830189	2.1669775402037534	3.3322561167940593e-12	33	53
