mapk_gene	panel_gene	median_rho	mean_rho	n_samples	n_negative	n_positive	frac_negative	binom_p_negative	binom_fdr_negative
DUSP6	NKX2-1	0.03211810494924065	0.03317944144714548	12	3	8	0.25	0.980712890625	0.999755859375
DUSP4	TG	0.03429840511839165	0.02469633439328965	12	4	8	0.3333333333333333	0.927001953125	0.999755859375
ETV4	TG	0.036489750320744814	0.030181501961348747	12	3	9	0.25	0.980712890625	0.999755859375
ETV5	NKX2-1	0.0365076486259616	0.02430159107813444	12	2	9	0.16666666666666666	0.996826171875	0.999755859375
ETV5	TG	0.04133271880352116	0.03257120817095289	12	5	7	0.4166666666666667	0.80615234375	0.999755859375
DUSP6	TSHR	0.04585914615407066	0.036878360678368124	12	4	7	0.3333333333333333	0.927001953125	0.999755859375
ETV4	TPO	0.04683515050911224	0.04463656842913621	12	4	7	0.3333333333333333	0.927001953125	0.999755859375
DUSP4	FOXE1	0.04940726482047739	0.0361270671539173	12	5	7	0.4166666666666667	0.80615234375	0.999755859375
ETV5	FOXE1	0.05413320362657837	0.07386629905375636	12	4	8	0.3333333333333333	0.927001953125	0.999755859375
ETV4	FOXE1	0.05543220471219914	0.0880385071027519	12	3	9	0.25	0.980712890625	0.999755859375
ETV5	SLC5A5	0.0590472251382951	0.08548818505810926	12	2	5	0.16666666666666666	0.996826171875	0.999755859375
SPRY2	FOXE1	0.059685015881694614	0.12738271700463152	12	3	9	0.25	0.980712890625	0.999755859375
SPRY4	TPO	0.08157868767268059	0.12754462883510476	12	3	8	0.25	0.980712890625	0.999755859375
DUSP4	DIO1	0.10964583704325183	0.11946688919242829	12	3	8	0.25	0.980712890625	0.999755859375
SPRY2	TPO	0.1283742074436614	0.13756400464168347	12	3	8	0.25	0.980712890625	0.999755859375
SPRY4	DIO1	0.13835722488585003	0.09788061424733457	12	3	8	0.25	0.980712890625	0.999755859375
SPRY2	DIO1	0.18568423130197506	0.1617606985838189	12	2	9	0.16666666666666666	0.996826171875	0.999755859375
