sample_id	stage	covariate_family	target	r2	n	n_covariates
GSM7980870_LPTC-3	LPTC	epithelial	Panel8_z	0.018379770560006836	1668	1
GSM7980870_LPTC-3	LPTC	qc	MAPK_z	0.3683740823851118	1668	3
GSM7980870_LPTC-3	LPTC	qc	Panel8_z	0.3246654585296592	1668	3
GSM7980870_LPTC-3	LPTC	microenv	MAPK_z	0.10392593804677064	1668	4
GSM7980870_LPTC-3	LPTC	microenv	Panel8_z	0.08990923657173322	1668	4
GSM7980870_LPTC-3	LPTC	spatial	MAPK_z	0.06603870800223477	1668	5
GSM7980870_LPTC-3	LPTC	spatial	Panel8_z	0.1846200108966295	1668	5
GSM7980870_LPTC-3	LPTC	detection	MAPK_z	0.7575185949609291	1668	2
GSM7980870_LPTC-3	LPTC	detection	Panel8_z	0.6430601474189526	1668	2
GSM7980870_LPTC-3	LPTC	epithelial_qc_microenv	MAPK_z	0.37131825426323073	1668	8
GSM7980870_LPTC-3	LPTC	epithelial_qc_microenv	Panel8_z	0.38328646520951737	1668	8
GSM7980870_LPTC-3	LPTC	epithelial_qc_microenv_spatial_detection	MAPK_z	0.8341703533872061	1668	15
GSM7980870_LPTC-3	LPTC	epithelial_qc_microenv_spatial_detection	Panel8_z	0.6894790919100084	1668	15
GSM7980871_LPTC-4	LPTC	epithelial	MAPK_z	0.0016841097027806562	2354	1
GSM7980871_LPTC-4	LPTC	epithelial	Panel8_z	0.00317176420916343	2354	1
GSM7980871_LPTC-4	LPTC	qc	MAPK_z	0.21525776029925547	2354	3
GSM7980871_LPTC-4	LPTC	qc	Panel8_z	0.19007786801659488	2354	3
GSM7980871_LPTC-4	LPTC	microenv	MAPK_z	0.07625901707505711	2354	4
GSM7980871_LPTC-4	LPTC	microenv	Panel8_z	0.12628789282748776	2354	4
GSM7980871_LPTC-4	LPTC	spatial	MAPK_z	0.09474048579779137	2354	5
GSM7980871_LPTC-4	LPTC	spatial	Panel8_z	0.08905617470858618	2354	5
GSM7980871_LPTC-4	LPTC	detection	MAPK_z	0.7417391568634373	2354	2
GSM7980871_LPTC-4	LPTC	detection	Panel8_z	0.5921974464878499	2354	2
GSM7980871_LPTC-4	LPTC	epithelial_qc_microenv	MAPK_z	0.21715603180564813	2354	8
GSM7980871_LPTC-4	LPTC	epithelial_qc_microenv	Panel8_z	0.24383647455820723	2354	8
GSM7980871_LPTC-4	LPTC	epithelial_qc_microenv_spatial_detection	MAPK_z	0.8088242361540091	2354	15
GSM7980871_LPTC-4	LPTC	epithelial_qc_microenv_spatial_detection	Panel8_z	0.6767956537763443	2354	15
GSM7980872_ATC-1	ATC	epithelial	MAPK_z	0.0013168469785036496	2358	1
GSM7980872_ATC-1	ATC	epithelial	Panel8_z	0.00030948156928944925	2358	1
GSM7980872_ATC-1	ATC	qc	MAPK_z	0.192392885010656	2358	3
GSM7980872_ATC-1	ATC	qc	Panel8_z	0.0019599042533621214	2358	3
GSM7980872_ATC-1	ATC	microenv	MAPK_z	0.06358142171198689	2358	4
GSM7980872_ATC-1	ATC	microenv	Panel8_z	0.0009296133499403503	2358	4
GSM7980872_ATC-1	ATC	spatial	MAPK_z	0.08027688326073534	2358	5
GSM7980872_ATC-1	ATC	spatial	Panel8_z	0.004423365942712643	2358	5
GSM7980872_ATC-1	ATC	detection	MAPK_z	0.582318751586006	2358	2
GSM7980872_ATC-1	ATC	detection	Panel8_z	0.35618399560293157	2358	2
GSM7980872_ATC-1	ATC	epithelial_qc_microenv	MAPK_z	0.195609243889729	2358	8
GSM7980872_ATC-1	ATC	epithelial_qc_microenv	Panel8_z	0.0038410209757571145	2358	8
GSM7980872_ATC-1	ATC	epithelial_qc_microenv_spatial_detection	MAPK_z	0.7814471674984107	2358	15
GSM7980872_ATC-1	ATC	epithelial_qc_microenv_spatial_detection	Panel8_z	0.3949513208731954	2358	15
GSM7980873_ATC-2	ATC	epithelial	MAPK_z	0.010383409206753291	1177	1
GSM7980873_ATC-2	ATC	epithelial	Panel8_z	3.957317527969462e-05	1177	1
GSM7980873_ATC-2	ATC	qc	MAPK_z	0.29674210863335915	1177	3
GSM7980873_ATC-2	ATC	qc	Panel8_z	0.0017760381394636982	1177	3
GSM7980873_ATC-2	ATC	microenv	MAPK_z	0.19061411636687442	1177	4
GSM7980873_ATC-2	ATC	microenv	Panel8_z	0.002356533360835078	1177	4
GSM7980873_ATC-2	ATC	spatial	MAPK_z	0.1319996170412875	1177	5
GSM7980873_ATC-2	ATC	spatial	Panel8_z	0.0033002564662663048	1177	5
GSM7980873_ATC-2	ATC	detection	MAPK_z	0.6706783567364161	1177	2
GSM7980873_ATC-2	ATC	detection	Panel8_z	0.6092454300511896	1177	2
GSM7980873_ATC-2	ATC	epithelial_qc_microenv	MAPK_z	0.3010193438511942	1177	8
GSM7980873_ATC-2	ATC	epithelial_qc_microenv	Panel8_z	0.005292327967096	1177	8
GSM7980873_ATC-2	ATC	epithelial_qc_microenv_spatial_detection	MAPK_z	0.7669951018170809	1177	15
GSM7980873_ATC-2	ATC	epithelial_qc_microenv_spatial_detection	Panel8_z	0.6129610644535837	1177	15
GSM7980874_ATC-3	ATC	epithelial	MAPK_z	0.006642041431444645	811	1
GSM7980874_ATC-3	ATC	epithelial	Panel8_z	0.00011133402912300028	811	1
GSM7980874_ATC-3	ATC	qc	MAPK_z	0.0447971098685781	811	3
GSM7980874_ATC-3	ATC	qc	Panel8_z	0.0028548032104318555	811	3
GSM7980874_ATC-3	ATC	microenv	MAPK_z	0.02670295243862153	811	4
GSM7980874_ATC-3	ATC	microenv	Panel8_z	0.003718563452828172	811	4
GSM7980874_ATC-3	ATC	spatial	MAPK_z	0.03823823845210894	811	5
GSM7980874_ATC-3	ATC	spatial	Panel8_z	0.00673391987652272	811	5
GSM7980874_ATC-3	ATC	detection	MAPK_z	0.5453388316426844	811	2
GSM7980874_ATC-3	ATC	detection	Panel8_z	0.5822654886398956	811	2
GSM7980874_ATC-3	ATC	epithelial_qc_microenv	MAPK_z	0.06656011505874004	811	8
