sample	mapk	panel	ht	patient	sample_id	sub_cluster	axis_class	ht_class
TCGA-EM-A1YB-01A	-0.7710335919018445	-0.9972922486454974	-0.6163280194072497	TCGA-EM-A1YB	TCGA-EM-A1YB-01A	sub_B	mapk_low	ht_high
TCGA-ET-A3DV-01A	-0.8474013642003748	0.92568411295268	-1.2602366755819545	TCGA-ET-A3DV	TCGA-ET-A3DV-01A	sub_B	mapk_low	ht_low
TCGA-DJ-A13M-01A	0.37013295493201903	0.6012570849480592	-0.6801256919321444	TCGA-DJ-A13M	TCGA-DJ-A13M-01A	sub_A	mapk_high	ht_high
TCGA-BJ-A28V-01A	-0.3169096305586127	1.085601523087909	-1.4134566857389683	TCGA-BJ-A28V	TCGA-BJ-A28V-01A	sub_B	mapk_low	ht_low
TCGA-EM-A3FP-01A	0.2755907161038219	0.8030621213644873	0.6203089455987569	TCGA-EM-A3FP	TCGA-EM-A3FP-01A	sub_A	mapk_high	ht_high
TCGA-EM-A22N-01A	-1.101305578551874	0.45557055285593284	-0.2733187273511764	TCGA-EM-A22N	TCGA-EM-A22N-01A	sub_B	mapk_low	ht_high
TCGA-QD-A8IV-01A	0.06414305394194818	0.8889630862307284	-0.17858773835609865	TCGA-QD-A8IV	TCGA-QD-A8IV-01A	sub_A	mapk_high	ht_high
TCGA-EM-A22J-01A	-0.4562696122505503	0.18195306290689664	-0.7006448048404081	TCGA-EM-A22J	TCGA-EM-A22J-01A	sub_A	mapk_low	ht_low
TCGA-EM-A2CT-01A	0.03411452848855476	0.15621060644964974	-0.9242458488435171	TCGA-EM-A2CT	TCGA-EM-A2CT-01A	sub_A	mapk_high	ht_low
TCGA-DJ-A3VL-01A	-0.21558326509693274	0.7244947385504419	1.0296831564041675	TCGA-DJ-A3VL	TCGA-DJ-A3VL-01A	sub_A	mapk_high	ht_high
TCGA-DJ-A1QG-01A	-0.04247037900370211	-0.21117360213896907	-0.6095860769301409	TCGA-DJ-A1QG	TCGA-DJ-A1QG-01A	sub_A	mapk_high	ht_high
TCGA-EM-A4G1-01A	-0.5759428922116532	-0.14050403087564947	-0.11009511113898039	TCGA-EM-A4G1	TCGA-EM-A4G1-01A	sub_A	mapk_low	ht_high
TCGA-EM-A3FL-01A	-1.155212224589784	0.8286637236072286	-0.13843946660796594	TCGA-EM-A3FL	TCGA-EM-A3FL-01A	sub_B	mapk_low	ht_high
TCGA-EM-A2OY-01A	-1.852314908293892	0.08970212380771747	-1.0424107377240235	TCGA-EM-A2OY	TCGA-EM-A2OY-01A	sub_B	mapk_low	ht_low
TCGA-EM-A3AJ-01A	-0.03608706425746561	0.5581605689179912	1.2403431352473906	TCGA-EM-A3AJ	TCGA-EM-A3AJ-01A	sub_B	mapk_high	ht_high
TCGA-FY-A3R9-01A	0.06347019412109317	0.2513317560860975	-0.853241546435159	TCGA-FY-A3R9	TCGA-FY-A3R9-01A	sub_A	mapk_high	ht_low
TCGA-EM-A1YE-01A	-1.4499933449878162	1.3342557904704424	-0.8642173819675628	TCGA-EM-A1YE	TCGA-EM-A1YE-01A	sub_B	mapk_low	ht_low
TCGA-BJ-A45D-01A	0.24525891900785896	0.49033703703237413	-0.20250201871256193	TCGA-BJ-A45D	TCGA-BJ-A45D-01A	sub_A	mapk_high	ht_high
TCGA-BJ-A0Z2-01A	-0.11971712581105419	0.883729910494512	-0.46523015743688617	TCGA-BJ-A0Z2	TCGA-BJ-A0Z2-01A	sub_A	mapk_high	ht_high
TCGA-FE-A239-01A	-1.3506930040864755	1.1846103998252968	-0.8275518549825344	TCGA-FE-A239	TCGA-FE-A239-01A	sub_B	mapk_low	ht_low
TCGA-BJ-A28W-11A	-0.8113154201035082	-0.11732095105110035	1.3881978826491745	TCGA-BJ-A28W	TCGA-BJ-A28W-01A	sub_B	mapk_low	ht_high
TCGA-BJ-A28W-01A	-1.819666171393867	-0.18140853153073078	2.745851504658901	TCGA-BJ-A28W	TCGA-BJ-A28W-01A	sub_B	mapk_low	ht_high
TCGA-EM-A22L-01A	-0.020205268385171598	1.063010709893074	-1.0365910171876718	TCGA-EM-A22L	TCGA-EM-A22L-01A	sub_A	mapk_high	ht_low
TCGA-BJ-A28T-01A	-0.6881983280777574	0.8070290059924303	1.8809467007932255	TCGA-BJ-A28T	TCGA-BJ-A28T-01A	sub_B	mapk_low	ht_high
TCGA-DJ-A4V0-01A	-0.2704302390850212	0.9365154741026942	1.4868964810384717	TCGA-DJ-A4V0	TCGA-DJ-A4V0-01A	sub_A	mapk_high	ht_high
TCGA-EL-A3H2-01A	-1.2351257928578923	1.1759306902892712	-0.5651357238343496	TCGA-EL-A3H2	TCGA-EL-A3H2-01A	sub_B	mapk_low	ht_high
TCGA-EM-A2CO-01A	-1.0183467531404407	0.2505683431134569	-0.8125756183461913	TCGA-EM-A2CO	TCGA-EM-A2CO-01A	sub_B	mapk_low	ht_low
TCGA-EM-A1YC-11A	-1.2431258324720613	0.8708279057002474	0.3497546865038029	TCGA-EM-A1YC	TCGA-EM-A1YC-01A	sub_B	mapk_low	ht_high
TCGA-EM-A3AP-01A	0.24113836510997752	0.5894218445911568	-0.8279861687774043	TCGA-EM-A3AP	TCGA-EM-A3AP-01A	sub_A	mapk_high	ht_low
TCGA-ET-A25P-01A	0.6254522822639463	0.7033429622018161	-0.5197561874231822	TCGA-ET-A25P	TCGA-ET-A25P-01A	sub_A	mapk_high	ht_high
TCGA-EL-A3ZH-01A	0.04732240042838769	1.5426314980617457	-0.8356468939949125	TCGA-EL-A3ZH	TCGA-EL-A3ZH-01A	sub_A	mapk_high	ht_low
TCGA-MK-A84Z-01A	0.45819876979851526	0.6971184574439113	-0.6639166898745674	TCGA-MK-A84Z	TCGA-MK-A84Z-01A	sub_A	mapk_high	ht_high
TCGA-EM-A3OA-01A	-0.6567250109404797	0.5648706805486559	-0.6760935674048284	TCGA-EM-A3OA	TCGA-EM-A3OA-01A	sub_B	mapk_low	ht_high
TCGA-H2-A2K9-11A	-1.401798933916674	1.2285718621547574	1.07642256461506	TCGA-H2-A2K9	TCGA-H2-A2K9-01A	sub_A	mapk_low	ht_high
TCGA-BJ-A191-01A	-0.8676656119068161	0.22891884375540605	0.1577687984728199	TCGA-BJ-A191	TCGA-BJ-A191-01A	sub_A	mapk_low	ht_high
TCGA-EM-A3O9-01A	-1.519984771522208	-2.0667878736980656	-0.32059287687616794	TCGA-EM-A3O9	TCGA-EM-A3O9-01A	sub_B	mapk_low	ht_high
