sample_id	stage	metric	rho	p	n
GSM7980870_LPTC-3	LPTC	MAPK_z_vs_Epithelial_score	-0.023135822815710347	0.34501034553416576	1668
GSM7980870_LPTC-3	LPTC	Panel8_z_vs_Epithelial_score	-0.12365511450693126	4.0650731472397013e-07	1668
GSM7980871_LPTC-4	LPTC	MAPK_z_vs_log1p_total	0.3347122215106168	1.0119060889939551e-62	2354
GSM7980871_LPTC-4	LPTC	Panel8_z_vs_log1p_total	0.29118637734901587	3.152975128143665e-47	2354
GSM7980871_LPTC-4	LPTC	MAPK_z_vs_MAPK_detect	0.8426875469467203	0.0	2354
GSM7980871_LPTC-4	LPTC	Panel8_z_vs_panel_detect	0.716887792099831	0.0	2354
GSM7980871_LPTC-4	LPTC	MAPK_detect_vs_panel_detect	0.3995518958740137	6.079534997185702e-91	2354
GSM7980871_LPTC-4	LPTC	MAPK_z_vs_Epithelial_score	0.040467957510235894	0.04962442509883896	2354
GSM7980871_LPTC-4	LPTC	Panel8_z_vs_Epithelial_score	-0.04369145648543034	0.03403050769716665	2354
GSM7980872_ATC-1	ATC	MAPK_z_vs_log1p_total	0.3594590112509412	7.52471169203329e-73	2358
GSM7980872_ATC-1	ATC	Panel8_z_vs_log1p_total	0.22571060027911632	1.2822943087547433e-28	2358
GSM7980872_ATC-1	ATC	MAPK_z_vs_MAPK_detect	0.7538023934449155	0.0	2358
GSM7980872_ATC-1	ATC	Panel8_z_vs_panel_detect	0.926857681507546	0.0	2358
GSM7980872_ATC-1	ATC	MAPK_detect_vs_panel_detect	0.36665550889222115	6.146890758477098e-76	2358
GSM7980872_ATC-1	ATC	MAPK_z_vs_Epithelial_score	0.0069960937625451825	0.7341961673986737	2358
GSM7980872_ATC-1	ATC	Panel8_z_vs_Epithelial_score	0.018536441693704084	0.368271629880604	2358
GSM7980873_ATC-2	ATC	MAPK_z_vs_log1p_total	0.5059300400963092	1.66995224354335e-77	1177
GSM7980873_ATC-2	ATC	Panel8_z_vs_log1p_total	0.0611458461808001	0.03595014032426622	1177
GSM7980873_ATC-2	ATC	MAPK_z_vs_MAPK_detect	0.8213266741949096	1.0353377427080583e-288	1177
GSM7980873_ATC-2	ATC	Panel8_z_vs_panel_detect	0.9999407894821006	0.0	1177
GSM7980873_ATC-2	ATC	MAPK_detect_vs_panel_detect	0.07254348687515892	0.01279528358275998	1177
GSM7980873_ATC-2	ATC	MAPK_z_vs_Epithelial_score	0.19829705768264577	6.690837947347971e-12	1177
GSM7980873_ATC-2	ATC	Panel8_z_vs_Epithelial_score	0.05558159217864328	0.05661007623814415	1177
GSM7980874_ATC-3	ATC	MAPK_z_vs_log1p_total	0.18816048217149448	6.721112336747896e-08	811
GSM7980874_ATC-3	ATC	Panel8_z_vs_log1p_total	0.028199526948378156	0.4225594902851926	811
GSM7980874_ATC-3	ATC	MAPK_z_vs_MAPK_detect	0.7535256509852402	1.601197123872311e-149	811
GSM7980874_ATC-3	ATC	Panel8_z_vs_panel_detect	0.9998742187003691	0.0	811
GSM7980874_ATC-3	ATC	MAPK_detect_vs_panel_detect	-0.01971578248248194	0.5750322328116908	811
GSM7980874_ATC-3	ATC	MAPK_z_vs_Epithelial_score	0.06732059104437448	0.05531708754568	811
GSM7980874_ATC-3	ATC	Panel8_z_vs_Epithelial_score	0.015327031433985948	0.6629553490295811	811
GSM7980875_ATC-4	ATC	MAPK_z_vs_log1p_total	0.2598360459531842	2.1431766328038247e-21	1293
GSM7980875_ATC-4	ATC	Panel8_z_vs_log1p_total	-0.003472326779287595	0.900730485344484	1293
GSM7980875_ATC-4	ATC	MAPK_z_vs_MAPK_detect	0.8801751231832505	0.0	1293
GSM7980875_ATC-4	ATC	Panel8_z_vs_panel_detect	0.8343906799983034	0.0	1293
GSM7980875_ATC-4	ATC	MAPK_detect_vs_panel_detect	0.23958159294769427	2.4555249184289685e-18	1293
GSM7980875_ATC-4	ATC	MAPK_z_vs_Epithelial_score	0.08365515128477094	0.002608467012560687	1293
GSM7980875_ATC-4	ATC	Panel8_z_vs_Epithelial_score	-0.2449149842307118	4.085633311248558e-19	1293
