sample_id	stage	adjustment	n	rho_mapk_panel	p	negative_direction
GSM7980864_PTC-1	PTC	QC_plus_cell_state	2262	-0.06814429955331573	0.001182970117770143	True
GSM7980865_PTC-2	PTC	raw	4952	0.26243100370966566	8.608480223511045e-79	False
GSM7980865_PTC-2	PTC	QC	4947	0.006121078904085141	0.6668895766654807	False
GSM7980865_PTC-2	PTC	epithelial	4947	0.20795467389692024	1.839127775424851e-49	False
GSM7980865_PTC-2	PTC	cell_state	4947	0.1406483289653486	2.80424551913811e-23	False
GSM7980865_PTC-2	PTC	QC_plus_cell_state	4947	0.0029341490118741436	0.8365398573017137	False
GSM7980866_PTC-3	PTC	raw	4524	0.16376062708193329	1.458387114586204e-28	False
GSM7980866_PTC-3	PTC	QC	4516	0.02300751101311519	0.12212661162614412	False
GSM7980866_PTC-3	PTC	epithelial	4516	0.10020894267099667	1.4857032102386087e-11	False
GSM7980866_PTC-3	PTC	cell_state	4516	0.0655754562627509	1.0323892134807336e-05	False
GSM7980866_PTC-3	PTC	QC_plus_cell_state	4516	0.0033181739449732665	0.8235945604318576	False
GSM7980867_PTC-4	PTC	raw	4748	0.43433135409204177	9.653051737204502e-218	False
GSM7980867_PTC-4	PTC	QC	4498	0.05042707094648475	0.0007164346470955594	False
GSM7980867_PTC-4	PTC	epithelial	4498	0.23513144403783084	1.5028817721568596e-57	False
GSM7980867_PTC-4	PTC	cell_state	4498	0.14045636789852614	2.954269075719835e-21	False
GSM7980867_PTC-4	PTC	QC_plus_cell_state	4498	0.02326710093831303	0.11870431346112707	False
GSM7980868_LPTC-1	LPTC	raw	1520	0.23735033305776235	6.574534593306965e-21	False
GSM7980868_LPTC-1	LPTC	QC	1520	0.09442063606549045	0.00022744529922858814	False
GSM7980868_LPTC-1	LPTC	epithelial	1520	0.19419942056202108	2.2082117188030503e-14	False
GSM7980868_LPTC-1	LPTC	cell_state	1520	0.17183618363175956	1.5395803358105807e-11	False
GSM7980868_LPTC-1	LPTC	QC_plus_cell_state	1520	0.08731321920734282	0.0006548760927797979	False
GSM7980869_LPTC-2	LPTC	raw	4174	0.5224207433392263	4.262194767517093e-291	False
GSM7980869_LPTC-2	LPTC	QC	4071	0.14650359821600067	5.6981047295490306e-21	False
GSM7980869_LPTC-2	LPTC	epithelial	4071	0.21780257589901109	6.536533220496292e-45	False
GSM7980869_LPTC-2	LPTC	cell_state	4071	0.20391275727628683	1.8210959658415024e-39	False
GSM7980869_LPTC-2	LPTC	QC_plus_cell_state	4071	0.07499415899238615	1.6658736826221957e-06	False
GSM7980870_LPTC-3	LPTC	raw	4633	0.6158298151678571	0.0	False
GSM7980870_LPTC-3	LPTC	QC	3336	0.0847048892983178	9.614533252162183e-07	False
GSM7980870_LPTC-3	LPTC	epithelial	3336	0.4279339175213272	1.1740919292052756e-148	False
GSM7980870_LPTC-3	LPTC	cell_state	3336	0.3317516282739875	1.598067374579893e-86	False
GSM7980870_LPTC-3	LPTC	QC_plus_cell_state	3336	0.06896163018617697	6.709827148065505e-05	False
GSM7980871_LPTC-4	LPTC	raw	4737	0.44886393208050107	1.188266764328685e-233	False
GSM7980871_LPTC-4	LPTC	QC	4707	0.145182733683903	1.3626666237343674e-23	False
GSM7980871_LPTC-4	LPTC	epithelial	4707	0.35468399815933577	1.4246418072988948e-139	False
GSM7980871_LPTC-4	LPTC	cell_state	4707	0.21856970620533675	5.146805692744864e-52	False
GSM7980871_LPTC-4	LPTC	QC_plus_cell_state	4707	0.10614790143613162	2.851037565951328e-13	False
GSM7980872_ATC-1	ATC	raw	4722	0.19711266339909367	1.4174879834150758e-42	False
GSM7980872_ATC-1	ATC	QC	4715	0.040231755384221565	0.005728433456811471	False
GSM7980872_ATC-1	ATC	epithelial	4715	0.12982045358493433	3.5623887415089193e-19	False
GSM7980872_ATC-1	ATC	cell_state	4715	0.09815205254049614	1.4360436337749619e-11	False
GSM7980872_ATC-1	ATC	QC_plus_cell_state	4715	0.034034671944815284	0.019435163776760037	False
GSM7980873_ATC-2	ATC	raw	2684	0.07816677180769988	5.0364411404463306e-05	False
GSM7980873_ATC-2	ATC	QC	2354	0.01593576136756015	0.43963466893231773	False
GSM7980873_ATC-2	ATC	epithelial	2354	0.042729734062532214	0.038171489181470154	False
GSM7980873_ATC-2	ATC	cell_state	2354	0.03378618040915252	0.10124734199085925	False
GSM7980873_ATC-2	ATC	QC_plus_cell_state	2354	0.016720034372007794	0.4174523543618411	False
GSM7980874_ATC-3	ATC	raw	1622	0.0134061415906366	0.5895227397780247	False
GSM7980874_ATC-3	ATC	QC	1621	0.007386903845116581	0.7663263974229021	False
GSM7980874_ATC-3	ATC	epithelial	1621	0.012846669640491434	0.6052606087137509	False
GSM7980874_ATC-3	ATC	cell_state	1621	0.008797410146997375	0.7233899818219163	False
GSM7980874_ATC-3	ATC	QC_plus_cell_state	1621	0.005897694671697233	0.8124475063487069	False
GSM7980875_ATC-4	ATC	raw	2594	0.19117210401088097	8.991931459183913e-23	False
GSM7980875_ATC-4	ATC	QC	2586	0.08200581374792	2.976762663210326e-05	False
GSM7980875_ATC-4	ATC	epithelial	2586	0.1472613650811776	5.2283682893290595e-14	False
GSM7980875_ATC-4	ATC	cell_state	2586	0.08877254128840298	6.152744238730082e-06	False
GSM7980875_ATC-4	ATC	QC_plus_cell_state	2586	0.015229852296093527	0.4388420954433659	False
