sample_id	SLC5A5	TPO	TG	TSHR	PAX8	NKX2-1	FOXE1	DIO1	cohort	group
TCGA-E8-A415-01A	0.2563689056659344	0.7341144016209719	-0.09133344113042684	-0.5286220693538584	-0.4927160162910379	-0.8191492037672471	-0.6918481110921574	0.3358296422656376	TCGA-THCA	TCGA_DM2
TCGA-DJ-A4UR-01A	-1.4888351970605191	1.3898075873784577	0.5206006485644552	-0.7940381235495749	-0.23219719200471542	0.19995174323299728	-1.3030360409341715	0.22120883393888183	TCGA-THCA	TCGA_DM1
TCGA-DJ-A13L-01A	0.32380167694613193	-0.2784994463964521	-0.716258400594666	0.7975862396287557	0.4783786166900071	0.7067098438063513	-0.11442237599181848	-0.5014214374328485	TCGA-THCA	TCGA_DM2
TCGA-BJ-A45I-01A	0.4529832439731575	-1.2135980774582527	-0.8572329693519593	0.5458582255784009	1.4694672289423767	1.2353648266653339	1.345924269085723	-0.7557560292841753	TCGA-THCA	TCGA_DM2
TCGA-ET-A40S-01A	0.6241943836538396	-0.001404575922398555	-0.8583437046185503	-0.8016623558088561	-0.35775910319475346	1.047353055733826	-0.06214339949797008	-0.0461321193484979	TCGA-THCA	TCGA_DM2
TCGA-EL-A3CZ-01A	-0.22830879127034687	1.2393899009885376	0.8288034706660097	-0.9113008943954971	-1.916892682113419	-1.8726849149745426	-1.002124070481991	1.1673766280369673	TCGA-THCA	TCGA_DM1
TCGA-EM-A2P3-01A	-0.14318804418798578	-0.43919718858175993	0.30628863140060486	1.2082622056524632	0.5171672685210832	0.4164678080931887	0.5590132650619049	-0.8797016110115948	TCGA-THCA	TCGA_DM2
TCGA-BJ-A2N7-01A	-0.7613557151391503	1.3855733243689823	0.5586729336002889	-0.2716550647251788	-0.9960705349708981	-0.43863468949587975	-1.5469696812439615	0.23830332683532138	TCGA-THCA	TCGA_DM1
TCGA-EL-A3GW-01A	-1.3366787573652301	-0.0662197073601547	-0.5407715559803881	-0.9110583926373574	-1.3135458712159795	-0.6138755450592344	0.5795976687525359	2.337933638333035	TCGA-THCA	TCGA_DM1
TCGA-DJ-A13P-01A	-0.4607628497307192	-0.762371556633755	1.7112192164379199	1.7001561348633212	0.5848772462364786	0.5832414291637021	0.7318082465553766	-1.4865728076260178	TCGA-THCA	TCGA_DM2
TCGA-ET-A39O-01A	0.21152213888720703	-0.3791661065097009	0.28884677327662117	0.7817593455842128	0.10747224704903713	0.140459281486922	0.9037577201412647	-0.7989788710455981	TCGA-THCA	TCGA_DM2
TCGA-IM-A3ED-01A	-1.0094188230156045	0.23704390450056367	0.24978752774689642	0.3932053552471629	-0.10409604155763401	-0.5023825550964149	0.2844636955964892	0.3367641984437242	TCGA-THCA	TCGA_DM2
TCGA-ET-A39L-01A	-1.2871414515092139	0.6704632779555315	0.7546347173859778	0.33558316870759547	-0.4970858475457728	-0.6565386652344029	-0.19199257556405802	0.29335821994197514	TCGA-THCA	TCGA_DM1
TCGA-FY-A3YR-01A	0.3735691331868663	-1.4648766745935677	0.5815651318226571	1.0451305636899668	1.1541670010655896	0.9044040551628233	0.9305999000320195	-0.9180579616140789	TCGA-THCA	TCGA_DM2
TCGA-KS-A4IB-01A	0.3321675264313127	-2.20567128131312	1.1837045205036474	1.3644440071881478	0.7917448500703006	1.7243613864911114	1.9409626580323955	-1.3615388035992417	TCGA-THCA	TCGA_DM2
TCGA-EM-A3ST-01A	-0.9427574636855038	-1.196712280971102	-2.0392033350014795	0.011938127867347601	1.1089760723757323	0.8346517681424019	-0.006212271724998327	2.036034008954144	TCGA-THCA	TCGA_DM2
TCGA-E8-A413-01A	1.202047653677797	0.2524526572834911	-2.033873540682325	-0.0472081126752693	-0.42217914806490153	-0.03952735190067981	0.12129361813584023	0.11631726557946152	TCGA-THCA	TCGA_DM2
TCGA-EL-A3TA-01A	1.194091221925098	0.852955986193945	-0.5950176285177249	-0.7497237256334549	-0.9571044922477501	-0.4374398188048355	-1.9913218033509763	0.46441954326079	TCGA-THCA	TCGA_DM2
TCGA-DJ-A2PW-01A	-0.3519571640456096	-0.8562093877422715	-1.4759497453298136	-0.673916871858748	0.4634184511626918	0.3373585875028265	0.7006994860409382	1.546691735112605	TCGA-THCA	TCGA_DM2
TCGA-DJ-A2PO-01A	-0.22971516791375915	-0.7615658569944832	1.6614190633556527	0.8049740614971634	0.277178774714317	0.36726011134194914	0.5668567186185725	-0.8639100539038418	TCGA-THCA	TCGA_DM2
TCGA-ET-A3BT-01A	-0.4512015025464174	-0.43554655044839724	0.8023668096323049	1.2673774920266911	0.7361186024672852	0.21680567103211604	0.10048162124523553	-0.7221276783037696	TCGA-THCA	TCGA_DM2
TCGA-EM-A2CJ-01A	-0.35007541307387396	1.462818931460274	0.015109027015516054	-1.2846861536419223	-1.4326083263292908	-2.0143428058788744	-0.6792965652291498	1.3670839432276496	TCGA-THCA	TCGA_DM1
TCGA-DJ-A3VD-01A	1.2966654157839743	0.5578483578489442	-1.2800753733027712	-0.40239643326405805	-0.4530714554863866	-0.6084053631899169	-0.43798352973608634	0.10678565341306523	TCGA-THCA	TCGA_DM2
TCGA-DJ-A1QE-01A	0.27234482442887864	-0.42989508311543045	-1.0159266121505508	0.42493345031370616	0.7768689181838053	-0.055168053543523506	1.0555738596433875	-0.15441399469926462	TCGA-THCA	TCGA_DM2
TCGA-BJ-A0ZB-01A	-0.036410521156121076	-1.141119087220496	0.9892535702499452	0.8266237877753804	0.7930936433371975	0.9620506551754243	1.3836750488393836	-1.1751007052218543	TCGA-THCA	TCGA_DM2
TCGA-IM-A3U3-01A	0.1499881101352847	-0.6245146681723045	0.16354423793441483	1.0050331769626122	0.5897527522566911	0.95353690658158	0.5715876278213983	-1.064993056799341	TCGA-THCA	TCGA_DM2
TCGA-BJ-A45F-01A	-1.2327352745589835	1.2717944528803897	0.6761582146270658	-0.9241828574814382	-1.046145916488664	-0.6889331166779928	-1.3243033474389239	1.008818864136135	TCGA-THCA	TCGA_DM1
TCGA-EL-A4KG-01A	0.07428464960630812	-0.5973559136996491	-1.2995555585047562	-0.42457723989100643	1.4721156161150102	1.0947720774980323	1.3822158277175665	-0.3806831366304617	TCGA-THCA	TCGA_DM2
TCGA-ET-A39S-01A	1.3432135288830234	0.9817703245715338	0.2767572015719416	-0.44477623464581084	-1.257266773713627	-1.0983829609836258	-2.0137538171260747	0.14572167559372282	TCGA-THCA	TCGA_DM2
TCGA-E8-A436-01A	1.3044586826488005	0.3773462469744206	-0.31135290461078696	-0.9402958382126998	-0.07822531366797286	-0.5808119628034992	-0.32675476356934724	-0.16093895480275483	TCGA-THCA	TCGA_DM2
TCGA-EM-A22K-01A	-1.330157452193235	1.0343632211388167	1.3693402962521577	-0.24598657978191574	-0.8140427837443286	-0.2608429218076676	-0.70934778384031	0.02223642966349804	TCGA-THCA	TCGA_DM1
TCGA-E3-A3DY-01A	-0.10490749876166909	-1.424256768034594	1.474123821080249	0.8069438369487539	0.9575404416711752	0.9247381021324196	0.7332113398668333	-0.8246615544051239	TCGA-THCA	TCGA_DM2
TCGA-KS-A4I7-01A	-0.3313747813807063	-1.1075145292680566	0.8381012775208384	1.023694077353909	0.765122635329938	1.278610218749657	1.008305581178734	-1.0351846856381481	TCGA-THCA	TCGA_DM2
TCGA-4C-A93U-01A	0.2747019152313383	-0.9263129188692304	-0.5760549380130213	0.8122548687383457	1.213428585254059	1.230760816418175	0.18181353523194393	-0.5929762538827018	TCGA-THCA	TCGA_DM2
TCGA-ET-A25G-01A	-0.5188364490944609	-0.28901668516778106	-1.4323984338500808	-0.4440818331511633	0.5563197509412979	-0.28623516525270715	1.0433502623474484	1.1081172869938223	TCGA-THCA	TCGA_DM2
TCGA-EL-A3H4-01A	-0.3575748400627321	-0.5124489203455663	0.37910315910055475	1.0538537673330455	0.34902841800427614	0.4173550158515898	0.6290005695506475	-0.5823731251013393	TCGA-THCA	TCGA_DM2
TCGA-EL-A3ZL-01A	0.043278482106437886	-0.4781000909142549	0.19090275463342005	0.7326744253781613	0.5877203823446753	1.6156309047679935	-0.6394597446971899	-0.8834144839664831	TCGA-THCA	TCGA_DM2
TCGA-DJ-A3VE-01A	-0.2832012883675015	-1.059785519587146	0.5952395437970011	1.0673678802724624	0.9960279304267056	0.5090723531554199	0.7795439087206554	-0.549012951443444	TCGA-THCA	TCGA_DM2
TCGA-DJ-A1QL-01A	0.6391536195655199	1.0603905887671403	-1.0451817488360735	-1.2535253437384828	-0.4923159929028677	-0.9983192179427283	-0.6873506481079317	0.6763349282340679	TCGA-THCA	TCGA_DM1
TCGA-FE-A234-01A	0.047397286077273684	-1.1716394394918725	-0.1947044178787333	1.256661543514543	1.0677942646518463	1.2326791484953983	1.7240572369257894	-1.2159742365765154	TCGA-THCA	TCGA_DM2
TCGA-H2-A26U-01A	0.1786784240743814	-0.917545993583805	-0.7093739275873071	0.7100560242956842	1.4793814543237986	0.7509059499686273	1.473230780976278	-0.8098680071873618	TCGA-THCA	TCGA_DM2
TCGA-EM-A1CS-01A	-0.16821323177817565	-0.6571951208930973	1.7501418313420853	0.0022014993431488964	1.0167177942565495	-0.06033097375541978	0.7888959891763367	-0.8097180518196923	TCGA-THCA	TCGA_DM2
