sample_id	stage	subset	adjustment	rho_linear_resid_spearman	p_linear_resid_spearman	n_linear	rho_rank_partial_spearman	p_rank_partial_spearman	n_rank	n_MAPK_genes	n_panel_genes
GSM7980866_PTC-3	PTC	all_spots	microenv	0.05836434790847318	8.69413592947027e-05	4516	0.09433705619938662	2.125651790186298e-10	4516	9	8
GSM7980866_PTC-3	PTC	all_spots	spatial	0.18779878413278964	4.0164966420481e-37	4516	0.18556144061015267	2.8665005656824742e-36	4516	9	8
GSM7980866_PTC-3	PTC	all_spots	detection	0.24407732970816448	3.016860067714554e-62	4516	0.2336147978106849	4.942006519281979e-57	4516	9	8
GSM7980866_PTC-3	PTC	all_spots	epithelial_qc	-0.04470898783365171	0.002654340796408967	4516	0.011478578492195841	0.44059668839851446	4516	9	8
GSM7980866_PTC-3	PTC	all_spots	epithelial_qc_microenv	-0.06270231798130266	2.4795472860338066e-05	4516	0.0033426835630843517	0.8223132160393456	4516	9	8
GSM7980866_PTC-3	PTC	all_spots	epithelial_qc_microenv_spatial	-0.03644527809185892	0.014313348781844018	4516	0.04773633590000864	0.0013325315631274191	4516	9	8
GSM7980866_PTC-3	PTC	all_spots	epithelial_qc_microenv_spatial_detection	0.08207929157781045	3.3208367253428145e-08	4516	0.04837427627779665	0.001146715446446532	4516	9	8
GSM7980866_PTC-3	PTC	epithelial_top50	raw	0.007956306901952663	0.7055288450332465	2258	0.011194721397271132	0.5949493467658705	2258	9	8
GSM7980866_PTC-3	PTC	epithelial_top50	epithelial	0.03749788022515753	0.07483410476116613	2258	0.03257567562069266	0.12174318300433917	2258	9	8
GSM7980866_PTC-3	PTC	epithelial_top50	qc	-0.044214181019730035	0.03565396927405599	2258	0.004386080789927579	0.8349906622259965	2258	9	8
GSM7980866_PTC-3	PTC	epithelial_top50	microenv	0.028896746782988342	0.16985994607467578	2258	0.053213865941597535	0.011437810689828139	2258	9	8
GSM7980866_PTC-3	PTC	epithelial_top50	spatial	0.04641342206061043	0.027421855037003676	2258	0.04567796398372879	0.029970837876323868	2258	9	8
GSM7980866_PTC-3	PTC	epithelial_top50	detection	0.1966231184159254	4.091374467142633e-21	2258	0.2199005489658887	3.9665422929504343e-26	2258	9	8
GSM7980866_PTC-3	PTC	epithelial_top50	epithelial_qc	-0.04437632955746247	0.03498223100149772	2258	-0.006592499616652226	0.7542084213783038	2258	9	8
