tcga_sample_id	B cell	Endothelial cell	Epithelial cell	Fibroblast	Malignant cell	Myeloid cell	NK cell	T cell
TCGA-EM-A3ST-11A	0.0	0.11599816156330597	0.8288516709368059	0.05515016749988799	0.0	0.0	0.0	0.0
TCGA-EM-A3ST-01A	0.0	0.6054773574160183	0.3945226425839817	0.0	0.0	0.0	0.0	0.0
TCGA-E8-A413-01A	0.0	0.0	0.2285593876882349	0.7714406123117651	0.0	0.0	0.0	0.0
TCGA-EL-A3TA-01A	0.0	0.49997193673815593	0.5000280632618441	0.0	0.0	0.0	0.0	0.0
TCGA-EL-A3TA-11A	0.0	0.1420534923339547	0.7909243736869387	0.06702213397910661	0.0	0.0	0.0	0.0
TCGA-DJ-A2PW-01A	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
TCGA-DJ-A2PO-01A	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
TCGA-ET-A3BT-01A	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
TCGA-EM-A2CJ-01A	0.0	0.28796503292126313	0.6236743065920142	0.08836066048672268	0.0	0.0	0.0	0.0
TCGA-DJ-A3VD-01A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TCGA-DJ-A1QE-01A	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
TCGA-BJ-A0ZB-01A	0.0	0.7531872049089573	0.24681279509104267	0.0	0.0	0.0	0.0	0.0
TCGA-IM-A3U3-01A	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
TCGA-BJ-A45F-01A	0.0	0.4168614003881006	0.5517860288340473	0.03135257077785214	0.0	0.0	0.0	0.0
TCGA-EL-A4KG-01A	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
TCGA-ET-A39S-01A	0.0	0.45864122465551843	0.5413587753444815	0.0	0.0	0.0	0.0	0.0
TCGA-E8-A436-01A	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
TCGA-EM-A22K-01A	0.0	0.5161951595453959	0.48380484045460415	0.0	0.0	0.0	0.0	0.0
TCGA-E3-A3DY-01A	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
TCGA-KS-A4I7-01A	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
TCGA-4C-A93U-01A	0.0	0.4347418541520498	0.0	0.5652581458479502	0.0	0.0	0.0	0.0
TCGA-ET-A25G-01A	0.0	0.09901737848772257	0.9009826215122774	0.0	0.0	0.0	0.0	0.0
TCGA-EL-A3H4-01A	0.0	0.6723127109965121	0.32768728900348776	0.0	0.0	0.0	0.0	0.0
TCGA-EL-A3ZL-01A	0.0	0.7733813157458962	0.0	0.22661868425410378	0.0	0.0	0.0	0.0
TCGA-DJ-A3VE-01A	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
TCGA-DJ-A1QL-01A	0.0	0.4227174096624385	0.575186778407564	0.002095811929997466	0.0	0.0	0.0	0.0
TCGA-FE-A234-01A	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
TCGA-H2-A26U-01A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TCGA-EM-A1CS-01A	0.0	0.7775000607405808	0.22249993925941922	0.0	0.0	0.0	0.0	0.0
