sample_short	DIO1	FOXE1	NKX2-1	PAX8	SLC5A5	TG	TPO	TSHR	mean_8g_beta
TCGA-BJ-A28T	0.6214	0.1524	0.1499	0.1616	0.5916	0.6091	0.5722	0.3667	0.4031125
TCGA-BJ-A28V	0.2707	0.0596	0.014	0.0244	0.6337	0.5146	0.6021	0.0371	0.26952499999999996
TCGA-BJ-A28W	0.7944	0.2156	0.2104	0.2288	0.6495	0.7329	0.7839	0.4899	0.513175
TCGA-BJ-A28X	0.8488	0.1394	0.2312	0.1608	0.5573	0.5867	0.7979	0.3283	0.4563
TCGA-BJ-A28Z	0.4886	0.2536	0.3969	0.2087	0.509	0.6889	0.8655	0.3997	0.47636249999999997
TCGA-BJ-A290	0.4738	0.0784	0.0214	0.0394	0.3888	0.8107	0.2638	0.037	0.26416249999999997
TCGA-BJ-A291	0.3011	0.0665	0.0206	0.0783	0.5043	0.7537	0.8751	0.1269	0.34081249999999996
TCGA-BJ-A2N7	0.6471	0.0638	0.0122	0.0394	0.6388	0.435	0.1523	0.0447	0.2541625
TCGA-BJ-A2N8	0.2492	0.0568	0.0184	0.0639	0.5557	0.5343	0.9186	0.0424	0.3049125
TCGA-BJ-A2N9	0.5156	0.0652	0.0425	0.0466	0.6993	0.9157	0.9058	0.1204	0.41388749999999996
TCGA-BJ-A2NA	0.5765	0.0939	0.0182	0.0554	0.4665	0.6645	0.8793	0.1291	0.360425
TCGA-BJ-A2P4	0.5141	0.0495	0.0156	0.0713	0.6946	0.3864	0.2925	0.0824	0.2633
TCGA-BJ-A3EZ	0.904	0.0434	0.0177	0.0298	0.6475	0.3716	0.9193	0.0786	0.3764875
TCGA-BJ-A3F0	0.2755	0.0777	0.0157	0.1025	0.6126	0.4068	0.2981	0.053	0.2302375
TCGA-BJ-A3PR	0.7544	0.3	0.4427	0.2583	0.5884	0.7138	0.7249	0.4765	0.532375
TCGA-BJ-A3PT	0.2848	0.1043	0.0323	0.0852	0.6398	0.7594	0.4694	0.1326	0.31347499999999995
TCGA-BJ-A3PU	0.9069	0.0694	0.0249	0.0448	0.4218	0.7718	0.8908	0.0926	0.402875
TCGA-BJ-A45C	0.514	0.0473	0.0229	0.0269	0.6886	0.272	0.166	0.0376	0.2219125
TCGA-BJ-A45D	0.3864	0.0743	0.0181	0.0485	0.6035	0.3865	0.5262	0.1231	0.270825
TCGA-BJ-A45E	0.7544	0.3375	0.5197	0.3019	0.6042	0.8641	0.6063	0.5131	0.56265
TCGA-BJ-A45F	0.3051	0.0587	0.0185	0.0491	0.6655	0.4076	0.3371	0.0645	0.2382625
TCGA-BJ-A45G	0.4897	0.0433	0.0193	0.0403	0.4234	0.3612	0.429	0.055	0.23265
TCGA-BJ-A45H	0.3585	0.0655	0.0178	0.0563	0.4929	0.5122	0.8475	0.1194	0.30876250000000005
TCGA-BJ-A45I	0.8969	0.1623	0.0683	0.1097	0.609	0.7745	0.8586	0.232	0.4639125
TCGA-BJ-A45J	0.5529	0.0935	0.0207	0.0495	0.6361	0.411	0.8714	0.1109	0.34325
TCGA-BJ-A45K	0.2629	0.0465	0.0158	0.0315	0.6909	0.3711	0.5633	0.0425	0.25306249999999997
TCGA-BJ-A4O8	0.3604	0.0923	0.0216	0.0857	0.6556	0.4754	0.9064	0.1855	0.3478625
TCGA-BJ-A4O9	0.9249	0.0387	0.0127	0.0362	0.4241	0.2635	0.9249	0.0416	0.333325
TCGA-CE-A13K	0.93	0.0899	0.0169	0.0373	0.691	0.7726	0.9304	0.0846	0.4440875
TCGA-CE-A27D	0.6247	0.1044	0.0734	0.1114	0.5517	0.55	0.6149	0.2616	0.3615125
TCGA-CE-A3MD	0.2516	0.0715	0.02	0.0397	0.2591	0.48	0.9179	0.0761	0.2644875
TCGA-CE-A3ME	0.6484	0.0802	0.0149	0.0607	0.4409	0.629	0.8815	0.1112	0.35834999999999995
TCGA-CE-A481	0.4334	0.0766	0.1467	0.0687	0.6432	0.7909	0.8647	0.1859	0.4012625
TCGA-CE-A482	0.4655	0.0471	0.0239	0.044	0.6411	0.5643	0.8822	0.0935	0.34519999999999995
TCGA-CE-A483	0.5545	0.0538	0.0198	0.0366	0.4684	0.471	0.9188	0.0436	0.3208125
TCGA-CE-A484	0.5182	0.0466	0.0169	0.0409	0.4898	0.5785	0.9093	0.0591	0.3324125
TCGA-CE-A485	0.4381	0.0995	0.0177	0.0735	0.612	0.6605	0.8464	0.1301	0.359725
TCGA-DE-A0XZ	0.4621	0.1378	0.3157	0.0914	0.4144	0.7149	0.9023	0.2064	0.405625
TCGA-DE-A0Y2	0.288	0.0451	0.0254	0.0472	0.4544	0.6944	0.8852	0.061	0.31258749999999996
TCGA-DE-A0Y3	0.26	0.0507	0.0205	0.0296	0.7089	0.8979	0.8846	0.0933	0.3681875
TCGA-DE-A2OL	0.1998	0.0606	0.0136	0.0394	0.5295	0.5116	0.2485	0.0546	0.2072
TCGA-DE-A3KN	0.8498	0.0761	0.0192	0.0585	0.6353	0.6389	0.9002	0.1138	0.411475
TCGA-DE-A4M8	0.7048	0.2064	0.2282	0.1649	0.62	0.7382	0.794	0.4201	0.48457500000000003
TCGA-DE-A4M9	0.1208	0.0358	0.014	0.0212	0.6343	0.2365	0.4544	0.032	0.19362500000000002
TCGA-DE-A4MA	0.6061	0.043	0.0206	0.0444	0.6617	0.8027	0.8655	0.088	0.39149999999999996
TCGA-DE-A4MB	0.5205	0.0723	0.0641	0.0427	0.6669	0.7983	0.8253	0.1387	0.3911
TCGA-DE-A4MC	0.5102	0.1061	0.0179	0.053	0.6345	0.9282	0.9043	0.1584	0.41407499999999997
TCGA-DE-A4MD	0.23785	0.07375	0.041249999999999995	0.078	0.6623	0.82365	0.927	0.1363	0.37251249999999997
TCGA-DE-A69J	0.2251	0.0761	0.0139	0.0437	0.4513	0.5873	0.7907	0.0666	0.28183749999999996
TCGA-DE-A69K	0.2036	0.0659	0.0189	0.053	0.7064	0.5308	0.8998	0.0967	0.32188750000000005
TCGA-DE-A7U5	0.9382	0.1308	0.0596	0.119	0.6338	0.6309	0.8952	0.2672	0.45933749999999995
TCGA-DJ-A13L	0.6653	0.2144	0.1309	0.1038	0.6087	0.6171	0.8432	0.3325	0.43948750000000003
TCGA-DJ-A13M	0.2502	0.0702	0.0176	0.0483	0.727	0.2912	0.6694	0.0485	0.2653
TCGA-DJ-A13O	0.5644	0.1054	0.0407	0.1086	0.5702	0.6397	0.7397	0.1916	0.3700375
TCGA-DJ-A13P	0.5426	0.0432	0.0185	0.0328	0.7224	0.9193	0.9378	0.057	0.4092
TCGA-DJ-A13R	0.5336	0.1804	0.0898	0.154	0.7199	0.868	0.295	0.2364	0.38463749999999997
TCGA-DJ-A13S	0.2727	0.0475	0.0151	0.0413	0.4646	0.4179	0.933	0.0911	0.2854
TCGA-DJ-A13T	0.5518	0.0555	0.0178	0.0413	0.7306	0.7528	0.9214	0.0554	0.390825
TCGA-DJ-A13U	0.5066	0.0549	0.0136	0.0315	0.7083	0.7468	0.9324	0.0618	0.38198750000000004
TCGA-DJ-A13V	0.5208	0.0568	0.0196	0.0387	0.4871	0.4989	0.8884	0.0675	0.322225
TCGA-DJ-A13W	0.1917	0.1067	0.0199	0.0394	0.7063	0.5303	0.3329	0.0486	0.246975
TCGA-DJ-A13X	0.3599	0.0823	0.0186	0.0368	0.4785	0.8249	0.9032	0.0678	0.3465
TCGA-DJ-A1QD	0.392	0.0614	0.0131	0.0569	0.7268	0.8548	0.8956	0.0967	0.3871625
TCGA-DJ-A1QE	0.503	0.0945	0.0222	0.052	0.6963	0.8123	0.8958	0.1031	0.3974
TCGA-DJ-A1QF	0.576	0.0485	0.0363	0.0222	0.5236	0.4972	0.7665	0.3568	0.35338749999999997
TCGA-DJ-A1QG	0.4227	0.0379	0.0206	0.0513	0.6534	0.7889	0.7402	0.0588	0.34672499999999995
TCGA-DJ-A1QH	0.2099	0.0701	0.0203	0.0387	0.4449	0.6509	0.9022	0.1096	0.305825
TCGA-DJ-A1QI	0.5625	0.054	0.0119	0.0689	0.7607	0.694	0.8799	0.1363	0.39602499999999996
TCGA-DJ-A1QL	0.2345	0.0568	0.0145	0.0396	0.7248	0.6181	0.2002	0.0408	0.24116249999999997
TCGA-DJ-A1QM	0.4299	0.0509	0.0131	0.0324	0.5884	0.4217	0.5177	0.0728	0.2658625
TCGA-DJ-A1QN	0.3535	0.0575	0.0137	0.0521	0.712	0.7441	0.8546	0.0508	0.3547875
TCGA-DJ-A1QO	0.6361	0.0807	0.0238	0.0495	0.6884	0.5915	0.8805	0.0818	0.3790375
TCGA-DJ-A1QQ	0.5127	0.0491	0.0194	0.0412	0.7652	0.882	0.8583	0.072	0.39998749999999994
TCGA-DJ-A2PN	0.2389	0.0726	0.0137	0.0403	0.6677	0.6777	0.8231	0.0466	0.322575
TCGA-DJ-A2PO	0.3252	0.0894	0.0312	0.0946	0.4691	0.6851	0.8883	0.2887	0.35895
TCGA-DJ-A2PP	0.667	0.0631	0.0149	0.045	0.4568	0.7017	0.9337	0.0356	0.364725
TCGA-DJ-A2PQ	0.222	0.0521	0.0138	0.0351	0.6476	0.8415	0.8994	0.0863	0.349725
TCGA-DJ-A2PR	0.4143	0.0591	0.0141	0.0463	0.662	0.9437	0.9217	0.1647	0.40323749999999997
TCGA-DJ-A2PS	0.4482	0.1033	0.0196	0.0805	0.4858	0.5722	0.8296	0.1392	0.3348
TCGA-DJ-A2PT	0.6336	0.1458	0.0578	0.1607	0.6685	0.7294	0.8871	0.2978	0.44758749999999997
TCGA-DJ-A2PU	0.3488	0.0338	0.0156	0.0684	0.6785	0.6399	0.9414	0.1059	0.3540375
TCGA-DJ-A2PV	0.4383	0.054	0.0147	0.0453	0.6357	0.4085	0.8889	0.093	0.32230000000000003
TCGA-DJ-A2PW	0.3593	0.0493	0.0324	0.0554	0.4455	0.9061	0.9336	0.1825	0.37051249999999997
TCGA-DJ-A2PX	0.7088	0.1219	0.1309	0.1351	0.656	0.4707	0.9043	0.2208	0.41856250000000006
TCGA-DJ-A2PY	0.5537	0.0819	0.0162	0.0891	0.6556	0.7969	0.9345	0.119	0.4058625
TCGA-DJ-A2PZ	0.9086	0.0537	0.0185	0.0666	0.5025	0.4977	0.9245	0.1059	0.3847499999999999
TCGA-DJ-A2Q0	0.2925	0.1642	0.0242	0.0491	0.6284	0.7946	0.592	0.2816	0.353325
TCGA-DJ-A2Q1	0.4572	0.1141	0.0987	0.1547	0.6654	0.8787	0.5964	0.3196	0.4106
TCGA-DJ-A2Q2	0.5751	0.0738	0.03	0.094	0.6267	0.6003	0.5756	0.1343	0.33872499999999994
TCGA-DJ-A2Q3	0.6848	0.1528	0.0903	0.1646	0.6671	0.618	0.8608	0.3126	0.44387499999999996
TCGA-DJ-A2Q4	0.5758	0.0776	0.0231	0.0467	0.6808	0.5782	0.9011	0.1455	0.3786
TCGA-DJ-A2Q5	0.6932	0.1648	0.0535	0.1212	0.3555	0.6724	0.8835	0.3509	0.411875
TCGA-DJ-A2Q6	0.6984	0.0853	0.0228	0.076	0.6611	0.6523	0.9304	0.1735	0.41247500000000004
TCGA-DJ-A2Q7	0.4196	0.0746	0.0233	0.0759	0.4939	0.6107	0.9141	0.1678	0.3474875
TCGA-DJ-A2Q8	0.4569	0.0583	0.0185	0.0565	0.6489	0.6629	0.8988	0.1476	0.36855
TCGA-DJ-A2Q9	0.7038	0.1808	0.1127	0.2122	0.6173	0.7461	0.868	0.4612	0.48776249999999993
TCGA-DJ-A2QA	0.7941	0.0522	0.0161	0.0281	0.483	0.4277	0.8743	0.0915	0.34587500000000004
TCGA-DJ-A2QB	0.5462	0.1	0.0146	0.0667	0.6692	0.3735	0.7617	0.1409	0.3341
TCGA-DJ-A2QC	0.5644	0.0836	0.0161	0.062	0.6356	0.4196	0.8599	0.1375	0.34733749999999997
TCGA-DJ-A3UK	0.2442	0.0436	0.0172	0.0363	0.4476	0.3783	0.9386	0.073	0.27235000000000004
TCGA-DJ-A3UM	0.9367	0.042	0.0201	0.0556	0.6788	0.5221	0.903	0.0642	0.4028125
TCGA-DJ-A3UN	0.5815	0.068	0.0189	0.0277	0.6453	0.8062	0.8132	0.0786	0.379925
TCGA-DJ-A3UO	0.2329	0.0338	0.0153	0.0309	0.6025	0.7286	0.914	0.0729	0.3288625
TCGA-DJ-A3UP	0.2421	0.044	0.0195	0.0309	0.6741	0.4019	0.8096	0.0606	0.2853375
TCGA-DJ-A3UQ	0.383	0.0756	0.0292	0.0678	0.4893	0.6591	0.8947	0.2169	0.35195000000000004
TCGA-DJ-A3UR	0.2513	0.0452	0.0159	0.0327	0.6335	0.5337	0.9206	0.0692	0.3127625
TCGA-DJ-A3US	0.5432	0.1321	0.0678	0.1029	0.6781	0.674	0.9012	0.2704	0.4212125
TCGA-DJ-A3UT	0.6139	0.0524	0.0188	0.0364	0.3433	0.4779	0.2726	0.0518	0.2333875
TCGA-DJ-A3UU	0.3928	0.0833	0.0264	0.056	0.6413	0.4521	0.8599	0.1492	0.332625
TCGA-DJ-A3UW	0.8106	0.2427	0.4339	0.1687	0.3873	0.8648	0.7614	0.3664	0.504475
TCGA-DJ-A3UX	0.5829	0.0707	0.0323	0.0775	0.5958	0.5099	0.7424	0.15	0.3451875
TCGA-DJ-A3UY	0.3399	0.0537	0.0411	0.0463	0.5753	0.6588	0.8284	0.1813	0.3406
TCGA-DJ-A3UZ	0.5332	0.1097	0.046	0.0765	0.5327	0.6603	0.727	0.2379	0.36541250000000003
TCGA-DJ-A3V0	0.9346	0.0644	0.0196	0.0682	0.4517	0.8689	0.9301	0.0903	0.42847500000000005
TCGA-DJ-A3V2	0.7979	0.117	0.151	0.1357	0.6017	0.9222	0.8916	0.2801	0.48714999999999997
TCGA-DJ-A3V3	0.8467	0.1335	0.0662	0.0933	0.5972	0.4879	0.9074	0.2326	0.4206
TCGA-DJ-A3V4	0.2635	0.0512	0.0158	0.0449	0.4135	0.7323	0.9014	0.0944	0.314625
TCGA-DJ-A3V5	0.3557	0.0782	0.019	0.0834	0.6543	0.816	0.9137	0.1761	0.38705
TCGA-DJ-A3V7	0.4837	0.0655	0.0159	0.0362	0.66	0.6616	0.9297	0.1045	0.36963750000000006
TCGA-DJ-A3V8	0.2984	0.0511	0.017	0.0556	0.642	0.6961	0.9274	0.1599	0.35593749999999996
TCGA-DJ-A3V9	0.5585	0.0812	0.0151	0.0743	0.4735	0.4506	0.9036	0.151	0.33847499999999997
TCGA-DJ-A3VA	0.2744	0.0887	0.0181	0.0395	0.6548	0.6082	0.9243	0.0999	0.3384875
TCGA-DJ-A3VB	0.3579	0.0711	0.0212	0.0645	0.4253	0.4986	0.9139	0.1509	0.312925
TCGA-DJ-A3VD	0.6123	0.1705	0.2342	0.1736	0.5928	0.6649	0.8355	0.3797	0.4579375
TCGA-DJ-A3VE	0.2021	0.046	0.0173	0.0462	0.4708	0.6249	0.9245	0.0694	0.30015
TCGA-DJ-A3VF	0.6112	0.1004	0.0212	0.127	0.6168	0.6735	0.91	0.264	0.41551249999999995
TCGA-DJ-A3VG	0.8139	0.0482	0.0144	0.0223	0.6392	0.2918	0.199	0.0472	0.2595
TCGA-DJ-A3VI	0.1832	0.0684	0.1155	0.0529	0.6028	0.9195	0.9102	0.114	0.3708125
TCGA-DJ-A3VJ	0.5676	0.0837	0.0183	0.0913	0.4187	0.6195	0.8979	0.1613	0.35728750000000004
TCGA-DJ-A3VK	0.4867	0.1107	0.0151	0.0374	0.627	0.5081	0.3054	0.1177	0.2760125
TCGA-DJ-A3VL	0.5661	0.0991	0.2271	0.0896	0.6446	0.6625	0.339	0.2646	0.361575
TCGA-DJ-A3VM	0.9116	0.074	0.0184	0.0488	0.6501	0.4744	0.6921	0.0804	0.368725
TCGA-DJ-A4UL	0.5539	0.0739	0.0187	0.064	0.7027	0.6527	0.8307	0.1135	0.37626249999999994
TCGA-DJ-A4UP	0.7031	0.0759	0.0237	0.0857	0.485	0.5534	0.8703	0.217	0.3767625
TCGA-DJ-A4UQ	0.8498	0.0679	0.0416	0.0631	0.4795	0.6513	0.8993	0.1079	0.39505
TCGA-DJ-A4UR	0.8642	0.0507	0.0165	0.0353	0.6823	0.3948	0.7354	0.0843	0.3579375
TCGA-DJ-A4UT	0.4921	0.1305	0.0271	0.101	0.4716	0.6959	0.7392	0.265	0.3653
TCGA-DJ-A4UW	0.3075	0.0527	0.0154	0.0517	0.4651	0.3712	0.8304	0.0912	0.27315
TCGA-DJ-A4V0	0.5709	0.1603	0.2061	0.1329	0.6022	0.6368	0.699	0.2945	0.41283749999999997
TCGA-DJ-A4V2	0.3443	0.0672	0.0227	0.0451	0.6581	0.6549	0.8939	0.1448	0.353875
TCGA-DJ-A4V4	0.5987	0.0468	0.0184	0.0398	0.6649	0.7764	0.8776	0.1031	0.3907125
TCGA-DJ-A4V5	0.3525	0.1279	0.0499	0.115	0.6553	0.7251	0.9064	0.2224	0.39431249999999995
TCGA-DO-A1JZ	0.4695	0.0416	0.0189	0.0625	0.4209	0.9062	0.8968	0.0674	0.360475
TCGA-DO-A1K0	0.4845	0.0544	0.0191	0.0311	0.4498	0.6904	0.8745	0.057	0.3326
TCGA-DO-A2HM	0.6526	0.2583	0.1964	0.2305	0.5954	0.7494	0.8819	0.4738	0.5047875
TCGA-E3-A3DY	0.2318	0.0516	0.0344	0.0494	0.2657	0.9377	0.8185	0.094	0.3103875
TCGA-E3-A3DZ	0.488	0.05	0.0132	0.0239	0.4389	0.5031	0.2712	0.0481	0.22954999999999998
TCGA-E3-A3E0	0.2186	0.0524	0.0135	0.0394	0.6475	0.608	0.9225	0.0715	0.32167500000000004
TCGA-E3-A3E1	0.2906	0.0574	0.0165	0.0617	0.6207	0.6778	0.9048	0.1045	0.34175000000000005
TCGA-E3-A3E2	0.5838	0.0845	0.0236	0.0466	0.4936	0.4477	0.8762	0.1504	0.3383
TCGA-E3-A3E3	0.4994	0.0407	0.0179	0.0419	0.6294	0.7128	0.9058	0.0746	0.3653125
TCGA-E3-A3E5	0.8607	0.0364	0.0152	0.0367	0.4144	0.4623	0.8987	0.0768	0.35015
TCGA-E8-A242	0.659	0.1132	0.0407	0.1619	0.4867	0.7678	0.9134	0.369	0.43896250000000003
TCGA-E8-A2EA	0.8235	0.1284	0.0719	0.0846	0.6295	0.6437	0.8452	0.2697	0.4370625
TCGA-E8-A2JQ	0.6605	0.1214	0.063	0.158	0.6461	0.7102	0.86	0.3387	0.4447375
TCGA-E8-A3X7	0.6063	0.0824	0.041	0.074	0.6311	0.7038	0.9199	0.1641	0.402825
TCGA-E8-A413	0.4028	0.0761	0.0192	0.0675	0.4505	0.6938	0.7849	0.1781	0.3341125
TCGA-E8-A414	0.5513	0.1001	0.0389	0.1016	0.4689	0.4359	0.8508	0.2071	0.344325
TCGA-E8-A415	0.352	0.0585	0.0177	0.0379	0.6237	0.4226	0.8396	0.1412	0.31165
TCGA-E8-A416	0.5508	0.0537	0.0321	0.0546	0.5805	0.4203	0.3907	0.1373	0.27749999999999997
TCGA-E8-A417	0.2098	0.083	0.0607	0.0749	0.2572	0.4397	0.9186	0.1975	0.28017499999999995
TCGA-E8-A418	0.9456	0.101	0.0288	0.052	0.6714	0.6386	0.9184	0.158	0.439225
TCGA-E8-A419	0.5911	0.1711	0.1465	0.1272	0.6302	0.8969	0.8994	0.343	0.47567499999999996
TCGA-E8-A432	0.4405	0.0662	0.0238	0.0386	0.4576	0.5668	0.9101	0.1034	0.325875
TCGA-E8-A433	0.9071	0.0735	0.0191	0.0562	0.6812	0.8692	0.906	0.1139	0.453275
TCGA-E8-A434	0.4674	0.0507	0.0224	0.0399	0.4551	0.5771	0.7993	0.0994	0.31391250000000004
TCGA-E8-A436	0.5802	0.0838	0.0324	0.0888	0.6224	0.6326	0.8728	0.2063	0.3899125
TCGA-E8-A437	0.8584	0.0556	0.0247	0.0449	0.6108	0.5657	0.8096	0.0752	0.3806125
TCGA-E8-A438	0.5651	0.0646	0.0195	0.0499	0.5964	0.5611	0.9174	0.1389	0.3641125
TCGA-E8-A44K	0.8893	0.0854	0.0492	0.0751	0.6213	0.6535	0.9001	0.1607	0.42932499999999996
TCGA-E8-A44M	0.4927	0.1797	0.1931	0.1624	0.5464	0.7151	0.7761	0.3505	0.42699999999999994
TCGA-EL-A3CL	0.2205	0.0607	0.0134	0.051	0.4429	0.7326	0.9189	0.0874	0.315925
TCGA-EL-A3CM	0.3439	0.0753	0.0231	0.076	0.6383	0.8081	0.9133	0.2113	0.3861625
TCGA-EL-A3CN	0.5988	0.131	0.0536	0.1011	0.4554	0.5342	0.9225	0.2976	0.386775
TCGA-EL-A3CO	0.5302	0.1096	0.03	0.1026	0.5583	0.5192	0.4463	0.2224	0.314825
TCGA-EL-A3CP	0.2087	0.0581	0.014	0.049	0.6051	0.5845	0.7826	0.0625	0.2955625
TCGA-EL-A3CR	0.2942	0.0816	0.0159	0.0559	0.612	0.6225	0.9087	0.1553	0.3432625
TCGA-EL-A3CS	0.2323	0.0527	0.0153	0.05	0.6488	0.6484	0.938	0.1012	0.3358375
TCGA-EL-A3CT	0.6276	0.1349	0.0343	0.0956	0.6272	0.6826	0.8686	0.196	0.40835
TCGA-EL-A3CU	0.3694	0.1395	0.0643	0.1343	0.6645	0.8608	0.9027	0.299	0.42931250000000004
TCGA-EL-A3CV	0.5121	0.1404	0.0775	0.1635	0.6248	0.7191	0.8733	0.336	0.43083750000000004
TCGA-EL-A3CW	0.6074	0.2068	0.2546	0.1631	0.5252	0.652	0.6471	0.3371	0.4241625
TCGA-EL-A3CX	0.3538	0.07	0.0129	0.0526	0.6624	0.896	0.9364	0.1736	0.3947125
TCGA-EL-A3CY	0.8248	0.1902	0.0974	0.2626	0.5942	0.8194	0.893	0.5032	0.5231
TCGA-EL-A3CZ	0.191	0.0556	0.0171	0.0407	0.6696	0.5312	0.1802	0.0452	0.21632500000000002
TCGA-EL-A3D0	0.1817	0.0497	0.0151	0.0455	0.439	0.8696	0.9128	0.043	0.31955
TCGA-EL-A3D1	0.7641	0.0478	0.0161	0.056	0.6945	0.5455	0.7377	0.0601	0.36522499999999997
TCGA-EL-A3D4	0.4521	0.0652	0.0143	0.0424	0.6172	0.6225	0.8952	0.0752	0.3480125
TCGA-EL-A3D5	0.1821	0.0525	0.0133	0.0221	0.6495	0.2246	0.1706	0.0385	0.16915
TCGA-EL-A3D6	0.4301	0.1146	0.1576	0.108	0.6466	0.4923	0.9142	0.2716	0.391875
TCGA-EL-A3GO	0.2128	0.0259	0.0153	0.0514	0.5903	0.2735	0.2273	0.0507	0.1809
TCGA-EL-A3GP	0.3633	0.1031	0.017	0.1087	0.6218	0.6196	0.5315	0.1933	0.3197875
TCGA-EL-A3GQ	0.8982	0.0256	0.0153	0.0188	0.6591	0.5993	0.8473	0.0461	0.3887125
TCGA-EL-A3GR	0.2953	0.0593	0.0156	0.0416	0.4354	0.7064	0.8794	0.1075	0.31756249999999997
TCGA-EL-A3GS	0.8624	0.0499	0.0181	0.038	0.4277	0.721	0.915	0.0713	0.3879250000000001
TCGA-EL-A3GU	0.6576	0.0592	0.0182	0.0475	0.6905	0.8126	0.8718	0.0576	0.401875
TCGA-EL-A3GV	0.4821	0.0621	0.0234	0.0538	0.2697	0.6682	0.849	0.1694	0.3222125
TCGA-EL-A3GW	0.19	0.0446	0.0142	0.0352	0.4229	0.7075	0.8996	0.0541	0.2960125
TCGA-EL-A3GX	0.5099	0.0619	0.0209	0.0579	0.6623	0.7037	0.933	0.1766	0.390775
TCGA-EL-A3GY	0.2445	0.0955	0.0316	0.0449	0.6577	0.6379	0.9067	0.159	0.347225
TCGA-EL-A3GZ	0.5753	0.043	0.0144	0.0534	0.4249	0.4732	0.9149	0.1037	0.32535000000000003
TCGA-EL-A3H1	0.1496	0.0624	0.0213	0.0476	0.4743	0.5607	0.6573	0.0439	0.2521375
TCGA-EL-A3H2	0.1465	0.0557	0.0123	0.0356	0.5342	0.4009	0.2062	0.0415	0.1791125
TCGA-EL-A3H3	0.4996	0.0819	0.016	0.0609	0.6471	0.7567	0.8888	0.2028	0.394225
TCGA-EL-A3H4	0.3994	0.0435	0.0159	0.0334	0.4261	0.6731	0.8886	0.0446	0.315575
TCGA-EL-A3H5	0.4999	0.0723	0.0354	0.0943	0.6245	0.7274	0.8945	0.2095	0.394725
TCGA-EL-A3H7	0.9001	0.1062	0.0295	0.0998	0.627	0.4175	0.8922	0.2207	0.411625
TCGA-EL-A3H8	0.5959	0.0606	0.0161	0.0443	0.4454	0.653	0.904	0.0642	0.3479375
TCGA-EL-A3MW	0.1836	0.045	0.0154	0.0317	0.6537	0.62	0.8935	0.0848	0.3159625
TCGA-EL-A3MX	0.4594	0.0376	0.0158	0.0258	0.6719	0.9259	0.8603	0.0711	0.383475
TCGA-EL-A3MY	0.5576	0.1149	0.1386	0.1299	0.6563	0.7591	0.8731	0.191	0.42756249999999996
TCGA-EL-A3MZ	0.2905	0.0548	0.0157	0.0745	0.4479	0.8523	0.8769	0.1615	0.3467625
TCGA-EL-A3N2	0.51	0.0383	0.0167	0.0444	0.6452	0.6875	0.9297	0.0793	0.3688875
