gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name	significant
ENSG00000003756.17	4614.74	-0.125393	0.0566078	-2.21512	0.0267519	0.0506672	RBM5	False
ENSG00000003987.14	419.41	-0.206579	0.106612	-1.93767	0.0526634	0.0924871	MTMR7	False
ENSG00000003989.18	14433.5	-0.200007	0.135168	-1.47969	0.138956	0.215132	SLC7A2	False
ENSG00000004059.11	4512.82	0.158704	0.05108	3.10696	0.00189022	0.00453487	ARF5	False
ENSG00000004139.14	369.793	-0.229223	0.057932	-3.95676	7.59747e-05	0.000227698	SARM1	False
ENSG00000004142.12	5666.15	-0.298151	0.0400602	-7.44258	9.874e-14	7.68786e-13	POLDIP2	False
ENSG00000004399.13	11898	0.318836	0.0886265	3.59753	0.000321258	0.000878056	PLXND1	False
ENSG00000004455.17	7899.67	-0.511285	0.0366065	-13.9671	2.47589e-44	1.63296e-42	AK2	False
ENSG00000004468.13	211.978	0.467879	0.232732	2.01038	0.0443912	0.0796117	CD38	False
ENSG00000004478.8	4878.49	-0.426725	0.0517324	-8.24869	1.60145e-16	1.59701e-15	FKBP4	False
ENSG00000004487.17	4820.77	0.067915	0.0247678	2.74207	0.00610528	0.0132895	KDM1A	False
ENSG00000004534.15	4925.02	-0.104081	0.0614401	-1.69402	0.0902609	0.148687	RBM6	False
ENSG00000004660.15	1711.15	0.139302	0.0735783	1.89325	0.0583246	0.101152	CAMKK1	False
ENSG00000004700.16	920.697	0.599573	0.109479	5.47662	4.33535e-08	1.95028e-07	RECQL	False
ENSG00000004766.17	1293.94	-0.0234989	0.0419102	-0.560695	0.575005	0.681456	VPS50	False
ENSG00000004776.13	66.1358	0.323019	0.203933	1.58394	0.113206	0.180555	HSPB6	False
ENSG00000004777.18	439.068	-0.606405	0.104711	-5.79121	6.98799e-09	3.42498e-08	ARHGAP33	False
ENSG00000004779.10	2848.22	-0.233174	0.0693899	-3.36034	0.000778458	0.00199417	NDUFAB1	False
ENSG00000004799.8	26533.4	-1.52488	0.204987	-7.43893	1.01502e-13	7.89788e-13	PDK4	True
ENSG00000004809.14	4.73804	1.82214	0.274628	6.63493	3.24655e-11	2.00321e-10	SLC22A16	True
ENSG00000004838.14	273.342	0.115351	0.10103	1.14175	0.253558	0.358258	ZMYND10	False
ENSG00000004846.16	1.77161	-0.0222283	0.321986	-0.0690348	0.944962	0.965054	ABCB5	False
ENSG00000004848.8	64.6505	-0.70517	0.324075	-2.17595	0.0295593	0.0553909	ARX	False
ENSG00000004864.14	1612.65	-0.281107	0.0482655	-5.82418	5.73944e-09	2.83615e-08	SLC25A13	False
ENSG00000004866.22	1728.33	-0.383203	0.0471601	-8.12557	4.45263e-16	4.25699e-15	ST7	False
ENSG00000004897.12	5546.33	0.134905	0.0500511	2.69535	0.00703153	0.0151196	CDC27	False
ENSG00000004939.15	5.35836	-0.521506	0.244832	-2.13006	0.0331669	0.0614002	SLC4A1	False
ENSG00000004948.16	8.10924	0.851621	0.192946	4.41379	1.01578e-05	3.41801e-05	CALCR	False
ENSG00000004961.15	1037.46	-0.0616481	0.0390272	-1.57962	0.114194	0.181867	HCCS	False
ENSG00000004975.12	2696.51	0.326074	0.0334041	9.76149	1.64718e-22	2.69939e-21	DVL2	False
ENSG00000005001.10	1004.04	1.51312	0.102632	14.7431	3.40721e-49	2.83685e-47	PRSS22	True
ENSG00000005007.13	10815.6	0.163789	0.0360607	4.54203	5.57142e-06	1.94815e-05	UPF1	False
ENSG00000005020.13	1306.13	0.848754	0.0713173	11.9011	1.16801e-32	3.88032e-31	SKAP2	False
ENSG00000005022.6	6944.05	-0.407262	0.0740195	-5.50209	3.75313e-08	1.70013e-07	SLC25A5	False
ENSG00000005059.16	1008.15	1.42149	0.116112	12.2424	1.84491e-34	6.99399e-33	MCUB	True
ENSG00000005073.6	4.83156	1.10557	0.278594	3.96839	7.23597e-05	0.000217576	HOXA11	True
ENSG00000005075.15	2333.33	-0.366112	0.0885729	-4.13345	3.57353e-05	0.000111928	POLR2J	False
ENSG00000005100.13	1046.85	-0.0526537	0.036118	-1.45782	0.144889	0.223108	DHX33	False
ENSG00000005102.14	96.9771	1.10038	0.194569	5.65549	1.55404e-08	7.33312e-08	MEOX1	True
ENSG00000005108.16	485.01	-0.293233	0.149229	-1.96498	0.0494162	0.0874522	THSD7A	False
ENSG00000005156.12	1625.09	0.0611374	0.0396843	1.5406	0.123415	0.194303	LIG3	False
ENSG00000005175.10	1670.51	0.134436	0.03624	3.70961	0.000207582	0.000583384	RPAP3	False
ENSG00000005187.12	206.737	0.564308	0.116276	4.85318	1.21495e-06	4.6263e-06	ACSM3	False
ENSG00000005189.20	151.86	0.303917	0.0616418	4.93037	8.20738e-07	3.19002e-06	REXO5	False
ENSG00000005194.15	1767.94	-0.146737	0.0364278	-4.02814	5.6219e-05	0.000171604	CIAPIN1	False
ENSG00000005206.17	2035.34	-0.409919	0.0755622	-5.42492	5.79806e-08	2.57013e-07	SPPL2B	False
ENSG00000005238.20	1623.5	0.0560122	0.0512765	1.09236	0.274677	0.382809	FAM214B	False
ENSG00000005243.10	794.972	-1.01148	0.10148	-9.96731	2.1188e-23	3.72527e-22	COPZ2	True
ENSG00000005249.13	307.705	0.613711	0.104525	5.87144	4.32026e-09	2.16917e-08	PRKAR2B	False
ENSG00000005302.19	1567.56	0.423206	0.036747	11.5167	1.08647e-30	3.17956e-29	MSL3	False
ENSG00000005339.15	7273.41	0.119643	0.0520722	2.29765	0.0215819	0.0418014	CREBBP	False
ENSG00000005379.17	1569.61	-0.257594	0.0886718	-2.90503	0.00367223	0.00834838	TSPOAP1	False
ENSG00000005381.8	7.36653	-0.267418	0.189283	-1.41279	0.157717	0.239891	MPO	False
ENSG00000005421.9	4.4129	0.815822	0.202513	4.02849	5.61361e-05	0.000171364	PON1	False
ENSG00000005436.14	974.009	-0.429056	0.04128	-10.3938	2.64596e-25	5.32336e-24	GCFC2	False
ENSG00000005448.17	950.373	0.334445	0.0837052	3.99551	6.45541e-05	0.000195462	WDR54	False
ENSG00000005469.12	4005.26	-0.358761	0.0707092	-5.07375	3.90045e-07	1.57701e-06	CROT	False
ENSG00000005471.19	63.6841	-0.0250391	0.111288	-0.224995	0.821983	0.879959	ABCB4	False
ENSG00000005483.21	5394.86	0.196613	0.0582098	3.37766	0.000731063	0.00188113	KMT2E	False
ENSG00000005486.17	17003.2	-0.228689	0.0692746	-3.30119	0.000962747	0.00243053	RHBDD2	False
ENSG00000005513.10	214.759	1.25071	0.163893	7.63126	2.32467e-14	1.91888e-13	SOX8	True
ENSG00000005700.15	3608.59	-0.12585	0.0500626	-2.51385	0.0119421	0.0245107	IBTK	False
ENSG00000005801.18	1259.22	0.0905153	0.0375611	2.40982	0.0159605	0.0318482	ZNF195	False
ENSG00000005810.18	3736.54	0.238583	0.0659869	3.6156	0.000299647	0.000822505	MYCBP2	False
ENSG00000005812.11	3472.8	-0.273693	0.0572331	-4.78207	1.73499e-06	6.48037e-06	FBXL3	False
ENSG00000005844.19	687.124	1.46356	0.170967	8.56051	1.12366e-17	1.23923e-16	ITGAL	True
ENSG00000005882.12	2774.33	0.27354	0.0633496	4.31794	1.57489e-05	5.15933e-05	PDK2	False
ENSG00000005884.18	60056.3	1.58949	0.0853809	18.6164	2.36428e-77	7.00558e-75	ITGA3	True
ENSG00000005889.16	2147.22	-0.133787	0.0617021	-2.16828	0.0301377	0.0563438	ZFX	False
ENSG00000005893.16	16538	0.317727	0.0585631	5.42538	5.7831e-08	2.56406e-07	LAMP2	False
ENSG00000005961.19	147.771	-0.505037	0.116941	-4.31874	1.5692e-05	5.14279e-05	ITGA2B	False
ENSG00000005981.13	32.9578	0.558823	0.165515	3.37627	0.000734755	0.00189003	ASB4	False
ENSG00000006007.12	4287.67	0.112988	0.0568862	1.98622	0.0470089	0.083714	GDE1	False
ENSG00000006015.18	1457.28	0.042804	0.115785	0.369685	0.711617	0.797951	REX1BD	False
ENSG00000006016.11	7323.07	3.48864	0.271815	12.8346	1.04939e-37	4.88317e-36	CRLF1	True
ENSG00000006025.12	1310.4	0.119546	0.0515989	2.31684	0.0205123	0.0398999	OSBPL7	False
ENSG00000006042.12	11136.2	1.38693	0.0803616	17.2586	9.63426e-67	1.76473e-64	TMEM98	True
ENSG00000006047.13	135.731	-0.225916	0.185567	-1.21744	0.223437	0.322022	YBX2	False
ENSG00000006059.4	0.0665624	-0.129231	1.72855	-0.0747628	0.940403		KRT33A	False
ENSG00000006062.17	939.365	0.782874	0.0822233	9.52131	1.71003e-21	2.58383e-20	MAP3K14	False
ENSG00000006071.15	423.297	-3.33444	0.271302	-12.2905	1.01881e-34	3.93258e-33	ABCC8	True
ENSG00000006116.4	0.319851	0.239636	0.649981	0.368681	0.712366	0.798323	CACNG3	False
ENSG00000006118.15	647.368	-0.607951	0.128318	-4.73784	2.16011e-06	7.97729e-06	TMEM132A	False
ENSG00000006125.18	19178.3	0.0980929	0.0434507	2.25757	0.0239726	0.0459039	AP2B1	False
ENSG00000006128.12	10.6659	1.12726	0.411996	2.7361	0.00621728	0.0135049	TAC1	True
ENSG00000006194.10	2001.3	-0.0540143	0.0286822	-1.8832	0.0596731	0.103193	ZNF263	False
ENSG00000006210.7	7014.84	0.631864	0.0992295	6.3677	1.91881e-10	1.10637e-09	CX3CL1	False
ENSG00000006282.21	6482.8	-0.491669	0.0590234	-8.33008	8.07869e-17	8.26912e-16	SPATA20	False
ENSG00000006283.18	61.8154	1.05745	0.232528	4.54762	5.42559e-06	1.90188e-05	CACNA1G	True
ENSG00000006327.14	11831.7	1.67722	0.116063	14.4509	2.47295e-47	1.88028e-45	TNFRSF12A	True
ENSG00000006377.11	12.6035	0.00910469	0.158146	0.0575714	0.95409	0.970883	DLX6	False
ENSG00000006432.15	1202.12	-0.415154	0.0660376	-6.28663	3.24435e-10	1.83188e-09	MAP3K9	False
ENSG00000006451.8	2644.57	0.35388	0.0506622	6.9851	2.84663e-12	1.93511e-11	RALA	False
ENSG00000006453.14	1760.4	-0.195152	0.0560764	-3.48011	0.000501212	0.00132828	BAIAP2L1	False
ENSG00000006459.11	1158.21	0.209496	0.0688506	3.04277	0.00234413	0.00553456	KDM7A	False
ENSG00000006468.14	3392.54	-0.106222	0.102145	-1.03992	0.298378	0.409371	ETV1	False
ENSG00000006530.18	1467.24	-0.0591341	0.0337545	-1.75189	0.0797934	0.133527	AGK	False
ENSG00000006534.16	2986.12	1.77745	0.121265	14.6576	1.20477e-48	9.74899e-47	ALDH3B1	True
ENSG00000006555.11	897.276	-0.00901768	0.0441313	-0.204338	0.83809	0.891211	TTC22	False
ENSG00000006576.16	1038.31	0.218658	0.0543235	4.02511	5.6949e-05	0.000173753	PHTF2	False
ENSG00000006606.9	17.4518	0.694984	0.182908	3.79962	0.000144915	0.00041698	CCL26	False
ENSG00000006607.14	671.342	0.0727125	0.0622763	1.16758	0.242977	0.345769	FARP2	False
ENSG00000006611.17	29.0663	-0.890208	0.296018	-3.00728	0.00263596	0.00615862	USH1C	False
ENSG00000006625.18	2903.12	1.52054	0.107207	14.1832	1.1636e-45	8.15494e-44	GGCT	True
ENSG00000006634.8	294.46	0.293778	0.054505	5.38993	7.04854e-08	3.0965e-07	DBF4	False
ENSG00000006638.13	244.642	-0.861301	0.127058	-6.77879	1.21191e-11	7.76799e-11	TBXA2R	False
ENSG00000006652.15	570.133	-0.507536	0.082198	-6.17455	6.63504e-10	3.63286e-09	IFRD1	False
ENSG00000006659.13	1.36362	2.50672	0.552139	4.54003	5.62475e-06	1.9652e-05	LGALS14	True
ENSG00000006695.12	659.509	-0.353025	0.0359926	-9.80826	1.03745e-22	1.72685e-21	COX10	False
ENSG00000006704.11	4689.81	0.69087	0.0595635	11.5989	4.1756e-31	1.25855e-29	GTF2IRD1	False
ENSG00000006712.15	6138.94	-0.035336	0.0458364	-0.770916	0.440756	0.557385	PAF1	False
ENSG00000006715.16	4010.74	0.154817	0.0435289	3.55665	0.000375614	0.00101601	VPS41	False
ENSG00000006740.17	1954.42	0.847516	0.0685438	12.3646	4.06225e-35	1.6002e-33	ARHGAP44	False
ENSG00000006744.19	4204.68	-0.13336	0.0322673	-4.13299	3.58079e-05	0.000112131	ELAC2	False
ENSG00000006747.15	329.444	-0.793677	0.210133	-3.77701	0.000158721	0.000453561	SCIN	False
ENSG00000006756.16	5968.04	-0.0019077	0.0512455	-0.0372267	0.970304	0.981286	ARSD	False
ENSG00000006757.12	1680.92	-0.515707	0.0623777	-8.2675	1.36803e-16	1.37341e-15	PNPLA4	False
ENSG00000006788.14	1.232	1.27175	0.4683	2.71567	0.0066141	0.0142914	MYH13	True
ENSG00000006831.10	4505.84	-0.719086	0.0502293	-14.3161	1.73682e-46	1.25882e-44	ADIPOR2	False
ENSG00000006837.12	42.3647	-0.399915	0.0760154	-5.26098	1.43294e-07	6.09183e-07	CDKL3	False
ENSG00000007001.13	42.2968	0.849433	0.100898	8.41874	3.80539e-17	4.01124e-16	UPP2	False
ENSG00000007038.11	12.9813	1.76239	0.28898	6.09866	1.06959e-09	5.72102e-09	PRSS21	True
ENSG00000007047.15	2286.26	-0.01692	0.037139	-0.455587	0.648687	0.745942	MARK4	False
ENSG00000007062.12	184.033	1.76938	0.285183	6.20435	5.49219e-10	3.02852e-09	PROM1	True
ENSG00000007080.11	3436.54	-0.0531447	0.0734667	-0.723385	0.469443	0.584961	CCDC124	False
ENSG00000007129.18	59.9527	0.791959	0.167706	4.7223	2.33191e-06	8.57794e-06	CEACAM21	False
ENSG00000007168.14	7723.94	-0.0284033	0.040987	-0.692983	0.48832	0.60302	PAFAH1B1	False
ENSG00000007171.18	100.524	0.419989	0.167447	2.50819	0.0121352	0.0248678	NOS2	False
ENSG00000007174.18	82.5042	-0.447361	0.175296	-2.55203	0.0107097	0.0221926	DNAH9	False
ENSG00000007202.15	7242.76	0.0172436	0.0552327	0.3122	0.754888	0.830798	KIAA0100	False
ENSG00000007216.15	0.798076	-1.87433	0.378743	-4.94882	7.46652e-07	2.91471e-06	SLC13A2	True
ENSG00000007237.19	1160.01	-0.77543	0.175602	-4.41584	1.0062e-05	3.38775e-05	GAS7	False
ENSG00000007255.10	1326.67	-0.919088	0.0946393	-9.71149	2.69383e-22	4.32666e-21	TRAPPC6A	False
ENSG00000007264.15	190.716	0.588808	0.145988	4.03326	5.50074e-05	0.000168071	MATK	False
ENSG00000007306.15	0.514259	1.20818	0.546826	2.20944	0.0271437	0.0513274	CEACAM7	False
ENSG00000007312.13	149.839	0.855338	0.203261	4.20808	2.57554e-05	8.21507e-05	CD79B	False
ENSG00000007314.12	983.404	-1.23777	0.156942	-7.88684	3.09941e-15	2.76205e-14	SCN4A	True
ENSG00000007341.19	680.86	-0.175855	0.0362755	-4.84777	1.24859e-06	4.74766e-06	ST7L	False
ENSG00000007350.17	2.62615	0.298181	0.21869	1.36349	0.172729	0.259347	TKTL1	False
ENSG00000007372.24	1.08221	0.218011	0.351716	0.61985	0.535356	0.646098	PAX6	False
ENSG00000007376.8	1074.22	-0.0814662	0.0607224	-1.34162	0.179721	0.268197	RPUSD1	False
ENSG00000007384.15	3174.86	0.395081	0.0802072	4.92576	8.40339e-07	3.26305e-06	RHBDF1	False
ENSG00000007392.17	3127.76	-0.163317	0.0911598	-1.79154	0.0732061	0.123749	LUC7L	False
ENSG00000007402.12	721.716	-1.99945	0.130449	-15.3275	5.00973e-53	5.18977e-51	CACNA2D2	True
ENSG00000007516.14	1595.33	2.05347	0.166513	12.3322	6.0766e-35	2.36204e-33	BAIAP3	True
ENSG00000007520.4	2084.19	0.0550923	0.0664449	0.829142	0.407024	0.523933	TSR3	False
ENSG00000007541.17	5108.77	-0.425972	0.0765469	-5.56485	2.6238e-08	1.20853e-07	PIGQ	False
ENSG00000007545.16	908.517	-0.0486264	0.0405686	-1.19862	0.230675	0.330868	CRAMP1	False
ENSG00000007866.22	2126.41	0.707064	0.0576896	12.2564	1.55331e-34	5.92199e-33	TEAD3	False
ENSG00000007908.16	709.732	0.108788	0.252772	0.43038	0.666919	0.761022	SELE	False
ENSG00000007923.16	1235.42	0.028749	0.0628395	0.457499	0.647313	0.744829	DNAJC11	False
ENSG00000007933.13	103.236	1.08869	0.156523	6.95545	3.51444e-12	2.36712e-11	FMO3	True
ENSG00000007944.15	5475.16	-0.035476	0.0718946	-0.493445	0.621698	0.723308	MYLIP	False
ENSG00000007952.18	76.1353	0.254908	0.105225	2.42249	0.0154143	0.0308609	NOX1	False
ENSG00000007968.7	106.24	0.182295	0.13386	1.36183	0.173252	0.259997	E2F2	False
ENSG00000008018.9	9323.96	-0.0283702	0.0606137	-0.468049	0.639749	0.73853	PSMB1	False
ENSG00000008056.14	166.034	2.69675	0.170308	15.8346	1.79671e-56	2.14848e-54	SYN1	True
ENSG00000008083.14	972.258	-0.10315	0.0470859	-2.19068	0.0284749	0.0535655	JARID2	False
ENSG00000008086.13	981.884	0.0679654	0.0736692	0.922575	0.356229	0.471345	CDKL5	False
ENSG00000008118.10	28.2254	0.408507	0.181572	2.24983	0.0244597	0.0467478	CAMK1G	False
ENSG00000008128.23	67.2198	-0.111214	0.100666	-1.10478	0.269255	0.376581	CDK11A	False
ENSG00000008130.15	2953.83	0.0271763	0.0425625	0.638504	0.523146	0.635012	NADK	False
ENSG00000008196.13	0.398608	-0.279677	0.54051	-0.517432	0.604855	0.708621	TFAP2B	False
ENSG00000008197.5	0.1718	-0.277232	0.875615	-0.316614	0.751536		TFAP2D	False
ENSG00000008226.20	251.499	-0.595025	0.147591	-4.03158	5.54039e-05	0.000169244	DLEC1	False
ENSG00000008256.16	2799.19	-0.24556	0.0750051	-3.27391	0.0010607	0.00266052	CYTH3	False
ENSG00000008277.14	306.235	-0.935725	0.148787	-6.28901	3.19505e-10	1.80479e-09	ADAM22	False
ENSG00000008282.9	8171.94	-0.121019	0.0451369	-2.68116	0.00733663	0.0157144	SYPL1	False
ENSG00000008283.16	5206.45	-1.056	0.0562504	-18.7732	1.25104e-78	3.90809e-76	CYB561	True
ENSG00000008294.21	7424.83	-0.18899	0.0668994	-2.825	0.00472812	0.010514	SPAG9	False
ENSG00000008300.17	246.489	0.617028	0.0799059	7.72193	1.1458e-14	9.75153e-14	CELSR3	False
ENSG00000008311.15	851.628	-0.381938	0.0767719	-4.97497	6.52582e-07	2.56839e-06	AASS	False
ENSG00000008323.15	472.752	0.496593	0.0732238	6.78185	1.18649e-11	7.61359e-11	PLEKHG6	False
ENSG00000008324.12	822.232	-0.0773265	0.0636799	-1.2143	0.224633	0.323434	SS18L2	False
ENSG00000008382.16	792.443	0.065543	0.0670043	0.978191	0.32798	0.44127	MPND	False
ENSG00000008394.13	20009.1	0.253092	0.0655592	3.86051	0.000113151	0.000330416	MGST1	False
ENSG00000008405.12	1695.38	-0.276741	0.061987	-4.4645	8.02571e-06	2.74434e-05	CRY1	False
ENSG00000008438.5	2.25271	-0.296522	0.218668	-1.35604	0.175086	0.262311	PGLYRP1	False
ENSG00000008441.18	7548.06	0.123633	0.0709211	1.74324	0.0812915	0.135721	NFIX	False
ENSG00000008513.16	19149.2	-0.884281	0.0708591	-12.4794	9.66828e-36	4.00424e-34	ST3GAL1	False
ENSG00000008516.17	65.2081	0.604175	0.118508	5.0982	3.42904e-07	1.39593e-06	MMP25	False
ENSG00000008517.18	1207.15	0.799921	0.171328	4.66896	3.02728e-06	1.09716e-05	IL32	False
ENSG00000008710.20	1568.46	0.0956313	0.079928	1.19647	0.231514	0.331835	PKD1	False
ENSG00000008735.14	106.12	0.270913	0.132267	2.04823	0.0405374	0.0734026	MAPK8IP2	False
ENSG00000008838.20	4014.19	0.0362533	0.0316976	1.14372	0.252738	0.35725	MED24	False
ENSG00000008853.17	4789.04	-0.503995	0.0568145	-8.87089	7.25651e-19	8.91261e-18	RHOBTB2	False
ENSG00000008869.12	2419.57	0.150712	0.0537706	2.80288	0.00506485	0.0111972	HEATR5B	False
ENSG00000008952.17	14715.6	-0.562492	0.0496237	-11.3351	8.78977e-30	2.44283e-28	SEC62	False
ENSG00000008988.11	57711.7	0.0936772	0.0796284	1.17643	0.239423	0.341532	RPS20	False
ENSG00000009307.16	39936.5	0.0975446	0.0450064	2.16735	0.030208	0.0564594	CSDE1	False
ENSG00000009335.18	3687.71	0.210056	0.0534457	3.93027	8.48515e-05	0.00025263	UBE3C	False
ENSG00000009413.16	1729.11	0.0595476	0.0747364	0.796769	0.425585	0.542781	REV3L	False
ENSG00000009694.13	5391.3	-1.07705	0.168768	-6.38182	1.75001e-10	1.01295e-09	TENM1	True
ENSG00000009709.12	1.07733	2.15053	0.920544	2.33615	0.0194832	0.0380857	PAX7	True
ENSG00000009724.17	65.6322	-0.27084	0.13851	-1.95537	0.0505388	0.0891687	MASP2	False
ENSG00000009765.15	42270.8	-1.43864	0.188063	-7.64978	2.0132e-14	1.67309e-13	IYD	True
ENSG00000009780.16	1120.74	-0.315776	0.0414177	-7.62416	2.45624e-14	2.02149e-13	FAM76A	False
ENSG00000009790.15	203.033	1.67127	0.174505	9.57723	9.96788e-22	1.53257e-20	TRAF3IP3	True
ENSG00000009830.12	1611.99	-0.337009	0.0372381	-9.05011	1.4282e-19	1.84645e-18	POMT2	False
ENSG00000009844.16	2016.86	0.0998591	0.0348733	2.86348	0.00419016	0.00941326	VTA1	False
ENSG00000009950.16	883.5	1.56147	0.153937	10.1436	3.5394e-24	6.61247e-23	MLXIPL	True
ENSG00000009954.11	7091.44	0.187497	0.0445718	4.20663	2.59207e-05	8.26189e-05	BAZ1B	False
ENSG00000010017.13	2057.48	0.342398	0.0528789	6.47513	9.47313e-11	5.62718e-10	RANBP9	False
ENSG00000010030.14	337.055	1.8219	0.170109	10.7102	9.11232e-27	2.0299e-25	ETV7	True
ENSG00000010072.16	481.72	-0.106919	0.0457543	-2.3368	0.0194493	0.0380309	SPRTN	False
ENSG00000010165.20	1994.94	0.305692	0.0481827	6.34444	2.23231e-10	1.28054e-09	EEF1AKNMT	False
ENSG00000010219.13	1231.49	-0.476246	0.0577283	-8.24979	1.58672e-16	1.58272e-15	DYRK4	False
ENSG00000010244.19	6496.59	-0.0107537	0.0254317	-0.422847	0.672407	0.765702	ZNF207	False
ENSG00000010256.11	10841.7	-0.184626	0.0578591	-3.19096	0.001418	0.00347815	UQCRC1	False
ENSG00000010270.14	2532.57	-0.153565	0.0417988	-3.6739	0.000238879	0.000665907	STARD3NL	False
ENSG00000010278.15	32580.2	0.42035	0.0546227	7.69552	1.40923e-14	1.18955e-13	CD9	False
ENSG00000010282.15	2104.57	-2.92931	0.201712	-14.5223	8.75506e-48	6.77181e-46	HHATL	True
ENSG00000010292.13	3124.77	0.0718212	0.0411121	1.74696	0.0806441	0.134807	NCAPD2	False
ENSG00000010295.20	414.145	0.0363378	0.104196	0.348745	0.727281	0.809925	IFFO1	False
ENSG00000010310.9	128.749	-0.324471	0.144924	-2.2389	0.0251625	0.0479455	GIPR	False
ENSG00000010318.21	259.592	-0.100165	0.0528353	-1.8958	0.0579867	0.100635	PHF7	False
ENSG00000010319.7	1232.63	-0.185415	0.113428	-1.63465	0.102123	0.165295	SEMA3G	False
