gene	wilcoxon_z	pval	padj	delta_mean_scaled	mean_ATC_scaled	mean_PTC_scaled	pct_in_ATC	pct_in_PTC
KRT8	60.671825	0.0	0.0	-1.342551726780656	0.3983538007740655	1.7409055275547214	0.4602253894597282	0.8472334995940146
GPRC5A	60.069572	0.0	0.0	-1.7167889617732117	-0.11141067166122161	1.6053782901119902	0.08965860125952933	0.6483006611761977
KRT19	58.709145	0.0	0.0	-1.4257175408533227	0.1808764748566865	1.6065940157100091	0.1537951607557176	0.7358775084096972
CD55	58.401733	0.0	0.0	-1.1344760138043852	-0.3852361423480822	0.749239871456303	0.1748425588332781	0.6991068321540425
ARMCX3	58.356262	0.0	0.0	-1.3434037279134152	0.0174074373099977	1.360811165223413	0.4665230361286046	0.7995592158682288
LONRF2	58.205925	0.0	0.0	-1.8003592066622296	-0.12681122473595605	1.6735479819262735	0.10656281073914485	0.6261454587634845
ID4	57.78601	0.0	0.0	-1.5374330955718827	0.000556357039805285	1.537989452611688	0.21710308253231686	0.6893631829254147
CPVL	55.73531	0.0	0.0	-1.1083254882487945	-0.13581849885081326	0.9725069893979813	0.29284057010275105	0.7108224103932258
TENM1	52.760788	0.0	0.0	-1.5139336108134978	-0.21069656747689375	1.303237043336604	0.03695724229366921	0.5386846073541353
CD74	52.623657	0.0	0.0	-0.40616924316319847	-0.9990077546023678	-0.5928385114391693	0.030162412993039442	0.12434752348915439
CITED1	51.463463	0.0	0.0	-1.751843177410927	-0.22745968998428445	1.5243834874266426	0.014418296320848525	0.5069017515369447
PCP4	51.213867	0.0	0.0	-1.6141071601631065	-0.24461431546096102	1.3694928447021455	0.004143188597944978	0.5012179561535784
SELENOP	51.196587	0.0	0.0	-0.9529068420952708	-0.17033833414251698	0.7825685079527538	0.11203181968843222	0.5791671499826007
PCSK2	48.80516	0.0	0.0	-1.7391119319033796	-0.22920732411722702	1.5099046077861527	0.005303281405369572	0.47616285813710707
AGR2	48.185642	0.0	0.0	-1.2709172966326427	0.10470550307651312	1.375622799709156	0.07275439177991382	0.5475002899895604
TNFRSF12A	47.14767	0.0	0.0	-1.1196582919697498	0.5793293452901052	1.698987637259855	0.5250248591315877	0.8227583806982949
HSPA1B	46.59372	0.0	0.0	-0.6294739114210349	-0.5554886783565073	0.07398523306452769	0.18362611866092143	0.5559679851525345
ELF3	44.408817	0.0	0.0	-1.433040815707005	-0.10618883467422342	1.3268519810327815	0.025853496851176664	0.46027143022851175
AC007325.4	44.133877	0.0	0.0	-1.606181244697021	-0.18425611790009805	1.4219251267969228	0.05104408352668213	0.45911147198700847
S100A6	44.11802	0.0	0.0	-1.0520207152462708	0.08886500591624039	1.1408857211625112	0.45989393437189263	0.9256466767196381
NMB	43.4263	0.0	0.0	-1.0488710475925804	-0.07469160479711252	0.974179442795468	0.20069605568445475	0.5642036886672079
ADIRF	42.304176	0.0	0.0	-1.1433654766209567	-0.03344393961550999	1.1099215370054467	0.18296320848525024	0.5406565363646909
CXCL14	39.907505	0.0	0.0	-1.3654093352735717	-0.19630294700732548	1.1691063882662462	0.004640371229698376	0.3917178981556664
INMT	39.3822	0.0	0.0	-1.4769292529893046	-0.21006472254830624	1.2668645304409982	0.0031488233344381836	0.38406217376174456
SLC26A7	38.92224	0.0	0.0	-1.1830433266493294	-0.18413132603643134	0.9989120006128981	0.018395757374875706	0.3932258438696207
CYP1B1	38.76334	0.0	0.0	-1.2878613836958586	-0.12556747017176167	1.1622939135240968	0.08584686774941995	0.43742025287089664
ID1	38.332035	0.0	0.0	-0.9832367714780861	-0.13430935224002466	0.8489274192380614	0.16854491216440173	0.49541816494606195
TSPAN1	37.48557	1.582868607923615e-307	1.9070706119561623e-306	-1.272662164655689	-0.12367793486662232	1.1489842297890667	0.033145508783559825	0.3927618605730194
HBEGF	36.830826	5.930180361749398e-297	7.017964925147216e-296	-0.8613670071974266	-0.3022975239450492	0.5590694832523775	0.08982432880344714	0.4239647372694583
PRSS23	36.763855	6.984135248052343e-296	8.216629703590992e-295	-0.8915456237847801	0.563248786595159	1.454794410379939	0.3644348690752403	0.7509569655492402
CCND1	35.906292	2.436782943272725e-282	2.81709010782974e-281	-0.7555647546458727	0.8393843854354303	1.594949140081303	0.6375538614517733	0.8289061593782624
IFI6	34.533257	2.5427329514246924e-261	2.9059805159139343e-260	-0.29398673468489006	0.012611367285092183	0.3065981019699822	0.24245939675174014	0.6195336967869157
CMYA5	34.235172	7.249907911153278e-257	8.238531717219634e-256	-1.2134129795825706	0.0015767052191752206	1.2149896848017459	0.08385813722240637	0.40412945133975176
IYD	34.12003	3.722819889604786e-255	4.206576146446086e-254	-1.0835381103342052	-0.19278404341774744	0.8907540669164579	0.005634736493205171	0.3359239067393574
IKZF2	33.683533	1.0072129524424477e-248	1.1191255027138308e-247	-0.5867134056627645	-0.3002173615550918	0.2864960441076727	0.035797149486244614	0.3572671383830182
F3	32.745663	3.500117805660845e-235	3.7235295804902606e-234	-1.097780048592964	0.0766720053492394	1.1744520539422034	0.1697050049718263	0.45400765572439394
JUP	32.73648	4.729028712610524e-235	5.0042631879476443e-234	-0.8932891530539724	0.0462802284568443	0.9395693815108167	0.1168379184620484	0.41584502957893515
HLA-DRA	31.743622	3.8887888230081813e-221	4.072030181160399e-220	-0.1986452709112021	-0.832182954797951	-0.6335376838867489	0.02734504474643686	0.08676487646444728
SFTPB	31.53778	2.637339456888242e-218	2.7472286009252518e-217	-1.2713856971404176	-0.17755084767543772	1.0938348494649799	0.001325820351342393	0.3071569423500754
DIO2	31.354494	8.449050485125869e-216	8.755492730700383e-215	-0.9988695402944217	-0.14580290285763695	0.8530666374367847	0.028505137553861453	0.32780419904883423
IGFBP5	29.81797	2.2850563787552632e-195	2.2965390741258926e-194	-0.7001764515799148	0.9545680707559364	1.6547445223358512	0.5672853828306265	0.8532652824498318
RASD1	29.560345	4.835588449982645e-192	4.78771133661648e-191	-0.8235249626479706	-0.17319465038833398	0.6503303122596366	0.05949618826648989	0.33580791091520706
MTRNR2L12	29.358221	1.87665703138792e-189	1.8489231836334186e-188	-0.407938197399768	-1.0301899660955605	-0.6222517686957925	0.05319854159761352	0.23686347291497506
NEBL	29.135185	1.287088205416201e-186	1.2618511817805892e-185	-0.6218268725301948	-0.16869155444781314	0.45313531808238167	0.0391117003646006	0.3185245331168078
SLPI	28.608122	5.324296980630471e-180	5.169220369544147e-179	-0.6418560103447666	0.34912992641041535	0.990985936755182	0.1319191249585681	0.4380002319916483
ARHGAP36	27.970978	3.6640911703378873e-172	3.5231645868633535e-171	-1.189642594735173	-0.16796588297076023	1.0216767117644128	0.00033145508783559825	0.2713142326876232
TCIM	27.58017	1.9244153029240753e-167	1.8154861348340333e-166	-1.0680346340382878	0.15648747209789096	1.2245221061361788	0.2117998011269473	0.43591230715694235
CST3	27.536304	6.456287683668023e-167	6.062241956495797e-166	-0.24897269198100735	0.4666057537343882	0.7155784457153955	0.7613523367583692	0.8972276998028071
HYAL2	27.32415	2.1912210082031103e-164	2.047870101124402e-163	-0.7066873290037082	0.11004177046500495	0.8167290994687132	0.25422605236990387	0.4584154970421065
INSR	27.042706	4.653655050491251e-161	4.308939861565973e-160	-0.711130321676963	0.07740820914504351	0.7885385308220065	0.25389459728206826	0.46444727989792367
CAVIN2	26.72044	2.7245390497878623e-157	2.511095898421993e-156	-0.7641248631272907	-0.147109881896442	0.6170149812308486	0.03513423931057342	0.2890615937826238
GDF15	26.583061	1.065693551155041e-155	9.688123192318554e-155	-0.9079821978141771	0.13707528676019098	1.045057484574368	0.12578720583360956	0.3747825078297181
MT1X	26.154924	8.662728151832323e-151	7.769262916441545e-150	-0.3894133028391302	-0.06910936383486992	0.3203039390042603	0.32001988730527015	0.5626957429532536
PDK4	25.695774	1.303183052690103e-145	1.1635562970447349e-144	-0.671010734060951	0.19434041486041104	0.865351148921362	0.3659264169705005	0.54738429416541
SLC40A1	25.146223	1.5542218481935033e-139	1.375417564773012e-138	-0.5516851177262007	0.05259184899382851	0.6042769667200292	0.22008617832283725	0.43440436144298805
CHI3L1	24.825905	4.709110418928362e-136	4.148995963813534e-135	-0.9318661403389707	-0.13036673848422853	0.8014994018547422	0.014252568776930727	0.254030854889224
ADGRF5	24.759264	2.4640668638363523e-135	2.161462161259958e-134	-0.7938391219640063	-0.14173751917482602	0.6521016027891803	0.01740139211136891	0.25565479642732863
CKB	24.737076	4.270818977002334e-135	3.729972905678894e-134	-0.5649702017599032	0.3065594528528041	0.8715296546127073	0.33228372555518726	0.5245331168077949
LCN6	24.15997	5.866202728949668e-129	5.035367149313019e-128	-1.1513133011749583	-0.15715584965849289	0.9941574515164655	0.00033145508783559825	0.2344275606078181
CTSD	24.097937	2.627389486382534e-128	2.2360761586234333e-127	-0.27954487709008463	-0.1071412991440564	0.17240357794602823	0.4156446801458402	0.6534044774388122
FAM184A	24.0477	8.822991726027737e-128	7.477111632226895e-127	-0.5496613198669524	-0.21524263594873674	0.33441868391821566	0.020053032814053694	0.25113095928546575
FBP1	23.21266	3.392258848571893e-119	2.803519709563548e-118	-0.3677407881573961	-0.26390577885280364	0.10383500930459245	0.033476963871395427	0.2548428256582763
C3	23.141865	1.755582360407676e-118	1.4449237534219557e-117	-0.5318473461677027	-0.25940452161452643	0.2724428245531762	0.08186940669539278	0.29404941422108805
RGS16	22.446913	1.3717535906746865e-111	1.1107316523681672e-110	-0.44767581031650117	-0.2758869525040678	0.17178885781243336	0.03281405369572423	0.24741909291265515
ADAMTS9	21.830507	1.1909027676956195e-105	9.565484077876462e-105	-0.7967381684150139	0.31100811147086455	1.1077462798858784	0.23931057341730197	0.4172369794687391
CRLF1	21.450119	4.554806175904478e-102	3.6293276302027717e-101	-1.0628349777149875	-0.12309819596355655	0.9397367817514308	0.02121312562147829	0.22537988632409234
SPRY1	20.886269	7.138358729606036e-97	5.576842757504715e-96	-0.42013999956709286	0.047467146271112724	0.46760714583820556	0.3150480609877362	0.4747709082473031
CAV1	20.860888	1.2139799071789345e-96	9.447314452754354e-96	-0.451721696215598	0.8293953907896626	1.2811170870052606	0.5614849187935035	0.7386614081893051
SORBS2	20.849426	1.542626889230977e-96	1.1958347978534705e-95	-0.61422337342506	0.11028529962166746	0.7245086730467274	0.14517732847199205	0.33464795267370373
FCGBP	20.817373	3.0125182058640846e-96	2.3262688848371308e-95	-0.34165067800360416	-0.1862888197706256	0.15536185823297857	0.06397083195227046	0.25948265862428954
ARHGAP29	20.403238	1.5649895115297856e-92	1.2038380857921427e-91	-0.5241260640763401	0.6399023482962847	1.1640284123726248	0.4895591647331787	0.6119939682171441
ID3	20.349422	4.697850444141197e-92	3.5998853978093463e-91	-0.39161740737045503	-0.19238763178145185	0.1992297755890032	0.21528007954922107	0.39600974364922864
SCGB3A1	19.907791	3.483384896836493e-88	2.6092770762820175e-87	-0.8678912115197434	-0.12243570550082426	0.7454555060189191	0.016738481935697713	0.2077485210532421
AC016831.5	19.548971	4.209226421413051e-85	3.1412137473231725e-84	-0.26162890588456045	-0.44883501535129433	-0.18720610946673388	0.06281073914484588	0.24602714302285117
TIMP1	19.14388	1.088534394055841e-81	8.003929368057653e-81	-0.20675970872898675	1.148869097261701	1.3556288059906878	0.8868080875041432	0.9134671151838534
CYR61	18.230808	2.9394267484340074e-74	2.0995905345957192e-73	-0.4628694651167877	0.7663179018973687	1.2291873670141564	0.6067285382830626	0.6913351119359703
CXCL2	18.122171	2.1302328422195657e-73	1.5161799588751355e-72	-0.33430668780430445	0.07963155114341774	0.4139382389477222	0.15826980444149819	0.3454355643196845
IGFBP6	18.070013	5.490019368998178e-73	3.8798723455817514e-72	-0.4013791613173453	0.994363011647107	1.3957421729644524	0.6353994033808419	0.7637165062057766
VWA1	17.803156	6.679725579219842e-71	4.687526722259538e-70	-0.48136872240814427	0.014585243218787207	0.49595396562693145	0.08120649651972157	0.24788307620925645
TPO	17.649143	1.0331324795381438e-69	7.199529474133407e-69	-0.4830152661162145	-0.14723068921826496	0.3357845768979495	0.0028173682466025854	0.17410973204964622
CRYAB	16.48258	4.895032245070044e-61	3.3299539082109145e-60	-0.37933944336303127	0.43537729667415126	0.8147167400371825	0.2886973815048061	0.43823222363994896
HLA-DRB1	16.387217	2.3600522091933043e-60	1.5892607469315181e-59	-0.12376050697437824	-0.9238755103579483	-0.8001150033835701	0.016738481935697713	0.06530564899663611
NAPSA	16.332012	5.84242764247293e-60	3.9079783561691844e-59	-0.8037064022222207	-0.13910368152171	0.6646027207005106	0.004143188597944978	0.16204616633801183
LPL	16.235823	2.81449895591573e-59	1.8700989740303857e-58	-0.511302760149799	-0.16787516834634514	0.34342759180345384	0.0069605568445475635	0.16401809534856746
TIMP3	15.583118	9.48138055720756e-55	6.237750366583921e-54	-0.35962163171193307	0.3741726400519101	0.7337942717638432	0.35896586012595294	0.47813478714766267
ITGA6	14.997063	7.674123909807481e-51	4.967070491784778e-50	-0.29754773455075895	-0.05066205959971763	0.24688567495104133	0.09247596950613192	0.23489154390441944
STEAP4	14.799912	1.4667311519316733e-49	9.462781625365634e-49	-0.6498821827160465	-0.12762385249922747	0.522258330216819	0.005634736493205171	0.14870664656072383
PTPRG	14.133611	2.3574074435828174e-45	1.4779983972306064e-44	-0.5139762558757146	0.3168844059501124	0.830860661825827	0.2877030162412993	0.38325020299269225
BANK1	13.497774	1.6117255561212967e-41	9.918311114592594e-41	-0.20526578003229726	-0.25143619075625917	-0.04617041072396191	0.004971826317533974	0.13559911843173647
VEGFA	13.100138	3.2866121565593203e-39	1.997940520704754e-38	-0.1779828310554411	0.6664212559699436	0.8444040870253847	0.5979449784554193	0.6980628697366895
ITGB6	12.228017	2.202497453076097e-34	1.28425507467994e-33	-0.6125328767812995	-0.06972887774188773	0.5428039990394118	0.008120649651972157	0.12655144414801067
S100A2	12.221041	2.3999331294327158e-34	1.3953099589725093e-33	-0.3961537658459291	0.13564051831663068	0.5317942841625598	0.10440835266821345	0.21923210764412482
PLCG2	12.20025	3.0987297010480996e-34	1.796365044085855e-33	-0.11571344829038943	-0.49109268213919555	-0.3753792338488061	0.09993370898243288	0.19823686347291497
IL1RL1	12.161823	4.963803736470517e-34	2.8609819806746496e-33	-0.6211477602708038	-0.12382680858435567	0.4973209516864481	0.004474643685780577	0.12214360283029811
B3GAT1	11.966919	5.295870638742483e-33	3.034882887531509e-32	-0.34793656056086464	-0.1522251947265882	0.19571136583427645	0.003977461054027179	0.1198236863472915
HSP90AA1	10.234977	1.3822810464942302e-24	7.765623856709158e-24	-0.0692697437037822	-0.39527475860853667	-0.3260050149047545	0.28322837255551875	0.34972740981324674
GADD45G	10.202416	1.9339895368805576e-24	1.0804410820561774e-23	-0.18280162648960044	-0.2112420120907761	-0.02844038560117566	0.10357971494862446	0.19707690523141166
SLC26A4-AS1	9.901407	4.1045752529977853e-23	2.2740029102480804e-22	-0.3805508797281367	-0.11087708824246235	0.2696737914856744	0.003977461054027179	0.09987240459343463
KRT15	9.76207	1.6377793099148383e-22	9.023577465095528e-22	-0.5337033982238447	-0.03354824498944896	0.5001551532343957	0.011932383162081539	0.10648416657000348
PRSS2	9.607952	7.400639414562917e-22	4.0662853926169875e-21	-0.5743030781182792	-0.08441857292762245	0.48988450519065674	0.001160092807424594	0.09430460503421877
CCL4	9.560326	1.17386708635353e-21	6.432148418375507e-21	-0.0347213952420945	-0.7579957376663864	-0.7232743424242919	0.011766655618163738	0.013919498898039671
GNLY	9.146018	5.90706151804251e-20	3.167325210746654e-19	-0.0738412527465131	-0.3365798424435776	-0.2627385896970645	0.012761020881670533	0.09012875536480687
HBB	9.087523	1.0132032151549609e-19	5.403750480826459e-19	-0.3316189199813741	-0.09396734548596138	0.23765157449541272	0.01358965860125953	0.10114835865908828
PDZK1IP1	8.998298	2.2924423918731316e-19	1.2193842509963466e-18	0.18690594659381077	0.6979977605720176	0.5110918139782068	0.12711302618495193	0.2381394269806287
PTGS2	8.929115	4.294302012089606e-19	2.2721174667140772e-18	-0.21685050210427173	-0.19597979208846147	0.020870710015810257	0.031322505800464036	0.11703978656768356
SERPING1	8.780573	1.6264367747385035e-18	8.537725851645687e-18	-0.22174328492642453	0.2510877585417843	0.4728310434682088	0.3493536625787206	0.4014615473842942
SC5D	8.745087	2.2284362692134077e-18	1.1636742920174453e-17	-0.15276568793353348	-0.16943860836177252	-0.016672920428239035	0.17119655286708652	0.24161930170513862
APOD	8.72192	2.7352419454430256e-18	1.417223805929029e-17	-0.3333943347611813	-0.012237581752550106	0.32115675300863117	0.03231687106397083	0.11599582415033059
TFF3	8.617518	6.84205905372236e-18	3.5359478313810645e-17	-0.13832442807503675	-0.07598817094797745	0.0623362571270593	0.013755386145177328	0.09801647140702935
CYB5D2	8.330626	8.04165791800551e-17	4.1345284925478196e-16	-0.19268966951697175	-0.017470778869256805	0.17521889064771495	0.22141199867417966	0.282449831806055
MX1	8.286619	1.1651291453938936e-16	5.959739874137563e-16	-0.029509777820221794	-0.30906704935235824	-0.27955727153213644	0.12976466688763671	0.2028766964389282
CD14	8.259093	1.4678270597604216e-16	7.469857810485606e-16	-0.07324230142021779	-0.3080588151851363	-0.2348165137649185	0.07325157441166721	0.15462243359239067
TRDC	8.171709	3.040521176085833e-16	1.5395043929548521e-15	-0.2008603845399568	-0.18801022776109944	0.012850156778857355	0.0018230029830957905	0.08096508525693075
BICDL1	8.066294	7.246421990402348e-16	3.659809086061792e-15	-0.06358662276453242	-0.47081112487515225	-0.40722450211061983	0.004308916141862778	0.06658160306228976
CD83	7.887001	3.0953469745445246e-15	1.543813952391284e-14	-0.07189525502173805	-0.44837336819493395	-0.3764781131731959	0.033476963871395427	0.10718014151490546
FAM107A	7.749403	9.232543515113628e-15	4.581907451669294e-14	-0.34083162307064174	-0.08545545846727307	0.2553761646033687	0.004971826317533974	0.0800371186637281
HLA-G	7.3514614	1.960515492577184e-13	9.517065497947496e-13	-0.3349489684878381	-0.11644914484905573	0.2184998236387824	0.006297646668876367	0.07748521053242083
NMU	7.2568316	3.9626177290272873e-13	1.909695291097488e-12	-0.4522316514331688	0.02685222758837451	0.4790838790215433	0.038780245276765	0.1072961373390558
LRRN3	7.2457175	4.301564893918177e-13	2.0680600451529696e-12	-0.2879958893856061	-0.11368471330244632	0.17431117608315977	0.0028173682466025854	0.07307736921470827
AC245014.3	7.1091866	1.1672882151674486e-12	5.585111077356214e-12	-0.0908082958212425	-0.43795399375741967	-0.34714569793617717	0.04126615843553198	0.10752812898735646
CD22	7.0232677	2.1673863633127034e-12	1.0320887444346207e-11	-0.14192950969933774	-0.20232181530796498	-0.06039230560862723	0.0004971826317533974	0.06855353207284538
KRT17	6.920866	4.488908143492968e-12	2.1324979304004597e-11	-0.36765035416665787	-0.011095985012300554	0.3565543691543573	0.016738481935697713	0.08386498086068901
NR1D1	6.855093	7.126604389183416e-12	3.353696183145137e-11	-0.33002747632628804	0.10604443397343957	0.43607191029972764	0.08982432880344714	0.15265050458183504
LYZ	6.801349	1.0364372634736228e-11	4.8659026454160694e-11	-0.01597935197091077	-0.3993672491298063	-0.38338789715889554	0.030328140536957243	0.05927386614081893
AREG	6.752779	1.4503979380569102e-11	6.777560458209861e-11	-0.07700986178322933	-0.3911389743244257	-0.31412911254119635	0.056181637388133907	0.12643544832386033
SFTA2	6.6346884	3.251883364625031e-11	1.5125038905232704e-10	-0.3998764325237479	-0.038217847098061544	0.36165858542568635	0.006463374212794166	0.070873448555852
LCN2	6.614707	3.7228840026884384e-11	1.727556381757976e-10	-0.16876715005404	0.18402109869993646	0.35278824875397646	0.05236990387802453	0.11808374898503654
PLOD2	6.606848	3.925896670589689e-11	1.8175447549026338e-10	-0.11932909565446415	1.016803171913813	1.1361322675682772	0.5928074245939675	0.6276534044774388
RRAD	6.571671	4.9753678526634204e-11	2.292796245467014e-10	-0.35804164126017607	-0.01849452528017517	0.3395471159800009	0.06513092475969506	0.12527549008235703
EFNB2	6.481029	9.109925581602696e-11	4.1788649456893105e-10	-0.19106206437150922	0.04904721559890162	0.24010927997041084	0.08004640371229699	0.14105092216680198
TNNC1	6.369703	1.8939486114231522e-10	8.608857324650692e-10	-0.36943946334038946	-0.07268275281899136	0.2967567105213981	0.003977461054027179	0.06565363646908712
FGFR2	6.3460236	2.2095134870501407e-10	9.975230189842622e-10	-0.27264047258940494	0.24140016690972274	0.5140406394991277	0.09313887968180312	0.15299849205428603
TM4SF4	6.29907	2.994369086522841e-10	1.3488149038391174e-09	-0.3578878851841771	-0.010269309386492637	0.34761857579768446	0.007126284388465363	0.06855353207284538
FGF7	6.217608	5.047902227674004e-10	2.268720102325395e-09	-0.23340256237800622	-0.06544743827197237	0.16795512410603386	0.030162412993039442	0.08931678459575455
MEF2C	6.1414804	8.175586440350037e-10	3.6498153751562667e-09	-0.06983303277234904	-0.3909328923567822	-0.32109985958443316	0.07424593967517401	0.13165526041062522
MAFB	6.0030417	1.936550760325407e-09	8.568808674006226e-09	-0.10321043063793	-0.058766558612491915	0.0444438720254381	0.2893602916804773	0.3462475350887368
FGFBP1	5.9455523	2.7552590361104757e-09	1.2137705004891964e-08	-0.3713990954245821	-0.05262912930728333	0.3187699661172988	0.0034802784222737818	0.06112979932722422
CFH	5.8621864	4.568117671291875e-09	1.9991762237601204e-08	-0.23127554527198418	0.49337766248093423	0.7246532077529184	0.39376864434869074	0.41050922166801995
CCL3	5.8365297	5.329932728202875e-09	2.3274815406999452e-08	-0.01946275527787511	-0.5386043455099824	-0.5191415902321073	0.03148823334438183	0.04129451339751769
S100A16	5.7548914	8.669761827464108e-09	3.769461664114829e-08	0.09586600775867904	0.9060309201875955	0.8101649124289164	0.37752734504474644	0.4961141398909639
BTNL9	5.433704	5.519618046286617e-08	2.3588111308917164e-07	-0.25064671176455544	-0.10120234184077892	0.14944436992377652	0.005469008949287372	0.057997912075165296
CTSE	5.293664	1.1988964201024695e-07	5.090855287059319e-07	-0.29369527804102596	-0.0018745027207539584	0.291820775320272	0.007623467020218761	0.05927386614081893
DERL3	5.2813015	1.2826927480816984e-07	5.423647983432129e-07	-0.16843478019760694	-0.10218370398577989	0.06625107621182705	0.00961219754723235	0.0606658160306229
IGFN1	4.9437647	7.662814691069423e-07	3.19283945461226e-06	-0.298611740462442	0.09608965424183007	0.39470139470427207	0.04027179317202519	0.08769284305764992
MCF2L	4.8607697	1.1693025378682545e-06	4.861964814421017e-06	-0.18651240185242118	-0.1016731205820301	0.08483928127039109	0.006297646668876367	0.05335807910915207
DGKH	4.858651	1.181882082440097e-06	4.904075030871772e-06	-0.06705845609092251	-0.16806357088201238	-0.10100511479108987	0.16672190918130594	0.20948845841549704
IGFL2	4.794092	1.6341307921283054e-06	6.752606579042584e-06	-0.2408720484541473	-0.059021798379766705	0.1818502500743806	0.008949287371561154	0.05533000811970769
COMP	4.760459	1.931532108796509e-06	7.965080861016533e-06	-0.3461502236478164	0.09521905188135517	0.44136927552917155	0.06330792177659927	0.10625217492170282
HSPA1A	4.6923237	2.7011948370255587e-06	1.1093202616121391e-05	-0.07160571531753995	-0.38340636642600046	-0.3118006511084605	0.31322505800464034	0.36654680431504466
HLA-DRB5	4.6747975	2.942434606951283e-06	1.20344973699439e-05	-0.057254743111938455	-0.549996240710923	-0.49274149759898456	0.018395757374875706	0.06878552372114603
