metric	n_slides	n_conditions	spearman_condition_order_rho	spearman_p	kruskal_p	normal_mean	PTC_mean	locally_advanced_PTC_mean	ATC_mean	claim_boundary	spearman_fdr_q	kruskal_fdr_q
rai_low_tumor_neighbor_aggressive_high_fraction	16	4	0.47294446882084934	0.06429378290389041	0.2871529290874478	0.24693523242630386	0.26437209647410653	0.3413392610973256	0.3583136129029319	Exploratory slide-level trend only; n=4 slides per condition and no clinical-response claim.	0.15222923027517918	0.4626352746408881
hla_low_tumor_neighbor_delivery_high_fraction	16	4	-0.47294446882084934	0.06429378290389041	0.1216789003865366	0.2244221225585323	0.18809604123536713	0.2305794298745023	0.16327589530856318	Exploratory slide-level trend only; n=4 slides per condition and no clinical-response claim.	0.15222923027517918	0.2940573426007968
tumor_barrier_low_neighbor_cd8_high_fraction	16	4	-0.46692960477351775	0.06824068943370101	0.13829129183434818	0.8165871934604905	0.45217292700567124	0.6643770128824477	0.2724561090391904	Exploratory slide-level trend only; n=4 slides per condition and no clinical-response claim.	0.15222923027517918	0.2992571279101301
fraction_RAI-restorable niche	16	4	0.4244373438135828	0.10129845700673137	0.07500771302807058	0.015413941520710425	0.05511663201260373	0.057331820711777046	0.0471183566751025	Exploratory slide-level trend only; n=4 slides per condition and no clinical-response claim.	0.20983251808537215	0.24169151975711628
rai_low_tumor_neighbor_mapk_high_fraction	16	4	0.4001837813099494	0.12456118733546113	0.14446895830144213	0.24533391255052744	0.20138936448690586	0.25425257985741856	0.3267410822556228	Exploratory slide-level trend only; n=4 slides per condition and no clinical-response claim.	0.24081829551522485	0.2992571279101301
tumor_high_neighbor_cd8_high_fraction	16	4	-0.3673179557551673	0.16163651759672581	0.26335370559717136	0.8190350877192982	0.45657833286979094	0.6641562709623638	0.30775148781227846	Exploratory slide-level trend only; n=4 slides per condition and no clinical-response claim.	0.29296618814406555	0.4492504389598806
mean_caf_ecm_tgfb_score	16	4	-0.3395498750508662	0.1982113893372299	0.35570520589970245	7.97854725e-09	-3.871009999999993e-10	-1.770863075e-08	-2.6097397500000005e-09	Exploratory slide-level trend only; n=4 slides per condition and no clinical-response claim.	0.33812531122233336	0.4856513453592605
fraction_RAI-low dedifferentiated niche	16	4	0.291902553246312	0.272637418493618	0.1187275741458067	0.00121373314427145	0.001349705669304675	0.0006056572861103499	0.023449850450498674	Exploratory slide-level trend only; n=4 slides per condition and no clinical-response claim.	0.4392491742397179	0.2940573426007968
rai_low_tumor_neighbor_barrier_high_fraction	16	4	0.2546624062881496	0.341177767273976	0.4019412273495354	0.21731967243419106	0.2721978240439529	0.39008059592737016	0.3071027844891781	Exploratory slide-level trend only; n=4 slides per condition and no clinical-response claim.	0.4947077625472652	0.5067954605711533
fraction_HLA-visible inflamed niche	16	4	-0.2546624062881496	0.341177767273976	0.3684251585484046	0.0750229062316026	0.08395193625585451	0.09099312206097103	0.06406906732446707	Exploratory slide-level trend only; n=4 slides per condition and no clinical-response claim.	0.4947077625472652	0.4856513453592605
fraction_Drug-delivery failure proxy niche	16	4	-0.23657766641858236	0.3776863495518484	0.5556857710554648	0.2501140592186269	0.25005513164995535	0.25010134533100836	0.2500487139516757	Exploratory slide-level trend only; n=4 slides per condition and no clinical-response claim.	0.5215668636668382	0.644595494424339
tumor_barrier_high_neighbor_cd8_high_fraction	16	4	-0.20544902610034785	0.44526515163629	0.502132113312751	0.8273533950617284	0.4875670333923043	0.6636153198653199	0.4502204143604149	Exploratory slide-level trend only; n=4 slides per condition and no clinical-response claim.	0.5869404271569277	0.6067429702529075
mean_spatial_drug_delivery_failure_proxy	16	4	-0.19402850002906638	0.47149737345813825	0.35884908741303456	1.2856243902792386e-08	-6.7645230068142815e-09	7.509352538846294e-09	-1.5079945942696024e-09	Exploratory slide-level trend only; n=4 slides per condition and no clinical-response claim.	0.5944966882733047	0.4856513453592605
mean_rai_differentiation_score	16	4	-0.1697749375254331	0.5296092753478194	0.24601603937064778	1.1112796638457215e-07	-7.310059224607811e-09	-1.8247307748999485e-08	-6.824574357545815e-10	Exploratory slide-level trend only; n=4 slides per condition and no clinical-response claim.	0.6399445410452819	0.4459040713592991
fraction_APC-rich niche	16	4	-0.12126781251816648	0.6546001692975567	0.23498213061277082	0.15552584695849705	0.08079929434075461	0.07959715040394948	0.09069019047729385	Exploratory slide-level trend only; n=4 slides per condition and no clinical-response claim.	0.7593361963851657	0.4459040713592991
tumor_high_neighbor_cd8_access_ratio	16	4	0.09338592095470355	0.73084959121043	0.954019654304828	1.0259950138504155	1.0761124037878582	1.1563597232716596	1.2307714167757813	Exploratory slide-level trend only; n=4 slides per condition and no clinical-response claim.	0.8151783901962488	0.9880917848157147
mean_spatial_aggressive_dedifferentiation_score	16	4	0.06063390625908324	0.8234842500845889	0.8455940508392494	-1.1402017552342159e-08	-3.785581625947998e-09	3.0170689121425708e-09	-7.746765936381137e-09	Exploratory slide-level trend only; n=4 slides per condition and no clinical-response claim.	0.8844830834241881	0.9431625951668552
mean_hla_i_apm_score	16	4	0.03638034375544995	0.8935922323511958	0.9905741038247644	3.7022413e-09	8.81013225e-09	9.402476500000002e-09	1.379648475e-08	Exploratory slide-level trend only; n=4 slides per condition and no clinical-response claim.	0.9255062406494527	0.9905741038247643
mean_myeloid_tam_score	16	4	0.024253562503633298	0.9289571900858598	0.9024645558006547	4.758890499999998e-10	-2.504616025e-09	3.321764999999997e-10	3.321548325e-09	Exploratory slide-level trend only; n=4 slides per condition and no clinical-response claim.	0.9289571900858598	0.9693137821562587
