sample	lineage	DM1_like	HT13_score
TCGA-AB-2908-03	acute myeloid leukemia	1.7876391365353868	-0.017076143342664274
TCGA-AB-2909-03	acute myeloid leukemia	1.6683037147724316	-0.04486152184081265
TCGA-AB-2910-03	acute myeloid leukemia	1.5874761193692752	-0.5982298684624241
TCGA-AB-2911-03	acute myeloid leukemia	1.8011828440488824	0.6147605030399503
TCGA-AB-2912-03	acute myeloid leukemia	1.6184619879752822	-0.18458827097471944
TCGA-AB-2913-03	acute myeloid leukemia	1.4009930368897834	-0.7065406953722063
TCGA-AB-2914-03	acute myeloid leukemia	1.5340152851591478	0.6848341678221466
TCGA-AB-2915-03	acute myeloid leukemia	1.5442468935182376	0.5517810457251637
TCGA-AB-2916-03	acute myeloid leukemia	1.647894218870176	0.5091113589201072
TCGA-AB-2917-03	acute myeloid leukemia	1.636033760153608	-0.8958053697795034
TCGA-AB-2918-03	acute myeloid leukemia	1.5930787567164029	0.16352995029044326
TCGA-AB-2919-03	acute myeloid leukemia	1.6115385680183956	-1.1957198222933374
TCGA-AB-2920-03	acute myeloid leukemia	1.29726573718702	-0.07073684579029006
TCGA-AB-2921-03	acute myeloid leukemia	1.6960244268439206	0.46608281721203365
TCGA-AB-2924-03	acute myeloid leukemia	1.496605711494986	-0.2871030522632095
TCGA-AB-2925-03	acute myeloid leukemia	1.7151735723623214	0.09543803744710869
TCGA-AB-2927-03	acute myeloid leukemia	1.5353274914482702	1.3328916669004671
TCGA-AB-2928-03	acute myeloid leukemia	1.6460536511889443	0.04147126269854936
TCGA-AB-2929-03	acute myeloid leukemia	1.6065405360446148	0.2280922373490248
TCGA-AB-2930-03	acute myeloid leukemia	1.808477067585691	0.47900108966687155
TCGA-AB-2931-03	acute myeloid leukemia	1.6607585807985394	-0.47042552292515877
TCGA-AB-2932-03	acute myeloid leukemia	1.770464196975544	-0.24094773980155687
TCGA-AB-2933-03	acute myeloid leukemia	1.631754677029301	0.5321540853460829
TCGA-AB-2934-03	acute myeloid leukemia	1.5171585671305614	0.6726510428210433
TCGA-AB-2935-03	acute myeloid leukemia	1.8271412556949016	-0.027947458127811665
TCGA-AB-2936-03	acute myeloid leukemia	1.571703723322596	0.45157832874409315
TCGA-AB-2937-03	acute myeloid leukemia	1.5237344571873372	0.7569505541204686
TCGA-AB-2938-03	acute myeloid leukemia	1.761887630299214	0.3325478497899366
TCGA-AB-2939-03	acute myeloid leukemia	1.7405673723904052	-0.2879749474345817
TCGA-AB-2940-03	acute myeloid leukemia	1.6349663595738226	0.07083684267992117
TCGA-AB-2941-03	acute myeloid leukemia	1.7221374527247033	-0.6816709716568936
TCGA-AB-2942-03	acute myeloid leukemia	1.8165199404959091	0.0651160876067049
TCGA-AB-2943-03	acute myeloid leukemia	1.8860437609767864	0.4802027108096495
TCGA-AB-2944-03	acute myeloid leukemia	1.4078605163987412	0.3156077849591169
TCGA-AB-2946-03	acute myeloid leukemia	1.544892344726108	0.2981097752941246
TCGA-AB-2948-03	acute myeloid leukemia	1.6731369448239353	0.26404026079613996
TCGA-AB-2949-03	acute myeloid leukemia	1.8516867114974307	0.3017538264524073
TCGA-AB-2950-03	acute myeloid leukemia	1.689919647580548	0.3835376515786111
TCGA-AB-2952-03	acute myeloid leukemia	1.6227608300118666	0.44589370478439394
