outcome	lineage	HT13_HR	HT13_p	HT13_fdr	DM1_HR	DM1_p	DM1_fdr	n	events	ICI_lineage
OS	kidney papillary cell carcinoma	1.2709811452952144	0.24623334083728599	0.464900726736357	8.770058431612851	0.0647165175841411	0.2588660703365645	288	46	True
OS	liver hepatocellular carcinoma	1.0028373638579828	0.9800268696824852	0.9800268696824852	2.542773868964705	0.1700447420166267	0.3200842202665915	388	143	True
OS	lung adenocarcinoma	0.7524605584026193	0.0030862386257734724	0.02029086844889631	11.220020625642263	0.0005192524343684	0.0083080389498945	544	203	True
OS	lung squamous cell carcinoma	1.0856251430633883	0.33909452347175134	0.47301102262979533	0.794806416065823	0.7395362957722726	0.7633923053133137	539	242	True
OS	mesothelioma	0.8708168607118337	0.4164595711591058	0.5330682510836554	5.065480223022283	0.3887931469766742	0.5183908626355657	85	73	False
OS	ovarian serous cystadenocarcinoma	0.8830129309611886	0.23165570989444195	0.464900726736357	0.2822401943156	0.1416327358380952	0.3200842202665915	310	185	False
OS	pancreatic adenocarcinoma	1.0653421841080213	0.596327336905108	0.6879607265927122	4.738278362437799	0.2703326561295948	0.4119354760070016	179	95	False
OS	pheochromocytoma & paraganglioma	0.4511405168864961	0.18966558703822647	0.464900726736357	0.0728149566720894	0.3814122460258075	0.5183908626355657	187	8	False
OS	prostate adenocarcinoma	0.618852085312207	0.2615066587892008	0.464900726736357	296.4509340556264	0.169809613497191	0.3200842202665915	550	10	False
OS	rectum adenocarcinoma	1.1388847406133868	0.6308859029540552	0.6961499618803368	1.7596481282946412	0.768654500979064	0.768654500979064	154	23	False
OS	sarcoma	0.653575044698709	0.0051897199913838	0.023724434246325945	0.2672501213707604	0.1348618788173685	0.3200842202665915	265	99	False
OS	skin cutaneous melanoma	0.5995800337492128	2.370613184170986e-08	3.7929810946735777e-07	0.2816111529441391	0.1593578655664973	0.3200842202665915	410	191	True
OS	stomach adenocarcinoma	0.911955662920774	0.36979228041689904	0.4930563738891987	0.2554562466292636	0.0832819485169165	0.2665022352541331	403	155	True
OS	thymoma	2.4256993125144874	0.0351803552973377	0.10927618112358693	3.2020641746837155	0.6583531110076319	0.7264586052498008	121	9	False
OS	thyroid carcinoma	0.483473755789824	0.010560443644331206	0.04224177457732482	0.6045677922245988	0.3313422254005309	0.4819523278553177	569	20	False
OS	uterine carcinosarcoma	0.7411896279810161	0.29728433898396245	0.47301102262979533	0.217465992913553	0.1907242771145209	0.3390653815369261	56	35	False
OS	uterine corpus endometrioid carcinoma	0.7209087629709581	0.020592962479441448	0.07321942214912515	0.1474587356301634	0.0069818696087267	0.074473275826419	551	91	False
OS	uveal melanoma	2.281266165893503	0.0014304097925411125	0.015257704453771866	69.36753562453315	0.101901117491358	0.2964396145203142	79	22	True
DSS	adrenocortical cancer	0.6698360995537576	0.180854397237732	0.2913765288830127	0.0112906308495357	0.0379058213763947	0.149445556528103	76	26	False
DSS	bladder urothelial carcinoma	0.8315887500679919	0.09862338219915237	0.19067187225169457	0.6380220526544371	0.5837716901136074	0.6270140375294302	407	127	True
DSS	brain lower grade glioma	2.1037696460385353	2.155139762392245e-08	6.249905310937511e-07	44.73834840760912	1.2683393359069306e-05	0.000367818407413	529	129	False
DSS	breast invasive carcinoma	0.7741395763793688	0.048135467086567324	0.12690259504640478	11.406837868480311	0.0219132305453042	0.1143775874771829	1149	101	False
DSS	cervical & endocervical cancer	0.6054951222712582	0.0023368635578209567	0.022589681058935916	4.176773361608018	0.2296386117258174	0.3699733188915948	292	56	False
DSS	cholangiocarcinoma	0.8376277958179885	0.547592280053385	0.7218261873430984	0.3698525687714877	0.5236271220867583	0.5864515874714095	43	20	False
DSS	colon adenocarcinoma	1.3722447366037462	0.079853842215107	0.17239963552469978	11.62873421821529	0.0419640634370592	0.149445556528103	446	63	False
DSS	esophageal carcinoma	0.8224437845928525	0.38692099147465486	0.5610354376382496	0.3787301164485573	0.5018723931965412	0.5864515874714095	168	40	True
DSS	glioblastoma multiforme	1.3817022523355869	0.04348279215658456	0.1261000972540952	5.783483290165663	0.0959437708729103	0.2196193255824223	159	124	False
DSS	head & neck squamous cell carcinoma	0.741713033572181	0.009250594889527586	0.050939142212333345	7.451733915551163	0.0541153609168441	0.1500016447427851	463	133	True
DSS	kidney chromophobe	0.8278692050841906	0.6819166247266084	0.8239825882113184	13.864193132750316	0.4159774195251767	0.5244932680969621	89	10	False
DSS	kidney clear cell carcinoma	0.9723086296504698	0.8015520433170822	0.8940388175459764	2.421524261316094	0.2527697349302835	0.3809328725183545	587	125	True
DSS	kidney papillary cell carcinoma	1.386558510564125	0.1771360376444941	0.2913765288830127	16.246112931254363	0.0463796554742388	0.149445556528103	286	31	True
DSS	liver hepatocellular carcinoma	1.0038758146218218	0.9801667555063501	0.9801667555063502	9.640121549023387	0.016684531679357	0.1143775874771829	377	77	True
DSS	lung adenocarcinoma	0.7137800949411962	0.005342458220104135	0.03873282209575498	19.029118483441643	0.0008562645495848	0.0124158359689797	508	125	True
DSS	lung squamous cell carcinoma	0.9920755772076849	0.9535330043289306	0.9801667555063502	11.3500022310209	0.023664328443555	0.1143775874771829	477	98	True
DSS	mesothelioma	0.702324178511305	0.12122663916931087	0.21972328349437595	33.96267191992774	0.1762704916478519	0.3111322745203445	65	43	False
DSS	ovarian serous cystadenocarcinoma	0.8947278776751576	0.3190648050532223	0.48699364981807625	0.2614324238992758	0.1550642938484503	0.3002158932166334	286	156	False
DSS	pancreatic adenocarcinoma	1.0768890501488488	0.5794348535120135	0.7305917718194953	5.996300038617283	0.2669006983312961	0.3809328725183545	173	74	False
DSS	pheochromocytoma & paraganglioma	0.5547240598181712	0.40767051557178313	0.5629735691229386	0.1102936656738184	0.5257841818709188	0.5864515874714095	187	6	False
DSS	prostate adenocarcinoma	0.3136206171764947	0.08230174859778273	0.17239963552469978	3.22132102369663	0.8180702852916582	0.8180702852916582	548	5	False
DSS	rectum adenocarcinoma	0.9890365565672518	0.9739673768019194	0.9801667555063502	24.37630308572362	0.2758479421684636	0.3809328725183545	148	13	False
DSS	sarcoma	0.6860718357048484	0.02396533836278558	0.08687435156509772	0.6341532283490302	0.6677367929607227	0.6915845355664628	259	82	False
DSS	skin cutaneous melanoma	0.5901609386357715	5.9335565051869095e-08	8.603656932521019e-07	0.4061825632392967	0.3660881435548524	0.4825707346859418	405	169	True
DSS	stomach adenocarcinoma	0.9636375834494271	0.7782387550734021	0.8940388175459764	0.1426505536102865	0.0568971755920909	0.1500016447427851	384	93	True
DSS	thyroid carcinoma	0.34133217911076863	0.02156835586672058	0.08687435156509772	0.3392580411531214	0.0984500425024651	0.2196193255824223	563	10	False
DSS	uterine carcinosarcoma	0.5574792492925036	0.08322741025330334	0.17239963552469978	0.2017110536682321	0.1823878850636502	0.3111322745203445	54	31	False
DSS	uterine corpus endometrioid carcinoma	0.6876089597831987	0.032819628095611106	0.10575213497474689	0.0822671492145754	0.0020735106503367	0.0200439362865887	549	60	False
DSS	uveal melanoma	2.028788945315348	0.010539132871517243	0.050939142212333345	40.40217506894419	0.1552840826982586	0.3002158932166334	79	20	True
PFI	adrenocortical cancer	0.5794984461230693	0.02409190437620015	0.07709409400384049	0.0856159923412758	0.1372335603275977	0.2976548506327878	77	40	False
PFI	bladder urothelial carcinoma	0.8254578225217558	0.03678029852341268	0.09053611944224658	0.3747971312805996	0.1413315033186041	0.2976548506327878	424	181	True
PFI	brain lower grade glioma	1.568404058087312	1.9120995790928617e-05	0.0006118718653097158	19.193552288848828	2.597170829806525e-05	0.000831094665538	537	218	False
PFI	breast invasive carcinoma	0.7502704000285225	0.0053558912866038	0.03532035301410747	2.2465306174016564	0.3299943295253933	0.4799917520369357	1176	162	False
PFI	cervical & endocervical cancer	0.6876279602417805	0.010204656935039419	0.040818627740157674	2.441367598217492	0.3643281056854943	0.5068912774754704	296	73	False
PFI	cholangiocarcinoma	0.5638804839223	0.0464213813235384	0.09903228015688192	0.0654647280948919	0.0569062780357022	0.1517500747618727	45	24	False
PFI	colon adenocarcinoma	1.06526975551454	0.6000329713134975	0.8000439617513301	0.5315766649771287	0.4635409763597853	0.5493818979078937	460	126	False
PFI	diffuse large B-cell lymphoma	1.1540056335700377	0.8281093945754494	0.8862384116013514	31.08480552220933	0.3223190077711459	0.4799917520369357	47	12	False
PFI	esophageal carcinoma	0.7599088925937674	0.09785051988745858	0.18418921390580437	0.5261678711013124	0.541992838522583	0.619420386882952	171	74	True
PFI	glioblastoma multiforme	1.5059450945267543	0.0025924891835824074	0.027653217958212347	14.767547369086216	0.0044268666461305	0.0439403517581334	172	139	False
PFI	head & neck squamous cell carcinoma	0.7771163892286576	0.008238823801575004	0.037663194521485734	9.166018290685477	0.0097076219149231	0.0537802057885154	489	193	True
PFI	kidney chromophobe	0.9880594045223624	0.9703978619546294	0.9703978619546294	10.610695641537063	0.2864068627807676	0.4582509804492282	89	15	False
PFI	kidney clear cell carcinoma	0.9725369546671466	0.7477724357024589	0.8862384116013514	1.5387385281206347	0.447912817748416	0.5493818979078937	599	192	True
PFI	kidney papillary cell carcinoma	1.5021029940197794	0.03124419912164577	0.08331786432438872	15.08673931265673	0.0115595765985628	0.0537802057885154	286	57	True
PFI	liver hepatocellular carcinoma	0.7579549077217423	0.006261744525074033	0.03532035301410747	1.6135745292816028	0.4176614053554869	0.5346065988550233	389	189	True
PFI	lung adenocarcinoma	0.780508431774868	0.00662256619014515	0.03532035301410747	9.267731251521695	0.0009939786462039	0.0159036583392638	544	222	True
PFI	lung squamous cell carcinoma	0.9568308529792374	0.6634546558941244	0.8492219595444793	2.736354772260257	0.2323036324363274	0.4372774257624987	540	163	True
PFI	mesothelioma	0.675280644110859	0.04409530854909289	0.09903228015688192	1.499384951950634	0.8424317524423768	0.8424317524423768	83	59	False
PFI	ovarian serous cystadenocarcinoma	0.9359709992544931	0.4781964997421	0.6955585450794182	1.2101483644668496	0.811680804012526	0.8378640557548656	310	217	False
PFI	pancreatic adenocarcinoma	1.0890042835593776	0.4691516116537453	0.6955585450794182	4.897800800160591	0.2503848444161877	0.4451286122954448	179	107	False
PFI	pheochromocytoma & paraganglioma	1.1097783048407688	0.7788118212915738	0.8862384116013514	0.0256651390735465	0.0543686997310242	0.1517500747618727	186	22	False
PFI	prostate adenocarcinoma	1.0815884857676998	0.559432808957858	0.7783412994196285	35.04465877416744	0.0054925439697666	0.0439403517581334	550	95	False
PFI	rectum adenocarcinoma	0.9457433185952827	0.7956937456688637	0.8862384116013514	4.098489957829947	0.3973322856507655	0.5297763808676873	153	35	False
PFI	sarcoma	0.8791269039044839	0.2747312819232364	0.46270531692334554	1.6108439353147186	0.578739449719514	0.6386090479663602	265	142	False
PFI	skin cutaneous melanoma	0.7519754340661903	0.00023081055743147174	0.003692968918903548	0.817185194604971	0.7941382522245423	0.8378640557548656	408	274	True
PFI	stomach adenocarcinoma	1.0224118221249048	0.8407411744521331	0.8862384116013514	0.1552911052368131	0.024869704179815	0.0795830533754082	405	134	True
PFI	testicular germ cell tumor	0.944737263077229	0.8585434612388092	0.8862384116013514	0.0015276391462668	0.1488274253163939	0.2976548506327878	82	14	False
PFI	thymoma	1.8977140233557097	0.031131353992312795	0.08331786432438872	48.3542060276419	0.0222726820030139	0.0791917582329386	121	23	False
PFI	thyroid carcinoma	1.1253440284262983	0.4513468323398665	0.6955585450794182	1.3684766598800795	0.2804221136170313	0.4582509804492282	569	65	False
PFI	uterine carcinosarcoma	0.645917391883801	0.09769297761775975	0.18418921390580437	0.0505223905829553	0.0117644200162377	0.0537802057885154	56	37	False
PFI	uterine corpus endometrioid carcinoma	0.7364767882706947	0.01164470529826136	0.041403396616040394	0.3605721602738029	0.094027658272044	0.2314526972850314	551	126	False
PFI	uveal melanoma	1.4601512473640685	0.14644509329573652	0.2603468325257538	245.7879032364022	0.0179515311724256	0.0718061246897025	78	29	True
