gene	total_counts	detected_spots	n_spots	detect_frac	mean_count	log1p_mean_count
Z98886.1	0.0	0	3200	0.0	0.0	0.0
BX005132.1	0.0	0	3200	0.0	0.0	0.0
LINC02781	0.0	0	3200	0.0	0.0	0.0
LINC02782	0.0	0	3200	0.0	0.0	0.0
AL139823.1	0.0	0	3200	0.0	0.0	0.0
Z98259.3	0.0	0	3200	0.0	0.0	0.0
Z98259.2	0.0	0	3200	0.0	0.0	0.0
Z98259.1	0.0	0	3200	0.0	0.0	0.0
AL365255.1	0.0	0	3200	0.0	0.0	0.0
NPHP4	260.0	235	3200	0.0734375	0.08125	0.07811777926395203
KCNAB2	213.0	198	3200	0.061875	0.0665625	0.06444086011888912
CHD5	4.0	4	3200	0.00125	0.00125	0.0012492194004319248
RPL22	36761.0	2815	3200	0.8796875	11.4878125	2.5247531686865763
AL031847.1	20.0	20	3200	0.00625	0.00625	0.006230549750636074
RNF207	127.0	126	3200	0.039375	0.0396875	0.03892018723065881
ICMT	1142.0	829	3200	0.2590625	0.356875	0.30518426165041923
LINC00337	5.0	5	3200	0.0015625	0.0015625	0.0015612805669524994
HES3	0.0	0	3200	0.0	0.0	0.0
GPR153	134.0	130	3200	0.040625	0.041875	0.041021974522921396
ACOT7	1200.0	587	3200	0.1834375	0.375	0.3184537311185346
AL031848.2	9.0	9	3200	0.0028125	0.0028125	0.002808552322038955
HES2	33.0	31	3200	0.0096875	0.0103125	0.010259688937615169
ESPN	66.0	62	3200	0.019375	0.020625	0.020415184742592508
AL031848.1	0.0	0	3200	0.0	0.0	0.0
TNFRSF25	217.0	197	3200	0.0615625	0.0678125	0.06561216332747391
PLEKHG5	123.0	118	3200	0.036875	0.0384375	0.037717179566776365
NOL9	508.0	422	3200	0.131875	0.15875	0.14734183789792787
TAS1R1	0.0	0	3200	0.0	0.0	0.0
ZBTB48	527.0	451	3200	0.1409375	0.1646875	0.15245281069144048
KLHL21	656.0	533	3200	0.1665625	0.205	0.1864795669426183
PHF13	336.0	304	3200	0.095	0.105	0.09984533496971613
THAP3	562.0	483	3200	0.1509375	0.175625	0.16179992107315777
DNAJC11	574.0	470	3200	0.146875	0.179375	0.16498463714067763
LINC01672	1.0	1	3200	0.0003125	0.0003125	0.00031245118204514246
AL591163.1	0.0	0	3200	0.0	0.0	0.0
CAMTA1-DT	17.0	17	3200	0.0053125	0.0053125	0.0052984384512084325
CAMTA1	2261.0	1204	3200	0.37625	0.7065625	0.5344811133643358
AL512330.1	0.0	0	3200	0.0	0.0	0.0
CAMTA1-IT1	5.0	4	3200	0.00125	0.0015625	0.0015612805669524994
Z97987.1	0.0	0	3200	0.0	0.0	0.0
AL365194.1	1.0	1	3200	0.0003125	0.0003125	0.00031245118204514246
AL359881.3	1.0	1	3200	0.0003125	0.0003125	0.00031245118204514246
AL359881.2	3.0	3	3200	0.0009375	0.0009375	0.0009370608213402288
AL359881.1	3.0	3	3200	0.0009375	0.0009375	0.0009370608213402288
VAMP3	1592.0	1011	3200	0.3159375	0.4975	0.4037970510074674
Z98884.2	5.0	5	3200	0.0015625	0.0015625	0.0015612805669524994
PER3	503.0	422	3200	0.131875	0.1571875	0.1459924921257948
Z98884.1	1.0	1	3200	0.0003125	0.0003125	0.00031245118204514246
UTS2	33.0	31	3200	0.0096875	0.0103125	0.010259688937615169
TNFRSF9	22.0	22	3200	0.006875	0.006875	0.0068514749491017735
PARK7	7722.0	2124	3200	0.66375	2.413125	1.227628293924281
AL034417.4	2.0	2	3200	0.000625	0.000625	0.0006248047688420805
AL034417.3	1.0	1	3200	0.0003125	0.0003125	0.00031245118204514246
ERRFI1	2177.0	1073	3200	0.3353125	0.6803125	0.5189797880218602
AL034417.2	19.0	19	3200	0.0059375	0.0059375	0.005919942510990248
LINC01714	4.0	4	3200	0.00125	0.00125	0.0012492194004319248
AL358876.2	0.0	0	3200	0.0	0.0	0.0
SLC45A1	57.0	55	3200	0.0171875	0.0178125	0.017655716488415574
RERE	1372.0	953	3200	0.2978125	0.42875	0.3567999361268834
RERE-AS1	7.0	7	3200	0.0021875	0.0021875	0.002185110905337002
AL357552.2	0.0	0	3200	0.0	0.0	0.0
ENO1	18667.0	2438	3200	0.761875	5.8334375	1.9218278412625047
ENO1-AS1	27.0	26	3200	0.008125	0.0084375	0.00840210326414391
CA6	1.0	1	3200	0.0003125	0.0003125	0.00031245118204514246
SLC2A7	0.0	0	3200	0.0	0.0	0.0
SLC2A5	23.0	23	3200	0.0071875	0.0071875	0.0071617930276199355
GPR157	67.0	64	3200	0.02	0.0209375	0.020721322813252247
MIR34AHG	106.0	100	3200	0.03125	0.033125	0.03258818959315157
LNCTAM34A	55.0	52	3200	0.01625	0.0171875	0.017041465854851702
H6PD	662.0	550	3200	0.171875	0.206875	0.18803437420064184
SPSB1	429.0	338	3200	0.105625	0.1340625	0.12580631842525242
BX323043.1	3.0	3	3200	0.0009375	0.0009375	0.0009370608213402288
LINC02606	16.0	16	3200	0.005	0.005	0.004987541511039074
AL928921.1	0.0	0	3200	0.0	0.0	0.0
SLC25A33	212.0	194	3200	0.060625	0.06625	0.06414781982375183
TMEM201	209.0	193	3200	0.0603125	0.0653125	0.06326818335008517
PIK3CD	301.0	239	3200	0.0746875	0.0940625	0.08989783216684775
PIK3CD-AS1	1.0	1	3200	0.0003125	0.0003125	0.00031245118204514246
PIK3CD-AS2	419.0	347	3200	0.1084375	0.1309375	0.12304693477592453
CLSTN1	3080.0	1593	3200	0.4978125	0.9625	0.6742191706744265
CTNNBIP1	765.0	606	3200	0.189375	0.2390625	0.21435504528113045
AL357140.1	0.0	0	3200	0.0	0.0	0.0
AL357140.4	0.0	0	3200	0.0	0.0	0.0
LZIC	626.0	507	3200	0.1584375	0.195625	0.17866906121238027
AL357140.2	17.0	17	3200	0.0053125	0.0053125	0.0052984384512084325
NMNAT1	187.0	179	3200	0.0559375	0.0584375	0.0567937640299538
AL603962.1	0.0	0	3200	0.0	0.0	0.0
RBP7	385.0	333	3200	0.1040625	0.1203125	0.11360766424590282
UBE4B	599.0	493	3200	0.1540625	0.1871875	0.17158706439980767
KIF1B	543.0	449	3200	0.1403125	0.1696875	0.15673661911661105
AL139424.3	0.0	0	3200	0.0	0.0	0.0
AL139424.2	17.0	17	3200	0.0053125	0.0053125	0.0052984384512084325
PGD	1498.0	996	3200	0.31125	0.468125	0.3839860764310402
AL139424.1	1.0	1	3200	0.0003125	0.0003125	0.00031245118204514246
CENPS	363.0	296	3200	0.0925	0.1134375	0.10745207681801813
CORT	41.0	40	3200	0.0125	0.0128125	0.012731114353729464
DFFA	672.0	534	3200	0.166875	0.21	0.1906203596086497
AL354956.1	0.0	0	3200	0.0	0.0	0.0
PEX14	279.0	262	3200	0.081875	0.0871875	0.08359408636412412
AL139423.2	0.0	0	3200	0.0	0.0	0.0
CASZ1	86.0	77	3200	0.0240625	0.026875	0.026520209809395474
AL139423.1	0.0	0	3200	0.0	0.0	0.0
C1orf127	1.0	1	3200	0.0003125	0.0003125	0.00031245118204514246
TARDBP	1752.0	1078	3200	0.336875	0.5475	0.4366407255766141
MASP2	0.0	0	3200	0.0	0.0	0.0
AL109811.2	140.0	129	3200	0.0403125	0.04375	0.042819997182928185
SRM	2127.0	962	3200	0.300625	0.6646875	0.5096374181291812
EXOSC10	612.0	520	3200	0.1625	0.19125	0.17500317598627482
AL109811.1	4.0	4	3200	0.00125	0.00125	0.0012492194004319248
EXOSC10-AS1	29.0	27	3200	0.0084375	0.0090625	0.0090216819704573
MTOR	451.0	391	3200	0.1221875	0.1409375	0.13185029286781894
MTOR-AS1	1.0	1	3200	0.0003125	0.0003125	0.00031245118204514246
ANGPTL7	5.0	5	3200	0.0015625	0.0015625	0.0015612805669524994
UBIAD1	362.0	318	3200	0.099375	0.113125	0.10717137506178905
AL031291.1	0.0	0	3200	0.0	0.0	0.0
DISP3	3.0	3	3200	0.0009375	0.0009375	0.0009370608213402288
AL590989.1	0.0	0	3200	0.0	0.0	0.0
LINC01647	1.0	1	3200	0.0003125	0.0003125	0.00031245118204514246
AL031731.1	1.0	1	3200	0.0003125	0.0003125	0.00031245118204514246
FBXO2	453.0	365	3200	0.1140625	0.1415625	0.1323979380074646
FBXO44	482.0	430	3200	0.134375	0.150625	0.14030527300520526
FBXO6	280.0	255	3200	0.0796875	0.0875	0.0838814839807021
MAD2L2	899.0	617	3200	0.1928125	0.2809375	0.24759223171651965
DRAXIN	12.0	12	3200	0.00375	0.00375	0.003742986278834377
AGTRAP	1668.0	1114	3200	0.348125	0.52125	0.41953236531959986
C1orf167	67.0	63	3200	0.0196875	0.0209375	0.020721322813252247
AL953897.1	0.0	0	3200	0.0	0.0	0.0
MTHFR	681.0	551	3200	0.1721875	0.2128125	0.19294204258108838
CLCN6	224.0	208	3200	0.065	0.07	0.06765864847381481
NPPA	0.0	0	3200	0.0	0.0	0.0
NPPB	0.0	0	3200	0.0	0.0	0.0
AL021155.5	65.0	59	3200	0.0184375	0.0203125	0.020108952922713523
KIAA2013	1605.0	1039	3200	0.3246875	0.5015625	0.406506232616575
PLOD1	2267.0	1045	3200	0.3265625	0.7084375	0.5355792101071813
AL096840.2	0.0	0	3200	0.0	0.0	0.0
MFN2	1095.0	840	3200	0.2625	0.3421875	0.2943007456305378
MIIP	673.0	549	3200	0.1715625	0.2103125	0.19087859072693428
TNFRSF8	7.0	7	3200	0.0021875	0.0021875	0.002185110905337002
AL357835.1	0.0	0	3200	0.0	0.0	0.0
TNFRSF1B	443.0	366	3200	0.114375	0.1384375	0.12965670822074588
VPS13D	955.0	717	3200	0.2240625	0.2984375	0.2611616185017307
LINC02766	0.0	0	3200	0.0	0.0	0.0
DHRS3	6912.0	1817	3200	0.5678125	2.16	1.1505720275988207
AC254633.1	273.0	215	3200	0.0671875	0.0853125	0.0818679639562561
AADACL4	0.0	0	3200	0.0	0.0	0.0
AADACL3	0.0	0	3200	0.0	0.0	0.0
C1orf158	4.0	4	3200	0.00125	0.00125	0.0012492194004319248
PRAMEF12	0.0	0	3200	0.0	0.0	0.0
PRAMEF1	0.0	0	3200	0.0	0.0	0.0
LINC01784	0.0	0	3200	0.0	0.0	0.0
PRAMEF11	0.0	0	3200	0.0	0.0	0.0
HNRNPCL1	0.0	0	3200	0.0	0.0	0.0
PRAMEF2	0.0	0	3200	0.0	0.0	0.0
PRAMEF4	0.0	0	3200	0.0	0.0	0.0
PRAMEF10	0.0	0	3200	0.0	0.0	0.0
PRAMEF7	0.0	0	3200	0.0	0.0	0.0
PRAMEF6	0.0	0	3200	0.0	0.0	0.0
PRAMEF27	0.0	0	3200	0.0	0.0	0.0
HNRNPCL3	0.0	0	3200	0.0	0.0	0.0
PRAMEF25	0.0	0	3200	0.0	0.0	0.0
HNRNPCL2	0.0	0	3200	0.0	0.0	0.0
AC245056.1	0.0	0	3200	0.0	0.0	0.0
PRAMEF26	0.0	0	3200	0.0	0.0	0.0
HNRNPCL4	0.0	0	3200	0.0	0.0	0.0
PRAMEF9	0.0	0	3200	0.0	0.0	0.0
PRAMEF13	0.0	0	3200	0.0	0.0	0.0
PRAMEF18	0.0	0	3200	0.0	0.0	0.0
PRAMEF5	0.0	0	3200	0.0	0.0	0.0
PRAMEF8	0.0	0	3200	0.0	0.0	0.0
PRAMEF33	0.0	0	3200	0.0	0.0	0.0
PRAMEF15	0.0	0	3200	0.0	0.0	0.0
AC243961.1	0.0	0	3200	0.0	0.0	0.0
PRAMEF14	0.0	0	3200	0.0	0.0	0.0
PRAMEF19	0.0	0	3200	0.0	0.0	0.0
PRAMEF17	0.0	0	3200	0.0	0.0	0.0
PRAMEF20	0.0	0	3200	0.0	0.0	0.0
LRRC38	11.0	10	3200	0.003125	0.0034375	0.003431605301696017
AL354712.1	0.0	0	3200	0.0	0.0	0.0
PDPN	421.0	251	3200	0.0784375	0.1315625	0.12359942097782328
AL359771.1	0.0	0	3200	0.0	0.0	0.0
PRDM2	574.0	474	3200	0.148125	0.179375	0.16498463714067763
KAZN	193.0	178	3200	0.055625	0.0603125	0.058563675996412226
AL357873.1	1.0	1	3200	0.0003125	0.0003125	0.00031245118204514246
KAZN-AS1	0.0	0	3200	0.0	0.0	0.0
AL031293.1	0.0	0	3200	0.0	0.0	0.0
TMEM51-AS1	9.0	9	3200	0.0028125	0.0028125	0.002808552322038955
TMEM51	284.0	241	3200	0.0753125	0.08875	0.0850302491845755
C1orf195	0.0	0	3200	0.0	0.0	0.0
FHAD1	33.0	30	3200	0.009375	0.0103125	0.010259688937615169
AL031283.2	22.0	21	3200	0.0065625	0.006875	0.0068514749491017735
AL031283.3	0.0	0	3200	0.0	0.0	0.0
AL031283.1	5.0	5	3200	0.0015625	0.0015625	0.0015612805669524994
EFHD2	3290.0	1405	3200	0.4390625	1.028125	0.7071117209103177
CTRC	3.0	3	3200	0.0009375	0.0009375	0.0009370608213402288
CELA2A	0.0	0	3200	0.0	0.0	0.0
CELA2B	0.0	0	3200	0.0	0.0	0.0
CASP9	263.0	243	3200	0.0759375	0.0821875	0.07898445561460404
DNAJC16	298.0	269	3200	0.0840625	0.093125	0.08904056679072947
AL121992.3	0.0	0	3200	0.0	0.0	0.0
AGMAT	40.0	37	3200	0.0115625	0.0125	0.012422519998557154
AL121992.1	2.0	2	3200	0.000625	0.000625	0.0006248047688420805
DDI2	317.0	285	3200	0.0890625	0.0990625	0.09445754368616453
RSC1A1	0.0	0	3200	0.0	0.0	0.0
AL121992.2	1.0	1	3200	0.0003125	0.0003125	0.00031245118204514246
PLEKHM2	951.0	753	3200	0.2353125	0.2971875	0.26019845926522084
AL450998.3	0.0	0	3200	0.0	0.0	0.0
SLC25A34	56.0	50	3200	0.015625	0.0175	0.017348638334613004
SLC25A34-AS1	6.0	4	3200	0.00125	0.001875	0.0018732443816803477
TMEM82	0.0	0	3200	0.0	0.0	0.0
FBLIM1	672.0	491	3200	0.1534375	0.21	0.1906203596086497
UQCRHL	21.0	21	3200	0.0065625	0.0065625	0.00654106054338091
AL450998.2	30.0	29	3200	0.0090625	0.009375	0.009331327428884309
SPEN	551.0	469	3200	0.1465625	0.1721875	0.1588716612940694
ZBTB17	466.0	410	3200	0.128125	0.145625	0.13595033961183242
SRARP	28.0	27	3200	0.0084375	0.00875	0.008711940602021502
AL355994.3	0.0	0	3200	0.0	0.0	0.0
HSPB7	58.0	54	3200	0.016875	0.018125	0.017962700374172524
CLCNKA	62.0	57	3200	0.0178125	0.019375	0.019189694393141266
CLCNKB	286.0	225	3200	0.0703125	0.089375	0.08560413729214832
FAM131C	28.0	26	3200	0.008125	0.00875	0.008711940602021502
EPHA2	864.0	617	3200	0.1928125	0.27	0.23901690047049992
AL451042.2	10.0	10	3200	0.003125	0.003125	0.003120127336243634
AL451042.1	0.0	0	3200	0.0	0.0	0.0
ARHGEF19-AS1	1.0	1	3200	0.0003125	0.0003125	0.00031245118204514246
ARHGEF19	448.0	376	3200	0.1175	0.14	0.1310282624064041
AL109627.1	91.0	88	3200	0.0275	0.0284375	0.028040660155522024
CPLANE2	136.0	124	3200	0.03875	0.0425	0.04162167469081946
FBXO42	353.0	329	3200	0.1028125	0.1103125	0.10464150723320917
SZRD1	2466.0	1345	3200	0.4203125	0.770625	0.5713325916026439
SPATA21	5.0	5	3200	0.0015625	0.0015625	0.0015612805669524994
NECAP2	1087.0	800	3200	0.25	0.3396875	0.2924363778101592
LINC01772	5.0	5	3200	0.0015625	0.0015625	0.0015612805669524994
AL137802.2	16.0	16	3200	0.005	0.005	0.004987541511039074
AL137802.1	0.0	0	3200	0.0	0.0	0.0
LINC01783	2.0	2	3200	0.000625	0.000625	0.0006248047688420805
NBPF1	230.0	210	3200	0.065625	0.071875	0.06940945137216768
AL137798.1	0.0	0	3200	0.0	0.0	0.0
AL137798.2	0.0	0	3200	0.0	0.0	0.0
AL021920.1	0.0	0	3200	0.0	0.0	0.0
AL021920.3	0.0	0	3200	0.0	0.0	0.0
CROCC	268.0	241	3200	0.0753125	0.08375	0.08042724911261456
BX284668.1	0.0	0	3200	0.0	0.0	0.0
BX284668.2	3.0	2	3200	0.000625	0.0009375	0.0009370608213402288
BX284668.5	628.0	495	3200	0.1546875	0.19625	0.179191663785027
BX284668.6	1.0	1	3200	0.0003125	0.0003125	0.00031245118204514246
MFAP2	1437.0	653	3200	0.2040625	0.4490625	0.3709167956036429
AL049569.2	0.0	0	3200	0.0	0.0	0.0
AL049569.1	0.0	0	3200	0.0	0.0	0.0
ATP13A2	635.0	507	3200	0.1584375	0.1984375	0.18101862501353863
SDHB	1492.0	893	3200	0.2790625	0.46625	0.3827081209855482
PADI2	25.0	25	3200	0.0078125	0.0078125	0.007782140442054949
LINC02783	4.0	4	3200	0.00125	0.00125	0.0012492194004319248
AL590644.1	0.0	0	3200	0.0	0.0	0.0
PADI1	0.0	0	3200	0.0	0.0	0.0
PADI3	1.0	1	3200	0.0003125	0.0003125	0.00031245118204514246
PADI4	1.0	1	3200	0.0003125	0.0003125	0.00031245118204514246
PADI6	0.0	0	3200	0.0	0.0	0.0
