subset	n	metric	HIGH_n	LOW_n	HIGH_mean	LOW_mean	delta	MWU_p	rho	rho_p
BRAFlike_PTLPTC_n3	3	CXCL13_mean	2	1	0.0036146817437838503	0.0012362773995846	0.0023784043441992505	1.0	0.5	0.6666666666666666
BRAFlike_PTLPTC_n3	3	CD79A_mean	2	1	0.05791895091533655	0.0366664640605449	0.021252486854791655	0.6666666666666666	1.0	0.0
BRAFlike_PTLPTC_n3	3	HT13_breadth	2	1	0.22272075153591958	0.1302315700021244	0.09248918153379518	0.6666666666666666	1.0	0.0
BRAFlike_PTLPTC_n3	3	TLS_coverage_pct	2	1	0.0491279783836895	0.0849798172933928	-0.035851838909703296	1.0	0.5	0.6666666666666666
BRAFlike_PTLPTC_n3	3	HT13_pb	2	1	0.5428413768632498	0.33843110385127	0.20441027301197984	0.6666666666666666		
BRAFlike_PTLPTC_n3	3	IFNG_mean	2	1	0.001713780889986	0.0004912808653898	0.0012225000245962001	0.6666666666666666	1.0	0.0
ambig_PTLPTC_n5	5	HLA_DRA_mean	3	2	2.0548468033472695	1.1303867995738983	0.9244600037733712	0.2	0.8999999999999998	0.03738607346849874
ambig_PTLPTC_n5	5	CXCL13_mean	3	2	0.022802720118003533	0.0027407943853177	0.020061925732685833	0.8	0.6	0.28475697986529386
ambig_PTLPTC_n5	5	CD79A_mean	3	2	0.09336229693144558	0.01911868574097745	0.07424361119046813	0.8	0.6	0.28475697986529386
ambig_PTLPTC_n5	5	HT13_breadth	3	2	0.2881153251348384	0.0823162326647686	0.20579909247006978	0.2	0.8999999999999998	0.03738607346849874
ambig_PTLPTC_n5	5	TLS_coverage_pct	3	2	0.9578544061302682	0.12178919397697074	0.8360652121532974	1.0	0.44721359549995787	0.45018485575210104
ambig_PTLPTC_n5	5	HT13_pb	3	2	0.5810737798933704	0.3251211170057874	0.255952662887583	0.2		
ambig_PTLPTC_n5	5	IFNG_mean	3	2	0.0016006462974473333	0.00027884225710295	0.0013218040403443834	1.0	0.46169025843831935	0.43376615616902764
ALL_PTLPTC_ATC_n12	12	HLA_DRA_mean	6	6	2.1850525736808777	1.4264467457930248	0.7586058278878529	0.025974025974025976	0.8881118881118882	0.00011413359814618021
ALL_PTLPTC_ATC_n12	12	CXCL13_mean	6	6	0.03639071875174215	0.020610899092086247	0.015779819659655903	0.30952380952380953	0.5734265734265735	0.05126558978649151
ALL_PTLPTC_ATC_n12	12	CD79A_mean	6	6	0.06516201514750715	0.020910043114175336	0.04425197203333181	0.48484848484848486	0.34965034965034975	0.26523878689278996
ALL_PTLPTC_ATC_n12	12	HT13_breadth	6	6	0.2777986067517002	0.20915312935005115	0.06864547740164906	0.13203463203463203	0.6223776223776225	0.030675895061640146
ALL_PTLPTC_ATC_n12	12	TLS_coverage_pct	6	6	0.5442290395033239	0.06536415474518135	0.47886488475814254	0.4549578535121156	0.36980802974413907	0.23674184094269435
ALL_PTLPTC_ATC_n12	12	HT13_pb	6	6	0.6080117569777381	0.41116033035527483	0.1968514266224633	0.0021645021645021645		
ALL_PTLPTC_ATC_n12	12	IFNG_mean	6	6	0.014046390657313118	0.0026471915092163667	0.01139919914809675	0.8725590308923818	0.24868689626011292	0.4357357561189062
MAPKhigh_PTLPTC_ATC	10	HLA_DRA_mean	5	5	2.1388978719711305	1.2549320101737975	0.8839658617973329	0.007936507936507936	0.9030303030303028	0.0003436121977632824
MAPKhigh_PTLPTC_ATC	10	CXCL13_mean	5	5	0.0253403984708711	0.0064383973018265995	0.0189020011690445	0.2222222222222222	0.41818181818181815	0.22911284098281892
MAPKhigh_PTLPTC_ATC	10	CD79A_mean	5	5	0.02350974436849352	0.023418558761477398	9.118560701612197e-05	1.0	0.2606060606060606	0.46708905438634024
MAPKhigh_PTLPTC_ATC	10	HT13_breadth	5	5	0.24898999390671622	0.21259563220839647	0.03639436169831975	0.30952380952380953	0.6606060606060605	0.03758837757140934
MAPKhigh_PTLPTC_ATC	10	TLS_coverage_pct	5	5	0.04011048804772386	0.06571164104946685	-0.02560115300174299	1.0	0.019395245515057075	0.9575888568713234
MAPKhigh_PTLPTC_ATC	10	HT13_pb	5	5	0.5970113412409914	0.38380846446738215	0.21320287677360927	0.007936507936507936		
MAPKhigh_PTLPTC_ATC	10	IFNG_mean	5	5	0.00201160111464556	0.0017607193323783202	0.0002508817822672398	0.9165626446795413	0.03647433262080388	0.9203184602756677
BRAFlike_PTLPTC_ATC_n5	5	HLA_DRA_mean	3	2	1.9681929349899292	1.2603657841682434	0.7078271508216858	0.2	0.8999999999999998	0.03738607346849874
BRAFlike_PTLPTC_ATC_n5	5	CXCL13_mean	3	2	0.03290092384365073	0.01308923342730845	0.01981169041634228	1.0	0.3	0.623837664781073
BRAFlike_PTLPTC_ATC_n5	5	CD79A_mean	3	2	0.04140178890277937	0.02099783578887575	0.020403953113903618	0.4	0.49999999999999994	0.3910022189557703
BRAFlike_PTLPTC_ATC_n5	5	HT13_breadth	3	2	0.21246070604338788	0.3380954271972374	-0.12563472115384952	1.0	0.3	0.623837664781073
BRAFlike_PTLPTC_ATC_n5	5	TLS_coverage_pct	3	2	0.05396089333037763	0.0424899086466964	0.011470984683681233	1.0	0.35909242322980395	0.5528147466433508
BRAFlike_PTLPTC_ATC_n5	5	HT13_pb	3	2	0.5445341378404126	0.38974571383173146	0.15478842400868115	0.2		
BRAFlike_PTLPTC_ATC_n5	5	IFNG_mean	3	2	0.0035023713911262002	0.00372798778698775	-0.0002256163958615498	0.8	0.49999999999999994	0.3910022189557703
BRAForAmbig_PTLPTC_ATC_n12	12	HLA_DRA_mean	6	6	2.1850525736808777	1.4264467457930248	0.7586058278878529	0.025974025974025976	0.8881118881118882	0.00011413359814618021
BRAForAmbig_PTLPTC_ATC_n12	12	CXCL13_mean	6	6	0.03639071875174215	0.020610899092086247	0.015779819659655903	0.30952380952380953	0.5734265734265735	0.05126558978649151
BRAForAmbig_PTLPTC_ATC_n12	12	CD79A_mean	6	6	0.06516201514750715	0.020910043114175336	0.04425197203333181	0.48484848484848486	0.34965034965034975	0.26523878689278996
BRAForAmbig_PTLPTC_ATC_n12	12	HT13_breadth	6	6	0.2777986067517002	0.20915312935005115	0.06864547740164906	0.13203463203463203	0.6223776223776225	0.030675895061640146
BRAForAmbig_PTLPTC_ATC_n12	12	TLS_coverage_pct	6	6	0.5442290395033239	0.06536415474518135	0.47886488475814254	0.4549578535121156	0.36980802974413907	0.23674184094269435
BRAForAmbig_PTLPTC_ATC_n12	12	HT13_pb	6	6	0.6080117569777381	0.41116033035527483	0.1968514266224633	0.0021645021645021645		
BRAForAmbig_PTLPTC_ATC_n12	12	IFNG_mean	6	6	0.014046390657313118	0.0026471915092163667	0.01139919914809675	0.8725590308923818	0.24868689626011292	0.4357357561189062
ALL_TUMOR_n12	12	HLA_DRA_mean	6	6	2.1850525736808777	1.4264467457930248	0.7586058278878529	0.025974025974025976	0.8881118881118882	0.00011413359814618021
ALL_TUMOR_n12	12	CXCL13_mean	6	6	0.03639071875174215	0.020610899092086247	0.015779819659655903	0.30952380952380953	0.5734265734265735	0.05126558978649151
ALL_TUMOR_n12	12	CD79A_mean	6	6	0.06516201514750715	0.020910043114175336	0.04425197203333181	0.48484848484848486	0.34965034965034975	0.26523878689278996
ALL_TUMOR_n12	12	HT13_breadth	6	6	0.2777986067517002	0.20915312935005115	0.06864547740164906	0.13203463203463203	0.6223776223776225	0.030675895061640146
ALL_TUMOR_n12	12	TLS_coverage_pct	6	6	0.5442290395033239	0.06536415474518135	0.47886488475814254	0.4549578535121156	0.36980802974413907	0.23674184094269435
ALL_TUMOR_n12	12	HT13_pb	6	6	0.6080117569777381	0.41116033035527483	0.1968514266224633	0.0021645021645021645		
ALL_TUMOR_n12	12	IFNG_mean	6	6	0.014046390657313118	0.0026471915092163667	0.01139919914809675	0.8725590308923818	0.24868689626011292	0.4357357561189062
