sample_short	sub_cluster_v2	RAI8_z_mean
TCGA-DE-A4MA-01	sub_A	-0.6708952957872149
TCGA-EL-A3T6-01	sub_B	-0.0733088179398158
TCGA-EL-A3CY-01	sub_A	-0.6262092839226081
TCGA-EM-A3AQ-01	sub_A	-0.3580044985859021
TCGA-J8-A4HW-06	sub_B	0.1290947053825831
TCGA-J8-A4HW-01	sub_B	0.6160673421005252
TCGA-CE-A3MD-01	sub_B	0.1125202231732278
TCGA-EL-A3ZN-01	sub_B	0.037810101778740474
TCGA-DJ-A4UP-01	sub_B	0.41433662581668085
TCGA-E8-A44M-01	sub_B	0.41136530235651725
TCGA-ET-A2MX-01	sub_A	-1.0518386132112445
TCGA-FY-A40M-01	sub_A	-0.3089514613998037
TCGA-ET-A4KN-01	sub_A	-1.2838733491008676
TCGA-ET-A40P-01	sub_B	0.2600128522806784
TCGA-FE-A22Z-01	sub_A	-0.7394131221291599
TCGA-FK-A3SG-01	sub_B	-0.0594798938130467
TCGA-EM-A22Q-01	sub_B	0.7738676440697791
TCGA-DE-A4MC-01	sub_A	-0.5340806604510181
TCGA-EM-A2P1-01	sub_A	-0.5915439857307393
TCGA-EL-A3TB-01	sub_B	0.33024527449581165
TCGA-DJ-A2PX-01	sub_B	-0.03995254087902662
TCGA-EL-A3ZS-01	sub_B	0.3557199892452376
