panel	removed_gene	cohort	AUC
TDS-16 (full)	IYD	K2_balanced	0.5
TDS-16 (full)	IYD	GSE286332	0.877
TDS-16 (full)	NKX2-1	TCGA	0.89
TDS-16 (full)	NKX2-1	K2_n260	0.581
TDS-16 (full)	NKX2-1	K2_n23	0.5
TDS-16 (full)	NKX2-1	K2_balanced	0.5
TDS-16 (full)	NKX2-1	GSE286332	0.877
TDS-16 (full)	PAX8	TCGA	0.883
TDS-16 (full)	PAX8	K2_n260	0.619
TDS-16 (full)	PAX8	K2_n23	0.476
TDS-16 (full)	PAX8	K2_balanced	0.56
TDS-16 (full)	PAX8	GSE286332	0.877
TDS-16 (full)	SLC26A4	TCGA	0.88
TDS-16 (full)	SLC26A4	K2_n260	0.652
TDS-16 (full)	SLC26A4	K2_n23	0.476
TDS-16 (full)	SLC26A4	K2_balanced	0.512
TDS-16 (full)	SLC26A4	GSE286332	0.889
TDS-16 (full)	SLC5A5	TCGA	0.888
TDS-16 (full)	SLC5A5	K2_n260	0.581
TDS-16 (full)	SLC5A5	K2_n23	0.508
TDS-16 (full)	SLC5A5	K2_balanced	0.56
TDS-16 (full)	SLC5A5	GSE286332	0.889
TDS-16 (full)	TFF3	TCGA	0.881
TDS-16 (full)	TFF3	K2_n260	0.652
TDS-16 (full)	TFF3	K2_n23	0.484
TDS-16 (full)	TFF3	K2_balanced	0.56
TDS-16 (full)	TFF3	GSE286332	0.877
TDS-16 (full)	TG	TCGA	0.882
TDS-16 (full)	TG	K2_n260	0.632
TDS-16 (full)	TG	K2_n23	0.508
TDS-16 (full)	TG	K2_balanced	0.536
TDS-16 (full)	TG	GSE286332	0.889
TDS-16 (full)	TPO	TCGA	0.872
TDS-16 (full)	TPO	K2_n260	0.731
TDS-16 (full)	TPO	K2_n23	0.579
TDS-16 (full)	TPO	K2_balanced	0.607
TDS-16 (full)	TPO	GSE286332	0.889
TDS-16 (full)	TSHR	TCGA	0.882
TDS-16 (full)	TSHR	K2_n260	0.588
TDS-16 (full)	TSHR	K2_n23	0.508
TDS-16 (full)	TSHR	K2_balanced	0.536
TDS-16 (full)	TSHR	GSE286332	0.889
NONOVERLAP_8	SLC26A4	TCGA	0.872
NONOVERLAP_8	SLC26A4	K2_n23	0.563
NONOVERLAP_8	SLC26A4	K2_balanced	0.619
NONOVERLAP_8	SLC26A4	GSE286332	0.877
NONOVERLAP_8	IYD	TCGA	0.854
NONOVERLAP_8	IYD	K2_n23	0.595
NONOVERLAP_8	IYD	K2_balanced	0.595
NONOVERLAP_8	IYD	GSE286332	0.877
NONOVERLAP_8	DUOX1	TCGA	0.896
NONOVERLAP_8	DUOX1	K2_n23	0.619
NONOVERLAP_8	DUOX1	K2_balanced	0.607
NONOVERLAP_8	DUOX1	GSE286332	0.877
NONOVERLAP_8	DUOX2	TCGA	0.89
NONOVERLAP_8	DUOX2	K2_n23	0.603
NONOVERLAP_8	DUOX2	K2_balanced	0.571
NONOVERLAP_8	DUOX2	GSE286332	0.84
NONOVERLAP_8	TFF3	TCGA	0.869
NONOVERLAP_8	TFF3	K2_n23	0.571
NONOVERLAP_8	TFF3	K2_balanced	0.655
NONOVERLAP_8	TFF3	GSE286332	0.864
NONOVERLAP_8	HHEX	TCGA	0.874
NONOVERLAP_8	HHEX	K2_n23	0.587
NONOVERLAP_8	HHEX	K2_balanced	0.595
NONOVERLAP_8	HHEX	GSE286332	0.877
NONOVERLAP_8	GLIS3	TCGA	0.869
NONOVERLAP_8	GLIS3	K2_n23	0.635
NONOVERLAP_8	GLIS3	K2_balanced	0.679
NONOVERLAP_8	GLIS3	GSE286332	0.877
NONOVERLAP_8	DIO2	TCGA	0.843
NONOVERLAP_8	DIO2	K2_n23	0.627
NONOVERLAP_8	DIO2	K2_balanced	0.655
NONOVERLAP_8	DIO2	GSE286332	0.877
TF_4_backbone	FOXE1	TCGA	0.71
TF_4_backbone	FOXE1	K2_n260	0.783
TF_4_backbone	FOXE1	K2_n23	0.659
TF_4_backbone	FOXE1	K2_balanced	0.655
TF_4_backbone	FOXE1	GSE286332	0.988
TF_4_backbone	NKX2-1	TCGA	0.869
TF_4_backbone	NKX2-1	K2_n260	0.677
TF_4_backbone	NKX2-1	K2_n23	0.556
TF_4_backbone	NKX2-1	K2_balanced	0.548
TF_4_backbone	NKX2-1	GSE286332	0.975
TF_4_backbone	PAX8	TCGA	0.758
TF_4_backbone	PAX8	K2_n260	0.743
TF_4_backbone	PAX8	K2_n23	0.587
TF_4_backbone	PAX8	K2_balanced	0.726
TF_4_backbone	PAX8	GSE286332	0.975
TF_4_backbone	HHEX	TCGA	0.784
TF_4_backbone	HHEX	K2_n260	0.738
TF_4_backbone	HHEX	K2_n23	0.54
TF_4_backbone	HHEX	K2_balanced	0.631
TF_4_backbone	HHEX	GSE286332	0.938
RAI_5_effectors_only	SLC5A5	TCGA	0.89
RAI_5_effectors_only	SLC5A5	K2_n260	0.222
RAI_5_effectors_only	SLC5A5	K2_n23	0.143
RAI_5_effectors_only	SLC5A5	K2_balanced	0.155
RAI_5_effectors_only	SLC5A5	GSE286332	0.827
RAI_5_effectors_only	TPO	TCGA	0.802
RAI_5_effectors_only	TPO	K2_n260	0.702
RAI_5_effectors_only	TPO	K2_n23	0.262
RAI_5_effectors_only	TPO	K2_balanced	0.226
RAI_5_effectors_only	TPO	GSE286332	0.753
RAI_5_effectors_only	TG	TCGA	0.84
RAI_5_effectors_only	TG	K2_n260	0.447
RAI_5_effectors_only	TG	K2_n23	0.095
RAI_5_effectors_only	TG	K2_balanced	0.024
RAI_5_effectors_only	TG	GSE286332	0.741
RAI_5_effectors_only	TSHR	TCGA	0.847
RAI_5_effectors_only	TSHR	K2_n260	0.201
RAI_5_effectors_only	TSHR	K2_n23	0.103
RAI_5_effectors_only	TSHR	K2_balanced	0.071
RAI_5_effectors_only	TSHR	GSE286332	0.716
RAI_5_effectors_only	DIO1	TCGA	0.803
RAI_5_effectors_only	DIO1	K2_n260	0.743
RAI_5_effectors_only	DIO1	K2_n23	0.246
RAI_5_effectors_only	DIO1	K2_balanced	0.202
RAI_5_effectors_only	DIO1	GSE286332	0.765
TF_3_within_RAI8	FOXE1	TCGA	0.661
TF_3_within_RAI8	FOXE1	K2_n260	0.783
TF_3_within_RAI8	FOXE1	K2_n23	0.619
TF_3_within_RAI8	FOXE1	K2_balanced	0.655
TF_3_within_RAI8	FOXE1	GSE286332	0.963
TF_3_within_RAI8	NKX2-1	TCGA	0.872
TF_3_within_RAI8	NKX2-1	K2_n260	0.677
TF_3_within_RAI8	NKX2-1	K2_n23	0.492
TF_3_within_RAI8	NKX2-1	K2_balanced	0.524
TF_3_within_RAI8	NKX2-1	GSE286332	0.951
TF_3_within_RAI8	PAX8	TCGA	0.721
TF_3_within_RAI8	PAX8	K2_n260	0.743
TF_3_within_RAI8	PAX8	K2_n23	0.54
TF_3_within_RAI8	PAX8	K2_balanced	0.75
TF_3_within_RAI8	PAX8	GSE286332	0.926
RAI_8 + HHEX (9)	SLC5A5	TCGA	0.883
RAI_8 + HHEX (9)	SLC5A5	K2_n260	0.581
RAI_8 + HHEX (9)	SLC5A5	K2_n23	0.413
RAI_8 + HHEX (9)	SLC5A5	K2_balanced	0.464
RAI_8 + HHEX (9)	SLC5A5	GSE286332	0.951
RAI_8 + HHEX (9)	TPO	TCGA	0.848
RAI_8 + HHEX (9)	TPO	K2_n260	0.731
RAI_8 + HHEX (9)	TPO	K2_n23	0.468
RAI_8 + HHEX (9)	TPO	K2_balanced	0.512
RAI_8 + HHEX (9)	TPO	GSE286332	0.926
RAI_8 + HHEX (9)	TG	TCGA	0.864
RAI_8 + HHEX (9)	TG	K2_n260	0.632
RAI_8 + HHEX (9)	TG	K2_n23	0.389
RAI_8 + HHEX (9)	TG	K2_balanced	0.405
RAI_8 + HHEX (9)	TG	GSE286332	0.901
RAI_8 + HHEX (9)	TSHR	TCGA	0.87
RAI_8 + HHEX (9)	TSHR	K2_n260	0.588
RAI_8 + HHEX (9)	TSHR	K2_n23	0.341
RAI_8 + HHEX (9)	TSHR	K2_balanced	0.357
RAI_8 + HHEX (9)	TSHR	GSE286332	0.926
RAI_8 + HHEX (9)	PAX8	TCGA	0.866
RAI_8 + HHEX (9)	PAX8	K2_n260	0.619
RAI_8 + HHEX (9)	PAX8	K2_n23	0.302
RAI_8 + HHEX (9)	PAX8	K2_balanced	0.369
RAI_8 + HHEX (9)	PAX8	GSE286332	0.852
RAI_8 + HHEX (9)	NKX2-1	TCGA	0.884
RAI_8 + HHEX (9)	NKX2-1	K2_n260	0.581
RAI_8 + HHEX (9)	NKX2-1	K2_n23	0.317
RAI_8 + HHEX (9)	NKX2-1	K2_balanced	0.286
RAI_8 + HHEX (9)	NKX2-1	GSE286332	0.852
RAI_8 + HHEX (9)	FOXE1	TCGA	0.842
RAI_8 + HHEX (9)	FOXE1	K2_n260	0.648
RAI_8 + HHEX (9)	FOXE1	K2_n23	0.373
RAI_8 + HHEX (9)	FOXE1	K2_balanced	0.393
RAI_8 + HHEX (9)	FOXE1	GSE286332	0.901
RAI_8 + HHEX (9)	DIO1	TCGA	0.843
RAI_8 + HHEX (9)	DIO1	K2_n260	0.754
RAI_8 + HHEX (9)	DIO1	K2_n23	0.476
RAI_8 + HHEX (9)	DIO1	K2_balanced	0.524
RAI_8 + HHEX (9)	DIO1	GSE286332	0.901
RAI_8 + HHEX (9)	HHEX	TCGA	0.861
RAI_8 + HHEX (9)	HHEX	K2_n260	0.652
RAI_8 + HHEX (9)	HHEX	K2_n23	0.31
RAI_8 + HHEX (9)	HHEX	K2_balanced	0.333
RAI_8 + HHEX (9)	HHEX	GSE286332	0.877
RAI_8 + TF_4 (12 unique)	DIO1	TCGA	0.843
RAI_8 + TF_4 (12 unique)	DIO1	K2_n260	0.754
RAI_8 + TF_4 (12 unique)	DIO1	K2_n23	0.476
RAI_8 + TF_4 (12 unique)	DIO1	K2_balanced	0.524
RAI_8 + TF_4 (12 unique)	DIO1	GSE286332	0.901
RAI_8 + TF_4 (12 unique)	FOXE1	TCGA	0.842
RAI_8 + TF_4 (12 unique)	FOXE1	K2_n260	0.648
RAI_8 + TF_4 (12 unique)	FOXE1	K2_n23	0.373
RAI_8 + TF_4 (12 unique)	FOXE1	K2_balanced	0.393
RAI_8 + TF_4 (12 unique)	FOXE1	GSE286332	0.901
RAI_8 + TF_4 (12 unique)	HHEX	TCGA	0.861
RAI_8 + TF_4 (12 unique)	HHEX	K2_n260	0.652
RAI_8 + TF_4 (12 unique)	HHEX	K2_n23	0.31
RAI_8 + TF_4 (12 unique)	HHEX	K2_balanced	0.333
RAI_8 + TF_4 (12 unique)	HHEX	GSE286332	0.877
RAI_8 + TF_4 (12 unique)	NKX2-1	TCGA	0.884
RAI_8 + TF_4 (12 unique)	NKX2-1	K2_n260	0.581
RAI_8 + TF_4 (12 unique)	NKX2-1	K2_n23	0.317
RAI_8 + TF_4 (12 unique)	NKX2-1	K2_balanced	0.286
RAI_8 + TF_4 (12 unique)	NKX2-1	GSE286332	0.852
RAI_8 + TF_4 (12 unique)	PAX8	TCGA	0.866
RAI_8 + TF_4 (12 unique)	PAX8	K2_n260	0.619
RAI_8 + TF_4 (12 unique)	PAX8	K2_n23	0.302
RAI_8 + TF_4 (12 unique)	PAX8	K2_balanced	0.369
RAI_8 + TF_4 (12 unique)	PAX8	GSE286332	0.852
RAI_8 + TF_4 (12 unique)	SLC5A5	TCGA	0.883
RAI_8 + TF_4 (12 unique)	SLC5A5	K2_n260	0.581
RAI_8 + TF_4 (12 unique)	SLC5A5	K2_n23	0.413
RAI_8 + TF_4 (12 unique)	SLC5A5	K2_balanced	0.464
RAI_8 + TF_4 (12 unique)	SLC5A5	GSE286332	0.951
RAI_8 + TF_4 (12 unique)	TG	TCGA	0.864
RAI_8 + TF_4 (12 unique)	TG	K2_n260	0.632
RAI_8 + TF_4 (12 unique)	TG	K2_n23	0.389
RAI_8 + TF_4 (12 unique)	TG	K2_balanced	0.405
RAI_8 + TF_4 (12 unique)	TG	GSE286332	0.901
RAI_8 + TF_4 (12 unique)	TPO	TCGA	0.848
RAI_8 + TF_4 (12 unique)	TPO	K2_n260	0.731
RAI_8 + TF_4 (12 unique)	TPO	K2_n23	0.468
RAI_8 + TF_4 (12 unique)	TPO	K2_balanced	0.512
RAI_8 + TF_4 (12 unique)	TPO	GSE286332	0.926
RAI_8 + TF_4 (12 unique)	TSHR	TCGA	0.87
RAI_8 + TF_4 (12 unique)	TSHR	K2_n260	0.588
RAI_8 + TF_4 (12 unique)	TSHR	K2_n23	0.341
RAI_8 + TF_4 (12 unique)	TSHR	K2_balanced	0.357
RAI_8 + TF_4 (12 unique)	TSHR	GSE286332	0.926
RAI_8 + NONOVERLAP_8 (16)	SLC5A5	TCGA	0.888
RAI_8 + NONOVERLAP_8 (16)	SLC5A5	K2_n260	0.581
RAI_8 + NONOVERLAP_8 (16)	SLC5A5	K2_n23	0.508
RAI_8 + NONOVERLAP_8 (16)	SLC5A5	K2_balanced	0.56
RAI_8 + NONOVERLAP_8 (16)	SLC5A5	GSE286332	0.889
RAI_8 + NONOVERLAP_8 (16)	TPO	TCGA	0.872
RAI_8 + NONOVERLAP_8 (16)	TPO	K2_n260	0.731
RAI_8 + NONOVERLAP_8 (16)	TPO	K2_n23	0.579
RAI_8 + NONOVERLAP_8 (16)	TPO	K2_balanced	0.607
RAI_8 + NONOVERLAP_8 (16)	TPO	GSE286332	0.889
RAI_8 + NONOVERLAP_8 (16)	TG	TCGA	0.882
RAI_8 + NONOVERLAP_8 (16)	TG	K2_n260	0.632
RAI_8 + NONOVERLAP_8 (16)	TG	K2_n23	0.508
RAI_8 + NONOVERLAP_8 (16)	TG	K2_balanced	0.536
RAI_8 + NONOVERLAP_8 (16)	TG	GSE286332	0.889
RAI_8 + NONOVERLAP_8 (16)	TSHR	TCGA	0.882
RAI_8 + NONOVERLAP_8 (16)	TSHR	K2_n260	0.588
RAI_8 + NONOVERLAP_8 (16)	TSHR	K2_n23	0.508
RAI_8 + NONOVERLAP_8 (16)	TSHR	K2_balanced	0.536
RAI_8 + NONOVERLAP_8 (16)	TSHR	GSE286332	0.889
RAI_8 + NONOVERLAP_8 (16)	PAX8	TCGA	0.883
RAI_8 + NONOVERLAP_8 (16)	PAX8	K2_n260	0.619
RAI_8 + NONOVERLAP_8 (16)	PAX8	K2_n23	0.476
RAI_8 + NONOVERLAP_8 (16)	PAX8	K2_balanced	0.56
RAI_8 + NONOVERLAP_8 (16)	PAX8	GSE286332	0.877
RAI_8 + NONOVERLAP_8 (16)	NKX2-1	TCGA	0.89
RAI_8 + NONOVERLAP_8 (16)	NKX2-1	K2_n260	0.581
RAI_8 + NONOVERLAP_8 (16)	NKX2-1	K2_n23	0.5
RAI_8 + NONOVERLAP_8 (16)	NKX2-1	K2_balanced	0.5
RAI_8 + NONOVERLAP_8 (16)	NKX2-1	GSE286332	0.877
RAI_8 + NONOVERLAP_8 (16)	FOXE1	TCGA	0.867
RAI_8 + NONOVERLAP_8 (16)	FOXE1	K2_n260	0.648
RAI_8 + NONOVERLAP_8 (16)	FOXE1	K2_n23	0.508
RAI_8 + NONOVERLAP_8 (16)	FOXE1	K2_balanced	0.548
RAI_8 + NONOVERLAP_8 (16)	FOXE1	GSE286332	0.889
RAI_8 + NONOVERLAP_8 (16)	DIO1	TCGA	0.869
RAI_8 + NONOVERLAP_8 (16)	DIO1	K2_n260	0.754
RAI_8 + NONOVERLAP_8 (16)	DIO1	K2_n23	0.579
RAI_8 + NONOVERLAP_8 (16)	DIO1	K2_balanced	0.619
RAI_8 + NONOVERLAP_8 (16)	DIO1	GSE286332	0.889
RAI_8 + NONOVERLAP_8 (16)	SLC26A4	TCGA	0.88
RAI_8 + NONOVERLAP_8 (16)	SLC26A4	K2_n260	0.652
RAI_8 + NONOVERLAP_8 (16)	SLC26A4	K2_n23	0.476
RAI_8 + NONOVERLAP_8 (16)	SLC26A4	K2_balanced	0.512
RAI_8 + NONOVERLAP_8 (16)	SLC26A4	GSE286332	0.889
RAI_8 + NONOVERLAP_8 (16)	IYD	TCGA	0.872
RAI_8 + NONOVERLAP_8 (16)	IYD	K2_n260	0.652
RAI_8 + NONOVERLAP_8 (16)	IYD	K2_n23	0.5
RAI_8 + NONOVERLAP_8 (16)	IYD	K2_balanced	0.5
RAI_8 + NONOVERLAP_8 (16)	IYD	GSE286332	0.877
RAI_8 + NONOVERLAP_8 (16)	DUOX1	TCGA	0.885
RAI_8 + NONOVERLAP_8 (16)	DUOX1	K2_n260	0.652
RAI_8 + NONOVERLAP_8 (16)	DUOX1	K2_n23	0.516
RAI_8 + NONOVERLAP_8 (16)	DUOX1	K2_balanced	0.524
RAI_8 + NONOVERLAP_8 (16)	DUOX1	GSE286332	0.889
RAI_8 + NONOVERLAP_8 (16)	DUOX2	TCGA	0.885
RAI_8 + NONOVERLAP_8 (16)	DUOX2	K2_n260	0.652
RAI_8 + NONOVERLAP_8 (16)	DUOX2	K2_n23	0.508
RAI_8 + NONOVERLAP_8 (16)	DUOX2	K2_balanced	0.548
RAI_8 + NONOVERLAP_8 (16)	DUOX2	GSE286332	0.877
RAI_8 + NONOVERLAP_8 (16)	TFF3	TCGA	0.881
RAI_8 + NONOVERLAP_8 (16)	TFF3	K2_n260	0.652
RAI_8 + NONOVERLAP_8 (16)	TFF3	K2_n23	0.484
RAI_8 + NONOVERLAP_8 (16)	TFF3	K2_balanced	0.56
RAI_8 + NONOVERLAP_8 (16)	TFF3	GSE286332	0.877
RAI_8 + NONOVERLAP_8 (16)	HHEX	TCGA	0.877
RAI_8 + NONOVERLAP_8 (16)	HHEX	K2_n260	0.652
RAI_8 + NONOVERLAP_8 (16)	HHEX	K2_n23	0.492
RAI_8 + NONOVERLAP_8 (16)	HHEX	K2_balanced	0.524
RAI_8 + NONOVERLAP_8 (16)	HHEX	GSE286332	0.877
RAI_8 + NONOVERLAP_8 (16)	GLIS3	TCGA	0.881
RAI_8 + NONOVERLAP_8 (16)	GLIS3	K2_n260	0.652
RAI_8 + NONOVERLAP_8 (16)	GLIS3	K2_n23	0.524
RAI_8 + NONOVERLAP_8 (16)	GLIS3	K2_balanced	0.56
RAI_8 + NONOVERLAP_8 (16)	GLIS3	GSE286332	0.889
RAI_8 + NONOVERLAP_8 (16)	DIO2	TCGA	0.867
RAI_8 + NONOVERLAP_8 (16)	DIO2	K2_n260	0.652
RAI_8 + NONOVERLAP_8 (16)	DIO2	K2_n23	0.508
RAI_8 + NONOVERLAP_8 (16)	DIO2	K2_balanced	0.524
RAI_8 + NONOVERLAP_8 (16)	DIO2	GSE286332	0.889
TF_4 + RAI_5 (9)	FOXE1	TCGA	0.842
TF_4 + RAI_5 (9)	FOXE1	K2_n260	0.648
TF_4 + RAI_5 (9)	FOXE1	K2_n23	0.373
TF_4 + RAI_5 (9)	FOXE1	K2_balanced	0.393
TF_4 + RAI_5 (9)	FOXE1	GSE286332	0.901
TF_4 + RAI_5 (9)	NKX2-1	TCGA	0.884
TF_4 + RAI_5 (9)	NKX2-1	K2_n260	0.581
TF_4 + RAI_5 (9)	NKX2-1	K2_n23	0.317
TF_4 + RAI_5 (9)	NKX2-1	K2_balanced	0.286
TF_4 + RAI_5 (9)	NKX2-1	GSE286332	0.852
TF_4 + RAI_5 (9)	PAX8	TCGA	0.866
TF_4 + RAI_5 (9)	PAX8	K2_n260	0.619
TF_4 + RAI_5 (9)	PAX8	K2_n23	0.302
TF_4 + RAI_5 (9)	PAX8	K2_balanced	0.369
TF_4 + RAI_5 (9)	PAX8	GSE286332	0.852
TF_4 + RAI_5 (9)	HHEX	TCGA	0.861
TF_4 + RAI_5 (9)	HHEX	K2_n260	0.652
TF_4 + RAI_5 (9)	HHEX	K2_n23	0.31
TF_4 + RAI_5 (9)	HHEX	K2_balanced	0.333
TF_4 + RAI_5 (9)	HHEX	GSE286332	0.877
TF_4 + RAI_5 (9)	SLC5A5	TCGA	0.883
TF_4 + RAI_5 (9)	SLC5A5	K2_n260	0.581
TF_4 + RAI_5 (9)	SLC5A5	K2_n23	0.413
TF_4 + RAI_5 (9)	SLC5A5	K2_balanced	0.464
TF_4 + RAI_5 (9)	SLC5A5	GSE286332	0.951
TF_4 + RAI_5 (9)	TPO	TCGA	0.848
TF_4 + RAI_5 (9)	TPO	K2_n260	0.731
TF_4 + RAI_5 (9)	TPO	K2_n23	0.468
TF_4 + RAI_5 (9)	TPO	K2_balanced	0.512
TF_4 + RAI_5 (9)	TPO	GSE286332	0.926
TF_4 + RAI_5 (9)	TG	TCGA	0.864
TF_4 + RAI_5 (9)	TG	K2_n260	0.632
TF_4 + RAI_5 (9)	TG	K2_n23	0.389
TF_4 + RAI_5 (9)	TG	K2_balanced	0.405
TF_4 + RAI_5 (9)	TG	GSE286332	0.901
TF_4 + RAI_5 (9)	TSHR	TCGA	0.87
TF_4 + RAI_5 (9)	TSHR	K2_n260	0.588
TF_4 + RAI_5 (9)	TSHR	K2_n23	0.341
TF_4 + RAI_5 (9)	TSHR	K2_balanced	0.357
TF_4 + RAI_5 (9)	TSHR	GSE286332	0.926
TF_4 + RAI_5 (9)	DIO1	TCGA	0.843
TF_4 + RAI_5 (9)	DIO1	K2_n260	0.754
TF_4 + RAI_5 (9)	DIO1	K2_n23	0.476
TF_4 + RAI_5 (9)	DIO1	K2_balanced	0.524
TF_4 + RAI_5 (9)	DIO1	GSE286332	0.901
TF_3 + iodide	FOXE1	TCGA	0.838
TF_3 + iodide	FOXE1	K2_n260	0.74
TF_3 + iodide	FOXE1	K2_n23	0.524
TF_3 + iodide	FOXE1	K2_balanced	0.548
TF_3 + iodide	FOXE1	GSE286332	0.864
TF_3 + iodide	NKX2-1	TCGA	0.881
TF_3 + iodide	NKX2-1	K2_n260	0.645
TF_3 + iodide	NKX2-1	K2_n23	0.476
TF_3 + iodide	NKX2-1	K2_balanced	0.488
TF_3 + iodide	NKX2-1	GSE286332	0.84
TF_3 + iodide	PAX8	TCGA	0.864
TF_3 + iodide	PAX8	K2_n260	0.716
TF_3 + iodide	PAX8	K2_n23	0.476
TF_3 + iodide	PAX8	K2_balanced	0.571
TF_3 + iodide	PAX8	GSE286332	0.864
TF_3 + iodide	SLC5A5	TCGA	0.888
TF_3 + iodide	SLC5A5	K2_n260	0.645
TF_3 + iodide	SLC5A5	K2_n23	0.532
TF_3 + iodide	SLC5A5	K2_balanced	0.619
TF_3 + iodide	SLC5A5	GSE286332	0.914
TF_3 + iodide	TPO	TCGA	0.847
TF_3 + iodide	TPO	K2_n260	0.805
TF_3 + iodide	TPO	K2_n23	0.611
TF_3 + iodide	TPO	K2_balanced	0.655
TF_3 + iodide	TPO	GSE286332	0.877
TF_3 + iodide	TG	TCGA	0.865
TF_3 + iodide	TG	K2_n260	0.681
TF_3 + iodide	TG	K2_n23	0.532
TF_3 + iodide	TG	K2_balanced	0.536
TF_3 + iodide	TG	GSE286332	0.864
TF_3 + iodide	SLC26A4	TCGA	0.866
TF_3 + iodide	SLC26A4	K2_n260	0.722
TF_3 + iodide	SLC26A4	K2_n23	0.476
TF_3 + iodide	SLC26A4	K2_balanced	0.536
TF_3 + iodide	SLC26A4	GSE286332	0.901
TF_3 + iodide	IYD	TCGA	0.84
TF_3 + iodide	IYD	K2_n260	0.722
TF_3 + iodide	IYD	K2_n23	0.468
TF_3 + iodide	IYD	K2_balanced	0.488
TF_3 + iodide	IYD	GSE286332	0.852
Iodide-handling 6	SLC5A5	TCGA	0.847
Iodide-handling 6	SLC5A5	K2_n23	0.429
Iodide-handling 6	SLC5A5	K2_balanced	0.548
