feature_set	model_name	protocol	n_features	folds_used	oof_available	n_rows	n_pos	auprc	auroc	brier	ece	top10_precision	top20_precision
bma_v2_gates	extra_depth3	source_heldout_oof	10	3	410	410	35	0.43670929158611455	0.8424380952380952	0.1771089373587022	0.34482912214284356	0.2	0.45
stress_plus_components	extra_depth3	source_heldout_oof	5	3	410	410	35	0.4359513886231288	0.8889904761904761	0.15618904279463833	0.3119627937103324	0.5	0.5
stress_plus_components	rf_depth3	source_heldout_oof	5	3	410	410	35	0.41723270079848096	0.8563428571428571	0.1305822857399313	0.23650928527784018	0.6	0.55
stress_only	extra_depth3	source_heldout_oof	1	3	410	410	35	0.40979207366013964	0.8832761904761904	0.15404888475566703	0.3118566203571	0.5	0.25
stress_plus_bma_v2	extra_depth3	source_heldout_oof	15	3	410	410	35	0.40569076001583215	0.8790857142857142	0.165637411616192	0.32879687407981695	0.5	0.45
bma_v2_gates	rf_depth3	source_heldout_oof	10	3	410	410	35	0.4044390205019494	0.868495238095238	0.11152050438730607	0.2091231844536776	0.3	0.35
stress_plus_bma_v2	gb_depth2_lr003	source_heldout_oof	15	3	410	410	35	0.3997797133010135	0.8350095238095236	0.08646661418094319	0.1268791229379559	0.2	0.5
bma_v2_gates	gb_depth2_lr003	source_heldout_oof	10	3	410	410	35	0.3539860981231827	0.7270857142857143	0.08606429000496232	0.13406678445107728	0.1	0.45
stress_only	gb_depth2_lr003	source_heldout_oof	1	3	410	410	35	0.32701812477145425	0.8427809523809523	0.11365031288706347	0.15931616268595775	0.0	0.1
stress_plus_components	gb_depth2_lr003	source_heldout_oof	5	3	410	410	35	0.32157779584377555	0.8073142857142857	0.11089345708695092	0.18284219343601765	0.0	0.25
stress_only	rf_depth3	source_heldout_oof	1	3	410	410	35	0.2814450839775756	0.859390476190476	0.15691767843225096	0.19919601435076018	0.0	0.0
bma_v2_gates	logistic_C0.03	source_heldout_oof	10	3	410	410	35	0.1801105495804288	0.35451428571428567	0.16104572051452376	0.3103182114043399	0.6	0.3
stress_plus_bma_v2	logistic_C0.03	source_heldout_oof	15	3	410	410	35	0.17248514032917914	0.3778285714285714	0.14223459897926122	0.2769434545659179	0.6	0.3
stress_plus_bma_v2	logistic_C0.3	source_heldout_oof	15	3	410	410	35	0.1585278538310912	0.3591619047619048	0.1212738687000334	0.24134709732886778	0.6	0.3
stress_plus_bma_v2	logistic_C0.1	source_heldout_oof	15	3	410	410	35	0.15553882843751368	0.3446857142857143	0.1326911244423287	0.2600894484581378	0.6	0.3
bma_v2_gates	logistic_C0.1	source_heldout_oof	10	3	410	410	35	0.14528984397317293	0.32830476190476193	0.16374795965117453	0.30537239907397556	0.4	0.25
bma_v2_gates	logistic_C0.3	source_heldout_oof	10	3	410	410	35	0.13357844454654266	0.3037714285714285	0.18587539919531917	0.3352202940669737	0.4	0.2
stress_plus_bma_v2	logistic_C1.0	source_heldout_oof	15	3	410	410	35	0.12407392566296194	0.3450666666666667	0.10950543207196396	0.20747057521664405	0.4	0.2
bma_v2_gates	logistic_C1.0	source_heldout_oof	10	3	410	410	35	0.12093775942235273	0.29333333333333333	0.22038418271664978	0.37984370674122003	0.3	0.2
