topic_id	topic	metric	note	n_a	n_b	rate_a	rate_b	odds_ratio	p	bh_q	mean_a	mean_b	diff_a_minus_b	cohen_d_a_minus_b	n	mean	min	max	rate_gt_0_24	median_r	q25	q75	spearman_r	mean_activity	dm1_top_minus_bot	tpo_d	slc5a5_d	tpo_p	slc5a5_p	d_gap	HR	HR_lo	HR_hi	n_models	max_abs_spearman	max_auroc	pooled_n	auroc_q75	auroc_q50	sample	super_org_mean	n_atc
T01	T01 miRNA-biogenesis-defective progression route (DICER1/DGCR8 GeoMx)	PDTC PanCK+ vs microPTC PanCK+ Eight_gene_DM1	GSE301163 GeoMx	9.0	5.0				0.5184815184815185		2.1646292848406192	2.2304414401375574	-0.06581215529693818	-0.5471644735237882																												
T01	T01 miRNA-biogenesis-defective progression route (DICER1/DGCR8 GeoMx)	PDTC PanCK+ vs microPTC PanCK+ HLA_II	GSE301163 GeoMx	9.0	5.0				0.000999000999000999		1.9756198829686507	2.8401451902723256	-0.8645253073036749	-6.045225534894171																												
T01	T01 miRNA-biogenesis-defective progression route (DICER1/DGCR8 GeoMx)	PDTC PanCK+ vs microPTC PanCK+ Cell_cycle	GSE301163 GeoMx	9.0	5.0				0.2977022977022977		2.138827207536034	2.1955037673970668	-0.056676559861032594	-0.636551542889377																												
T01	T01 miRNA-biogenesis-defective progression route (DICER1/DGCR8 GeoMx)	PDTC PanCK+ vs microPTC PanCK+ Hypoxia	GSE301163 GeoMx	9.0	5.0				0.000999000999000999		3.1634945096959495	3.3651865543881896	-0.2016920446922401	-3.125165774493407																												
T01	T01 miRNA-biogenesis-defective progression route (DICER1/DGCR8 GeoMx)	PDTC PanCK+ vs microPTC PanCK+ EMT	GSE301163 GeoMx	9.0	5.0				0.000999000999000999		2.6961489035089468	2.9671722082558967	-0.2710233047469499	-4.178588809854019																												
T01	T01 miRNA-biogenesis-defective progression route (DICER1/DGCR8 GeoMx)	Eight_gene_DM1 microPTC PanCK+ vs Normal PanCK+	precomputed GeoMx stat	5.0	6.0				0.0173160173160173		2.2304414401375574	2.550511180088089																														
T01	T01 miRNA-biogenesis-defective progression route (DICER1/DGCR8 GeoMx)	DM1_axis PDTC PanCK+ vs microPTC PanCK+	precomputed GeoMx stat	9.0	5.0				0.0009990009990009		3.975528807011665	4.386108072478716																														
T01	T01 miRNA-biogenesis-defective progression route (DICER1/DGCR8 GeoMx)	RAI_8 PDTC PanCK+ vs microPTC PanCK+	precomputed GeoMx stat	9.0	5.0				0.0009990009990009		4.457483874839831	4.827906951672985																														
T01	T01 miRNA-biogenesis-defective progression route (DICER1/DGCR8 GeoMx)	Thyroid_TF PDTC PanCK+ vs microPTC PanCK+	precomputed GeoMx stat	9.0	5.0				0.0069930069930069		4.731766528581586	4.281445728857472																														
T02	T02 tumor-specific TROP2 spatial niche	TROP2 Moran PTC/LPTC vs negative controls	28-slide Visium corpus	8.0	12.0				1.5876796062554575e-05		0.43276366703358915	0.0397590946424531	0.39300457239113606	4.991232752206584																												
T02	T02 tumor-specific TROP2 spatial niche	TROP2 niche threshold rate >0.25	Moran's I threshold	8.0	12.0	1.0	0.0	inf	7.938398031277288e-06																																	
T03	T03 Hashimoto-overlap PTC TLS / B-cell / IGHV spatial niche	GSE230424 HLA_II Moran summary	4 PTC+HT slides												4.0	0.6621994391690031	0.4827942023134804	0.8055203721940768	1.0																							
T03	T03 Hashimoto-overlap PTC TLS / B-cell / IGHV spatial niche	GSE230424 B_cell Moran summary	4 PTC+HT slides												4.0	0.4941613099194443	0.2395812919142934	0.6717886218537209	0.75																							
T03	T03 Hashimoto-overlap PTC TLS / B-cell / IGHV spatial niche	GSE230424 TLS Moran summary	4 PTC+HT slides												4.0	0.49088632192837356	0.269502401083983	0.6057899743812873	1.0																							
T03	T03 Hashimoto-overlap PTC TLS / B-cell / IGHV spatial niche	GSE230424 IGHV_AICDA Moran summary	4 PTC+HT slides												4.0	0.6210315905778636	0.3983193427521524	0.8439414393393202	1.0																							
T03	T03 Hashimoto-overlap PTC TLS / B-cell / IGHV spatial niche	PTC_HT immune-Moran mean vs others	axis-level summary	16.0	96.0						0.5672548779541793	0.3499384186624948	0.21731645929168447																													
T04	T04 CAF/ECM ligand remodeling as a suppressor context for thyroid-lineage/RAI programs	spatial ligand DCN	NicheNet-lite spatial ligand screen												16.0					0.2856101488581352	0.2048301197956871	0.3582942276291656																				
T04	T04 CAF/ECM ligand remodeling as a suppressor context for thyroid-lineage/RAI programs	spatial ligand COL1A2	NicheNet-lite spatial ligand screen												16.0					0.279201737086564	0.0712779297170012	0.4240807111114359																				
T04	T04 CAF/ECM ligand remodeling as a suppressor context for thyroid-lineage/RAI programs	spatial ligand SFRP2	NicheNet-lite spatial ligand screen												16.0					0.2287672248968147	0.0964293516313838	0.3043196158936641																				
T04	T04 CAF/ECM ligand remodeling as a suppressor context for thyroid-lineage/RAI programs	spatial ligand COL1A1	NicheNet-lite spatial ligand screen												16.0					0.1818181419490505	0.059683498284149	0.4353027996949583																				
T04	T04 CAF/ECM ligand remodeling as a suppressor context for thyroid-lineage/RAI programs	spatial ligand COL3A1	NicheNet-lite spatial ligand screen												16.0					0.1779447048362658	0.0267045566559535	0.2780971327971789																				
T04	T04 CAF/ECM ligand remodeling as a suppressor context for thyroid-lineage/RAI programs	spatial ligand LUM	NicheNet-lite spatial ligand screen												16.0					0.1752315341199715	0.0120279214339928	0.2808442628118023																				
T04	T04 CAF/ECM ligand remodeling as a suppressor context for thyroid-lineage/RAI programs	spatial ligand BGN	NicheNet-lite spatial ligand screen												16.0					0.1665045008630405	0.0579384179839171	0.3889893888212021																				
T04	T04 CAF/ECM ligand remodeling as a suppressor context for thyroid-lineage/RAI programs	spatial ligand SFRP4	NicheNet-lite spatial ligand screen												15.0					0.1438193851625571	0.0091919093758815	0.2304681895652491																				
T04	T04 CAF/ECM ligand remodeling as a suppressor context for thyroid-lineage/RAI programs	TCGA NEG CAF vs RAI	BRAF/RAS-negative bulk replication												132.0								-0.2850464120050298																			
T04	T04 CAF/ECM ligand remodeling as a suppressor context for thyroid-lineage/RAI programs	TCGA NEG M1_M2 vs RAI	BRAF/RAS-negative bulk replication												132.0								-0.4787819653227447																			
T04	T04 CAF/ECM ligand remodeling as a suppressor context for thyroid-lineage/RAI programs	TCGA NEG TLS vs RAI	BRAF/RAS-negative bulk replication												132.0								-0.2525606173657599																			
T04	T04 CAF/ECM ligand remodeling as a suppressor context for thyroid-lineage/RAI programs	TCGA NEG CD8 vs RAI	BRAF/RAS-negative bulk replication												132.0								-0.2670503461985984																			
T05	T05 spatial immune-checkpoint ligand-receptor routes in aggressive thyroid cancer	ATC LGALS9→HAVCR2	spatial ligand-receptor activity												4.0									0.0347919266205281	0.0278524830937385																	
T05	T05 spatial immune-checkpoint ligand-receptor routes in aggressive thyroid cancer	LPTC LGALS9→HAVCR2	spatial ligand-receptor activity												4.0									0.0074397119460627	0.0074766579054994																	
T05	T05 spatial immune-checkpoint ligand-receptor routes in aggressive thyroid cancer	ATC CCL5→CCR5	spatial ligand-receptor activity												4.0									0.0918602640740573	0.0053851082921028																	
T05	T05 spatial immune-checkpoint ligand-receptor routes in aggressive thyroid cancer	LPTC CCL5→CCR5	spatial ligand-receptor activity												4.0									0.0029285403143148	0.0053708397863374																	
T05	T05 spatial immune-checkpoint ligand-receptor routes in aggressive thyroid cancer	ATC CXCL10→CXCR3	spatial ligand-receptor activity												4.0									0.0545570027898065	0.0046983898500911																	
T05	T05 spatial immune-checkpoint ligand-receptor routes in aggressive thyroid cancer	PTC LGALS9→HAVCR2	spatial ligand-receptor activity												4.0									0.0068832836695946	0.0032871542789507																	
T05	T05 spatial immune-checkpoint ligand-receptor routes in aggressive thyroid cancer	PTC CXCL13→CXCR5	spatial ligand-receptor activity												4.0									0.0020388855773489	0.0030748563785891																	
T05	T05 spatial immune-checkpoint ligand-receptor routes in aggressive thyroid cancer	ATC CD86→CTLA4	spatial ligand-receptor activity												4.0									0.0030720421054866	0.002568720607087																	
T05	T05 spatial immune-checkpoint ligand-receptor routes in aggressive thyroid cancer	PTC CXCL9→CXCR3	spatial ligand-receptor activity												4.0									0.0013062476937193	0.002242326067062																	
T05	T05 spatial immune-checkpoint ligand-receptor routes in aggressive thyroid cancer	PT CCL5→CCR5	spatial ligand-receptor activity												4.0									0.0016814039481687	0.0017290483956458																	
T05	T05 spatial immune-checkpoint ligand-receptor routes in aggressive thyroid cancer	PTC CD86→CTLA4	spatial ligand-receptor activity												4.0									0.0014896739385221	0.0015377543168142																	
T05	T05 spatial immune-checkpoint ligand-receptor routes in aggressive thyroid cancer	ATC IL10→IL10RA	spatial ligand-receptor activity												4.0									0.001312552300078	0.0013813440455123																	
T06	T06 NIS/SLC5A5 non-methylation silencing exception	SLC5A5 promoter methylation DM1-DM2	HM450 per-gene methylation	90.0	54.0				0.420924195751085				0.026	0.225																												
T06	T06 NIS/SLC5A5 non-methylation silencing exception	TPO promoter methylation DM1-DM2	HM450 per-gene methylation	90.0	54.0				1.880325337579407e-18				0.415	2.299																												
T06	T06 NIS/SLC5A5 non-methylation silencing exception	TG promoter methylation DM1-DM2	HM450 per-gene methylation	90.0	54.0				2.246866311002649e-06				0.129	0.856																												
T06	T06 NIS/SLC5A5 non-methylation silencing exception	TSHR promoter methylation DM1-DM2	HM450 per-gene methylation	90.0	54.0				9.759000202111912e-12				0.117	1.203																												
T06	T06 NIS/SLC5A5 non-methylation silencing exception	PAX8 promoter methylation DM1-DM2	HM450 per-gene methylation	90.0	54.0				4.4813799271054374e-08				0.045	0.97																												
T06	T06 NIS/SLC5A5 non-methylation silencing exception	NKX2-1 promoter methylation DM1-DM2	HM450 per-gene methylation	90.0	54.0				8.937106472324041e-07				0.053	0.631																												
T06	T06 NIS/SLC5A5 non-methylation silencing exception	FOXE1 promoter methylation DM1-DM2	HM450 per-gene methylation	90.0	54.0				1.0239035792584006e-05				0.042	0.835																												
T06	T06 NIS/SLC5A5 non-methylation silencing exception	DIO1 promoter methylation DM1-DM2	HM450 per-gene methylation	90.0	54.0				6.515409931007674e-11				0.227	1.244																												
T06	T06 NIS/SLC5A5 non-methylation silencing exception	TPO methylation effect minus SLC5A5 exception	mechanism split																							2.299	0.225	1.880325337579407e-18	0.420924195751085	2.074												
T07	T07 immune/TLS protective paradox in thyroid cancer	DSS Cox M1_M2	univariate TCGA module Cox						0.0050466590706625						566.0																0.3472001161842595											
T07	T07 immune/TLS protective paradox in thyroid cancer	DSS Cox CD8	univariate TCGA module Cox						0.0110940569780339						566.0																0.2770732832718992											
T07	T07 immune/TLS protective paradox in thyroid cancer	DSS Cox TLS	univariate TCGA module Cox						0.073655677933131						566.0																0.4248716156594354											
T07	T07 immune/TLS protective paradox in thyroid cancer	DSS Cox CAF	univariate TCGA module Cox						0.7330783925976463						566.0																1.1500623846823204											
T07	T07 immune/TLS protective paradox in thyroid cancer	DSS Cox RAI	univariate TCGA module Cox						0.2578092944671182						566.0																1.6995818641917304											
T07	T07 immune/TLS protective paradox in thyroid cancer	DSS Cox age+stage M1_M2	adjusted TCGA module Cox						0.0362118247115491						564.0																0.5302507395663287	0.2928633272656953	0.960058227282092									
T07	T07 immune/TLS protective paradox in thyroid cancer	DSS Cox age+stage CD8	adjusted TCGA module Cox						0.1321492554790753						564.0																0.6179169948904327	0.3302030956348328	1.1563229346482995									
T07	T07 immune/TLS protective paradox in thyroid cancer	DSS Cox age+stage TLS	adjusted TCGA module Cox						0.1675877625452566						564.0																0.6575334092441988	0.3625036876379095	1.1926780306415985									
T08	T08 DICER1/EIF1AX rare-driver FVPTC-like residual class	Class4 vs Class6 DM2 rate	TCGA driver class	7.0	125.0	0.8571428571428571	0.384	9.625	0.01859658302243108																																	
T08	T08 DICER1/EIF1AX rare-driver FVPTC-like residual class	Class4 vs Class6 rai_score_v17	TCGA driver class	7.0	125.0				0.1436607536699628		9.030526442464334	8.32699887109809	0.7035275713662443	0.5888291368628401																												
T08	T08 DICER1/EIF1AX rare-driver FVPTC-like residual class	Class4 vs Class6 tds16_score_v17	TCGA driver class	7.0	125.0				0.12025909083862886		7.961490314410619	7.410229478524801	0.5512608358858175	0.5742453463648777																												
T08	T08 DICER1/EIF1AX rare-driver FVPTC-like residual class	Class4 vs Class6 mean_8g_beta	TCGA driver class	7.0	123.0				0.0033958077979858808		0.2365321428571428	0.33591534552845526	-0.09938320267131245	-1.129161059203973																												
T08	T08 DICER1/EIF1AX rare-driver FVPTC-like residual class	Class4 vs Class6 age	TCGA driver class	7.0	122.0				0.5923468570618654		52.58511782536423	46.354057966135926	6.231059859228303	0.36147209884487447																												
T09	T09 TERT-only triple-negative high-risk microclass	Class5 TERT-only vs Class6 PFI event rate	TCGA sparse pilot	5.0	125.0	0.4	0.048	13.222222222222221	0.03035402942700141																																	
T09	T09 TERT-only triple-negative high-risk microclass	Class5 vs Class6 rai_score_v17	TCGA sparse pilot	5.0	125.0				0.013069146796794384		6.791152879577867	8.32699887109809	-1.5358459915202225	-1.262476488234026																												
T09	T09 TERT-only triple-negative high-risk microclass	Class5 vs Class6 mean_8g_beta	TCGA sparse pilot	5.0	123.0				0.6402402623980611		0.35561499999999996	0.33591534552845526	0.019699654471544703	0.2226746516296961																												
T09	T09 TERT-only triple-negative high-risk microclass	Class5 vs Class6 age	TCGA sparse pilot	5.0	122.0				0.2891516032081751		54.37426420260097	46.354057966135926	8.020206236465043	0.476728914623751																												
T10	T10 morphology-invisible RAI/DM molecular axis	Closure battery best absolute Spearman	H&E/Visium closure battery																															11.0	0.0928923062339174	0.5474541666666667						
T10	T10 morphology-invisible RAI/DM molecular axis	A raw_DM1_like_score ridge	negative result																				0.0606373841246263														3200.0	0.5207484375	0.523293923058074			
T10	T10 morphology-invisible RAI/DM molecular axis	A raw_DM1_like_score enet	negative result																				-0.0928923062339174														3200.0	0.4241666666666667	0.4971726386820726			
T10	T10 morphology-invisible RAI/DM molecular axis	A raw_RAI_8_score ridge	negative result																				0.0606373841246263														3200.0	0.5367427083333334	0.5275051404615705			
T10	T10 morphology-invisible RAI/DM molecular axis	A raw_RAI_8_score enet	negative result																				-0.0928923062339174														3200.0	0.4952083333333333	0.3979151909009425			
T10	T10 morphology-invisible RAI/DM molecular axis	A raw_TDS_like_score ridge	negative result																				0.0790084990588182														3200.0	0.5474541666666667	0.5385857467987195			
T10	T10 morphology-invisible RAI/DM molecular axis	A raw_TDS_like_score enet	negative result																				-0.0792075601983715														3200.0	0.4945833333333332	0.4011323279311725			
T10	T10 morphology-invisible RAI/DM molecular axis	B B1_resid_log_counts_only ridge	negative result																				0.0117667810049866														3200.0	0.5057817708333333	0.500866796875			
T10	T10 morphology-invisible RAI/DM molecular axis	B B2_resid_log_ngenes_only ridge	negative result																				0.011322144143183														3200.0	0.5061203125	0.503083203125			
T11	T11 ATC spatial coherence collapse with single-sample super-organization	ATC vs LPTC stage-gradient Thyroid_differen	16-slide GSE250521 spatial v12	1.0	1.0				1.0		0.1236769828815912	0.6120241378729812	-0.48834715499139																													
T11	T11 ATC spatial coherence collapse with single-sample super-organization	ATC vs LPTC stage-gradient Cell_cycle	16-slide GSE250521 spatial v12	1.0	1.0				1.0		0.4374248609879644	0.1609616960695654	0.276463164918399																													
T11	T11 ATC spatial coherence collapse with single-sample super-organization	ATC vs LPTC stage-gradient T_cell	16-slide GSE250521 spatial v12	1.0	1.0				1.0		0.4186134712393226	0.1817650865339801	0.23684838470534247																													
T11	T11 ATC spatial coherence collapse with single-sample super-organization	ATC vs LPTC stage-gradient Macrophage_TAM	16-slide GSE250521 spatial v12	1.0	1.0				1.0		0.3463209201286651	0.2143159937989515	0.1320049263297136																													
T11	T11 ATC spatial coherence collapse with single-sample super-organization	ATC vs LPTC stage-gradient Hypoxia	16-slide GSE250521 spatial v12	1.0	1.0				1.0		0.4961607566294467	0.5262020135967491	-0.03004125696730242																													
T11	T11 ATC spatial coherence collapse with single-sample super-organization	ATC vs LPTC stage-gradient EMT_program	16-slide GSE250521 spatial v12	1.0	1.0				1.0		0.429288606307839	0.5073242135343747	-0.07803560722653574																													
T11	T11 ATC spatial coherence collapse with single-sample super-organization	ATC vs LPTC stage-gradient Cellular_stress	16-slide GSE250521 spatial v12	1.0	1.0				1.0		0.5688567767968576	0.5976164550901089	-0.028759678293251212																													
T11	T11 ATC spatial coherence collapse with single-sample super-organization	top ATC super-organization sample	case-like outlier screen																																					ATC	0.449444232015016	1.0
