population	country	region	locus	shannon_H	exp_het	n_alleles_observed
India North pop 2	India	South Asia	A	0.6378413669054894	0.44572154098032013	2
India Northeast UCBB	India	South Asia	A	1.0862414681896084	0.6581993177387913	3
India South UCBB	India	South Asia	A	0.729646817612118	0.417244280743863	8
India Tamil Nadu	India	South Asia	A	0.7545506438720532	0.4406308335610004	4
India Tamil Nadu Nadar	India	South Asia	A	0.6894191824580503	0.4962766368625835	2
India West Bhil	India	South Asia	A	-0.0	0.0	1
India West Coast Parsi	India	South Asia	A	0.3488320958430318	0.19753086419753074	2
India West UCBB	India	South Asia	A	0.7346016573368578	0.40904048424305695	10
Indonesia Java Western	Indonesia	Southeast Asia	A	2.2144748937289185	0.8635266525034035	14
Indonesia Java pop 2	Indonesia	Southeast Asia	A	2.2828007686688077	0.8663344647360631	14
Indonesia Sundanese and Javanese	Indonesia	Southeast Asia	A	2.2533486975301567	0.8669925617826224	17
Japan Central	Japan	East Asia	A	1.401207371841548	0.651754703735768	12
Japan Hokkaido Ainu	Japan	East Asia	A	1.2184034864126325	0.6836547291092746	5
Japan Okinawa Ryukyuan	Japan	East Asia	A	1.4268271852931913	0.6461112426035504	14
Japan pop 16	Japan	East Asia	A	1.444435791597901	0.6781148876369281	20
Japan pop 3	Japan	East Asia	A	1.4251221521266983	0.6789696270665129	12
Japan pop 5	Japan	East Asia	A	1.4548282791625078	0.7036396399459408	6
Malaysia Champa	Malaysia	Southeast Asia	A	1.5624018846326444	0.7815936542275104	5
Malaysia Jelebu Temuan	Malaysia	Southeast Asia	A	0.8039435250293543	0.4615278954236396	3
Malaysia Kedah Baling Kensiu	Malaysia	Southeast Asia	A	0.304636097349238	0.165289256198347	2
Malaysia Kedah Kensiu	Malaysia	Southeast Asia	A	0.3379850378412523	0.18946537432568755	2
Malaysia Kelantan	Malaysia	Southeast Asia	A	1.077748743318975	0.5651132084698518	4
Malaysia Mandailing	Malaysia	Southeast Asia	A	0.9398125861770867	0.5051382401211968	4
Malaysia Pahang Semai	Malaysia	Southeast Asia	A	1.1600977181326069	0.6414464234415398	4
Malaysia Patani	Malaysia	Southeast Asia	A	1.162225544921092	0.6446280991735537	4
Malaysia Peninsular Chinese	Malaysia	Southeast Asia	A	1.5218882179444155	0.7174630436317819	8
Malaysia Peninsular Indian	Malaysia	Southeast Asia	A	1.626743711659281	0.7192907034086748	15
Malaysia Peninsular Malay	Malaysia	Southeast Asia	A	1.966441795502098	0.8070152936814572	20
Malaysia Perak Grik Jehai	Malaysia	Southeast Asia	A	1.1685184057430877	0.628099173553719	4
Malaysia Sarawak Bau Bidayuh	Malaysia	Southeast Asia	A	1.0986122886681096	0.6666666666666666	3
Mongolia Buryat	Mongolia	East Asia	A	2.4481344644115732	0.8514417964596235	28
Pakistan Baloch	Pakistan	South Asia	A	1.00628739291733	0.5385343002567453	4
Pakistan Brahui	Pakistan	South Asia	A	1.2569142077381972	0.6542911153119091	5
Pakistan Burusho	Pakistan	South Asia	A	1.0973511772469036	0.6658163265306122	3
Pakistan Kalash	Pakistan	South Asia	A	0.6810735747459749	0.48797506362778464	2
Pakistan Karachi Parsi	Pakistan	South Asia	A	1.2156473396817509	0.6138406658739597	5
Pakistan Mixed Pathan	Pakistan	South Asia	A	1.1232265067781573	0.6171648069078268	5
Pakistan Mixed Punjabi	Pakistan	South Asia	A	1.8949006222785445	0.7702326299139693	14
Pakistan Mixed Sindhi	Pakistan	South Asia	A	1.3144868605503641	0.6725167384508044	5
Philippines Ivatan	Philippines	Southeast Asia	A	1.4782273188210302	0.7232131060906328	6
Singapore Chinese	Singapore	Southeast Asia	A	1.6280270450044285	0.7508686390532545	9
Singapore Chinese Han	Singapore	Southeast Asia	A	1.752127121515699	0.7929786230866542	8
Singapore Javaneses	Singapore	Southeast Asia	A	1.867396633298541	0.8058409951325041	9
Singapore Riau Malay	Singapore	Southeast Asia	A	1.729066822142125	0.744943309512386	10
Singapore SGVP Chinese CHS	Singapore	Southeast Asia	A	1.5471336287975392	0.7185487528344672	7
Singapore SGVP Malay MAS	Singapore	Southeast Asia	A	1.5234268513015599	0.6984967794912688	9
Singapore SGVP. Indian INS	Singapore	Southeast Asia	A	1.6178084958928458	0.7566632104816664	9
Singapore Thai	Singapore	Southeast Asia	A	1.4572084710893178	0.7040326619995574	9
South Korea pop 10	South Korea	East Asia	A	1.6505637376645845	0.7601020685865199	13
South Korea pop 3	South Korea	East Asia	A	1.3866093498836434	0.6876041666666668	7
Sri Lanka Colombo	Sri Lanka	South Asia	A	2.49098768398627	0.888685739834591	26
Sri Lanka Colombo Sinhalese	Sri Lanka	South Asia	A	1.709445262681129	0.7940614701292984	7
Taiwan Ami	Taiwan	East Asia	A	-0.0	0.0	1
Taiwan Atayal	Taiwan	East Asia	A	-0.0	0.0	1
Taiwan Bunun	Taiwan	East Asia	A	-0.0	0.0	1
Taiwan Hakka	Taiwan	East Asia	A	-0.0	0.0	1
Taiwan Han Chinese	Taiwan	East Asia	A	0.26929379607760096	0.11661807580174943	3
Taiwan Minnan pop 1	Taiwan	East Asia	A	0.2094507916881735	0.10174586657417062	2
Taiwan Paiwan	Taiwan	East Asia	A	-0.0	0.0	1
Taiwan Pazeh	Taiwan	East Asia	A	-0.0	0.0	1
Taiwan Puyuma	Taiwan	East Asia	A	-0.0	0.0	1
Taiwan Rukai	Taiwan	East Asia	A	-0.0	0.0	1
Taiwan Saisiat	Taiwan	East Asia	A	-0.0	0.0	1
Taiwan Siraya	Taiwan	East Asia	A	-0.0	0.0	1
Taiwan Tao	Taiwan	East Asia	A	-0.0	0.0	1
Taiwan Taroko	Taiwan	East Asia	A	-0.0	0.0	1
Taiwan Thao	Taiwan	East Asia	A	-0.0	0.0	1
Taiwan Tsou	Taiwan	East Asia	A	-0.0	0.0	1
Taiwan Tzu Chi Cord Blood Bank	Taiwan	East Asia	A	0.2779039717501393	0.1466050591275745	2
Taiwan pop 2	Taiwan	East Asia	A	0.18182028230491815	0.0849382716049385	2
Taiwan pop 3	Taiwan	East Asia	A	0.3425415079719701	0.19284149013878737	2
Thailand	Thailand	Southeast Asia	A	2.297123816236677	0.821628795185371	22
Thailand Northeast	Thailand	Southeast Asia	A	1.1514892031504345	0.6028122481067582	8
Thailand Northeast pop 2	Thailand	Southeast Asia	A	0.9886373722914256	0.5620566168761321	7
Vietnam Hanoi Kinh pop 2	Vietnam	Southeast Asia	A	2.5019823192371633	0.8891108891108891	21
Vietnam Kinh	Vietnam	Southeast Asia	A	2.531822547890674	0.8772265707010621	25
China Beijing	China	East Asia	B	-0.0	0.0	1
China Beijing Shijiazhuang Tianjian Han	China	East Asia	B	0.7179617696512508	0.33219954648526084	5
China Canton Han	China	East Asia	B	0.6268694575724263	0.4351999999999999	2
China Guangzhou	China	East Asia	B	-0.0	0.0	1
China Guangzhou Han	China	East Asia	B	-0.0	0.0	1
China Han HIV negative	China	East Asia	B	0.6340278556561093	0.44205522861023083	2
China Henan HIV negative	China	East Asia	B	0.6340278556561093	0.44205522861023083	2
China Hubei Han	China	East Asia	B	0.5462478002425147	0.36044855820576727	2
China Inner Mongolia Region	China	East Asia	B	2.9746019786373417	0.9360183991271573	27
China Jiangsu Han	China	East Asia	B	0.35730464361893033	0.20389845721350075	2
China Jiangsu Province Han	China	East Asia	B	0.6216114446621263	0.4301870543686124	2
China Jingpo Minority	China	East Asia	B	-0.0	0.0	1
China North Han	China	East Asia	B		1.0	0
China Qinghai Province Hui	China	East Asia	B	-0.0	0.0	1
China South Han	China	East Asia	B	0.6534181947937018	0.4608000000000001	2
China Southwest Dai	China	East Asia	B	-0.0	0.0	1
China Tibet Region Tibetan	China	East Asia	B	-0.0	0.0	1
China Uyghur HIV negative	China	East Asia	B	-0.0	0.0	1
China Yunnan Bulang	China	East Asia	B	-0.0	0.0	1
China Yunnan Hani	China	East Asia	B	-0.0	0.0	1
China Yunnan Province Han	China	East Asia	B	-0.0	0.0	1
China Yunnan Province Jinuo	China	East Asia	B	-0.0	0.0	1
China Yunnan Province Lisu	China	East Asia	B	-0.0	0.0	1
China Yunnan Province Nu	China	East Asia	B	0.8926403905290403	0.5274894271434063	3
China Yunnan Province Wa	China	East Asia	B	-0.0	0.0	1
China Zhejiang Han	China	East Asia	B	0.7577047506014396	0.47088858405730827	3
Germany DKMS - China minority	China	East Asia	B	0.5864703230741484	0.39717414818820984	2
India Andhra Pradesh Golla	India	South Asia	B	0.8427091469651616	0.49367709048132535	3
India Andhra Pradesh Telugu Speaking	India	South Asia	B	0.8766414039445988	0.5411413222717806	3
India Central UCBB	India	South Asia	B	1.0817789696017204	0.6164641951455139	4
India Delhi pop 2	India	South Asia	B	1.0549460311523957	0.6371751636580044	3
India East UCBB	India	South Asia	B	1.0897547905607288	0.6027664399092969	4
India Karnataka Kannada Speaking	India	South Asia	B	0.7825696369183691	0.5207939508506616	3
India Kerala Malayalam speaking	India	South Asia	B	0.7146015538192423	0.41224635101459606	3
India Khandesh Region Pawra	India	South Asia	B		1.0	0
India Mumbai Maratha	India	South Asia	B	0.655103948177523	0.46244170096021964	2
India New Delhi	India	South Asia	B	0.6632498884791477	0.3611605553577786	3
India North UCBB	India	South Asia	B	0.96742663998392	0.5567134610633184	4
India North pop 2	India	South Asia	B	1.0910258053116848	0.6617687074829933	3
India Northeast UCBB	India	South Asia	B	0.20713879267379437	0.10030958550479885	2
India South UCBB	India	South Asia	B	0.9905145772579285	0.6030401234567903	3
India Tamil Nadu	India	South Asia	B	0.6861386839306792	0.493007891743262	2
India Tamil Nadu Nadar	India	South Asia	B	-0.0	0.0	1
India West Bhil	India	South Asia	B		1.0	0
India West Coast Parsi	India	South Asia	B	-0.0	0.0	1
India West UCBB	India	South Asia	B	1.0075399683444712	0.60232084820715	3
Indonesia Java Western	Indonesia	Southeast Asia	B	2.8506619176369363	0.9262488717788134	25
Indonesia Java pop 2	Indonesia	Southeast Asia	B	2.7580911274414524	0.9150573364980411	22
Indonesia Sundanese and Javanese	Indonesia	Southeast Asia	B	2.9458541253065023	0.9293191611605861	35
Japan Central	Japan	East Asia	B	1.685158376349385	0.7657212359608717	12
Japan Hokkaido Ainu	Japan	East Asia	B	0.6884884796216293	0.4271267102914932	3
Japan pop 16	Japan	East Asia	B	1.7199635974412637	0.7686199309402671	21
Japan pop 3	Japan	East Asia	B	1.7368676979378188	0.7739642211992308	13
Japan pop 5	Japan	East Asia	B	1.5487961455135393	0.7512755806885373	7
Malaysia Champa	Malaysia	Southeast Asia	B	0.9351458282358818	0.5669400194803154	3
Malaysia Jelebu Temuan	Malaysia	Southeast Asia	B	0.6837349901344723	0.4906173766185027	2
Malaysia Kedah Baling Kensiu	Malaysia	Southeast Asia	B	0.8033149761408755	0.4800000000000001	3
Malaysia Kedah Kensiu	Malaysia	Southeast Asia	B	1.0132815673791356	0.615879292403746	3
Malaysia Kelantan	Malaysia	Southeast Asia	B	0.6021911092112855	0.31539075987528653	3
Malaysia Mandailing	Malaysia	Southeast Asia	B	0.8467443175421594	0.42259247448979587	4
Malaysia Pahang Semai	Malaysia	Southeast Asia	B	0.8282147971617357	0.5309846178497037	3
Malaysia Patani	Malaysia	Southeast Asia	B	0.9433483923290393	0.5799999999999998	3
Malaysia Peninsular Chinese	Malaysia	Southeast Asia	B	1.4823781844770463	0.6946516409395684	10
Malaysia Peninsular Indian	Malaysia	Southeast Asia	B	2.1128659213839844	0.8580196786710663	12
Malaysia Peninsular Malay	Malaysia	Southeast Asia	B	1.4475570283562968	0.6302360560074503	17
Malaysia Perak Grik Jehai	Malaysia	Southeast Asia	B	0.8675632284814612	0.5	3
Malaysia Sarawak Bau Bidayuh	Malaysia	Southeast Asia	B	0.3488320958430318	0.19753086419753074	2
Pakistan Baloch	Pakistan	South Asia	B	-0.0	0.0	1
Pakistan Brahui	Pakistan	South Asia	B	-0.0	0.0	1
Pakistan Burusho	Pakistan	South Asia	B		1.0	0
Pakistan Kalash	Pakistan	South Asia	B		1.0	0
Pakistan Karachi Parsi	Pakistan	South Asia	B	0.6517565611726531	0.4591836734693877	2
Pakistan Mixed Pathan	Pakistan	South Asia	B	-0.0	0.0	1
Pakistan Mixed Punjabi	Pakistan	South Asia	B	2.8402436818298127	0.9180758971467965	28
Pakistan Mixed Sindhi	Pakistan	South Asia	B	0.500402423538188	0.32000000000000006	2
Philippines Ivatan	Philippines	Southeast Asia	B	1.6252103885093279	0.7309027777777779	8
Singapore Chinese	Singapore	Southeast Asia	B	1.5088764963854226	0.7170696867666564	7
Singapore Chinese Han	Singapore	Southeast Asia	B	1.585631767308306	0.7142024156601416	8
Singapore Javaneses	Singapore	Southeast Asia	B	1.5180632995399175	0.7269021739130435	6
Singapore Riau Malay	Singapore	Southeast Asia	B	1.4108984064627519	0.6966387505658669	6
Singapore SGVP Chinese CHS	Singapore	Southeast Asia	B	1.5297228045597426	0.7278440103418558	7
Singapore SGVP Malay MAS	Singapore	Southeast Asia	B	1.0747385990781015	0.5249682256073974	5
Singapore SGVP. Indian INS	Singapore	Southeast Asia	B	2.059172592911336	0.8605844704745803	9
Singapore Thai	Singapore	Southeast Asia	B	1.5542018564715445	0.7473324063803528	7
South Korea pop 10	South Korea	East Asia	B	1.9114106712808085	0.8008160796050123	13
South Korea pop 3	South Korea	East Asia	B	1.8002993111909227	0.8080940901453721	8
South Korea pop 8	South Korea	East Asia	B	0.46745768714633856	0.2918834547346515	2
Sri Lanka Colombo	Sri Lanka	South Asia	B	3.216632725980016	0.946772	54
Taiwan Ami	Taiwan	East Asia	B		1.0	0
Taiwan Atayal	Taiwan	East Asia	B		1.0	0
Taiwan Bunun	Taiwan	East Asia	B		1.0	0
Taiwan Hakka	Taiwan	East Asia	B		1.0	0
Taiwan Han Chinese	Taiwan	East Asia	B	-0.0	0.0	1
Taiwan Minnan pop 1	Taiwan	East Asia	B		1.0	0
Taiwan Paiwan	Taiwan	East Asia	B		1.0	0
Taiwan Pazeh	Taiwan	East Asia	B		1.0	0
Taiwan Puyuma	Taiwan	East Asia	B		1.0	0
Taiwan Rukai	Taiwan	East Asia	B		1.0	0
Taiwan Saisiat	Taiwan	East Asia	B		1.0	0
Taiwan Siraya	Taiwan	East Asia	B		1.0	0
Taiwan Tao	Taiwan	East Asia	B		1.0	0
Taiwan Taroko	Taiwan	East Asia	B		1.0	0
Taiwan Thao	Taiwan	East Asia	B		1.0	0
Taiwan Tsou	Taiwan	East Asia	B		1.0	0
Taiwan Tzu Chi Cord Blood Bank	Taiwan	East Asia	B	-0.0	0.0	1
Taiwan pop 2	Taiwan	East Asia	B	-0.0	0.0	1
Thailand	Thailand	Southeast Asia	B	2.91919051763608	0.9236181087545071	29
Thailand Northeast	Thailand	Southeast Asia	B	-0.0	0.0	1
Thailand Northeast pop 2	Thailand	Southeast Asia	B	1.7075961355518883	0.788299560546875	9
Thailand pop 3	Thailand	Southeast Asia	B	2.942290772917667	0.9296361086613946	25
Vietnam Hanoi Kinh pop 2	Vietnam	Southeast Asia	B	3.063114889040949	0.9372441002018869	37
Vietnam Kinh	Vietnam	Southeast Asia	B	3.1770187890915604	0.9414387381771014	40
China Beijing	China	East Asia	C	0.38721237518636065	0.22684310018903586	2
China Canton Han	China	East Asia	C	-0.0	0.0	1
China Guangdong Province Meizhou Han	China	East Asia	C	0.2547305455495607	0.13092640349137086	2
China Guangzhou	China	East Asia	C	0.12219479832829928	0.05151031606058076	2
China Guizhou Province Bouyei	China	East Asia	C	-0.0	0.0	1
China Guizhou Province Miao pop 2	China	East Asia	C	0.11430081522467282	0.04740284220360924	2
China Guizhou Province Shui	China	East Asia	C	0.0580727366523499	0.020687394529495418	2
China Han HIV negative	China	East Asia	C	0.4491239084590395	0.2765878349395179	2
China Henan HIV negative	China	East Asia	C	0.4491239084590395	0.2765878349395179	2
China Hubei Han	China	East Asia	C	0.2664779828432075	0.1072952579331855	5
China Inner Mongolia Region	China	East Asia	C	2.7118555261175863	0.9174362453517151	24
China Jingpo Minority	China	East Asia	C	-0.0	0.0	1
China North Han	China	East Asia	C	0.17884491271684766	0.08317580340264663	2
China North Han pop 2	China	East Asia	C	0.5773516012193648	0.2935893998059883	4
China Qinghai Province Hui	China	East Asia	C	0.16114321393173764	0.07288797061524344	2
China Shanxi HIV negative	China	East Asia	C	-0.0	0.0	1
China Sichuan HIV negative	China	East Asia	C	0.23665083022918407	0.11903906923297902	2
China South Han	China	East Asia	C	-0.0	0.0	1
China South Han pop 2	China	East Asia	C	0.21470313520810952	0.07692199546485246	6
China Southwest Dai	China	East Asia	C	0.07119540247167304	0.026485293455249748	2
China Tibet Region Tibetan	China	East Asia	C	0.12425083738963098	0.05259313367421492	2
China Uyghur HIV negative	China	East Asia	C	-0.0	0.0	1
China Wuhan	China	East Asia	C	-0.0	0.0	1
China Yunnan Bulang	China	East Asia	C	-0.0	0.0	1
China Yunnan Hani	China	East Asia	C	-0.0	0.0	1
China Yunnan Province Han	China	East Asia	C	0.45269717470898335	0.21998569198751305	3
China Yunnan Province Lisu	China	East Asia	C	-0.0	0.0	1
China Yunnan Province Nu	China	East Asia	C	-0.0	0.0	1
China Zhejiang Han	China	East Asia	C	1.0640320217817916	0.6091493383742912	4
Germany DKMS - China minority	China	East Asia	C	0.3985734596715933	0.17401483671565154	5
India Andhra Pradesh Telugu Speaking	India	South Asia	C	0.5461222092858669	0.2505621301775147	4
India Central UCBB	India	South Asia	C	0.7007959653197229	0.47211075341888176	5
India Delhi pop 2	India	South Asia	C	0.5920726008913406	0.40237966468361264	2
India East UCBB	India	South Asia	C	0.6389204478102034	0.4291076660156248	3
India Karnataka Kannada Speaking	India	South Asia	C	0.43616232538534416	0.2659279778393351	2
India Kerala Malayalam speaking	India	South Asia	C	0.36143892077703776	0.15425960763235702	4
India Khandesh Region Pawra	India	South Asia	C		1.0	0
India Mumbai Maratha	India	South Asia	C	1.030218524144885	0.5571875	4
India New Delhi	India	South Asia	C	0.6365141682948128	0.4444444444444443	2
India North UCBB	India	South Asia	C	0.6981973545561573	0.4549404510421766	5
India Northeast UCBB	India	South Asia	C	0.41155573737279055	0.24604641936123806	2
India South UCBB	India	South Asia	C	0.6174992574928028	0.30542283295861095	7
India Tamil Nadu	India	South Asia	C	0.4045258245511236	0.24045289592103347	2
India Tamil Nadu Nadar	India	South Asia	C	0.6439996005345145	0.4516630181484358	2
India West Bhil	India	South Asia	C		1.0	0
India West Coast Parsi	India	South Asia	C	0.5623351446188083	0.375	2
India West UCBB	India	South Asia	C	0.7406176934068679	0.4395939827820965	6
Japan Aichi	Japan	East Asia	C	-0.0	0.0	1
Japan Central	Japan	East Asia	C	2.1153307613507217	0.8619349125016533	13
Japan Hyogo	Japan	East Asia	C	0.6904147046754965	0.4972700138319299	2
Japan Kyoto and Osaka	Japan	East Asia	C	1.941371314574175	0.8418440646579993	10
Japan pop 1	Japan	East Asia	C	1.94049058468393	0.8307487333458434	12
Japan pop 16	Japan	East Asia	C	1.9562357320007224	0.831938061375905	20
Japan pop 3	Japan	East Asia	C	1.9344858740554984	0.8306217770159932	12
Japan pop 5	Japan	East Asia	C	1.9558790214018977	0.8414816326530612	9
Malaysia Peninsular Chinese	Malaysia	Southeast Asia	C	2.2191360017562585	0.8574862048966536	20
Malaysia Peninsular Indian	Malaysia	Southeast Asia	C	2.2529483497624008	0.855621667570281	22
Malaysia Peninsular Malay	Malaysia	Southeast Asia	C	2.433855717021031	0.8911259008365773	37
Pakistan Baloch	Pakistan	South Asia	C	0.8584589838227052	0.5210647014867686	3
Pakistan Brahui	Pakistan	South Asia	C	0.6365141682948128	0.4444444444444444	2
Pakistan Burusho	Pakistan	South Asia	C	-0.0	0.0	1
Pakistan Kalash	Pakistan	South Asia	C	0.5574651697742553	0.3705755617112958	2
Pakistan Karachi Parsi	Pakistan	South Asia	C	0.2957188533682875	0.13153119092627608	3
Pakistan Mixed Pathan	Pakistan	South Asia	C	0.8823109245150755	0.5511111111111111	3
Pakistan Mixed Punjabi	Pakistan	South Asia	C	2.701282512967656	0.9046294943592241	25
Pakistan Mixed Sindhi	Pakistan	South Asia	C	0.8328906066374413	0.5276880076862609	3
Philippines Ivatan	Philippines	Southeast Asia	C	1.8823395795925673	0.8088395121362154	9
Singapore Javaneses	Singapore	Southeast Asia	C	2.310216942816908	0.8777727478497057	13
Singapore Riau Malay	Singapore	Southeast Asia	C	2.3568026378774385	0.8834967057689217	17
Singapore SGVP Chinese CHS	Singapore	Southeast Asia	C	2.1663780080404815	0.8558623694631049	15
Singapore SGVP Malay MAS	Singapore	Southeast Asia	C	2.3157270956680107	0.8776805710853086	14
Singapore SGVP. Indian INS	Singapore	Southeast Asia	C	2.302441989787805	0.8803613233467575	14
Singapore Thai	Singapore	Southeast Asia	C	2.305659677300491	0.8777791371205669	15
South Korea pop 1	South Korea	East Asia	C	1.9594855744634905	0.8514253828507656	8
South Korea pop 3	South Korea	East Asia	C	1.7534149331656539	0.7791124338150047	10
Sri Lanka Colombo	Sri Lanka	South Asia	C	2.723176955045079	0.9183635534075738	32
Taiwan Ami	Taiwan	East Asia	C	-0.0	0.0	1
Taiwan Atayal	Taiwan	East Asia	C	-0.0	0.0	1
Taiwan Bunun	Taiwan	East Asia	C	-0.0	0.0	1
Taiwan Hakka	Taiwan	East Asia	C	-0.0	0.0	1
Taiwan Han Chinese	Taiwan	East Asia	C	0.10505211623645005	0.03652263374485598	3
Taiwan Minnan pop 1	Taiwan	East Asia	C	0.11422822664373287	0.04736544443397106	2
Taiwan Paiwan	Taiwan	East Asia	C	-0.0	0.0	1
Taiwan Pazeh	Taiwan	East Asia	C	-0.0	0.0	1
Taiwan Puyuma	Taiwan	East Asia	C	-0.0	0.0	1
Taiwan Rukai	Taiwan	East Asia	C	-0.0	0.0	1
Taiwan Saisiat	Taiwan	East Asia	C	-0.0	0.0	1
Taiwan Siraya	Taiwan	East Asia	C	0.3084954508311039	0.16803840877914955	2
Taiwan Tao	Taiwan	East Asia	C		1.0	0
Taiwan Taroko	Taiwan	East Asia	C	-0.0	0.0	1
Taiwan Thao	Taiwan	East Asia	C	-0.0	0.0	1
Taiwan Tsou	Taiwan	East Asia	C	-0.0	0.0	1
Taiwan pop 2	Taiwan	East Asia	C	0.10847133903591605	0.044421487603305776	2
Thailand	Thailand	Southeast Asia	C	2.6056429087929853	0.916673735854555	17
Thailand Northeast	Thailand	Southeast Asia	C	1.2750321230281794	0.6866472303206996	5
Thailand Northeast pop 2	Thailand	Southeast Asia	C	1.9260434828058903	0.813329901722478	11
Vietnam Hanoi Kinh pop 2	Vietnam	Southeast Asia	C	2.5447035922644132	0.9019032915136811	18
Vietnam Kinh	Vietnam	Southeast Asia	C	2.4307378741910806	0.8862265423593803	19
China Beijing Han	China	East Asia	DPB1	0.8146842332496838	0.46511076021577025	3
China Canton Han	China	East Asia	DPB1	1.2251526326859867	0.67728515625	4
China Guizhou Province Miao	China	East Asia	DPB1	1.080776807307347	0.6547518415650284	3
China Harbin Manchu pop 2	China	East Asia	DPB1	0.8656734314127017	0.49937125899099644	3
China Inner Mongolia Autonomous Region Northeast	China	East Asia	DPB1	2.0888664887012354	0.8362275653511432	20
China Inner Mongolia Region Ewenki	China	East Asia	DPB1	2.1472026914306594	0.8327145964783602	20
China Jiangxi Province	China	East Asia	DPB1	0.757004987746372	0.4331872356785852	3
China Lijiang Naxi	China	East Asia	DPB1	1.0390955101624852	0.6246875000000001	3
China Pumi	China	East Asia	DPB1	0.9743147528693494	0.59375	3
China Shandong Province Han	China	East Asia	DPB1	0.8374773167761266	0.45440828402366873	4
China Shanghai pop 2	China	East Asia	DPB1	0.7645576837608716	0.45143021299298236	3
China Urumqi Han	China	East Asia	DPB1	1.1438762673581004	0.6068267365527165	4
China Urumqi Kazak	China	East Asia	DPB1	0.8881716594072646	0.5416646290772166	3
China Urumqi Uyghur	China	East Asia	DPB1	0.8722545438414953	0.46811868686868696	4
China Wanwei, Wutou and Shanxin Islands Jing	China	East Asia	DPB1	1.1372015048051405	0.6428154682723051	4
China Yunnan Province Bai	China	East Asia	DPB1	1.1587248684091418	0.6530237439328348	4
China Yunnan Province Blang	China	East Asia	DPB1	1.3196360800298104	0.7183748845798708	4
China Yunnan Province Dai	China	East Asia	DPB1	1.0178067198526333	0.5849595478112032	4
China Yunnan Province Hani	China	East Asia	DPB1	0.559080803229012	0.3720415224913496	2
China Yunnan Province Lahu	China	East Asia	DPB1	1.1545217762409319	0.6279814880740477	4
China Yunnan Province Lisu	China	East Asia	DPB1	0.9562082696809633	0.5770911220215306	3
China Yunnan Province Naxi pop 2	China	East Asia	DPB1	1.0214180526081738	0.6118876451631357	3
China Yunnan Province Nu	China	East Asia	DPB1	0.9829754289773701	0.5692561983471074	4
