target	mode	neighbor_autocorr_pooled	neighbor_autocorr_weighted_sample	block_variance_fraction	target_sd
null_random_matched_076	coord_qc_residual_target	0.7383163215903719	0.7369263189715881	0.06012556742100002	0.14177300432131193
null_random_matched_077	raw_smoothed	0.9645880013350278	0.9480919582604086	0.382381004822713	0.2879872095513541
null_random_matched_077	coord_qc_residual_target	0.7532512163780917	0.7503659731779012	0.08459825533245469	0.14100174786182956
null_random_matched_078	raw_smoothed	0.9662989123718457	0.9434586804818521	0.30706562450052616	0.31477715099068776
null_random_matched_078	coord_qc_residual_target	0.7048708395630666	0.7008864298444583	0.08272694396834733	0.146196373482608
null_random_matched_079	raw_smoothed	0.9707990542258937	0.9551587650083291	0.4131236166930823	0.31357746824799576
null_random_matched_079	coord_qc_residual_target	0.7635228012751829	0.7621721162061942	0.0922380454529191	0.1538316939693952
null_random_matched_080	raw_smoothed	0.9678774739847361	0.951318201589717	0.3287804546613924	0.32061699653426273
null_random_matched_080	coord_qc_residual_target	0.7075015250923186	0.7069240709995697	0.05180337431848899	0.146935123636318
null_random_matched_081	raw_smoothed	0.9509883054930275	0.936866345206503	0.30239551902313144	0.2818779843731067
null_random_matched_081	coord_qc_residual_target	0.7016993788231839	0.7019887897102222	0.031646337529648925	0.13899191918146075
null_random_matched_082	raw_smoothed	0.9485736647974464	0.9385680673187559	0.32018403900295905	0.2750611804493995
null_random_matched_082	coord_qc_residual_target	0.7057060607854041	0.7056788101039706	0.04041849318307241	0.13759331200581293
null_random_matched_083	raw_smoothed	0.9556225873350997	0.9413548789905342	0.3288910696071359	0.30188289208828195
null_random_matched_083	coord_qc_residual_target	0.7063208519826187	0.7077285833876065	0.050640756645387364	0.1438726227269493
null_random_matched_084	raw_smoothed	0.9590387025063112	0.9476928807132603	0.3436369977532706	0.2870214808811867
null_random_matched_084	coord_qc_residual_target	0.7092208951351978	0.707151394268786	0.05707745367850206	0.13983992666124506
null_random_matched_085	raw_smoothed	0.9751173440611551	0.9502377958183381	0.3245816142123407	0.32693811323762245
null_random_matched_085	coord_qc_residual_target	0.7281797901028574	0.7263426808367263	0.06104475961166789	0.1465615048606011
null_random_matched_086	raw_smoothed	0.9660569842021389	0.9515689582480175	0.32850876246138494	0.3113501902175612
null_random_matched_086	coord_qc_residual_target	0.7120815882558479	0.7116440172698569	0.05121821470445909	0.14865057336511708
null_random_matched_087	raw_smoothed	0.9646535654621017	0.9511779213704008	0.3087774541179338	0.31051639687472266
null_random_matched_087	coord_qc_residual_target	0.7157995834470429	0.712269651863372	0.05993395262307092	0.15481669802596904
null_random_matched_088	raw_smoothed	0.9710997852424236	0.9574294636877368	0.34337637477650096	0.3180677219764618
null_random_matched_088	coord_qc_residual_target	0.705838509047481	0.7024500050027853	0.0441332916772242	0.14950302759586806
null_random_matched_089	raw_smoothed	0.9618194502798155	0.9447083402888641	0.3748602098782845	0.2783120634348818
null_random_matched_089	coord_qc_residual_target	0.7513092594794243	0.7478941372378031	0.07911924313754216	0.13702814084110698
null_random_matched_090	raw_smoothed	0.9579980071637625	0.9416393968287655	0.34610263097035293	0.2653496228599632
null_random_matched_090	coord_qc_residual_target	0.7313643496726735	0.7302230065891121	0.03920376589591151	0.13787290525706447
null_random_matched_091	raw_smoothed	0.9610519223855134	0.9476340925809589	0.3148679317639101	0.31170380463851166
null_random_matched_091	coord_qc_residual_target	0.7213538768174178	0.7197031826398229	0.04600358038203737	0.1500289549421635
null_random_matched_092	raw_smoothed	0.9645558217187988	0.9451452707926092	0.36498143352932	0.28758645161421914
null_random_matched_092	coord_qc_residual_target	0.7975092435176437	0.7961905961522042	0.11416159201552224	0.1528303906195233
null_random_matched_093	raw_smoothed	0.9633366086637095	0.9487267827952071	0.3364485224061552	0.3039244970597293
null_random_matched_093	coord_qc_residual_target	0.7054370645456122	0.704632670400597	0.036812561616401555	0.14098836759569708
null_random_matched_094	raw_smoothed	0.9701273342846606	0.9548793740189775	0.34377925896503947	0.3227910580975413
null_random_matched_094	coord_qc_residual_target	0.7381387754390383	0.7358026347848625	0.06912108158116785	0.15405190198688318
null_random_matched_095	raw_smoothed	0.9632893024628543	0.9466411182264727	0.30915823080598454	0.314187563039433
null_random_matched_095	coord_qc_residual_target	0.7181071864639821	0.7144155175943371	0.08630222878269891	0.14958000233232657
null_random_matched_096	raw_smoothed	0.9793006234835432	0.9629127629615174	0.3592404731017226	0.35301876153257794
null_random_matched_096	coord_qc_residual_target	0.7682075566000599	0.7637197703986052	0.0928824890821727	0.167905552870012
null_random_matched_097	raw_smoothed	0.9440722663752634	0.9252090169612234	0.25353219005412825	0.24922309180600047
null_random_matched_097	coord_qc_residual_target	0.7260727975200262	0.7260148925266	0.04090367183081488	0.13759350515922755
null_random_matched_098	raw_smoothed	0.94684727298081	0.9345761325252189	0.2914752193564507	0.276506670453216
null_random_matched_098	coord_qc_residual_target	0.6863395865504661	0.6874828996147351	0.044232413512312774	0.14262602130165386
null_random_matched_099	raw_smoothed	0.953672392107511	0.9360326726105196	0.30470617002017186	0.2818749931975555
null_random_matched_099	coord_qc_residual_target	0.7096180466336973	0.7082251552938091	0.03668193399701425	0.13796067008922464
