sample_id	cluster	Treg_proxy	M2_proxy	ExhaustedT_proxy
TCGA-DJ-A3V3-01A	DM1	1.5719998992035324	3.3136788897345766	2.6479827086345678
TCGA-BJ-A45K-01A	DM2	0.23916083030831845	1.299113445635032	1.2180832286075423
TCGA-FY-A3R6-01A	DM1	2.8419089678232505	4.285194073367936	3.8922297183555843
TCGA-IM-A41Z-01A	DM2	1.8601516857939835	3.9380699506376295	2.7148007568380814
TCGA-EL-A3CX-01A	DM1	0.5639219680147958	3.72476170978189	1.1914541031435975
TCGA-EM-A1YB-01A	DM2	0.23880306785166266	2.539392314521524	0.7653602241407325
TCGA-ET-A3DV-01A	DM2	0.16244506763699637	1.7195790405517442	1.0692510139278693
TCGA-BJ-A28V-01A	DM2	0.12922032831403538	1.2581808173401625	1.10869762220679
TCGA-EM-A3FP-01A	DM2	1.5367634873939775	3.6739157557599116	3.102914859810733
TCGA-EM-A22N-01A	DM2	0.9058198085598944	3.4509702003432396	1.2612100842788423
TCGA-DJ-A3VL-01A	DM1	2.0205010422554888	4.624445980639234	3.423929229594292
TCGA-EM-A3FL-01A	DM2	0.6805823535988764	1.682398777806482	1.403098669391051
TCGA-EM-A2OY-01A	DM2	0.21534200562380992	2.172069202593204	0.44664727266759047
TCGA-EM-A3AJ-01A	DM1	2.6188456513478107	4.217273180904038	3.985344338780095
TCGA-FE-A238-01A	DM1	1.6973319183183897	3.358179179976806	2.0008050055651334
TCGA-DJ-A2Q1-01A	DM1	2.585561934106207	3.1562383528965947	3.1053080743657264
TCGA-EM-A1YE-01A	DM2	0.3932190843798936	2.1975717697780763	1.1922309309442827
TCGA-ET-A25N-01A	DM1	0.6958329240352136	3.9849369922532767	1.233944888763013
TCGA-E8-A438-01A	DM1	0.4692155869566113	2.339725639032941	1.092067236487742
TCGA-ET-A3DQ-01A	DM1	2.4605402126076337	3.783510312421039	3.482612966713618
TCGA-J8-A3O1-01A	DM1	0.48538843745567783	3.422781047201635	1.428787134195321
TCGA-FE-A239-01A	DM2	0.4214616256665355	2.011688037557282	0.8282115649925889
TCGA-DE-A4M8-01A	DM1	2.7498672586508146	4.8374083303291995	4.165852291248728
TCGA-BJ-A28W-01A	DM1	3.93832134182687	4.108594993124696	5.418273050857252
TCGA-BJ-A28T-01A	DM1	3.6859937355619907	4.986351476069626	4.481598976210114
TCGA-EM-A3FQ-06A	DM1	1.20143804300023	2.778783029195819	1.6536153647126621
TCGA-DJ-A4V0-01A	DM1	2.957883015588531	3.920192097508079	4.02288095262633
TCGA-EL-A3H2-01A	DM2	0.5740514877685265	2.9473310124902743	1.0667670382695602
