subsample_fraction	rep	n_sub	ARI_vs_full
0.7	15	125	0.7306104445237308
0.7	16	125	0.7032647173708385
0.7	17	125	0.8154004743842512
0.7	18	125	0.7867507862055292
0.7	19	125	0.8156518339269387
0.7	20	125	0.8446755167996288
0.7	21	125	0.7027394200915532
0.7	22	125	0.786860015691418
0.7	23	125	0.6501665379050499
0.7	24	125	0.8157545124911348
0.7	25	125	0.7306104445237308
0.7	26	125	0.702973576929327
0.7	27	125	0.815750831593563
0.7	28	125	0.7306104445237308
0.7	29	125	0.81526365867094
0.7	30	125	0.758473729772924
0.7	31	125	0.7303781903248058
0.7	32	125	0.8447851205208491
0.7	33	125	0.8450974233938469
0.7	34	125	0.786860015691418
0.7	35	125	0.6242640950578542
0.7	36	125	0.8155080096229902
0.7	37	125	0.7584540419356283
0.7	38	125	0.7306104445237308
0.7	39	125	0.7032647173708385
0.7	40	125	0.7305003280894535
0.7	41	125	0.7868151275705736
0.7	42	125	0.702973576929327
0.7	43	125	0.7030898642458566
0.7	44	125	0.7868151275705736
0.7	45	125	0.6243887662815353
0.7	46	125	0.8157426594752527
0.7	47	125	0.7032875572201415
0.7	48	125	0.9055019739143471
0.7	49	125	0.7032742014721728
0.7	50	125	0.6243879160759309
0.7	51	125	0.6243550051599587
0.7	52	125	0.7306104445237308
0.7	53	125	0.6762194451570345
0.7	54	125	0.8450523103400293
0.7	55	125	0.8156518339269387
0.7	56	125	0.8750226232041707
0.7	57	125	0.7032637294087501
0.7	58	125	0.8156518339269387
0.7	59	125	0.7303781903248058
0.9	0	160	0.7207804993086478
0.9	1	160	0.8546445039011309
0.9	2	160	0.742301942844056
0.9	3	160	0.7639614045721567
0.9	4	160	0.7861666028375742
0.9	5	160	0.7207905003274767
0.9	6	160	0.808724453757071
0.9	7	160	0.6994567949298486
0.9	8	160	0.6995378395191562
0.9	9	160	0.7862189632835143
0.9	10	160	0.7207804993086478
0.9	11	160	0.720734771240114
0.9	12	160	0.8087805248566329
0.9	13	160	0.7207804993086478
0.9	14	160	0.7207804993086478
0.9	15	160	0.7206950576840906
0.9	16	160	0.742301942844056
0.9	17	160	0.8544500409469475
0.9	18	160	0.6995042322720759
0.9	19	160	0.7641378760971761
0.9	20	160	0.8314958965660346
0.9	21	160	0.8087971610911657
0.9	22	160	0.699552367645881
0.9	23	160	0.742301942844056
0.9	24	160	0.7862592263565448
0.9	25	160	0.7423003119380455
0.9	26	160	0.7420662669401981
0.9	27	160	0.7422793121791545
0.9	28	160	0.7207625591781569
0.9	29	160	0.7641111947189392
0.9	30	160	0.720734771240114
0.9	31	160	0.8780341872474388
0.9	32	160	0.831585287337224
0.9	33	160	0.6995726868404988
0.9	34	160	0.6995599431055528
0.9	35	160	0.8315079508549272
0.9	36	160	0.8315415537066467
0.9	37	160	0.6995726868404988
0.9	38	160	0.7207905003274767
0.9	39	160	0.6786460251052231
0.9	40	160	0.7422015271978324
0.9	41	160	0.6995378395191562
0.9	42	160	0.7862891812069067
0.9	43	160	0.8087805248566329
0.9	44	160	0.8314646774453106
0.9	45	160	0.8087567639186258
0.9	46	160	0.8314646774453106
0.9	47	160	0.720734771240114
0.9	48	160	0.6580751656233176
0.9	49	160	0.7207625591781569
0.9	50	160	0.7207625591781569
0.9	51	160	0.7206950576840906
0.9	52	160	0.7641111947189392
0.9	53	160	0.7207804993086478
0.9	54	160	0.9018640838926772
0.9	55	160	0.6995599431055528
0.9	56	160	0.7207905003274767
0.9	57	160	0.6995780335401935
0.9	58	160	0.808724453757071
0.9	59	160	0.8546108190229486
