sample_id	cluster	mapk_activity_score	thyroid_diff_score
TCGA-DO-A1JZ-01A	DM1	7.210673400519009	7.308321764985933
TCGA-EM-A3AO-01A	DM1	7.236131498332354	7.54062037680087
TCGA-EM-A1CW-01A	DM2	6.5026092745214035	9.126350290386755
TCGA-DJ-A3VM-01A	DM2	6.818455937441917	8.36423303273478
TCGA-EM-A2CL-01A	DM2	6.915397945063929	9.298602121073165
TCGA-ET-A40T-01A	DM1	7.249689454730608	7.504860699722173
TCGA-BJ-A0ZF-01A	DM2	6.155969318855912	8.659640261017257
TCGA-ET-A25L-01A	DM1	6.835808943967095	6.530729978090846
TCGA-EM-A3FN-01A	DM2	5.531590421732997	9.369950222989557
TCGA-EM-A1YA-01A	DM2	5.843218627844483	8.462406809431931
TCGA-E3-A3E0-01A	DM1	7.612339385340969	8.410890883059567
TCGA-BJ-A0ZC-01A	DM2	4.334475839138299	9.821745338299747
TCGA-EM-A2CU-01A	DM1	7.388634737334605	8.353142185769839
TCGA-DJ-A3V3-01A	DM1	7.015125457657103	7.804525872109426
TCGA-BJ-A45K-01A	DM2	7.308455115036661	9.223202457179866
TCGA-FY-A3R6-01A	DM1	7.228084782216476	8.1267242293359
TCGA-IM-A41Z-01A	DM2	6.509368199659479	8.427192201134032
TCGA-EL-A3CX-01A	DM1	6.196702655125018	3.1379713640259923
TCGA-EM-A1YB-01A	DM2	5.5745952667454235	7.3594217561649025
TCGA-ET-A3DV-01A	DM2	6.337585442977061	9.214234842822314
TCGA-BJ-A28V-01A	DM2	6.382351537954201	9.62863640215
TCGA-EM-A3FP-01A	DM2	6.89851377068801	9.441558578047635
TCGA-EM-A22N-01A	DM2	5.003208060765736	9.393617477752896
TCGA-DJ-A3VL-01A	DM1	6.595359215763785	8.8880759753412
TCGA-EM-A3FL-01A	DM2	5.366448310803325	9.539921121755034
TCGA-EM-A2OY-01A	DM2	3.496541939333989	8.805328206372387
TCGA-EM-A3AJ-01A	DM1	7.109461204872531	8.364098468310615
TCGA-FE-A238-01A	DM1	6.751046826766667	7.323445072079019
TCGA-DJ-A2Q1-01A	DM1	7.536767649598264	4.818136420274313
TCGA-EM-A1YE-01A	DM2	4.9476024653819035	9.893965845496338
TCGA-ET-A25N-01A	DM1	8.29704910551961	7.538412288827306
TCGA-E8-A438-01A	DM1	6.85882984601006	7.312868353830324
TCGA-ET-A3DQ-01A	DM1	8.689792310995168	8.090112779936785
TCGA-J8-A3O1-01A	DM1	7.1246667474814105	5.4370354158668865
TCGA-FE-A239-01A	DM2	4.706508981773339	9.742004585322032
TCGA-DE-A4M8-01A	DM1	6.760847350260698	7.9356452784284786
TCGA-BJ-A28W-01A	DM1	4.687176904286065	8.122034929476508
TCGA-BJ-A28T-01A	DM1	6.042270938880836	9.367254686022065
TCGA-EM-A3FQ-06A	DM1	6.552193106614662	8.320798482430101
TCGA-DJ-A4V0-01A	DM1	6.983577333986229	9.477019574482886
TCGA-EL-A3H2-01A	DM2	4.4905232965956525	9.987491441447192
TCGA-EM-A2CO-01A	DM2	5.418777220655222	8.892439797195294
TCGA-EL-A3ZM-01A	DM1	6.326553677834265	4.534321470479989
TCGA-FE-A3PA-01A	DM1	6.784702455284211	7.682360971456176
TCGA-ET-A25P-01A	DM1	6.5293313249726594	9.22141944938965
TCGA-BJ-A191-01A	DM2	5.692227151242562	7.600564753278332
TCGA-EM-A3O9-01A	DM2	4.920625253690356	6.427486633078056
TCGA-DJ-A3UV-01A	DM1	7.260964326437126	9.295302705361134
TCGA-FE-A3PD-01A	DM1	7.803246456747843	7.698453687755057
TCGA-ET-A3BN-01A	DM1	8.657836784010453	7.670662565239621
TCGA-BJ-A45E-01A	DM1	4.620028262770707	6.600086017947493
TCGA-EL-A3D5-01A	DM2	5.346157622760804	8.58115371786631
TCGA-EL-A3CW-01A	DM1	6.850186216097896	8.995269602448772
TCGA-KS-A41J-01A	DM1	7.290048666300219	6.991131274094107
TCGA-BJ-A0ZA-01A	DM2	7.366668217832237	9.657121248725307
TCGA-KS-A41L-01A	DM2	5.5977632721643795	9.456153926161416
TCGA-BJ-A28S-01A	DM2	6.247741103506677	8.750842453064111
TCGA-BJ-A28Z-01A	DM1	6.84297418590889	6.687661631247608
TCGA-DJ-A3US-01A	DM1	6.940262574171444	9.158384117904628
TCGA-DE-A2OL-01A	DM2	6.6985083892421535	9.460913698609012
TCGA-FK-A3S3-01A	DM1	7.90871456368187	7.607342542005341
TCGA-ET-A39T-01A	DM1	6.745019610418652	7.270510306137529
TCGA-DE-A69K-01A	DM1	7.921491199397472	7.3941354893237365
TCGA-ET-A25M-01A	DM1	7.177254031239465	7.0220500236030565
TCGA-DJ-A4V5-01A	DM1	7.65479768113763	7.9155543664331525
TCGA-DE-A4M9-01A	DM2	6.867416416174232	8.666346190911387
TCGA-ET-A39N-01A	DM2	6.159139410464678	8.12207762799815
TCGA-E8-A416-01A	DM2	7.227898806914621	9.203595793396783
TCGA-KS-A4ID-01A	DM1	6.347842353269319	8.525343170658736
TCGA-DJ-A13U-01A	DM1	6.823711713225921	7.550961658377964
TCGA-EL-A3T2-01A	DM2	7.4985935768014365	9.206296979985975
TCGA-DE-A4MA-01A	DM1	5.825100638460629	5.846091549771251
TCGA-DJ-A2Q0-01A	DM2	4.919831347405077	7.317441044479404
TCGA-EL-A3T6-01A	DM1	7.157555376759771	7.040035518564048
TCGA-EM-A3O8-01A	DM2	6.182842877591777	9.106779928303025
TCGA-DJ-A2Q2-01A	DM2	6.476928606454074	9.534841785158232
TCGA-BJ-A0ZG-01A	DM2	6.152709093223897	9.524840600217175
TCGA-EM-A2OW-01A	DM2	5.740435479580305	9.676500663353231
TCGA-BJ-A3F0-01A	DM2	5.274121982073393	10.2288177863223
TCGA-EL-A3CY-01A	DM1	7.658351131260642	6.944605932580816
TCGA-EM-A3AQ-01A	DM1	6.793709717433316	7.2049554141816765
TCGA-J8-A4HW-06A	DM1	6.934664333008304	7.5994777249177625
TCGA-J8-A4HW-01A	DM1	7.185074396182139	8.298489963253513
TCGA-BJ-A291-01A	DM2	5.4489116691588775	8.44797362047866
TCGA-CE-A3MD-01A	DM1	7.147115890221248	7.887092061963774
TCGA-EL-A3ZN-01A	DM1	7.546001365810601	7.700531838150071
TCGA-BJ-A2N9-01A	DM2	3.9639973068757115	9.278511246861113
TCGA-DJ-A4UP-01A	DM1	8.100242537245903	8.496569573918215
TCGA-E8-A44M-01A	DM1	5.972507935023265	8.412707372564128
TCGA-EM-A3O6-01A	DM2	5.108321782586872	9.586033629079141
TCGA-EM-A4FH-01A	DM2	5.250602454268041	9.516406099955914
TCGA-FY-A40N-01A	DM2	6.324414062158778	9.172197089037066
TCGA-FY-A3WA-01A	DM2	7.0400209971894325	9.528396022376796
TCGA-ET-A2MX-01A	DM1	7.36313466971615	6.1351782208644865
TCGA-FY-A3I5-01B	DM2	6.855708619624284	9.403919102028562
TCGA-EM-A2OV-01A	DM2	4.305800205302923	9.182882342946112
TCGA-EM-A3AI-01A	DM2	5.1832176637205665	9.677537665515485
TCGA-FY-A4B0-01A	DM2	6.844759400214296	9.274071757464084
TCGA-FY-A40M-01A	DM1	6.7879715076335865	6.7394330690158855
TCGA-ET-A4KN-01A	DM1	5.34621795651141	4.591150667252713
TCGA-ET-A40P-01A	DM1	7.97608175474513	8.370825923864857
TCGA-FE-A22Z-01A	DM1	7.200241864437828	5.875760620982126
TCGA-FK-A3SG-01A	DM1	7.956944886682756	7.539302993425847
TCGA-EM-A22Q-01A	DM1	6.577510313300528	8.580491396279164
TCGA-DE-A4MC-01A	DM1	6.641733996509111	6.30558416406794
TCGA-DJ-A13S-01A	DM2	6.5927012093372594	8.800781769371119
TCGA-EM-A3SY-01A	DM2	3.67600044049037	7.402275595371463
TCGA-EL-A3TB-01A	DM1	7.3626024724984775	8.391999953818901
TCGA-BJ-A45C-01A	DM2	6.0171010506470095	8.91355529743853
TCGA-DJ-A2PX-01A	DM1	6.437701250913741	7.846076148419613
TCGA-EL-A3ZS-01A	DM1	7.302997772699912	8.279063368919209
