cohort	classifier	sample_id	pseudo_cluster	prob_dm2	predicted_cluster	confidence
GSE27155	SVM_RBF	GSM671351	DM1	0.18796494383097678	DM1	0.6240701123380464
GSE27155	SVM_RBF	GSM671352	DM1	0.1857061752612953	DM1	0.6285876494774094
GSE27155	SVM_RBF	GSM671353	DM1	0.1861859295460069	DM1	0.6276281409079862
GSE27155	kNN_marker20	GSM671255	DM1	0.3333333333333333	DM1	0.33333333333333337
GSE27155	kNN_marker20	GSM671256	DM1	0.4444444444444444	DM1	0.11111111111111116
GSE27155	kNN_marker20	GSM671257	DM1	0.3333333333333333	DM1	0.33333333333333337
GSE27155	kNN_marker20	GSM671258	DM1	0.4444444444444444	DM1	0.11111111111111116
GSE27155	kNN_marker20	GSM671259	DM1	0.4444444444444444	DM1	0.11111111111111116
GSE27155	kNN_marker20	GSM671260	DM1	0.4444444444444444	DM1	0.11111111111111116
GSE27155	kNN_marker20	GSM671261	DM1	0.3333333333333333	DM1	0.33333333333333337
GSE27155	kNN_marker20	GSM671262	DM2	0.4444444444444444	DM1	0.11111111111111116
GSE27155	kNN_marker20	GSM671263	DM2	0.4444444444444444	DM1	0.11111111111111116
GSE27155	kNN_marker20	GSM671267	DM1	0.4444444444444444	DM1	0.11111111111111116
GSE27155	kNN_marker20	GSM671275	DM2	0.4444444444444444	DM1	0.11111111111111116
GSE27155	kNN_marker20	GSM671276	DM2	0.4444444444444444	DM1	0.11111111111111116
GSE27155	kNN_marker20	GSM671277	DM2	0.4444444444444444	DM1	0.11111111111111116
GSE27155	kNN_marker20	GSM671278	DM2	0.4444444444444444	DM1	0.11111111111111116
GSE27155	kNN_marker20	GSM671279	DM1	0.3333333333333333	DM1	0.33333333333333337
GSE27155	kNN_marker20	GSM671280	DM1	0.2222222222222222	DM1	0.5555555555555556
GSE27155	kNN_marker20	GSM671281	DM1	0.4444444444444444	DM1	0.11111111111111116
GSE27155	kNN_marker20	GSM671282	DM1	0.4444444444444444	DM1	0.11111111111111116
GSE27155	kNN_marker20	GSM671283	DM1	0.4444444444444444	DM1	0.11111111111111116
GSE27155	kNN_marker20	GSM671284	DM1	0.4444444444444444	DM1	0.11111111111111116
GSE27155	kNN_marker20	GSM671285	DM1	0.4444444444444444	DM1	0.11111111111111116
GSE27155	kNN_marker20	GSM671286	DM1	0.3333333333333333	DM1	0.33333333333333337
GSE27155	kNN_marker20	GSM671287	DM1	0.4444444444444444	DM1	0.11111111111111116
GSE27155	kNN_marker20	GSM671288	DM1	0.4444444444444444	DM1	0.11111111111111116
GSE27155	kNN_marker20	GSM671289	DM1	0.4444444444444444	DM1	0.11111111111111116
GSE27155	kNN_marker20	GSM671290	DM1	0.4444444444444444	DM1	0.11111111111111116
GSE27155	kNN_marker20	GSM671291	DM1	0.4444444444444444	DM1	0.11111111111111116
GSE27155	kNN_marker20	GSM671292	DM1	0.2222222222222222	DM1	0.5555555555555556
GSE27155	kNN_marker20	GSM671293	DM1	0.4444444444444444	DM1	0.11111111111111116
GSE27155	kNN_marker20	GSM671294	DM1	0.3333333333333333	DM1	0.33333333333333337
GSE27155	kNN_marker20	GSM671295	DM1	0.4444444444444444	DM1	0.11111111111111116
GSE27155	kNN_marker20	GSM671296	DM1	0.4444444444444444	DM1	0.11111111111111116
GSE27155	kNN_marker20	GSM671304	DM1	0.2222222222222222	DM1	0.5555555555555556
GSE27155	kNN_marker20	GSM671305	DM1	0.2222222222222222	DM1	0.5555555555555556
GSE27155	kNN_marker20	GSM671306	DM1	0.2222222222222222	DM1	0.5555555555555556
GSE27155	kNN_marker20	GSM671307	DM1	0.2222222222222222	DM1	0.5555555555555556
GSE27155	kNN_marker20	GSM671308	DM1	0.2222222222222222	DM1	0.5555555555555556
GSE27155	kNN_marker20	GSM671309	DM1	0.2222222222222222	DM1	0.5555555555555556
GSE27155	kNN_marker20	GSM671310	DM1	0.2222222222222222	DM1	0.5555555555555556
GSE27155	kNN_marker20	GSM671311	DM1	0.2222222222222222	DM1	0.5555555555555556
GSE27155	kNN_marker20	GSM671312	DM1	0.2222222222222222	DM1	0.5555555555555556
GSE27155	kNN_marker20	GSM671313	DM1	0.2222222222222222	DM1	0.5555555555555556
GSE27155	kNN_marker20	GSM671340	DM1	0.4444444444444444	DM1	0.11111111111111116
GSE27155	kNN_marker20	GSM671341	DM1	0.3333333333333333	DM1	0.33333333333333337
GSE27155	kNN_marker20	GSM671342	DM1	0.2222222222222222	DM1	0.5555555555555556
GSE27155	kNN_marker20	GSM671343	DM1	0.3333333333333333	DM1	0.33333333333333337
GSE27155	kNN_marker20	GSM671344	DM1	0.3333333333333333	DM1	0.33333333333333337
GSE27155	kNN_marker20	GSM671345	DM1	0.3333333333333333	DM1	0.33333333333333337
GSE27155	kNN_marker20	GSM671346	DM1	0.3333333333333333	DM1	0.33333333333333337
GSE27155	kNN_marker20	GSM671347	DM1	0.2222222222222222	DM1	0.5555555555555556
GSE27155	kNN_marker20	GSM671349	DM1	0.2222222222222222	DM1	0.5555555555555556
GSE27155	kNN_marker20	GSM671351	DM1	0.2222222222222222	DM1	0.5555555555555556
GSE27155	kNN_marker20	GSM671352	DM1	0.2222222222222222	DM1	0.5555555555555556
GSE27155	kNN_marker20	GSM671353	DM1	0.2222222222222222	DM1	0.5555555555555556
GSE76039	LogReg	GSM2024824	DM1	1.0026892067811325e-08	DM1	0.9999999799462158
GSE76039	LogReg	GSM2024825	DM1	1.890562956571606e-11	DM1	0.9999999999621887
GSE76039	LogReg	GSM2024826	DM1	6.612156731074296e-13	DM1	0.9999999999986776
GSE76039	LogReg	GSM2024827	DM1	9.93274232924791e-07	DM1	0.9999980134515342
GSE76039	LogReg	GSM2024828	DM1	0.0005836704835961316	DM1	0.9988326590328077
GSE76039	LogReg	GSM2024829	DM1	9.606814424916605e-06	DM1	0.9999807863711502
GSE76039	LogReg	GSM2024830	DM1	8.46010022159421e-06	DM1	0.9999830797995568
GSE76039	LogReg	GSM2024831	DM1	6.168237121668673e-14	DM1	0.9999999999998767
GSE76039	LogReg	GSM2024832	DM2	0.004919101447397864	DM1	0.9901617971052042
GSE76039	LogReg	GSM2024833	DM1	9.325017101824163e-06	DM1	0.9999813499657964
GSE76039	LogReg	GSM2024834	DM1	4.395177764081593e-15	DM1	0.9999999999999912
GSE76039	LogReg	GSM2024835	DM1	5.113330249721582e-10	DM1	0.9999999989773339
GSE76039	LogReg	GSM2024836	DM1	4.850452446847229e-16	DM1	0.999999999999999
GSE76039	LogReg	GSM2024837	DM1	2.211750252874035e-07	DM1	0.9999995576499494
GSE76039	LogReg	GSM2024838	DM1	9.409064901715702e-18	DM1	1.0
GSE76039	LogReg	GSM2024839	DM1	4.3196057350062053e-10	DM1	0.9999999991360788
GSE76039	LogReg	GSM2024840	DM1	3.080872379315464e-14	DM1	0.9999999999999384
GSE76039	LogReg	GSM2024841	DM2	0.011030916468242401	DM1	0.9779381670635152
GSE76039	LogReg	GSM2024842	DM1	4.737156330311899e-05	DM1	0.9999052568733937
GSE76039	LogReg	GSM2024843	DM2	0.0005616585217786089	DM1	0.9988766829564428
GSE76039	LogReg	GSM2024844	DM1	4.1553925287484036e-05	DM1	0.999916892149425
GSE76039	LogReg	GSM2024845	DM1	1.3553508124535547e-10	DM1	0.9999999997289298
GSE76039	LogReg	GSM2024846	DM1	2.2998780752515248e-07	DM1	0.999999540024385
GSE76039	LogReg	GSM2024847	DM1	9.826216912270907e-11	DM1	0.9999999998034756
GSE76039	LogReg	GSM2024848	DM1	5.591327064277831e-12	DM1	0.9999999999888174
GSE76039	LogReg	GSM2024849	DM1	1.7637594614720616e-09	DM1	0.9999999964724811
GSE76039	LogReg	GSM2024850	DM1	0.00027072907769530233	DM1	0.9994585418446094
GSE76039	LogReg	GSM2024851	DM1	3.151520431342032e-16	DM1	0.9999999999999993
GSE76039	LogReg	GSM2024852	DM1	2.609474676637181e-12	DM1	0.9999999999947811
GSE76039	LogReg	GSM2024853	DM1	1.6045020861064123e-08	DM1	0.9999999679099583
GSE76039	LogReg	GSM2024854	DM1	1.0100203163211164e-05	DM1	0.9999797995936736
GSE76039	LogReg	GSM2024855	DM1	2.275566515564807e-08	DM1	0.9999999544886697
GSE76039	LogReg	GSM2024856	DM1	0.0003423268421852277	DM1	0.9993153463156296
GSE76039	LogReg	GSM2024857	DM1	6.48057493215411e-14	DM1	0.9999999999998704
GSE76039	LogReg	GSM2024858	DM1	5.41725246217125e-10	DM1	0.9999999989165496
GSE76039	LogReg	GSM2024859	DM1	1.509426337380749e-05	DM1	0.9999698114732524
GSE76039	LogReg	GSM2024860	DM1	2.1754317414269967e-09	DM1	0.9999999956491366
GSE76039	RandomForest	GSM2024824	DM1	0.050688492063492054	DM1	0.8986230158730159
GSE76039	RandomForest	GSM2024825	DM1	0.057980158730158715	DM1	0.8840396825396826
GSE76039	RandomForest	GSM2024826	DM1	0.05273015873015872	DM1	0.8945396825396825
GSE76039	RandomForest	GSM2024827	DM1	0.2809198232323233	DM1	0.43816035353535343
GSE76039	RandomForest	GSM2024828	DM1	0.2865575396825397	DM1	0.42688492063492056
GSE76039	RandomForest	GSM2024829	DM1	0.23461922799422805	DM1	0.5307615440115439
GSE76039	RandomForest	GSM2024830	DM1	0.3301505230880232	DM1	0.33969895382395365
GSE76039	RandomForest	GSM2024831	DM1	0.0021875	DM1	0.995625
GSE76039	RandomForest	GSM2024832	DM2	0.25751587301587303	DM1	0.48496825396825394
GSE76039	RandomForest	GSM2024833	DM1	0.2900793650793651	DM1	0.4198412698412698
GSE76039	RandomForest	GSM2024834	DM1	0.0005555555555555556	DM1	0.9988888888888889
GSE76039	RandomForest	GSM2024835	DM1	0.06099404761904761	DM1	0.8780119047619048
GSE76039	RandomForest	GSM2024836	DM1	0.006847222222222222	DM1	0.9863055555555555
GSE76039	RandomForest	GSM2024837	DM1	0.10420039682539685	DM1	0.7915992063492063
GSE76039	RandomForest	GSM2024838	DM1	0.0	DM1	1.0
GSE76039	RandomForest	GSM2024839	DM1	0.011248015873015875	DM1	0.9775039682539682
GSE76039	RandomForest	GSM2024840	DM1	0.03724007936507936	DM1	0.9255198412698413
GSE76039	RandomForest	GSM2024841	DM2	0.41964880952380945	DM1	0.1607023809523811
GSE76039	RandomForest	GSM2024842	DM1	0.32762500000000006	DM1	0.3447499999999999
GSE76039	RandomForest	GSM2024843	DM2	0.3872013888888889	DM1	0.22559722222222223
GSE76039	RandomForest	GSM2024844	DM1	0.21554861111111112	DM1	0.5689027777777778
GSE76039	RandomForest	GSM2024845	DM1	0.006847222222222222	DM1	0.9863055555555555
GSE76039	RandomForest	GSM2024846	DM1	0.2709347041847042	DM1	0.45813059163059155
GSE76039	RandomForest	GSM2024847	DM1	0.05529563492063492	DM1	0.8894087301587301
GSE76039	RandomForest	GSM2024848	DM1	0.050688492063492054	DM1	0.8986230158730159
GSE76039	RandomForest	GSM2024849	DM1	0.08309722222222221	DM1	0.8338055555555556
GSE76039	RandomForest	GSM2024850	DM1	0.30154779942279947	DM1	0.39690440115440107
GSE76039	RandomForest	GSM2024851	DM1	0.0005555555555555556	DM1	0.9988888888888889
GSE76039	RandomForest	GSM2024852	DM1	0.08228075396825396	DM1	0.8354384920634921
GSE76039	RandomForest	GSM2024853	DM1	0.03568849206349206	DM1	0.9286230158730159
GSE76039	RandomForest	GSM2024854	DM1	0.29986111111111113	DM1	0.40027777777777773
GSE76039	RandomForest	GSM2024855	DM1	0.18717361111111114	DM1	0.6256527777777777
GSE76039	RandomForest	GSM2024856	DM1	0.28838113275613275	DM1	0.4232377344877345
GSE76039	RandomForest	GSM2024857	DM1	0.012166666666666668	DM1	0.9756666666666667
GSE76039	RandomForest	GSM2024858	DM1	0.006091269841269842	DM1	0.9878174603174603
GSE76039	RandomForest	GSM2024859	DM1	0.2650158730158731	DM1	0.4699682539682538
GSE76039	RandomForest	GSM2024860	DM1	0.08628769841269841	DM1	0.8274246031746032
GSE76039	SVM_RBF	GSM2024824	DM1	0.14115134778255745	DM1	0.7176973044348851
GSE76039	SVM_RBF	GSM2024825	DM1	0.21753203721915743	DM1	0.5649359255616851
GSE76039	SVM_RBF	GSM2024826	DM1	0.2118576188475418	DM1	0.5762847623049163
GSE76039	SVM_RBF	GSM2024827	DM1	0.22539248011602445	DM1	0.5492150397679512
GSE76039	SVM_RBF	GSM2024828	DM1	0.18793828902183193	DM1	0.6241234219563361
GSE76039	SVM_RBF	GSM2024829	DM1	0.195691752994628	DM1	0.608616494010744
GSE76039	SVM_RBF	GSM2024830	DM1	0.16729306688936826	DM1	0.6654138662212634
GSE76039	SVM_RBF	GSM2024831	DM1	0.2214953167598443	DM1	0.5570093664803114
GSE76039	SVM_RBF	GSM2024832	DM2	0.2035918879405228	DM1	0.5928162241189544
GSE76039	SVM_RBF	GSM2024833	DM1	0.2104355192375421	DM1	0.5791289615249158
GSE76039	SVM_RBF	GSM2024834	DM1	0.22296041500515373	DM1	0.5540791699896925
GSE76039	SVM_RBF	GSM2024835	DM1	0.21065869464872303	DM1	0.578682610702554
GSE76039	SVM_RBF	GSM2024836	DM1	0.22518673020705107	DM1	0.5496265395858979
GSE76039	SVM_RBF	GSM2024837	DM1	0.18346905966025231	DM1	0.6330618806794954
GSE76039	SVM_RBF	GSM2024838	DM1	0.2241592592281389	DM1	0.5516814815437222
GSE76039	SVM_RBF	GSM2024839	DM1	0.13391806934949863	DM1	0.7321638613010027
GSE76039	SVM_RBF	GSM2024840	DM1	0.22222177822296685	DM1	0.5555564435540663
