gene	log2fc_dm2_vs_dm1	pvalue	fdr	rank_score
KIF1A	2.187139348709632	9.623655933231338e-12	1.9545403095841067e-10	24.09497038569465
PTPN4	1.2682516957743415	1.056214002566522e-19	7.909052910812617e-18	24.06665880591632
RPS6KA6	1.2277006345510473	2.566220220711688e-20	2.0979662399324603e-18	24.051522282394842
CLCNKB	1.7613559617169168	2.3534470647910494e-14	7.165462754485795e-13	24.00427964263603
FTCDNL1	1.1127089460279485	2.7978380680972515e-22	3.156303434551284e-20	23.982413336125507
AL031710.1	1.5705833712790862	6.032638175322823e-16	2.3649040154975693e-14	23.903482188401604
MLEC	0.9647477479233162	1.720239809530811e-25	3.431712373700307e-23	23.891409746855707
PRIMA1	1.480238481605829	1.1683350451737253e-16	5.186042535570106e-15	23.58379983432314
ANKEF1	1.0396821767192943	2.672682672119067e-23	3.513795631120813e-21	23.468800464456763
NEB	2.132667236777533	1.0585210037819006e-11	2.129737664462743e-10	23.40666383287342
NRSN2-AS1	0.9144823144830689	3.190509986615481e-26	7.34963239523591e-24	23.31576901850411
GRIN2C	1.931341505709279	8.993511410469692e-13	2.1463129217374043e-11	23.265076342925997
CUX2	2.296106359163069	7.571633296066062e-11	1.293687662503774e-09	23.238457182785737
GPAM	1.4049750866506265	3.667611404822672e-17	1.7660591431908464e-15	23.09163197680513
ITPR1	1.4533765994559191	1.3154813590759675e-16	5.794398197846299e-15	23.080950677388774
COL25A1	1.571591195982887	2.613329637106519e-15	9.286486636177415e-14	22.918209217893228
TDRD9	1.8502349394942432	4.632262908606995e-13	1.1663730992295625e-11	22.821180371888392
PPP1R13B	0.8789998195110957	1.3771459585976842e-26	3.38830368518215e-24	22.73183193702055
LIFR-AS1	1.2216131969529014	2.570580442877107e-19	1.7972496660700185e-17	22.70975121814572
WNT4	1.6668057511917396	2.5034897706463002e-14	7.57763968774183e-13	22.670982049803246
CKB	1.5277888852514065	1.5216881196308977e-15	5.5959132928889125e-14	22.638278177302695
VDAC3	0.8144919961863266	1.7796525978260592e-28	6.089476187051446e-26	22.60187984966779
ACOT11	1.3296760515706847	1.0662227979017796e-17	5.644426180531675e-16	22.56746410543021
AKT2	1.1613515878717502	4.4105225881227363e-20	3.479127955467565e-18	22.478552213777093
TRMT9B	1.265180205725672	1.982147418541196e-18	1.188092724143695e-16	22.397313179197234
CDON	1.4880716082063916	8.903784969744153e-16	3.391310125188318e-14	22.396110635339713
RAG2	2.148685170631248	3.892043913197136e-11	7.011650101362261e-10	22.367430736831825
FAHD2A	0.9956748959742798	6.132383306493164e-23	7.634891100720212e-21	22.116299893293142
CYP17A1	1.140424537760532	4.720049522202001e-20	3.717614614529466e-18	22.039905566493562
ANKRD9	1.1441302661859978	6.41504701295431e-20	4.9618660039719056e-18	21.959063551946667
HS6ST3	1.7545574170457163	3.0977736755695586e-13	7.970904893890833e-12	21.947671554858633
GLDC	2.1636818805262155	7.865145409584792e-11	1.3385254710883631e-09	21.862476207128438
NIPSNAP2	0.9822270489745675	5.910628114719594e-23	7.394439066133946e-21	21.83330269798347
TUB	1.23619482521236	2.198809517719629e-18	1.3013526937175006e-16	21.828496303344103
NT5C3B	0.9482126656697307	1.2792804621157187e-23	1.781613555703368e-21	21.70746501519917
AC079848.1	0.8769776728411518	1.8390731273680036e-25	3.6267645169790075e-23	21.69239440708421
SLC25A42	0.9684707326446054	4.632767836802429e-23	5.881224781127959e-21	21.629979778300648
GSTM4	1.041052679038157	1.675776266746258e-21	1.6429603064562744e-19	21.628685555450392
PYGM	1.7316941567213533	3.669463476529984e-13	9.385833609175803e-12	21.534305067129154
ID3	1.2893651939259918	2.0639594104220952e-17	1.0353461632785322e-15	21.513443584534535
WASF3	1.1004258330310543	3.432449797285657e-20	2.7581308884316536e-18	21.419123969261893
CRABP1	2.318109643993712	6.016957971375435e-10	8.829428698239874e-09	21.374415151061246
AC064807.1	0.9239134682485406	8.767758166248122e-24	1.2689426580776133e-21	21.302775795992044
RAG1	1.5095565961590067	9.016068145343662e-15	2.9614889315550945e-13	21.201696450508436
MTCH1	1.084267390196782	2.8080380081667197e-20	2.277640624897301e-18	21.199159073010083
TP53INP2	1.0178400797058709	1.5622815612843152e-21	1.5463594580160536e-19	21.177425685276223
BMP8A	2.618873917575908	8.23745797143029e-09	9.836213969675532e-08	21.171518301955707
SHANK2	1.3477272590699156	1.9750548097670964e-16	8.405859300745167e-15	21.165276064431335
TMEM171	1.550979187835765	2.5646672002829154e-14	7.749194438843139e-13	21.079310034204568
AC010980.1	1.296430357172681	6.883740811892963e-17	3.1756171452579073e-15	20.953134943430655
DTWD2	0.8030951008931906	9.833764428301924e-27	2.540454702407519e-24	20.886319315868512
CSGALNACT1	1.4069839821464045	1.5786175581602147e-15	5.784681701774609e-14	20.825787269158365
FA2H	1.4381082436410737	4.085296526036994e-15	1.4175896635814602e-13	20.692617978717426
GATA5	1.9308803200750377	1.9315623122983786e-11	3.685375241943598e-10	20.687627994113907
PGF	1.6941395651063589	8.92412184861272e-13	2.1327082686129604e-11	20.413423738103315
ACSS1	0.9552113828468549	4.318465960746913e-22	4.687531497056124e-20	20.407776451677886
SLC26A4	1.9925173420146836	5.858804520293816e-11	1.0226780809275029e-09	20.387817998441225
DHTKD1	0.8135321086188387	1.2761278096320336e-25	2.6061253623742257e-23	20.25215440561623
SOX9-AS1	1.0512562562980787	5.925317953128266e-20	4.617636923110577e-18	20.2128071595022
TCFL5	1.2870615964355854	2.5306106965511304e-16	1.0561518050840373e-14	20.0740096939025
RNF157	1.4363734509488968	1.1084909308097556e-14	3.5795943383174035e-13	20.044976248870288
OR2W3	1.0812347811572618	3.476869143785105e-19	2.363722038435379e-17	19.95830917936523
PTPRQ	1.451262810008084	2.0025388029134225e-14	6.184529280868542e-13	19.880006137537244
SMAD9	1.4102624645672934	8.217507033771979e-15	2.721680470646991e-13	19.86391336252084
ADGRA3	1.1168404459977817	2.1509631748321747e-18	1.2788948828219655e-16	19.731630067592363
ADM2	1.6466266706215507	1.1000148293319209e-12	2.584609649928226e-11	19.691352107478103
OGDH	0.9229951111814598	5.265542080339743e-22	5.691632389267654e-20	19.640004002915795
AC084212.1	1.217147322789078	8.025872298735526e-17	3.666496639531982e-15	19.590604172556457
CMTM4	1.018744059712696	6.668579942118841e-20	5.127264709068396e-18	19.535402101906623
SPR	0.9170218097096932	6.131766643727639e-22	6.510029027322489e-20	19.45224662436353
RGS8	2.1115607104712146	6.463061412455712e-10	9.43048452580519e-09	19.404317468831078
AC091563.1	1.1732326082149207	3.21615211852814e-17	1.5632375132653992e-15	19.349730518366133
PLA2R1	1.5832463378612145	6.779366622080845e-13	1.6585052776026188e-11	19.266225260616725
SFTPC	1.2438611485283668	3.4918587701823674e-16	1.4206091254943508e-14	19.226291283004223
PDE11A	1.2002288569786055	1.0566237108747269e-16	4.7267215492186484e-15	19.17495181476633
LINC02861	1.0881833010105888	2.419882454549333e-18	1.4208009847915335e-16	19.169660901792128
CYP27B1	1.3772119572365908	1.6606282544443826e-14	5.219059650281774e-13	18.977605586684632
TTYH2	1.319371984171378	4.584583437720752e-15	1.5833974402416836e-13	18.918079226263618
TCF7L1	1.3452035156476096	8.946532283563113e-15	2.944263885523178e-13	18.897883441631176
SLC66A1L	1.2562704904594515	9.405172232548622e-16	3.5731355802303106e-14	18.877515919172723
NAT16	1.7012529565185706	8.997757314006674e-12	1.8383714332365162e-10	18.79181172150411
TRIM16L	1.1476370567228646	4.4821217054685526e-17	2.1363677516434427e-15	18.762163191447573
PLEKHJ1	1.0535708701035276	1.6526972396781546e-18	1.0034260984687531e-16	18.734393555100226
ERO1B	1.2411399802242231	8.047257078802208e-16	3.0817004088636693e-14	18.73420389719893
LCA5L	0.7719363527997918	6.778459711839114e-25	1.2076877806596667e-22	18.65682857238063
ACADSB	1.0263003957073744	6.641673377935928e-19	4.3659284998879586e-17	18.655803780241516
NNT	1.0682786596145712	3.911610179092978e-18	2.220934887179956e-16	18.596215061278095
AC011298.1	1.6280258242330363	3.801154790022448e-12	8.173036441568035e-11	18.592192391000705
SYNM	1.030547274405647	9.371309095904575e-19	5.999960326731073e-17	18.578912101876185
FCGBP	1.5765426094877526	1.6737239330502832e-12	3.8383474555189536e-11	18.56586423067938
NDUFA5	0.7389207493138006	8.345696978841035e-26	1.760022332664321e-23	18.53105163843006
ADIG	1.2013641458300373	3.894555198402273e-16	1.5732906801489338e-14	18.512471426361756
BEX3	0.8738663829623672	6.581521631635115e-22	6.939878768639249e-20	18.509952569912684
VLDLR	1.2216421515358178	7.418425448839752e-16	2.8625482157629e-14	18.483064922140944
CFAP46	1.1402062145810472	6.469222375216755e-17	3.0031606620188615e-15	18.45896706717743
FER1L6	1.5027516219391148	5.913805556193372e-13	1.459887747144764e-11	18.3758466374575
ADCY1	1.4575428994715498	2.739194677183056e-13	7.108423434489912e-12	18.310203543937742
CTH	0.9871813715413817	2.9925041311765964e-19	2.0690754340296622e-17	18.286513413364496
OSBPL1A	1.005498837309001	6.602879990070699e-19	4.3459567302799096e-17	18.28023692437389
NECAB3	1.0058635714283328	6.930311569193355e-19	4.539396077095034e-17	18.26572528345074
DIRAS2	1.2429400429651984	2.102671776855533e-15	7.576070109244887e-14	18.242915040524682
CYP7B1	1.1599801962254546	1.9372229920694203e-16	8.258451943419375e-15	18.226560473609833
SERTM1	1.7788291079454104	5.871026376604386e-11	1.0244653523350064e-09	18.199709292436175
AVPR1A	1.579046712413592	3.3326558435742066e-12	7.222804619370474e-11	18.12304998030808
FZD8	1.069123547731543	1.2663457887027519e-17	6.575834594039577e-16	18.06545922147403
LINC01936	1.1208466223629876	8.234709571678938e-17	3.758577510154659e-15	18.028091290716056
MRPS33	0.8403490589457885	3.692065414511613e-22	4.084831602505054e-20	18.010975001210262
HEBP1	0.888880224034251	7.145637985861621e-21	6.376525448246948e-19	17.907344540339874
MMEL1	1.414881540926883	2.2460892132719338e-13	5.902654100041847e-12	17.89623245368771
LOH12CR2	0.7957904606969637	3.7376965822783466e-23	4.827982675328941e-21	17.847507760509057
SCO1	0.7381363693822536	7.191977745995528e-25	1.2553888722300574e-22	17.82093831552363
ACSL1	0.8836887712116965	9.379675847415524e-21	8.158738917243523e-19	17.698352726708748
CASC2	0.8966835800528519	1.9606250239844928e-20	1.6312652776043602e-18	17.6714862169273
CA4	1.7434947241595773	7.720910464817711e-11	1.3165808643438994e-09	17.630796590944648
LYRM7	0.7202259218158336	3.5113965621750713e-25	6.479529913373628e-23	17.61277929627564
KCNIP3	1.3111989168407696	3.833225122343917e-14	1.1304513448702369e-12	17.591615923898427
BCAT2	0.7881419269313126	5.350105963061016e-23	6.725773111908432e-21	17.55321138686555
PNPLA4	0.8239419022462835	5.494597562672415e-22	5.914476393086631e-20	17.517057665356212
EBF4	1.687557984644367	4.177740920863963e-11	7.492381738951726e-10	17.51526303790187
KCTD15	1.0999996815642543	1.316872702431589e-16	5.795585927532823e-15	17.46849676833938
CDC14B	0.876193427335827	1.2910443548501927e-20	1.1080677695415243e-18	17.4266626288283
PHKB	0.7288009908303676	1.4364194161828288e-24	2.371147552566594e-22	17.376597036785483
CCDC110	0.9311441545107666	2.291923041617961e-19	1.6199600508114475e-17	17.356340782604036
RYR2	1.6184036683633423	1.9303531835984412e-11	3.684428824904479e-10	17.34016474559694
AL035661.1	0.8717219340973346	1.4497974512770067e-20	1.2340714120688695e-18	17.293823542569577
PDE10A	1.4375274511390117	9.865074367671698e-13	2.3338308719270206e-11	17.258810303058336
SYT13	1.890884741559852	7.66946938657352e-10	1.102270220488124e-08	17.23585817544429
DGLUCY	0.7321796570108061	3.1866539417228274e-24	4.929581912004043e-22	17.20378019137356
ADAM22	1.2306502197143576	1.1055390999611222e-14	3.572294822813712e-13	17.175478591622213
SLC39A11	1.0872651440719032	1.64908809000164e-16	7.136104140218153e-15	17.160040633685167
L2HGDH	0.8553899686228252	8.695725376029161e-21	7.628026124425717e-19	17.15971656892237
ATP2C2	1.3523130224503175	2.1710340412350633e-13	5.728957448546131e-12	17.124790619648575
NUBPL	0.6807928234638303	9.117747158153973e-26	1.9072702840789453e-23	17.04712885827714
HSDL1	0.7121141153554325	1.2644653167052043e-24	2.1007200637789227e-22	17.018169411287932
PSAT1	1.3695990260608495	4.311440531096535e-13	1.0935862020652715e-11	16.93560911765266
CYP46A1	0.9069789081736988	2.254352463774886e-19	1.595587439703025e-17	16.91241591211713
GSTM3	1.4649916044044478	3.123732929542631e-12	6.80712918614967e-11	16.855206148551765
TTC30A	0.9866436147101654	8.255852101347219e-18	4.476005943047304e-16	16.855067785767954
PANK1	1.0431621250002934	7.016270912875428e-17	3.2281093991669424e-15	16.851130027276916
TSPAN33	1.491433132449064	5.153589340714564e-12	1.0886167377597713e-10	16.835133425982878
LINC01586	1.1771896448953636	5.10957313168242e-15	1.750672576709332e-13	16.823941634810677
PRTG	1.282656104526898	8.183101132603352e-14	2.2966022233533405e-12	16.786225722241582
AFG3L2	0.9290389197762972	9.632958074462461e-19	6.144637997423784e-17	16.737788454511378
KIAA1614	0.9240332769129682	7.699796160390584e-19	5.023144798169958e-17	16.737495955305626
PDLIM3	1.298098472176088	1.2944798310804035e-13	3.529455615422812e-12	16.72976941593127
DNAAF1	1.3292629311330975	2.6084651545557595e-13	6.7930533067332145e-12	16.726932906603842
RILPL1	0.9422294821741031	1.900801487751904e-18	1.1433132860205516e-16	16.697308237163604
ANO5	1.2110195378432218	1.706520847373965e-14	5.343789038916243e-13	16.673181849522265
MYT1	0.9095816113686701	5.763457646559626e-19	3.827587785121372e-17	16.59014725066829
PTCD2	0.7073925271813528	4.4138337785020116e-24	6.687799521045219e-22	16.521282650975888
BMP7	0.9746214160396889	1.2603777637762966e-17	6.5514284002810555e-16	16.470613906427147
EIPR1-IT1	0.8329547323107982	1.9094878905144713e-20	1.5964307496294773e-18	16.425103577867155
FECH	0.7273067260377513	3.0862541487418106e-23	4.026782306999795e-21	16.372087741161167
ASAP3	0.7493474364869606	1.8256234742781218e-22	2.1102083594855033e-20	16.289755781606786
FREM2	1.35155528863634	8.934386304096353e-13	2.1331879462109536e-11	16.284802191304898
L3MBTL4	1.0010812683076251	5.820540436169723e-17	2.724055101956678e-15	16.25259111995593
ATP6V0E2	1.2828700570368614	2.165275738730758e-13	5.722530274615897e-12	16.24689089091047
EEF1AKMT3	0.7957800375643593	3.8592672695523915e-21	3.579903434169353e-19	16.244651932331664
EIF2B2	0.9091323118300441	1.6612170458068615e-18	1.0074150507364897e-16	16.16398486961971
ALDH7A1	0.822150077599912	2.754923898714415e-20	2.2380724528109496e-18	16.08116540484687
COQ9	0.8928201419160322	1.3051141810135425e-18	8.104884555842273e-17	15.967509236609581
SLC22A23	0.902001152016846	2.086541801336872e-18	1.2463158611063717e-16	15.947897133409684
PRKN	0.7459802228757224	4.241807046937218e-22	4.617358151371684e-20	15.943424336107334
AC009779.2	0.7722543114415825	2.56679524323295e-21	2.455947715321483e-19	15.901186401091792
YIPF1	0.9141339688801464	4.337220915163037e-18	2.4518110530048557e-16	15.8719147226737
SPATA4	0.7484272506507219	6.774877197803619e-22	7.129212933933144e-20	15.843530243335495
ZNF664	0.8847561322245303	1.3343532343167314e-18	8.266590277059578e-17	15.814776260365472
ALDH1L1	1.6759439046249691	3.837709323115026e-10	5.799554410842561e-09	15.780567008625829
TMEM178B	1.3481315272454317	1.98013369515998e-12	4.463767354342315e-11	15.777595098587577
SNX4	0.7726488998789147	4.383739812489453e-21	4.044626225566162e-19	15.729706242317162
LINC02028	0.8759185977840617	1.1680148222673459e-18	7.350668676846434e-17	15.707455492395427
HSD11B2	1.4940914500520424	3.171847942094488e-11	5.803223777341998e-10	15.685999440985647
NDRG2	0.8821471269910681	1.7554270491853586e-18	1.060811751781393e-16	15.663066713222573
DYNLL2	0.6092141394880084	2.021847560334988e-26	4.836334247564267e-24	15.653301373209652
SH2D6	1.1564449005438728	3.148355446760389e-14	9.402845619839063e-13	15.614222185691991
SORD	1.2313331842565658	2.2381531920250058e-13	5.885033034379033e-12	15.576500462912286
TMCO4	0.6356594806934321	3.2936184878747707e-25	6.12139136804006e-23	15.562423081503947
MCCC2	0.7673475004246235	5.483302357406195e-21	4.948939544995429e-19	15.547195328501548
FOXE1	1.1384916108961445	2.399036340613591e-14	7.295668607817718e-13	15.506213813502272
GCSH	0.8376551232164537	3.373095474322431e-19	2.302260197718512e-17	15.473141450703656
COX10	0.6118313428031867	5.953946088673137e-26	1.2845488759674635e-23	15.433564991782447
FERMT1	1.324511176703744	2.8185632384326105e-12	6.194365180916041e-11	15.29806729167214
RIOX2	1.1160562116722552	1.9729860874917128e-14	6.100553271605135e-13	15.295411964511601
