	subB_score	subB_GMM	subB_otsu_call
GSM6591095	-1.520614733272947	0	0
GSM6591096	-0.82940542188807	0	0
GSM6591097	0.6349637378580637	1	1
GSM6591098	-0.7603212958178466	0	0
GSM6591099	-0.7116785668677661	0	0
GSM6591100	-0.6976378919366037	0	0
GSM6591101	-0.24045587459268164	0	0
GSM6591102	-0.4085973900768638	0	0
GSM6591103	0.5068605723024298	1	1
GSM6591104	-0.6674545582783157	0	0
GSM6591105	-1.291286691630006	0	0
GSM6591106	-0.8180328542296034	0	0
GSM6591107	-1.6964748276614094	0	0
GSM6591108	-1.5954901803359909	0	0
GSM6591109	-1.6791015258618605	0	0
GSM6591110	-0.781373912261752	0	0
GSM6591111	-1.0335007715677638	0	0
GSM6591112	-1.1725205364031948	0	0
GSM6591113	0.9170590444056701	1	1
GSM6591114	-0.5170635666048147	0	0
GSM6591115	-1.147615392310153	0	0
GSM6591116	-1.0607655744398143	0	0
GSM6591117	0.6620689344518712	1	1
GSM6591118	-0.7031615310940285	0	0
GSM6591119	-1.3430309920904737	0	0
GSM6591120	-0.8989202427988968	0	0
GSM6591121	-1.1875927743537407	0	0
GSM6591122	-0.8367541118604682	0	0
GSM6591123	-1.6386804826346588	0	0
GSM6591124	-2.272781544900375	0	0
GSM6591125	-1.724837750109245	0	0
GSM6591126	0.12408704878061003	0	1
GSM6591127	0.7930723899012125	1	1
GSM6591128	-0.32319397189727267	0	0
GSM6591129	-1.2120834703078507	0	0
GSM6591130	-1.0754748093254896	0	0
GSM6591131	-1.1386318731921157	0	0
GSM6591132	-1.672568320242608	0	0
GSM6591133	1.896524193114214	1	1
GSM6591134	1.7542280262086227	1	1
GSM6591135	-0.3936914751383538	0	0
GSM6591136	-0.6188663969053052	0	0
GSM6591137	2.033617865392587	1	1
GSM6591138	0.8528319525930858	1	1
GSM6591139	-0.6349918269113263	0	0
GSM6591140	-1.0825113245615954	0	0
GSM6591141	-1.3056156760343345	0	0
GSM6591142	-1.1135352518080308	0	0
GSM6591143	-1.289643632854367	0	0
GSM6591144	-0.5065009622096333	0	0
GSM6591145	-0.9339018350323558	0	0
GSM6591146	-1.3206326431626951	0	0
GSM6591147	-0.5823472769703149	0	0
GSM6591148	0.12470328983867435	0	1
GSM6591149	-1.7156817762745515	0	0
GSM6591150	0.220715355301977	0	1
GSM6591151	-0.7073208721266744	0	0
GSM6591152	-1.5368985648755553	0	0
GSM6591153	-0.4707608356517195	0	0
GSM6591154	-1.1821374911316136	0	0
GSM6591155	-1.0712799825080523	0	0
GSM6591156	-0.09079997959919694	0	0
GSM6591157	1.262483783428862	1	1
GSM6591158	-1.0898625380470228	0	0
GSM6591159	0.5453175862437837	1	1
GSM6591160	0.8306875063325674	1	1
GSM6591161	0.4723437446289996	1	1
GSM6591162	-0.6532870642078907	0	0
GSM6591163	-1.0758984615498826	0	0
GSM6591164	-0.6971481754970538	0	0
GSM6591165	-0.35606887939892673	0	0
GSM6591166	-0.8055690909564006	0	0
GSM6591167	-0.8288363013470021	0	0
GSM6591168	-0.2816217133997081	0	0
