sample_id	stage	module	feature	n	spearman_r
GSM7980860_N-1	PT	DM1_like_score	n_fib	200	-0.2686619040093493
GSM7980860_N-1	PT	RAI_8_score	B4_tumor_stroma_ratio	200	0.26526839092369064
GSM7980860_N-1	PT	RAI_8_score	C2_spatial_celltype_entropy	200	0.21898169903014597
GSM7980860_N-1	PT	RAI_8_score	n_thy	200	0.3610433337790572
GSM7980860_N-1	PT	RAI_8_score	n_fib	200	0.2686619040093493
GSM7980860_N-1	PT	Proliferation_score	B4_tumor_stroma_ratio	200	0.030075313829982932
GSM7980860_N-1	PT	Proliferation_score	C2_spatial_celltype_entropy	200	0.050158430564771386
GSM7980860_N-1	PT	Proliferation_score	n_thy	200	0.11551371868833896
GSM7980860_N-1	PT	Proliferation_score	n_fib	200	0.10880582024813829
GSM7980860_N-1	PT	EMT_score	B4_tumor_stroma_ratio	200	-0.07384915213783927
GSM7980860_N-1	PT	EMT_score	C2_spatial_celltype_entropy	200	-0.0678256168637053
GSM7980860_N-1	PT	EMT_score	n_thy	200	-0.00795364971704987
GSM7980860_N-1	PT	EMT_score	n_fib	200	0.031788241271667246
GSM7980860_N-1	PT	CAF_ECM_score	B4_tumor_stroma_ratio	200	-0.1397757098440608
GSM7980860_N-1	PT	CAF_ECM_score	C2_spatial_celltype_entropy	200	-0.09567528988102943
GSM7980860_N-1	PT	CAF_ECM_score	n_thy	200	-0.1165593986112456
GSM7980860_N-1	PT	CAF_ECM_score	n_fib	200	-0.07826871683353952
GSM7980860_N-1	PT	Hypoxia_score	B4_tumor_stroma_ratio	200	0.07024035895181327
GSM7980860_N-1	PT	Hypoxia_score	C2_spatial_celltype_entropy	200	0.0008975523206888568
GSM7980860_N-1	PT	Hypoxia_score	n_thy	200	0.15527995934487152
GSM7980860_N-1	PT	Hypoxia_score	n_fib	200	0.15548300038866986
GSM7980860_N-1	PT	Epithelial_score	B4_tumor_stroma_ratio	200	0.021455106461489168
GSM7980860_N-1	PT	Epithelial_score	C2_spatial_celltype_entropy	200	0.008561720980385474
GSM7980860_N-1	PT	Epithelial_score	n_thy	200	0.1787339661583992
GSM7980860_N-1	PT	Epithelial_score	n_fib	200	0.19983389600433224
GSM7980861_N-2	PT	CD8_Teff	B5_thyrocyte_cluster_med	200	-0.07619621765193865
GSM7980861_N-2	PT	CD8_Teff	B4_tumor_stroma_ratio	200	0.004844152252010587
GSM7980861_N-2	PT	CD8_Teff	C2_spatial_celltype_entropy	200	0.020546890203892332
GSM7980861_N-2	PT	CD8_Teff	n_thy	200	0.0916716868979172
GSM7980861_N-2	PT	CD8_Teff	n_fib	200	0.1584258813814257
GSM7980861_N-2	PT	Bplasma	B5_thyrocyte_cluster_med	200	0.027664697952472464
GSM7980861_N-2	PT	Bplasma	B4_tumor_stroma_ratio	200	0.11956785304209619
GSM7980861_N-2	PT	Bplasma	C2_spatial_celltype_entropy	200	0.056463869563046803
GSM7980861_N-2	PT	Bplasma	n_thy	200	0.10419772421194556
GSM7980861_N-2	PT	Bplasma	n_fib	200	-0.07117843227895722
GSM7980861_N-2	PT	IFN_gamma	B5_thyrocyte_cluster_med	200	-0.04890099064855508
GSM7980861_N-2	PT	IFN_gamma	B4_tumor_stroma_ratio	200	0.05513863167596047
GSM7980861_N-2	PT	IFN_gamma	C2_spatial_celltype_entropy	200	0.057413682092197736
GSM7980861_N-2	PT	IFN_gamma	n_thy	200	0.127910087693441
GSM7980861_N-2	PT	IFN_gamma	n_fib	200	0.17344705015045397
GSM7980861_N-2	PT	M1_M2	B5_thyrocyte_cluster_med	200	-0.044300709807351145
GSM7980861_N-2	PT	M1_M2	B4_tumor_stroma_ratio	200	0.05465093670462028
GSM7980861_N-2	PT	M1_M2	C2_spatial_celltype_entropy	200	0.10233307954661042
GSM7980861_N-2	PT	M1_M2	n_thy	200	0.1954427693174832
GSM7980861_N-2	PT	M1_M2	n_fib	200	0.24087767415013847
GSM7980861_N-2	PT	TLS	B5_thyrocyte_cluster_med	200	-0.1128136541828319
GSM7980861_N-2	PT	TLS	B4_tumor_stroma_ratio	200	-0.057707675467935406
GSM7980861_N-2	PT	TLS	C2_spatial_celltype_entropy	200	0.0018892225568917002
GSM7980861_N-2	PT	TLS	n_thy	200	-0.07959888928724623
GSM7980861_N-2	PT	TLS	n_fib	200	0.003636686586037766
GSM7980861_N-2	PT	DM1_like_score	B5_thyrocyte_cluster_med	200	-0.13602946201844807
GSM7980861_N-2	PT	DM1_like_score	B4_tumor_stroma_ratio	200	-0.08342908746427705
GSM7980861_N-2	PT	DM1_like_score	C2_spatial_celltype_entropy	200	-0.056888922223055575
GSM7980861_N-2	PT	DM1_like_score	n_thy	200	-0.23930166443846798
GSM7980861_N-2	PT	DM1_like_score	n_fib	200	-0.26536552118638435
GSM7980861_N-2	PT	RAI_8_score	B5_thyrocyte_cluster_med	200	0.13602946201844807
GSM7980861_N-2	PT	RAI_8_score	B4_tumor_stroma_ratio	200	0.08342908746427705
GSM7980861_N-2	PT	RAI_8_score	C2_spatial_celltype_entropy	200	0.056888922223055575
GSM7980861_N-2	PT	RAI_8_score	n_thy	200	0.23930166443846798
GSM7980861_N-2	PT	RAI_8_score	n_fib	200	0.26536552118638435
GSM7980861_N-2	PT	Proliferation_score	B5_thyrocyte_cluster_med	200	-0.038134039780453016
GSM7980861_N-2	PT	Proliferation_score	B4_tumor_stroma_ratio	200	0.05374902159891262
GSM7980861_N-2	PT	Proliferation_score	C2_spatial_celltype_entropy	200	0.03039760283847758
GSM7980861_N-2	PT	Proliferation_score	n_thy	200	0.1841001606120069
GSM7980861_N-2	PT	Proliferation_score	n_fib	200	0.28367581691497185
GSM7980861_N-2	PT	EMT_score	B5_thyrocyte_cluster_med	200	-0.03863701649799861
GSM7980861_N-2	PT	EMT_score	B4_tumor_stroma_ratio	200	0.06814352220931055
GSM7980861_N-2	PT	EMT_score	C2_spatial_celltype_entropy	200	0.027631194573764936
GSM7980861_N-2	PT	EMT_score	n_thy	200	0.18275076228222145
GSM7980861_N-2	PT	EMT_score	n_fib	200	0.20311478158373136
GSM7980861_N-2	PT	CAF_ECM_score	B5_thyrocyte_cluster_med	200	-0.07643488440619271
GSM7980861_N-2	PT	CAF_ECM_score	B4_tumor_stroma_ratio	200	-0.0024234849883122502
GSM7980861_N-2	PT	CAF_ECM_score	C2_spatial_celltype_entropy	200	0.03799475872383443
GSM7980861_N-2	PT	CAF_ECM_score	n_thy	200	0.11450576059300087
GSM7980861_N-2	PT	CAF_ECM_score	n_fib	200	0.22966511486988114
GSM7980861_N-2	PT	Hypoxia_score	B5_thyrocyte_cluster_med	200	0.03220583275800919
GSM7980861_N-2	PT	Hypoxia_score	B4_tumor_stroma_ratio	200	0.1283352933103438
GSM7980861_N-2	PT	Hypoxia_score	C2_spatial_celltype_entropy	200	0.12495855094802163
GSM7980861_N-2	PT	Hypoxia_score	n_thy	200	0.2119461857878924
GSM7980861_N-2	PT	Hypoxia_score	n_fib	200	0.16805524458599214
GSM7980861_N-2	PT	Epithelial_score	B5_thyrocyte_cluster_med	200	0.12073072073095376
GSM7980861_N-2	PT	Epithelial_score	B4_tumor_stroma_ratio	200	0.10467372764453378
GSM7980861_N-2	PT	Epithelial_score	C2_spatial_celltype_entropy	200	0.05076596409075897
GSM7980861_N-2	PT	Epithelial_score	n_thy	200	0.20726792935002794
GSM7980861_N-2	PT	Epithelial_score	n_fib	200	0.21923193698938775
GSM7980862_N-3	PT	CD8_Teff	B5_thyrocyte_cluster_med	200	-0.17838743521127853
GSM7980862_N-3	PT	CD8_Teff	B4_tumor_stroma_ratio	200	-0.103328030804096
GSM7980862_N-3	PT	CD8_Teff	C2_spatial_celltype_entropy	200	-0.12887090262187156
GSM7980862_N-3	PT	CD8_Teff	n_thy	200	-0.07622264914179984
GSM7980862_N-3	PT	CD8_Teff	n_fib	200	0.046805011380082216
GSM7980862_N-3	PT	Bplasma	B5_thyrocyte_cluster_med	200	0.1153742744263709
GSM7980862_N-3	PT	Bplasma	B4_tumor_stroma_ratio	200	0.20207641926146536
GSM7980862_N-3	PT	Bplasma	C2_spatial_celltype_entropy	200	0.18017379421513866
GSM7980862_N-3	PT	Bplasma	n_thy	200	0.20344709009614323
GSM7980862_N-3	PT	Bplasma	n_fib	200	0.03647170219583945
GSM7980862_N-3	PT	IFN_gamma	B5_thyrocyte_cluster_med	200	0.03103141661649743
GSM7980862_N-3	PT	IFN_gamma	B4_tumor_stroma_ratio	200	0.054571941082542666
GSM7980862_N-3	PT	IFN_gamma	C2_spatial_celltype_entropy	200	0.03929102752070124
GSM7980862_N-3	PT	IFN_gamma	n_thy	200	0.044399743536827206
GSM7980862_N-3	PT	IFN_gamma	n_fib	200	-0.019971364063310047
GSM7980862_N-3	PT	M1_M2	B5_thyrocyte_cluster_med	200	0.048783297944825436
GSM7980862_N-3	PT	M1_M2	B4_tumor_stroma_ratio	200	0.03156267049056061
GSM7980862_N-3	PT	M1_M2	C2_spatial_celltype_entropy	200	-0.00013134148939863483
GSM7980862_N-3	PT	M1_M2	n_thy	200	0.09410538387061007
GSM7980862_N-3	PT	M1_M2	n_fib	200	0.1049297390385026
GSM7980862_N-3	PT	TLS	B5_thyrocyte_cluster_med	200	-0.06965918036658689
GSM7980862_N-3	PT	TLS	B4_tumor_stroma_ratio	200	0.02635516459275027
GSM7980862_N-3	PT	TLS	C2_spatial_celltype_entropy	200	0.007396020394245098
GSM7980862_N-3	PT	TLS	n_thy	200	0.05087187727774587
GSM7980862_N-3	PT	TLS	n_fib	200	0.048181119639026916
GSM7980862_N-3	PT	DM1_like_score	B5_thyrocyte_cluster_med	200	-0.17034294168052586
GSM7980862_N-3	PT	DM1_like_score	B4_tumor_stroma_ratio	200	-0.18830411988919263
GSM7980862_N-3	PT	DM1_like_score	C2_spatial_celltype_entropy	200	-0.20846471161779048
GSM7980862_N-3	PT	DM1_like_score	n_thy	200	-0.17264243147650649
GSM7980862_N-3	PT	DM1_like_score	n_fib	200	0.04811233664798945
GSM7980862_N-3	PT	RAI_8_score	B5_thyrocyte_cluster_med	200	0.17034294168052586
GSM7980862_N-3	PT	RAI_8_score	B4_tumor_stroma_ratio	200	0.18830411988919263
GSM7980862_N-3	PT	RAI_8_score	C2_spatial_celltype_entropy	200	0.20846471161779048
GSM7980862_N-3	PT	RAI_8_score	n_thy	200	0.17264243147650649
GSM7980862_N-3	PT	RAI_8_score	n_fib	200	-0.04811233664798945
GSM7980862_N-3	PT	Proliferation_score	B5_thyrocyte_cluster_med	200	0.056308570758758
GSM7980862_N-3	PT	Proliferation_score	B4_tumor_stroma_ratio	200	0.09771222866075398
GSM7980862_N-3	PT	Proliferation_score	C2_spatial_celltype_entropy	200	0.05911302349923349
GSM7980862_N-3	PT	Proliferation_score	n_thy	200	0.10774745766178881
GSM7980862_N-3	PT	Proliferation_score	n_fib	200	-0.0037054478156855184
GSM7980862_N-3	PT	EMT_score	B5_thyrocyte_cluster_med	200	-0.009028123674539677
GSM7980862_N-3	PT	EMT_score	B4_tumor_stroma_ratio	200	0.006636965701571972
GSM7980862_N-3	PT	EMT_score	C2_spatial_celltype_entropy	200	0.0003795094877371935
GSM7980862_N-3	PT	EMT_score	n_thy	200	0.0034554009569804306
GSM7980862_N-3	PT	EMT_score	n_fib	200	0.046796266680106766
GSM7980862_N-3	PT	CAF_ECM_score	B5_thyrocyte_cluster_med	200	-0.06847874576017028
GSM7980862_N-3	PT	CAF_ECM_score	B4_tumor_stroma_ratio	200	0.0036376333773643554
GSM7980862_N-3	PT	CAF_ECM_score	C2_spatial_celltype_entropy	200	0.04064262522096356
GSM7980862_N-3	PT	CAF_ECM_score	n_thy	200	0.0427699598955015
GSM7980862_N-3	PT	CAF_ECM_score	n_fib	200	0.091347604676881
GSM7980862_N-3	PT	Hypoxia_score	B5_thyrocyte_cluster_med	200	-0.0019098288488280859
GSM7980862_N-3	PT	Hypoxia_score	B4_tumor_stroma_ratio	200	0.11988985830443781
GSM7980862_N-3	PT	Hypoxia_score	C2_spatial_celltype_entropy	200	0.1073228519571897
GSM7980862_N-3	PT	Hypoxia_score	n_thy	200	0.12225666449249578
GSM7980862_N-3	PT	Hypoxia_score	n_fib	200	0.009839210370214553
GSM7980862_N-3	PT	Epithelial_score	B5_thyrocyte_cluster_med	200	0.13894244565819314
GSM7980862_N-3	PT	Epithelial_score	B4_tumor_stroma_ratio	200	0.11526342830008636
GSM7980862_N-3	PT	Epithelial_score	C2_spatial_celltype_entropy	200	0.1018199273236265
GSM7980862_N-3	PT	Epithelial_score	n_thy	200	0.14863909990257904
GSM7980862_N-3	PT	Epithelial_score	n_fib	200	0.03254846820415413
GSM7980863_N-4	PT	CD8_Teff	B5_thyrocyte_cluster_med	200	-0.08378608394558945
GSM7980863_N-4	PT	CD8_Teff	B4_tumor_stroma_ratio	200	-0.013758979373886461
GSM7980863_N-4	PT	CD8_Teff	C2_spatial_celltype_entropy	200	-0.059856360858347495
GSM7980863_N-4	PT	CD8_Teff	n_thy	200	0.0027134917798213878
GSM7980863_N-4	PT	CD8_Teff	n_fib	200	0.03793439850608
GSM7980863_N-4	PT	Bplasma	B5_thyrocyte_cluster_med	200	0.06458178476350071
GSM7980863_N-4	PT	Bplasma	B4_tumor_stroma_ratio	200	0.04772654669208281
GSM7980863_N-4	PT	Bplasma	C2_spatial_celltype_entropy	200	0.09182131622741398
GSM7980863_N-4	PT	Bplasma	n_thy	200	-0.06512599107237528
GSM7980863_N-4	PT	Bplasma	n_fib	200	-0.23504590128558167
GSM7980863_N-4	PT	IFN_gamma	B5_thyrocyte_cluster_med	200	0.033187231492035646
GSM7980863_N-4	PT	IFN_gamma	B4_tumor_stroma_ratio	200	0.10887693796772113
GSM7980863_N-4	PT	IFN_gamma	C2_spatial_celltype_entropy	200	0.049954840079379746
GSM7980863_N-4	PT	IFN_gamma	n_thy	200	0.14055317352705735
GSM7980863_N-4	PT	IFN_gamma	n_fib	200	0.05195777018630441
GSM7980863_N-4	PT	M1_M2	B5_thyrocyte_cluster_med	200	-0.07574813173009241
GSM7980863_N-4	PT	M1_M2	B4_tumor_stroma_ratio	200	-0.07750431993446251
GSM7980863_N-4	PT	M1_M2	C2_spatial_celltype_entropy	200	-0.023791828957033245
GSM7980863_N-4	PT	M1_M2	n_thy	200	-0.0793794664116551
GSM7980863_N-4	PT	M1_M2	n_fib	200	-0.04328314244002939
GSM7980863_N-4	PT	TLS	B5_thyrocyte_cluster_med	200	0.02650410143323888
GSM7980863_N-4	PT	TLS	B4_tumor_stroma_ratio	200	0.03138868150899558
GSM7980863_N-4	PT	TLS	C2_spatial_celltype_entropy	200	0.048409927917729516
GSM7980863_N-4	PT	TLS	n_thy	200	-0.010082097431068346
GSM7980863_N-4	PT	TLS	n_fib	200	-0.07338136780711003
GSM7980863_N-4	PT	DM1_like_score	B5_thyrocyte_cluster_med	200	0.028392606588045467
GSM7980863_N-4	PT	DM1_like_score	B4_tumor_stroma_ratio	200	0.04846854302558807
GSM7980863_N-4	PT	DM1_like_score	C2_spatial_celltype_entropy	200	0.0989680855412974
GSM7980863_N-4	PT	DM1_like_score	n_thy	200	-0.012654638624334453
GSM7980863_N-4	PT	DM1_like_score	n_fib	200	-0.06774134652932791
GSM7980863_N-4	PT	RAI_8_score	B5_thyrocyte_cluster_med	200	-0.028392606588045467
GSM7980863_N-4	PT	RAI_8_score	B4_tumor_stroma_ratio	200	-0.04846854302558807
GSM7980863_N-4	PT	RAI_8_score	C2_spatial_celltype_entropy	200	-0.0989680855412974
GSM7980863_N-4	PT	RAI_8_score	n_thy	200	0.012654638624334453
GSM7980863_N-4	PT	RAI_8_score	n_fib	200	0.06774134652932791
GSM7980863_N-4	PT	Proliferation_score	B5_thyrocyte_cluster_med	200	-0.06180033191079523
GSM7980863_N-4	PT	Proliferation_score	B4_tumor_stroma_ratio	200	0.030467703841817195
GSM7980863_N-4	PT	Proliferation_score	C2_spatial_celltype_entropy	200	0.0778814362133948
GSM7980863_N-4	PT	Proliferation_score	n_thy	200	0.05894989188152264
GSM7980863_N-4	PT	Proliferation_score	n_fib	200	0.05219156502113779
GSM7980863_N-4	PT	EMT_score	B5_thyrocyte_cluster_med	200	-0.09033014605617555
GSM7980863_N-4	PT	EMT_score	B4_tumor_stroma_ratio	200	-0.056364248019790654
GSM7980863_N-4	PT	EMT_score	C2_spatial_celltype_entropy	200	-0.003666095776754488
GSM7980863_N-4	PT	EMT_score	n_thy	200	-0.10822055858750744
GSM7980863_N-4	PT	EMT_score	n_fib	200	-0.11296577079839785
GSM7980863_N-4	PT	CAF_ECM_score	B5_thyrocyte_cluster_med	200	0.06388564437277462
GSM7980863_N-4	PT	CAF_ECM_score	B4_tumor_stroma_ratio	200	0.023313768316520683
GSM7980863_N-4	PT	CAF_ECM_score	C2_spatial_celltype_entropy	200	0.07831763343201564
GSM7980863_N-4	PT	CAF_ECM_score	n_thy	200	-0.0487613241283917
GSM7980863_N-4	PT	CAF_ECM_score	n_fib	200	-0.1635201513236679
GSM7980863_N-4	PT	Hypoxia_score	B5_thyrocyte_cluster_med	200	0.05315348359048186
GSM7980863_N-4	PT	Hypoxia_score	B4_tumor_stroma_ratio	200	0.04777737483386796
GSM7980863_N-4	PT	Hypoxia_score	C2_spatial_celltype_entropy	200	0.022441454411345638
GSM7980863_N-4	PT	Hypoxia_score	n_thy	200	0.04697407525984289
GSM7980863_N-4	PT	Hypoxia_score	n_fib	200	0.031682700277039906
GSM7980863_N-4	PT	Epithelial_score	B5_thyrocyte_cluster_med	200	0.03547820869879391
GSM7980863_N-4	PT	Epithelial_score	B4_tumor_stroma_ratio	200	0.05125878070023923
GSM7980863_N-4	PT	Epithelial_score	C2_spatial_celltype_entropy	200	-0.03216763863101944
GSM7980863_N-4	PT	Epithelial_score	n_thy	200	0.0676269649788497
GSM7980863_N-4	PT	Epithelial_score	n_fib	200	0.005241701261960029
GSM7980864_PTC-1	PTC	CD8_Teff	B4_tumor_stroma_ratio	200	0.06386262853372399
GSM7980864_PTC-1	PTC	CD8_Teff	C2_spatial_celltype_entropy	200	0.07046818885813898
GSM7980864_PTC-1	PTC	CD8_Teff	n_thy	200	0.12553995434280132
GSM7980864_PTC-1	PTC	CD8_Teff	n_fib	200	0.09996390753563617
GSM7980864_PTC-1	PTC	Bplasma	B4_tumor_stroma_ratio	200	-0.18203991722426932
GSM7980864_PTC-1	PTC	Bplasma	C2_spatial_celltype_entropy	200	-0.1367689192229806
GSM7980864_PTC-1	PTC	Bplasma	n_thy	200	-0.11371956510429934
GSM7980864_PTC-1	PTC	Bplasma	n_fib	200	-0.04383412270321546
GSM7980864_PTC-1	PTC	IFN_gamma	B4_tumor_stroma_ratio	200	0.07142868666341305
GSM7980864_PTC-1	PTC	IFN_gamma	C2_spatial_celltype_entropy	200	0.06974623599151679
GSM7980864_PTC-1	PTC	IFN_gamma	n_thy	200	0.20054618032533647
GSM7980864_PTC-1	PTC	IFN_gamma	n_fib	200	0.16785795079254165
GSM7980864_PTC-1	PTC	M1_M2	B4_tumor_stroma_ratio	200	0.07994371138221772
GSM7980864_PTC-1	PTC	M1_M2	C2_spatial_celltype_entropy	200	0.04620467944725302
GSM7980864_PTC-1	PTC	M1_M2	n_thy	200	0.2442838264160733
GSM7980864_PTC-1	PTC	M1_M2	n_fib	200	0.20174787353514556
GSM7980864_PTC-1	PTC	TLS	B4_tumor_stroma_ratio	200	0.018245656101985645
GSM7980864_PTC-1	PTC	TLS	C2_spatial_celltype_entropy	200	-0.02683282646366188
GSM7980864_PTC-1	PTC	TLS	n_thy	200	0.03910606795219648
GSM7980864_PTC-1	PTC	TLS	n_fib	200	0.02694663410828423
GSM7980864_PTC-1	PTC	DM1_like_score	B4_tumor_stroma_ratio	200	-0.196877892721022
GSM7980864_PTC-1	PTC	DM1_like_score	C2_spatial_celltype_entropy	200	-0.11778573286103415
GSM7980864_PTC-1	PTC	DM1_like_score	n_thy	200	-0.1605012109230414
GSM7980864_PTC-1	PTC	DM1_like_score	n_fib	200	-0.0037511524327617117
GSM7980864_PTC-1	PTC	RAI_8_score	B4_tumor_stroma_ratio	200	0.196877892721022
GSM7980864_PTC-1	PTC	RAI_8_score	C2_spatial_celltype_entropy	200	0.11778573286103415
GSM7980864_PTC-1	PTC	RAI_8_score	n_thy	200	0.1605012109230414
GSM7980864_PTC-1	PTC	RAI_8_score	n_fib	200	0.0037511524327617117
GSM7980864_PTC-1	PTC	Proliferation_score	B4_tumor_stroma_ratio	200	0.12962819394143063
GSM7980864_PTC-1	PTC	Proliferation_score	C2_spatial_celltype_entropy	200	0.10581139393887308
GSM7980864_PTC-1	PTC	Proliferation_score	n_thy	200	0.13283970779285773
GSM7980864_PTC-1	PTC	Proliferation_score	n_fib	200	0.016707857344137683
GSM7980864_PTC-1	PTC	EMT_score	B4_tumor_stroma_ratio	200	0.09396044130751206
GSM7980864_PTC-1	PTC	EMT_score	C2_spatial_celltype_entropy	200	0.08475961899047477
GSM7980864_PTC-1	PTC	EMT_score	n_thy	200	0.2999711593199509
GSM7980864_PTC-1	PTC	EMT_score	n_fib	200	0.3032803415772637
GSM7980864_PTC-1	PTC	CAF_ECM_score	B4_tumor_stroma_ratio	200	-0.019394285361596424
GSM7980864_PTC-1	PTC	CAF_ECM_score	C2_spatial_celltype_entropy	200	0.008691755112865138
GSM7980864_PTC-1	PTC	CAF_ECM_score	n_thy	200	0.13516446426449658
GSM7980864_PTC-1	PTC	CAF_ECM_score	n_fib	200	0.1786292712221812
GSM7980864_PTC-1	PTC	Hypoxia_score	B4_tumor_stroma_ratio	200	0.10068266248267403
GSM7980864_PTC-1	PTC	Hypoxia_score	C2_spatial_celltype_entropy	200	0.11309356714954578
GSM7980864_PTC-1	PTC	Hypoxia_score	n_thy	200	0.13776702004101815
GSM7980864_PTC-1	PTC	Hypoxia_score	n_fib	200	0.03177687398713769
GSM7980864_PTC-1	PTC	Epithelial_score	B4_tumor_stroma_ratio	200	0.3027416530518559
GSM7980864_PTC-1	PTC	Epithelial_score	C2_spatial_celltype_entropy	200	0.2591692054432614
GSM7980864_PTC-1	PTC	Epithelial_score	n_thy	200	0.44800082639354444
GSM7980864_PTC-1	PTC	Epithelial_score	n_fib	200	0.2814314340605843
GSM7980865_PTC-2	PTC	CD8_Teff	B4_tumor_stroma_ratio	200	-0.01311201034109513
GSM7980865_PTC-2	PTC	CD8_Teff	C2_spatial_celltype_entropy	200	-0.01990584467253583
GSM7980865_PTC-2	PTC	CD8_Teff	n_thy	200	-0.03447984217826246
GSM7980865_PTC-2	PTC	CD8_Teff	n_fib	200	-0.05143859503524739
GSM7980865_PTC-2	PTC	Bplasma	B4_tumor_stroma_ratio	200	-0.15730071197422688
GSM7980865_PTC-2	PTC	Bplasma	C2_spatial_celltype_entropy	200	-0.10406628093102484
GSM7980865_PTC-2	PTC	Bplasma	n_thy	200	-0.35947635538028955
GSM7980865_PTC-2	PTC	Bplasma	n_fib	200	-0.34905777438998076
GSM7980865_PTC-2	PTC	IFN_gamma	B4_tumor_stroma_ratio	200	-0.05814974080716668
GSM7980865_PTC-2	PTC	IFN_gamma	C2_spatial_celltype_entropy	200	-0.05771434990647968
GSM7980865_PTC-2	PTC	IFN_gamma	n_thy	200	0.16000769583868396
GSM7980865_PTC-2	PTC	IFN_gamma	n_fib	200	0.2915638347710761
GSM7980865_PTC-2	PTC	M1_M2	B4_tumor_stroma_ratio	200	-0.06795515970818565
GSM7980865_PTC-2	PTC	M1_M2	C2_spatial_celltype_entropy	200	-0.09596093284336689
GSM7980865_PTC-2	PTC	M1_M2	n_thy	200	-0.033081575949168905
GSM7980865_PTC-2	PTC	M1_M2	n_fib	200	0.013837020962743904
GSM7980865_PTC-2	PTC	TLS	B4_tumor_stroma_ratio	200	-0.07115872433769689
GSM7980865_PTC-2	PTC	TLS	C2_spatial_celltype_entropy	200	0.006465544709409971
GSM7980865_PTC-2	PTC	TLS	n_thy	200	-0.1752134492740801
GSM7980865_PTC-2	PTC	TLS	n_fib	200	-0.16682554134236358
GSM7980865_PTC-2	PTC	DM1_like_score	B4_tumor_stroma_ratio	200	-0.17010498526721549
GSM7980865_PTC-2	PTC	DM1_like_score	C2_spatial_celltype_entropy	200	-0.1861749741899832
GSM7980865_PTC-2	PTC	DM1_like_score	n_thy	200	-0.4154028130686751
GSM7980865_PTC-2	PTC	DM1_like_score	n_fib	200	-0.3892467410517804
GSM7980865_PTC-2	PTC	RAI_8_score	B4_tumor_stroma_ratio	200	0.17010498526721549
GSM7980865_PTC-2	PTC	RAI_8_score	C2_spatial_celltype_entropy	200	0.1861749741899832
GSM7980865_PTC-2	PTC	RAI_8_score	n_thy	200	0.4154028130686751
GSM7980865_PTC-2	PTC	RAI_8_score	n_fib	200	0.3892467410517804
GSM7980865_PTC-2	PTC	Proliferation_score	B4_tumor_stroma_ratio	200	-0.03992686847909512
GSM7980865_PTC-2	PTC	Proliferation_score	C2_spatial_celltype_entropy	200	0.0321995239865538
GSM7980865_PTC-2	PTC	Proliferation_score	n_thy	200	0.021303552041619035
GSM7980865_PTC-2	PTC	Proliferation_score	n_fib	200	0.06982065379102265
GSM7980865_PTC-2	PTC	EMT_score	B4_tumor_stroma_ratio	200	0.11730451623341001
GSM7980865_PTC-2	PTC	EMT_score	C2_spatial_celltype_entropy	200	0.09443118160292627
GSM7980865_PTC-2	PTC	EMT_score	n_thy	200	0.15597270937650107
GSM7980865_PTC-2	PTC	EMT_score	n_fib	200	0.15411622718406004
GSM7980865_PTC-2	PTC	CAF_ECM_score	B4_tumor_stroma_ratio	200	-0.10296220203945888
GSM7980865_PTC-2	PTC	CAF_ECM_score	C2_spatial_celltype_entropy	200	-0.020611466149378848
GSM7980865_PTC-2	PTC	CAF_ECM_score	n_thy	200	-0.27088400657488076
