gene	target_ATC4	others_mean	log2FC
GPRIN3	0.023792527616024017	0.04716412040094534	-0.9580534560331833
PHTF1	0.03791337460279465	0.0745970830321312	-0.9580644705479462
POLM	0.05611918121576309	0.10997772961854935	-0.9582229896806207
NF2	0.17258591949939728	0.3362915317217509	-0.9583461698293692
NGDN	0.0791972279548645	0.15485720336437225	-0.9586005591799172
TTC27	0.045355409383773804	0.08909668773412704	-0.9587363664715767
NAA40	0.031358502805233	0.0619090311229229	-0.9591222857434993
HIST1H2AI	0.00037014245754107833	0.001664764597080648	-0.9596821902044521
AL592071.1	0.00028416808345355093	0.0014978117154290278	-0.9598306832622274
FOXD1-AS1	0.0	0.0009457457830042889	-0.9603232303878233
WRNIP1	0.16396060585975647	0.32010968526204425	-0.9609446435781832
TRAPPC2L	0.3985818028450012	0.7769077817598978	-0.961108255335956
NAA10	0.3953119218349457	0.7705867489178976	-0.9611919999961719
SDC1	0.3741295337677002	0.729496975739797	-0.9614894501210995
PSMA2	0.4697605073451996	0.915778915087382	-0.9615805680055922
CSNK1E	0.3461286425590515	0.6751523613929749	-0.96187796321186
FBXO41	0.01647414080798626	0.0330424290150404	-0.9621124597276225
ABCC4	0.025123879313468933	0.04990015303095182	-0.9623008453159283
MLC1	0.0	0.0009484259596016879	-0.9623091099801417
PGBD1	0.010503437370061874	0.021413777954876423	-0.962320822041411
AL021578.1	0.0013931792927905917	0.0036632128370304904	-0.9623957931514955
AC002116.2	0.0007602995028719306	0.0024305585538968444	-0.9626225766714978
DMC1	0.0015177816385403275	0.00390723025581489	-0.9627557999340048
C2	0.11831331998109818	0.23155924677848816	-0.9628431913515016
ZMAT5	0.10795646160840988	0.21142195661862692	-0.9631811381643698
IPPK	0.035196881741285324	0.06957432627677917	-0.963278032775682
MRPL50	0.10087152570486069	0.19762355585892996	-0.9632858726061455
FAM166A	0.0	0.0009498022166856875	-0.9633277878321174
CCDC127	0.057670120149850845	0.1134028931458791	-0.9634256854294954
NUMB	0.12072400748729706	0.23639764388402304	-0.9636918794265039
AC090559.2	0.0	0.0009504138385333741	-0.9637802672852036
CENPP	0.019300879910588264	0.03859869514902433	-0.9639106314160584
CCDC28B	0.0603339821100235	0.11863834038376808	-0.9639212765887963
AC090023.1	0.0	0.0009506807352105776	-0.9639776736827947
LIG1	0.05428486689925194	0.10688495884339015	-0.9645372091277409
AC011337.1	0.0006930581876076758	0.0023039275935540595	-0.9645505129345704
SIGLEC10	0.020959902554750443	0.041869137436151505	-0.9650677366666276
CACNG7	0.0	0.0009524995305885872	-0.9653222015208538
CXCR5	0.0009529732633382082	0.0028132436952243247	-0.9653465346505037
MTRR	0.04179592803120613	0.08256904284159343	-0.9654950791690817
AC132938.2	0.0	0.0009528107475489378	-0.9655521403140916
FAM210B	0.12769600749015808	0.2503369450569153	-0.9656554566960214
PARVB	0.0750296413898468	0.14748788252472878	-0.9657113120998546
AC008622.2	0.002283938229084015	0.005414045260598262	-0.9658075439072444
BOLA3-AS1	0.00755856279283762	0.015716238568226498	-0.9658097978090794
REEP4	0.09454774111509323	0.18562797208627066	-0.9658715643885047
RAB32	0.17937088012695312	0.35131174822648364	-0.9658861415820252
RBM19	0.05123548582196236	0.10107056548198064	-0.9664647601301053
ZNF66	0.0006520886672660708	0.0022285591112449765	-0.9665993234447168
LNX1-AS2	0.0	0.0009545980477317547	-0.9668719557852938
HOXB3	0.015962054952979088	0.03215882585694393	-0.9670819593884312
EIF5A	0.6729536652565002	1.3166879018147786	-0.9672873905927637
EVA1B	0.3176717460155487	0.6222504675388336	-0.9677409470070917
MESP2	0.0015944287879392505	0.004074267451263343	-0.9677826248321519
ZNF707	0.010963628068566322	0.02240728059162696	-0.968302369905329
DOK2	0.0533599853515625	0.10536495596170425	-0.9684059322577929
CEBPZ	0.10730054974555969	0.21093957126140594	-0.9686124123704039
NOS3	0.02231975831091404	0.044638803228735924	-0.9687081244749871
RNF149	0.2182246446609497	0.4280483325322469	-0.9687301858578217
LINC01320	0.0	0.0009573016626139482	-0.968866123679593
UBIAD1	0.05860423669219017	0.11570034672816594	-0.9693220606738429
AC087284.1	0.0005723420181311667	0.002078940160572529	-0.9695187599075741
AC079341.1	0.0	0.0009585496494158482	-0.9697857012057494
AP001363.2	0.0	0.0009585720642159382	-0.9698022121662433
ERI1	0.0429951548576355	0.08518699929118156	-0.9701256152855691
GAN	0.003170616691932082	0.007171386542419593	-0.9703201746183323
PSMC3	0.4997868835926056	0.9803824226061503	-0.9706186554616654
C8orf88	0.007295429240912199	0.015257771534379572	-0.9707409801890101
SLC46A1	0.028350992128252983	0.05652932325998942	-0.9708882289008445
AC027514.1	0.0	0.0009605840314179659	-0.9712834776677752
HSPA13	0.11178576946258545	0.22014834235111871	-0.9714293785300354
RHOJ	0.04716437682509422	0.09344801555077235	-0.971553984844121
NUP205	0.0824933722615242	0.16277841726938883	-0.9720116655427331
PPFIBP1	0.19427426159381866	0.3820856163899104	-0.9721650530542256
ADAL	0.016395768150687218	0.0331332233423988	-0.9724402746431879
GK	0.02381906472146511	0.04770598808924357	-0.9726504031728007
SMYD5	0.08475164324045181	0.1673216571410497	-0.9729845905479411
ROCR	0.0	0.0009630503336666152	-0.9730971647553055
AC025176.1	0.0	0.0009631817423117658	-0.9731937370399244
RIPOR1	0.10126152634620667	0.19977626701196036	-0.9733252791187197
NUP62	0.15482409298419952	0.30496033032735187	-0.973426295416568
PRPF19	0.24926255643367767	0.4904204110304515	-0.9735153256659319
RBM18	0.08479521423578262	0.16747145851453146	-0.9735351190910908
AC093157.1	0.03000085987150669	0.05988658436884483	-0.9738161504203671
DGCR11	0.0060513620264828205	0.01285088745256265	-0.9740045579097831
MICA	0.09189245849847794	0.1815327430764834	-0.9745218997793756
SINHCAF	0.022846536710858345	0.045867751042048134	-0.9748158130634472
FTSJ1	0.0995740219950676	0.1967128465572993	-0.9751489054944362
PSMA5	0.28673362731933594	0.5647975107034048	-0.9755519912817202
NFATC2	0.05828598514199257	0.1155974982927243	-0.9757738289424909
PIGT	0.5408546924591064	1.0647352735201518	-0.9758711947034476
TBC1D7	0.0786045640707016	0.15557289868593216	-0.9759114629901986
AASDHPPT	0.09116287529468536	0.18028905739386877	-0.9760342148957046
AVPR1A	0.007683921605348587	0.016084506021191675	-0.976269927401491
UBE2N	0.21262222528457642	0.4193257689476013	-0.9764461536115585
DOK3	0.013450276106595993	0.02743365615606308	-0.9765025615354981
SAMD9L	0.08397416025400162	0.16624246537685394	-0.9768451111938554
ITGB8	0.04981136694550514	0.09901808171222608	-0.9770376587175273
AC022387.2	0.0	0.0009686583168028543	-0.9772127367195598
XRCC4	0.029464028775691986	0.05897894377509753	-0.9773493701749869
ALG1	0.08507273346185684	0.16851605971654257	-0.9777937675915753
GPATCH4	0.08786783367395401	0.17402604719003043	-0.977836413156651
MTRNR2L8	0.021417897194623947	0.043160660502811275	-0.978110791130784
AC015802.3	0.0003090364334639162	0.00157889437105041	-0.9782474316534842
HIST1H2AD	0.0	0.0009708344878163189	-0.9788066228385581
DOCK2	0.03506851941347122	0.07009992996851604	-0.979107936073067
B3GAT3	0.15909914672374725	0.31462693214416504	-0.9792546956109986
MYRIP	0.00932382419705391	0.019354084642448772	-0.9793408632016707
AC067852.3	0.0	0.000971872437124451	-0.9795662250015589
KIAA0753	0.023624572902917862	0.04759554813305537	-0.980725451551649
ETV7	0.04382527992129326	0.08747194459040959	-0.9809074411849132
MZB1	0.026260187849402428	0.052810333048303924	-0.9810877323333065
CRTAM	0.007746939081698656	0.016266363983352978	-0.9811141553495206
DAGLA	0.011455286294221878	0.023589735229810078	-0.9812980173842272
MYCBP	0.13854779303073883	0.2745014081398646	-0.9813003845567043
REP15	0.0031516454182565212	0.007198430520171921	-0.9816645195507192
ARMC2	0.003442757995799184	0.007775511282185714	-0.9820276251545978
SLC25A11	0.19521428644657135	0.3866005390882492	-0.9821404886768335
HPSE	0.015647539868950844	0.031886922816435494	-0.9822050282741683
LINC00601	0.0	0.0009755662952860197	-0.9822662605274619
LINC01641	0.00030607206281274557	0.0015807028830749914	-0.9825295530799742
LILRB3	0.037301529198884964	0.07468341539303462	-0.9825752018818217
ARMC12	0.0005100111593492329	0.0019837936464076242	-0.9825885534936951
TMX2	0.20087122917175293	0.39792566498120624	-0.9826846311351314
AC079922.2	0.013967792503535748	0.028595626664658386	-0.983522541119668
PROSER2	0.06281182914972305	0.12518875611325106	-0.9836875723533285
MPLKIP	0.14837805926799774	0.29446668922901154	-0.9840272309906297
OXSR1	0.0907926931977272	0.18058509876330694	-0.9841945938792329
THAP12	0.11240413784980774	0.2233434518178304	-0.9842357931698067
AC015917.2	0.0033816362265497446	0.007674665190279484	-0.9853383626565329
AC006273.1	0.00040151813300326467	0.001774879982500958	-0.9854349639572426
AC097468.3	0.0038005972746759653	0.008505501473943392	-0.9855488275417699
TGFBR2	0.34941014647483826	0.6928664942582449	-0.9856135526451578
PDLIM7	0.3558596968650818	0.7057451009750366	-0.9858330025669382
RGS19	0.08493304252624512	0.16918973128000894	-0.9858591111660209
NEMP2	0.012875244952738285	0.026481558258334797	-0.9859505691791144
C1QB	0.8804713487625122	1.7448657751083374	-0.9859570643433788
IFITM1	0.2780144512653351	0.5518067280451456	-0.9864353275530973
FASTKD5	0.03599826619029045	0.07232164964079857	-0.9867815801169741
C1orf112	0.022388268262147903	0.04535175611575445	-0.9868389547044014
STEAP1B	0.0029262290336191654	0.006782025661474715	-0.9870014038614299
ASIC2	0.0	0.0009825262532103807	-0.9873399706584554
PFKFB3	0.06293097138404846	0.12575152268012366	-0.9874161587784465
RPF2	0.15312449634075165	0.30461861193180084	-0.9876362249442858
NDOR1	0.018364673480391502	0.03740703004101912	-0.9879432312952305
PMPCA	0.17476381361484528	0.34766751527786255	-0.9882138791658428
MRVI1-AS1	0.00034975106245838106	0.0016782405339957525	-0.9885921831691693
HPS4	0.06688899546861649	0.13377664734919867	-0.9893208999552199
OAF	0.17474089562892914	0.34806035459041595	-0.9900265569881437
NOL7	0.29200905561447144	0.5809859037399292	-0.9900389574291005
PARL	0.13922996819019318	0.2775816222031911	-0.9903053907028143
FBXL6	0.05747036263346672	0.11516288419564565	-0.9903717353507706
ANKRD13D	0.11274967342615128	0.22503175834814707	-0.9906630878327491
NDUFAF4	0.12431157380342484	0.24801324307918549	-0.9907028016386836
DYNC1LI1	0.1260194182395935	0.25148644546667737	-0.9911568724905275
AC126755.2	0.0015716733178123832	0.004111963169028361	-0.991170054571608
IFI35	0.2369338572025299	0.4719684223333995	-0.9911832883465028
DCBLD1	0.03193115070462227	0.06446198994914691	-0.9912045343460649
HCST	0.16768856346607208	0.33433446784814197	-0.9912386133653501
ARHGAP29	0.10548149794340134	0.2106792852282524	-0.9912773234079655
DEDD2	0.08306395262479782	0.16612780839204788	-0.9913926057159248
PRMT1	0.42346280813217163	0.8429453372955322	-0.9915114090840955
AC243829.1	0.003350005717948079	0.00765193688372771	-0.9920058434718131
SMC1B	0.0	0.000989275984466076	-0.992243443994484
MNX1-AS1	0.0	0.0009895223968972762	-0.9924221401529145
GPRC5D-AS1	0.012135166674852371	0.025137130171060562	-0.9926662362125045
TMEM218	0.035392213612794876	0.07141565655668576	-0.992671839501734
SFXN1	0.09838477522134781	0.1967821568250656	-0.9928155103439273
ALAS1	0.08735603839159012	0.17484712104002634	-0.9929210761053215
PDCD1	0.014422510750591755	0.02969503899415334	-0.9929678506721613
ARMCX1	0.05954083800315857	0.11949898799260457	-0.9930404799453307
ANKRD27	0.04259086027741432	0.08578632026910782	-0.9934419792171685
CDKN2AIPNL	0.09406224638223648	0.18826893468697867	-0.9934932373700689
DGAT2	0.025206908583641052	0.05118536824981371	-0.9936981795210968
ARHGAP30	0.045065440237522125	0.09073384602864583	-0.9937693267427066
NCBP1	0.08014371246099472	0.16060387591520944	-0.9939105852869949
DND1	0.0020447615534067154	0.005064085902025302	-0.9939609406948486
CT69	0.0	0.000991769862594083	-0.994050962027039
PFN2	0.32326140999794006	0.6448645939429601	-0.9940743939654982
DDTL	0.003201671177521348	0.0073697905366619425	-0.9942282569553553
TRIAP1	0.07096092402935028	0.14236893504858017	-0.9944468399995889
EMC8	0.12833508849143982	0.25672368705272675	-0.9947114094388105
SNRPD3	0.4850192368030548	0.9675115346908569	-0.9947558136986836
HTATIP2	0.15736150741577148	0.31457756956418353	-0.9947729606603997
MPHOSPH6	0.09454736113548279	0.18944465120633444	-0.9950838352532552
RBFOX2	0.2080308049917221	0.4158043215672175	-0.9956546672566573
TMEM178B	0.011613396927714348	0.024151772289769724	-0.9957031996333674
AL021707.7	0.0	0.0009946285281330347	-0.996120089544819
DDX31	0.04947083070874214	0.09969768673181534	-0.9965088040195162
ETS1	0.22356462478637695	0.44705204168955487	-0.9965356316877949
LDLRAD3	0.022232795134186745	0.04535572727521261	-0.9965848605984338
HPF1	0.08844087272882462	0.17750493188699087	-0.9969577642053555
ZC3HC1	0.03508063405752182	0.07101160908738773	-0.9970048122952737
COA7	0.046087007969617844	0.0929791455467542	-0.9970115979221146
AC005339.1	0.0	0.0009958666341844946	-0.9970153215624986
AC234917.3	0.002133359666913748	0.00525377915861706	-0.9970178929756397
PTRH2	0.08436469733715057	0.16945067048072815	-0.9976428042411154
DPP3	0.09520595520734787	0.19111560533444086	-0.9977766066823595
CMC1	0.1394050270318985	0.27940187354882556	-0.9979013984571574
CDH2	0.11988814175128937	0.24050166519979635	-0.998360403129221
RAD9A	0.0384536013007164	0.0778348942597707	-0.9986773487190383
MITD1	0.07027611881494522	0.14143953224023184	-0.9988589178186258
TMEM92-AS1	0.0	0.0009985720971599221	-0.9989696179617304
ITGB3BP	0.05577234923839569	0.11247664441665013	-0.9991350482138137
UBTD1	0.12495361268520355	0.25077686707178753	-0.9992532332151114
LINC01705	0.0039389175362885	0.008872845365355412	-0.9992710503276232
KTI12	0.036580394953489304	0.07412572825948398	-0.99932684226768
FAM122B	0.10415859520435333	0.20931571970383325	-0.9999899114949091
LINC02056	0.0	0.0010003185549673315	-1.0002297705376595
LUZP1	0.094486303627491	0.19000576933224997	-1.0002504998579647
SLC25A51	0.020901888608932495	0.042822924753030144	-1.0006304939897621
SLC12A5	0.023281868547201157	0.04758560378104448	-1.0006494529067886
FAT1	0.17391866445541382	0.3490627706050873	-1.0009294001409377
NOTCH1	0.10460168123245239	0.21038355429967245	-1.0012303356865546
AL391832.2	0.004192921333014965	0.0093947509303689	-1.0012369145772855
HOXD3	0.001065688906237483	0.003135903816049298	-1.0015796349652684
AL137186.2	0.017164958640933037	0.03540057378510634	-1.0028031109759947
RBM38	0.0709976851940155	0.14327750355005264	-1.0028239371822818
MRPS18A	0.18310490250587463	0.36795390645662945	-1.002912546595418
SMG9	0.10944625735282898	0.22034397224585214	-1.0029455542447585
IFI16	0.4289744794368744	0.8608527183532715	-1.0031903157207014
PRNCR1	0.00030579164740629494	0.0016174197274570663	-1.0032205741299087
BTN3A2	0.1274132877588272	0.2564093619585037	-1.0032700299874004
TIAF1	0.0004792537947650999	0.0019652227638289332	-1.0032708959494983
NOP9	0.041469212621450424	0.08413141841689746	-1.0032743067033438
PWP1	0.11774247884750366	0.23707463343938193	-1.0035777754207822
UBASH3A	0.007695614825934172	0.016438616750140984	-1.0039256661125266
