stage	gene	n_slides	mean_diff
ATC	TNXB	1	0.178850457072258
PT	MYL9	4	0.17829614505171776
ATC	TAGLN	4	0.17789185047149658
PTC	SPARC	4	0.17714960128068924
PT	C3	4	0.17447090800851583
PT	NEXN	1	0.1728801280260086
PT	HBA1	3	0.172675476099054
PTC	RETN	1	0.17207719013094902
ATC	COL1A1	4	0.1714775711297989
LPTC	PLCG2	1	0.1676436886191368
PT	CFD	4	0.1661371784284711
ATC	IGFBP4	4	0.1653045415878296
ATC	UBC	4	0.16455599665641785
LPTC	HBB	3	0.1641812945405642
ATC	MMP11	2	0.16353905946016312
ATC	SCNN1A	2	0.16322994977235794
LPTC	MGP	4	0.1626099832355976
ATC	DSG2	3	0.16229210793972015
LPTC	TFPI2	1	0.16152044106274843
LPTC	MYLK	3	0.16131432455343506
LPTC	MMP7	2	0.1598460040986538
ATC	HSPB6	1	0.15975061804056168
ATC	PGBD5	1	0.1596672162413597
LPTC	CCL14	3	0.15951649596293768
PTC	ASPN	1	0.15820757299661636
LPTC	COL11A1	2	0.15797183476388454
PTC	COL1A2	4	0.15731565281748772
ATC	HLA-DQA1	4	0.1558523178100586
ATC	RPS16	3	0.15558975923340768
LPTC	COL6A1	4	0.15529656875878572
PTC	SERPINB9	1	0.15492151537910104
ATC	S100A2	4	0.15459434688091278
PTC	ITGA11	1	0.15441162523347884
LPTC	IGLC2	4	0.15441077575087547
PTC	RGS1	1	0.15375852584838867
LPTC	MYL9	4	0.15346973109990358
PTC	TPM2	4	0.15337452199310064
LPTC	ZBTB20	1	0.1525754500180483
PTC	PTPRC	1	0.15244431793689728
LPTC	ACTA2	4	0.15238946117460728
PT	FLNA	4	0.15200735349208117
LPTC	SFRP2	4	0.15125469490885735
LPTC	PLAC9	4	0.1507587432861328
ATC	JTB	4	0.15046902000904083
ATC	PRDX5	4	0.15042215399444103
ATC	CCDC80	3	0.1501230001449585
PT	AEBP1	4	0.15012196311727166
ATC	GSN	4	0.14946938678622246
LPTC	ADIRF	4	0.1486478711012751
ATC	LPP	3	0.1484540980309248
ATC	ST14	1	0.14830194599926472
PT	DCN	4	0.14827748760581017
PTC	FAM49B	1	0.14813615754246712
ATC	MFAP5	1	0.14798660576343536
ATC	TMEM238	1	0.14602252515032887
ATC	CKLF	3	0.14562918804585934
LPTC	FBLN2	4	0.14547236263751984
ATC	SEMA3F	3	0.14503389969468117
LPTC	SPP1	4	0.144937202334404
LPTC	C1S	4	0.14490010682493448
ATC	PMAIP1	4	0.14457384985871613
PTC	GMDS	1	0.14441167004406452
PTC	CXCR4	2	0.143923026509583
LPTC	OSR2	1	0.14365177601575851
ATC	DNAJB1	4	0.14347610250115395
ATC	CLDN7	1	0.14225458353757858
PTC	IGFBP3	3	0.141942265133063
LPTC	CSF3	1	0.14182142727077007
PT	MCAM	3	0.14093083457555622
ATC	CMTM3	4	0.14016823493875563
ATC	CLDN1	3	0.1401054710149765
PTC	FDCSP	1	0.14003503322601318
PTC	POSTN	4	0.14001857349649072
ATC	CLDN4	1	0.1399184688925743
LPTC	KRT14	1	0.13971830857917666
ATC	NIBAN2	4	0.13914554566144943
ATC	IGKC	4	0.13890588283538818
ATC	SH3BGRL3	3	0.13869160739704967
ATC	TPM1	4	0.13828022591769695
LPTC	CXCL12	4	0.13819594553206116
LPTC	COMP	4	0.13802913203835487
LPTC	IL32	4	0.1379947834648192
LPTC	LRP1	4	0.13772763343058614
ATC	HADHB	4	0.1365681141614914
LPTC	FSTL1	4	0.1364643145352602
ATC	ITGB5	3	0.13640885660424829
ATC	CCN5	1	0.13633890450000763
PTC	VCAM1	1	0.1360902488231659
ATC	SELENOH	4	0.13595791812986135
ATC	CALM2	4	0.13571731746196747
PTC	TRBC2	1	0.13550132513046265
ATC	ITGBL1	2	0.1354956324212253
LPTC	MMP11	2	0.13518196530640125
ATC	MXRA5	2	0.13506200164556503
ATC	SMOC2	1	0.13450521975755692
ATC	EPCAM	1	0.13428502902388573
LPTC	THY1	4	0.1341881665866822
PT	MFAP4	4	0.13418584139435552
PTC	SAA1	1	0.1340510994195938
ATC	SYCE1L	3	0.1337841514032334
ATC	SYNPO2	1	0.1337134689092636
PTC	SULF1	4	0.13370821508578956
LPTC	RNASE1	4	0.13346639927476645
LPTC	ANKRD12	1	0.13299288414418697
PT	FBLN1	4	0.13255432434380054
PTC	GPR183	1	0.13236873596906662
ATC	DUSP23	4	0.13178580964449793
LPTC	MYC	1	0.13143382547423244
ATC	MCAM	4	0.13136603869497776
ATC	MARCKSL1	4	0.1311207264661789
ATC	PLAU	4	0.13088099285960197
PT	SYNPO2	1	0.13078437931835651
ATC	MYH14	1	0.12967683095484972
ATC	PTPRF	3	0.12965631857514381
PTC	LUM	4	0.12932853400707245
ATC	COL6A1	4	0.12899735569953918
LPTC	CCDC80	4	0.12847387092188
ATC	TNC	4	0.12833280488848686
LPTC	MBP	3	0.1282257977873087
LPTC	IGFBP4	4	0.12794865667819977
PTC	MYL9	4	0.1279418244957924
ATC	C4orf48	4	0.1277673812583089
PTC	TPSB2	1	0.12774571776390076
PT	LGALS1	4	0.1275558826746419
ATC	NDUFA1	4	0.1272846581414342
LPTC	IGF1	2	0.12708664499223232
LPTC	IGLC3	3	0.12671556572119394
ATC	APH1A	4	0.12643031403422356
ATC	CCL17	1	0.12572860717773438
LPTC	CD52	4	0.12456731777638197
LPTC	PPP1R14A	2	0.12444787099957466
ATC	ADGRG1	3	0.1242374125868082
LPTC	COL5A1	4	0.12415364803746343
LPTC	CCSER2	1	0.12382400780916214
ATC	CLDN3	1	0.12366378679871559
ATC	SULF1	2	0.12343794107437134
LPTC	SLMAP	1	0.12332424335181713
ATC	F2R	4	0.122078537940979
ATC	ATP5F1E	4	0.12190496921539307
LPTC	EGFL8	1	0.12185159139335155
ATC	CTHRC1	3	0.12182553485035896
LPTC	EFEMP1	4	0.12173635925864801
PTC	MRC1	1	0.12149547506123781
ATC	JUP	3	0.1214633509516716
ATC	PLK3	3	0.12108249589800835
PTC	COL5A2	3	0.12103802772859733
ATC	S100A4	4	0.12094451487064362
PTC	EEA1	1	0.12039654699037783
ATC	TPPP3	1	0.12015970796346664
PTC	PFDN5	4	0.11993981921114028
ATC	MAL2	2	0.119768425822258
PTC	LY6D	1	0.11952586658298969
ATC	AXL	4	0.11946980189532042
ATC	MRC2	3	0.11946678347885609
LPTC	SMOC2	2	0.11897102370858192
ATC	LSR	3	0.11888555623590946
PT	SERPINA1	2	0.11847078055143356
ATC	THY1	4	0.11835555732250214
LPTC	KRT6A	1	0.11812862753868103
ATC	XPO7	2	0.1179500687867403
LPTC	S100A9	2	0.11785945296287537
ATC	SYNGR2	4	0.11774593754671514
LPTC	SORBS1	1	0.11772441724315286
LPTC	THBS4	1	0.11752946674823761
PTC	IGFBP7	4	0.11744103021919727
ATC	RPL10A	4	0.11732800304889679
LPTC	C3	4	0.11728732660412788
ATC	PXDC1	2	0.11694932077080011
LPTC	PLP1	1	0.11693637073040009
ATC	ANXA3	2	0.11674897652119398
ATC	SNRPN	3	0.11647524684667587
ATC	SLC35B2	4	0.11644654348492622
LPTC	STC1	1	0.11632137186825275
ATC	APOE	4	0.11626030877232552
ATC	DENR	4	0.11610856279730797
ATC	DDX5	4	0.11596249602735043
ATC	RPS21	3	0.1157708615064621
LPTC	ZNF91	1	0.11567231267690659
LPTC	PLN	1	0.11563199013471603
LPTC	TYMP	4	0.11516123509500176
PTC	A2M	4	0.1150920195505023
PTC	RGS2	1	0.11498657986521721
LPTC	TPM2	4	0.11478757997974753
ATC	HINT3	2	0.11478488519787788
PT	GALM	1	0.11468328908085823
PTC	ELN	2	0.11461293138563633
LPTC	FLNA	4	0.11443263129331172
ATC	FSTL1	4	0.11427561938762665
PTC	COMP	4	0.11422405764460564
LPTC	SOD3	3	0.11395305426170428
PT	TNXB	4	0.11388476099818945
PTC	SLIT1	1	0.11375469900667667
PTC	CYTIP	1	0.1135694794356823
LPTC	COL17A1	2	0.11311916261911392
PT	S100A4	4	0.11298678745515645
ATC	TLR2	2	0.11287855356931686
PTC	THBS2	4	0.11275265971198678
ATC	HNRNPA2B1	4	0.11270207166671753
ATC	CAPNS1	4	0.11236277595162392
ATC	HLA-DQB1	4	0.11230814456939697
PT	CCDC80	4	0.11228166171349585
PTC	RARRES1	1	0.11221999116241932
ATC	SNRPD2	4	0.11197838000953197
LPTC	LSP1	4	0.11196359359155394
PT	GSN	4	0.11180428881198168
LPTC	COL5A2	4	0.11177794844843447
LPTC	RGS1	4	0.11162519245408475
ATC	H2AFZ	4	0.11138134822249413
LPTC	IFITM3	4	0.11121965758502483
LPTC	COL6A3	4	0.11090645845979452
ATC	NDUFS5	4	0.11081785731948912
LPTC	NNMT	4	0.11066959891468287
PTC	TRBC1	1	0.1105601042509079
PTC	LCP1	2	0.11045236978679895
ATC	PMEPA1	4	0.1103224866092205
LPTC	TNNC1	2	0.11027392372488976
PTC	PHLDB2	1	0.10975491255521774
ATC	APOC1	4	0.10970238596200943
LPTC	LAMB2	4	0.10967628563230392
PT	HBB	4	0.10956323985010386
PTC	MBD4	1	0.1093724612146616
PT	HLA-DQA1	1	0.10930592566728592
ATC	EIF3M	4	0.10914890468120575
LPTC	NAPG	1	0.10901168175041676
PTC	MEG3	2	0.10872528795152903
ATC	GPRC5A	2	0.1087118536233902
PTC	CD69	1	0.1086960881948471
ATC	CAPG	4	0.10868882201611996
LPTC	MYO10	1	0.10836376994848251
ATC	PEBP1	4	0.1083049513399601
ATC	SNX5	4	0.10824624635279179
ATC	NFIX	2	0.10804642364382744
ATC	ELN	1	0.10802796483039856
ATC	SLC7A2	2	0.10800006613135338
ATC	DMKN	3	0.10798019729554653
PTC	LSM6	1	0.10787749662995338
ATC	DDR1	2	0.1078767878934741
PTC	SELENOH	4	0.10772247915156186
LPTC	BGN	4	0.1076163612306118
LPTC	RASEF	1	0.10750291869044304
ATC	IFIT1	3	0.10740991029888391
LPTC	CCL5	1	0.10707767307758331
LPTC	ZNF292	1	0.10706816986203194
ATC	HSP90AB1	4	0.10699158359784633
LPTC	FABP5	3	0.10697264969348907
ATC	PSMB9	4	0.10688857734203339
ATC	CITED4	4	0.10688658244907856
LPTC	EMILIN1	4	0.1067355340346694
PTC	VCAN	4	0.1066150851547718
ATC	NPM1	4	0.10660107992589474
LPTC	TNFRSF6B	1	0.1065636333078146
PT	COL1A1	4	0.10653327370528132
ATC	RMND5B	1	0.10647004842758179
ATC	HDGF	4	0.10620012623257935
PTC	TMPO	2	0.10605967324227095
LPTC	TPM1	4	0.10586687014438212
PT	PODN	4	0.1056731651769951
ATC	RPL34	3	0.1055556982755661
LPTC	SERPINF1	4	0.10551818087697029
ATC	RAB11FIP1	1	0.1052792901173234
PT	ELN	2	0.10516088697477244
ATC	RAD23A	4	0.10512889502570033
PTC	ATP5MF	4	0.10473884595558047
LPTC	HLA-DQA1	4	0.10457498242612928
PTC	CD79A	1	0.10451182723045349
ATC	PMF1	4	0.10434602573513985
LPTC	SNCG	2	0.10425710212439299
LPTC	IGHG1	3	0.10422110557556152
LPTC	C1QA	4	0.10421986691653728
LPTC	PDGFD	1	0.10414671432226896
ATC	DSTN	4	0.10410213842988014
ATC	TUBB	4	0.1040796060115099
ATC	BSCL2	3	0.1036854088306427
ATC	CFL1	3	0.10363020282238722
LPTC	ACKR1	2	0.10354831628501415
PTC	CALD1	4	0.10348600405268371
ATC	AGRN	4	0.10346672357991338
PTC	THBS1	4	0.1033079270273447
PTC	PPIA	4	0.1032446464523673
LPTC	ITGB2	4	0.10322808707132936
ATC	TMBIM6	4	0.10315432865172625
ATC	CLIC4	4	0.10308947786688805
ATC	PLAC9	1	0.1030770093202591
ATC	AKR1A1	4	0.10283778980374336
ATC	BDH2	1	0.10278097912669182
PTC	CDH11	3	0.10271511723597844
PTC	PDLIM3	1	0.10254054516553879
PTC	IL4R	1	0.10243389382958412
LPTC	FTL	4	0.10239171516150236
LPTC	ELK4	1	0.10218125581741333
LPTC	MFAP4	2	0.10193451156374067
PT	HSPB6	2	0.10192872118204832
ATC	CST6	1	0.1018914207816124
ATC	NME2	4	0.10182472318410873
ATC	TIMP1	4	0.10176771879196167
ATC	MZT2A	4	0.10170627315528691
LPTC	ASPN	2	0.10153142572380602
PT	MGP	4	0.10131559241563082
PTC	MARCKSL1	4	0.10130149172618985
ATC	GPRC5C	1	0.10129049606621265
ATC	HIPK2	1	0.10127132199704647
ATC	ITGA2	4	0.10118870995938778
PT	SFRP2	3	0.10112507144610088
ATC	BRI3	4	0.10107755474746227
LPTC	TNRC6B	1	0.10094426697469316
ATC	LSM4	4	0.10091531276702881
PTC	BIRC3	1	0.10089290887117386
PTC	WDR86-AS1	1	0.10080438479781151
ATC	TM9SF3	4	0.10062441602349281
ATC	DBI	4	0.10048106871545315
PT	PPM1F	1	0.10013830289244652
LPTC	EXOC6	1	0.09996123053133488
LPTC	BDP1	1	0.09995000064373016
ATC	RAN	4	0.09988749492913485
ATC	DAPL1	1	0.09977280581369996
LPTC	SYNPO2	1	0.09955239295959473
PTC	SFRP4	4	0.09907783009111881
ATC	SYF2	4	0.09902195632457733
ATC	IFT43	2	0.09889299981296062
ATC	NACA	4	0.09887438267469406
ATC	ELOB	4	0.09855815768241882
ATC	SAP18	4	0.09854782000184059
PTC	PELI1	1	0.09838590491563082
PTC	HMGB2	3	0.0983081478625536
ATC	CACYBP	4	0.09824763238430023
PTC	SH3KBP1	1	0.09822859056293964
PTC	CKS2	2	0.0981856007128954
ATC	NDUFB3	4	0.09800760447978973
LPTC	MT2A	4	0.0979184489697218
LPTC	RARRES2	4	0.09776646591490135
ATC	STAT1	4	0.09773393720388412
ATC	ATP5F1C	4	0.09769828617572784
ATC	PML	4	0.09763834998011589
ATC	IFI30	4	0.09738105908036232
PTC	F13A1	1	0.09733506292104721
ATC	EIF4EBP1	4	0.0973214190453291
PTC	RNF19A	1	0.09727072715759277
ATC	TUBA1A	4	0.09717424027621746
LPTC	SLC25A25	1	0.09714456787332892
LPTC	ADIPOR2	1	0.09708906337618828
ATC	UHMK1	4	0.0970863625407219
PTC	FCER1A	1	0.0968446172773838
ATC	PCSK1N	1	0.09673522412776947
LPTC	ACKR3	1	0.0966451270505786
LPTC	ZC2HC1A	1	0.09651893936097622
ATC	IGFBP3	3	0.09647047519683838
LPTC	CORO1A	4	0.09626141306944191
PTC	JCHAIN	3	0.09605979919433594
ATC	COL1A2	4	0.0959559977054596
PT	BGN	4	0.09586720145307481
ATC	COL10A1	1	0.09563550353050232
ATC	EMP1	4	0.09558849781751633
PTC	ATP1B1	4	0.09552954230457544
PTC	PTGDS	3	0.09550268948078156
PT	CALD1	4	0.09549116995185614
ATC	MAT2B	4	0.09515847265720367
LPTC	LGI4	1	0.09500551968812943
ATC	SLC25A23	1	0.09473310597240925
LPTC	MATN2	2	0.09471544122789055
LPTC	GALNS	1	0.09454984962940216
ATC	PDLIM3	1	0.09453505277633667
LPTC	VWF	4	0.09453106531873345
ATC	MFSD14B	4	0.09432121179997921
PTC	PLA2G2A	1	0.09421324729919434
PT	MAPK9	1	0.09401163645088673
ATC	FOLR2	3	0.09399747103452682
LPTC	OGN	1	0.09398387186229229
ATC	RTN4	4	0.09372282307595015
LPTC	TRBC2	2	0.09356051869690418
ATC	SNHG5	4	0.09351732209324837
PTC	MAP2K1	1	0.09351430623792112
PT	SERPINF1	4	0.09338293853215873
ATC	NUDC	4	0.09336725436151028
ATC	MBOAT2	1	0.09334919229149818
LPTC	LTB	2	0.09329287987202406
ATC	SDC1	4	0.09329209849238396
LPTC	FXYD1	1	0.09329012036323547
PTC	SEMA3C	1	0.09317035600543022
PTC	NDUFB1	4	0.09299122588708997
ATC	DDX56	4	0.09297338873147964
PT	SPARCL1	4	0.09289227065892192
PTC	RBMS1	1	0.09283915627747774
ATC	CAVIN1	4	0.09278560429811478
ATC	CCL28	1	0.09269270393997431
LPTC	CHI3L1	4	0.09262984991073608
LPTC	GADD45G	1	0.09258715063333511
ATC	COX7C	4	0.09257007390260696
ATC	MYADM	4	0.09251484647393227
LPTC	GPR183	1	0.09246811643242836
PT	MYLK	3	0.09223845011244218
LPTC	AIF1	4	0.0921952782664448
PTC	VWF	4	0.09213534509763122
ATC	EZR	4	0.09212027117609978
PT	PI16	4	0.09209785936400294
ATC	C15orf48	1	0.0920419692993164
ATC	COX6A1	4	0.09193271771073341
ATC	CAPN1	4	0.09191170893609524
ATC	COL6A2	4	0.09183338284492493
ATC	MICOS13	4	0.09175749123096466
ATC	ERBB3	1	0.09169141761958599
PT	OGN	1	0.09165676729753613
LPTC	PLTP	4	0.0916269498411566
ATC	TAX1BP3	4	0.0915126078762114
PT	COL1A2	4	0.09149764524772763
ATC	FOXP4	1	0.09148683212697506
ATC	DESI2	2	0.09140617027878761
ATC	ANKH	2	0.09139592573046684
ATC	GTF2H5	4	0.09131784550845623
ATC	ENO1	3	0.09107322432100773
PTC	MAN1A1	1	0.0910436175763607
ATC	NBDY	3	0.09099504165351391
LPTC	C1QB	4	0.09096836717799306
ATC	AP1M2	1	0.09081083256751299
ATC	EIF1	4	0.09079064801335335
PTC	TGM2	4	0.09078528778627515
ATC	PSMB1	4	0.09073266573250294
PTC	RPS26	4	0.09072712808847427
ATC	RANBP1	4	0.09071971848607063
ATC	IGLC3	3	0.09068144112825394
LPTC	LCP1	3	0.0905446654651314
ATC	KDELR2	4	0.09049188997596502
PTC	GASK1B	1	0.09030078537762165
LPTC	C7	4	0.09026066400110722
ATC	SEPTIN2	4	0.0901682423427701
LPTC	SERPINA3	1	0.09004571661353111
PTC	RND3	1	0.08997813984751701
ATC	SLC25A4	1	0.08993076160550117
ATC	MYDGF	4	0.08971100160852075
PTC	CTXND1	1	0.0895875096321106
LPTC	CLEC3B	1	0.08951559476554394
ATC	FAM89B	4	0.08950251806527376
ATC	TAF10	4	0.08948373049497604
ATC	TLE2	1	0.08945852797478437
PT	HES4	3	0.08904492172102134
LPTC	LPL	2	0.0890331044793129
LPTC	TRAC	1	0.08902782574295998
LPTC	COL7A1	1	0.08894185349345207
ATC	C1QTNF1	1	0.08888202905654907
PTC	COX6A1	4	0.08887748420238495
ATC	VWF	4	0.08877918124198914
ATC	PSMB7	4	0.08862992376089096
PTC	COX5B	4	0.08861858316231519
ATC	ZBTB7B	1	0.08857724070549011
LPTC	MRC1	4	0.08849802077747881
PTC	COL3A1	4	0.0884632058441639
ATC	CHD4	4	0.08842059038579464
ATC	FRZB	1	0.08831202425062656
ATC	KCNJ16	1	0.08824166655540466
ATC	SUB1	4	0.08823344763368368
LPTC	MMP2	4	0.08819797821342945
PT	PLAT	2	0.08814887900371104
ATC	DDIT4	4	0.0881247641518712
LPTC	ITGB6	2	0.08758601732552052
ATC	TINAGL1	3	0.08753074263222516
ATC	SMTN	4	0.08752105431631207
ATC	ATAD1	3	0.08737577870488167
LPTC	PODN	2	0.08737296774052083
LPTC	H19	4	0.08733648620545864
ATC	KIAA1217	2	0.08732163161039352
LPTC	CXCR4	3	0.08729682447543989
PT	SLC25A37	2	0.08714341931045055
PTC	TPBG	1	0.08710025995969772
ATC	PRSS23	4	0.08706915192306042
PTC	TAGLN	4	0.08693240955471992
ATC	NT5DC2	4	0.08689071424305439
ATC	ACKR3	1	0.0867728665471077
ATC	TBX3	2	0.08675476349890232
PTC	AP003498.2	3	0.08665154020612438
PT	CAVIN1	4	0.08657733217114583
PTC	RABGAP1L	1	0.08655359409749508
ATC	BGN	4	0.08649124205112457
ATC	CSTB	4	0.08647371083498001
ATC	TSTD1	2	0.08643345534801483
PTC	PLEKHA2	1	0.08641347289085388
ATC	EMC10	4	0.0863491683267057
ATC	YBX3	4	0.08629873022437096
ATC	PTPRK	2	0.08628090843558311
LPTC	NFIL3	1	0.08620759844779968
LPTC	SFN	2	0.08602583408355713
ATC	ITGB1	4	0.08599316235631704
LPTC	SLC41A1	1	0.08582165278494358
ATC	TMEM250	3	0.08579911477863789
ATC	COL18A1	4	0.08576778322458267
LPTC	HCST	3	0.08574669420098265
PT	C1R	4	0.08568671200191602
ATC	GNPAT	4	0.08566850423812866
ATC	FNDC3B	4	0.08564349310472608
LPTC	POSTN	4	0.08558346377685666
ATC	ARPC3	4	0.08554548339452595
PTC	HMGN2	4	0.08548883395269513
PTC	SRGN	4	0.08546544610726414
PTC	ATP5MC2	4	0.08530101832002401
PTC	XAF1	1	0.0852736346423626
ATC	SF3B4	4	0.08526141382753849
PT	TYROBP	2	0.08524446468800306
ATC	EEF1B2	4	0.0852382555603981
LPTC	SEMA3B	3	0.08515775141616662
ATC	CFH	4	0.08514992147684097
PTC	GOLIM4	1	0.08508738689124584
ATC	NUDT22	4	0.08507626783102751
ATC	DEPP1	2	0.0850534439086914
PTC	SERPINE1	3	0.08500696497503668
PTC	GYPC	3	0.08498972468078136
ATC	TMEM87A	3	0.08492277003824711
ATC	EDF1	4	0.08488492295145988
LPTC	IFITM2	4	0.08483399264514446
LPTC	ADAMTS4	1	0.08464076742529869
PT	CD24	4	0.08458002516999841
LPTC	RAC2	2	0.08444868493825197
ATC	IRF6	1	0.08442476717755198
ATC	GABRB2	1	0.08433865010738373
LPTC	LAMC2	4	0.084313795552589
ATC	PLAUR	4	0.08428745158016682
ATC	NSA2	4	0.08425096841529012
ATC	TIMM17B	4	0.08417176268994808
ATC	LMNA	4	0.08416599035263062
LPTC	CCL3	1	0.08409128990024328
ATC	EIF4A2	4	0.08407539501786232
ATC	RPL17	3	0.08394593745470047
LPTC	TGM2	4	0.0838337684981525
PTC	ARPC2	4	0.083738679648377
PTC	MIR29B2CHG	1	0.08369987178593874
ATC	COX4I1	4	0.08369646593928337
ATC	EBLN3P	2	0.08368325233459473
PTC	BGN	4	0.08359559625387192
ATC	RPS24	3	0.08341039717197418
PT	HLA-DRB1	4	0.0833207555115223
ATC	LST1	2	0.08328408375382423
PTC	SOD1	4	0.08328310586512089
LPTC	CST3	4	0.08317056810483336
LPTC	NHSL2	1	0.08310064300894737
ATC	EFNA1	1	0.0830657035112381
LPTC	AOC3	1	0.08293396048247814
ATC	RAB5IF	4	0.08288935292512178
ATC	PDIA3	4	0.08279933128505945
PTC	IGFBP2	4	0.08273852057754993
LPTC	HSPA1A	4	0.08260227087885141
PT	TMSB4X	4	0.082509221509099
LPTC	SPON2	2	0.0824609063565731
ATC	PHLDA3	3	0.08244025148451328
ATC	PCBP1	4	0.08243044465780258
LPTC	SOD2	4	0.08239046926610172
LPTC	DUSP2	1	0.08237962424755096
LPTC	THBS2	4	0.08231187798082829
ATC	RPS4Y1	3	0.08229105174541473
ATC	PSMA7	4	0.08225401863455772
LPTC	TGFBI	4	0.08211276959627867
