stage	module	feature	n	median_r
LPTC	RAI_8_score	B4_tumor_stroma_ratio	4	0.27694457725108834
LPTC	RAI_8_score	C2_spatial_celltype_entropy	4	0.2927228183622397
LPTC	RAI_8_score	n_fib	4	0.2487708930674919
LPTC	RAI_8_score	n_thy	4	0.2906307758014709
LPTC	TLS	B4_tumor_stroma_ratio	4	-0.06513201958249773
LPTC	TLS	C2_spatial_celltype_entropy	4	-0.03410373391192055
LPTC	TLS	n_fib	4	-0.11182630743711772
LPTC	TLS	n_thy	4	-0.15313368264263813
PT	Bplasma	B4_tumor_stroma_ratio	4	0.0836471998670895
PT	Bplasma	B5_thyrocyte_cluster_med	3	0.06458178476350071
PT	Bplasma	C2_spatial_celltype_entropy	4	0.0741425928952304
PT	Bplasma	n_fib	4	-0.017353365041558884
PT	Bplasma	n_thy	4	0.0905618543955433
PT	CAF_ECM_score	B4_tumor_stroma_ratio	4	0.0006070741945260526
PT	CAF_ECM_score	B5_thyrocyte_cluster_med	3	-0.06847874576017028
PT	CAF_ECM_score	C2_spatial_celltype_entropy	4	0.039318691972399
PT	CAF_ECM_score	n_fib	4	0.006539443921670739
PT	CAF_ECM_score	n_thy	4	-0.0029956821164450996
PT	CD8_Teff	B4_tumor_stroma_ratio	4	-0.012862587245545065
PT	CD8_Teff	B5_thyrocyte_cluster_med	3	-0.08378608394558945
PT	CD8_Teff	C2_spatial_celltype_entropy	4	-0.032001136404190486
PT	CD8_Teff	n_fib	4	0.06196696070345485
PT	CD8_Teff	n_thy	4	0.015928128397854565
PT	DM1_like_score	B4_tumor_stroma_ratio	4	-0.13586660367673484
PT	DM1_like_score	B5_thyrocyte_cluster_med	3	-0.13602946201844807
PT	DM1_like_score	C2_spatial_celltype_entropy	4	-0.13267681692042302
PT	DM1_like_score	n_fib	4	-0.16655343385785612
PT	DM1_like_score	n_thy	4	-0.20597204795748725
PT	EMT_score	B4_tumor_stroma_ratio	4	-0.024863641159109343
PT	EMT_score	B5_thyrocyte_cluster_med	3	-0.03863701649799861
PT	EMT_score	C2_spatial_celltype_entropy	4	-0.0016432931445086471
PT	EMT_score	n_fib	4	0.03929225397588701
PT	EMT_score	n_thy	4	-0.0022491243800347193
PT	Epithelial_score	B4_tumor_stroma_ratio	4	0.0779662541723865
PT	Epithelial_score	B5_thyrocyte_cluster_med	3	0.12073072073095376
PT	Epithelial_score	C2_spatial_celltype_entropy	4	0.02966384253557222
PT	Epithelial_score	n_fib	4	0.11619118210424319
PT	Epithelial_score	n_thy	4	0.16368653303048913
PT	Hypoxia_score	B4_tumor_stroma_ratio	4	0.09506510862812553
PT	Hypoxia_score	B5_thyrocyte_cluster_med	3	0.03220583275800919
PT	Hypoxia_score	C2_spatial_celltype_entropy	4	0.06488215318426767
PT	Hypoxia_score	n_fib	4	0.09358285033285488
PT	Hypoxia_score	n_thy	4	0.13876831191868366
PT	IFN_gamma	B4_tumor_stroma_ratio	4	0.054855286379251564
PT	IFN_gamma	B5_thyrocyte_cluster_med	3	0.03103141661649743
PT	IFN_gamma	C2_spatial_celltype_entropy	4	0.044622933800040496
PT	IFN_gamma	n_fib	4	0.07325687658398175
PT	IFN_gamma	n_thy	4	0.10656216172929506
PT	M1_M2	B4_tumor_stroma_ratio	4	0.03411269053166926
PT	M1_M2	B5_thyrocyte_cluster_med	3	-0.044300709807351145
PT	M1_M2	C2_spatial_celltype_entropy	4	0.004297264843787775
PT	M1_M2	n_fib	4	0.054194397922955974
PT	M1_M2	n_thy	4	0.07054850298310268
PT	Proliferation_score	B4_tumor_stroma_ratio	4	0.04210836272036491
PT	Proliferation_score	B5_thyrocyte_cluster_med	3	-0.038134039780453016
PT	Proliferation_score	C2_spatial_celltype_entropy	4	0.05463572703200244
PT	Proliferation_score	n_fib	4	0.08049869263463803
PT	Proliferation_score	n_thy	4	0.11163058817506388
PT	RAI_8_score	B4_tumor_stroma_ratio	4	0.13586660367673484
PT	RAI_8_score	B5_thyrocyte_cluster_med	3	0.13602946201844807
PT	RAI_8_score	C2_spatial_celltype_entropy	4	0.13267681692042302
PT	RAI_8_score	n_fib	4	0.16655343385785612
PT	RAI_8_score	n_thy	4	0.20597204795748725
PT	TLS	B4_tumor_stroma_ratio	4	0.028871923050872925
PT	TLS	B5_thyrocyte_cluster_med	3	-0.06965918036658689
PT	TLS	C2_spatial_celltype_entropy	4	0.014766143016528642
PT	TLS	n_fib	4	0.02590890311253234
PT	TLS	n_thy	4	0.020394889923338762
PTC	Bplasma	B4_tumor_stroma_ratio	4	-0.1942073088354768
PTC	Bplasma	B5_thyrocyte_cluster_med	1	-0.17202398466472218
PTC	Bplasma	C2_spatial_celltype_entropy	4	-0.12105686920754807
PTC	Bplasma	n_fib	4	-0.26952555404256023
PTC	Bplasma	n_thy	4	-0.2851556871057791
PTC	CAF_ECM_score	B4_tumor_stroma_ratio	4	-0.15303784201564125
PTC	CAF_ECM_score	B5_thyrocyte_cluster_med	1	-0.14435589812037458
PTC	CAF_ECM_score	C2_spatial_celltype_entropy	4	-0.06066332181214982
PTC	CAF_ECM_score	n_fib	4	-0.3060516575393766
PTC	CAF_ECM_score	n_thy	4	-0.3063330095089215
PTC	CD8_Teff	B4_tumor_stroma_ratio	4	-0.01965695087668656
PTC	CD8_Teff	B5_thyrocyte_cluster_med	1	0.029833064757239087
PTC	CD8_Teff	C2_spatial_celltype_entropy	4	-0.034143710768408046
PTC	CD8_Teff	n_fib	4	-0.028081159337266307
PTC	CD8_Teff	n_thy	4	-0.022241768415590595
PTC	DM1_like_score	B4_tumor_stroma_ratio	4	-0.16522233629100405
PTC	DM1_like_score	B5_thyrocyte_cluster_med	1	-0.060378310364843146
PTC	DM1_like_score	C2_spatial_celltype_entropy	4	-0.07604699747746016
PTC	DM1_like_score	n_fib	4	-0.2381282331893118
PTC	DM1_like_score	n_thy	4	-0.24612962512607928
PTC	EMT_score	B4_tumor_stroma_ratio	4	0.09502017939507693
PTC	EMT_score	B5_thyrocyte_cluster_med	1	-0.0465521432974435
PTC	EMT_score	C2_spatial_celltype_entropy	4	0.08628104848917995
PTC	EMT_score	n_fib	4	0.14852491577474225
PTC	EMT_score	n_thy	4	0.16862613105885366
PTC	Epithelial_score	B4_tumor_stroma_ratio	4	0.2280010465575471
PTC	Epithelial_score	B5_thyrocyte_cluster_med	1	0.08886425815505611
PTC	Epithelial_score	C2_spatial_celltype_entropy	4	0.19334995230444968
PTC	Epithelial_score	n_fib	4	0.27093017045048884
PTC	Epithelial_score	n_thy	4	0.28456902735150114
PTC	Hypoxia_score	B4_tumor_stroma_ratio	4	0.11095407060210405
PTC	Hypoxia_score	B5_thyrocyte_cluster_med	1	0.12963520778845963
PTC	Hypoxia_score	C2_spatial_celltype_entropy	4	0.09832140206130682
PTC	Hypoxia_score	n_fib	4	0.2153865626916502
PTC	Hypoxia_score	n_thy	4	0.21751106920631297
PTC	IFN_gamma	B4_tumor_stroma_ratio	4	-0.0032902166662752176
PTC	IFN_gamma	B5_thyrocyte_cluster_med	1	-0.13051368223043766
PTC	IFN_gamma	C2_spatial_celltype_entropy	4	-0.02847021956128735
PTC	IFN_gamma	n_fib	4	0.08710669802980966
PTC	IFN_gamma	n_thy	4	0.08928467072963796
PTC	M1_M2	B4_tumor_stroma_ratio	4	-0.07449042874135857
PTC	M1_M2	B5_thyrocyte_cluster_med	1	-0.16972245724459503
PTC	M1_M2	C2_spatial_celltype_entropy	4	-0.0758863858896971
PTC	M1_M2	n_fib	4	-0.006280009793570046
PTC	M1_M2	n_thy	4	-0.05764922738582831
PTC	Proliferation_score	B4_tumor_stroma_ratio	4	0.13549038580370293
PTC	Proliferation_score	B5_thyrocyte_cluster_med	1	0.163125633518066
PTC	Proliferation_score	C2_spatial_celltype_entropy	4	0.08922833905334548
PTC	Proliferation_score	n_fib	4	0.12143701801616609
PTC	Proliferation_score	n_thy	4	0.16925159679610774
PTC	RAI_8_score	B4_tumor_stroma_ratio	4	0.16522233629100405
PTC	RAI_8_score	B5_thyrocyte_cluster_med	1	0.060378310364843146
PTC	RAI_8_score	C2_spatial_celltype_entropy	4	0.07604699747746016
PTC	RAI_8_score	n_fib	4	0.2381282331893118
PTC	RAI_8_score	n_thy	4	0.24612962512607928
PTC	TLS	B4_tumor_stroma_ratio	4	-0.05840070089296033
PTC	TLS	B5_thyrocyte_cluster_med	1	0.01711167931043055
PTC	TLS	C2_spatial_celltype_entropy	4	-0.0457270556975565
PTC	TLS	n_fib	4	-0.10198032041487698
PTC	TLS	n_thy	4	-0.11463860030822935
