sample_id	stage	ligand	n_caf_rich_spots	spearman
GSM7980861_N-2	PT	COL3A1	945	0.030235490058848083
GSM7980861_N-2	PT	FGF2	945	0.05208777452742561
GSM7980861_N-2	PT	FGF7	945	-0.008070586419683279
GSM7980861_N-2	PT	VEGFA	945	-0.19170163341668606
GSM7980861_N-2	PT	VEGFC	945	-0.13357199892292745
GSM7980861_N-2	PT	PDGFA	945	0.005948671327741165
GSM7980861_N-2	PT	PDGFB	945	0.028907058517157885
GSM7980861_N-2	PT	PDGFC	945	-0.08757082831270771
GSM7980861_N-2	PT	WNT5A	945	-0.04644505211966355
GSM7980861_N-2	PT	WNT5B	945	-0.03046272233929544
GSM7980861_N-2	PT	DKK3	945	-0.06826883546546458
GSM7980861_N-2	PT	SFRP2	945	0.034434206908108625
GSM7980861_N-2	PT	SFRP4	945	0.07981398638476982
GSM7980861_N-2	PT	CXCL12	945	0.0604004257517028
GSM7980861_N-2	PT	CXCL14	945	0.16314255690678267
GSM7980861_N-2	PT	CXCL13	945	0.08985631824383976
GSM7980861_N-2	PT	CCL2	945	0.0010331687238984727
GSM7980861_N-2	PT	CCL19	945	0.059016852267772264
GSM7980861_N-2	PT	CCL21	945	0.0892760609728718
GSM7980861_N-2	PT	IL6	945	0.06414929484477751
GSM7980861_N-2	PT	LIF	945	-0.06608364190578418
GSM7980861_N-2	PT	MMP2	945	-0.012651375406958739
GSM7980861_N-2	PT	MMP9	945	0.06654988248093884
GSM7980861_N-2	PT	MMP11	945	0.022375185495324107
GSM7980861_N-2	PT	TIMP1	945	0.07223707991558638
GSM7980861_N-2	PT	BMP4	945	-0.052568904327043996
GSM7980861_N-2	PT	BMP7	945	-0.18648611595269887
GSM7980861_N-2	PT	GREM1	945	0.020867897220360494
GSM7980861_N-2	PT	SPP1	945	-0.008186790064265332
GSM7980861_N-2	PT	TNC	945	0.15708100235592623
GSM7980861_N-2	PT	BGN	945	0.07194205908411486
GSM7980861_N-2	PT	DCN	945	0.2153485862854853
GSM7980861_N-2	PT	LUM	945	0.013304101557510491
GSM7980862_N-3	PT	TGFB1	1135	-0.025643109104747864
GSM7980862_N-3	PT	TGFB2	1135	-0.009322213746034818
GSM7980862_N-3	PT	TGFB3	1135	0.008910956505426806
GSM7980862_N-3	PT	POSTN	1135	-0.05142235871420689
GSM7980862_N-3	PT	FN1	1135	0.05640084209914709
GSM7980862_N-3	PT	COL1A1	1135	-0.007635554221690217
GSM7980862_N-3	PT	COL1A2	1135	0.0530482716713573
GSM7980862_N-3	PT	COL3A1	1135	0.016111756447269837
GSM7980862_N-3	PT	FGF2	1135	0.006844104340168755
GSM7980862_N-3	PT	FGF7	1135	-0.014959504696853792
GSM7980862_N-3	PT	VEGFA	1135	-0.10041668755433353
GSM7980862_N-3	PT	VEGFC	1135	-0.09463393009911962
GSM7980862_N-3	PT	PDGFA	1135	-0.04459285784319695
GSM7980862_N-3	PT	PDGFB	1135	-0.022925131045003683
GSM7980862_N-3	PT	PDGFC	1135	-0.11147415833778372
GSM7980862_N-3	PT	WNT5A	1135	-0.018968894529586555
GSM7980862_N-3	PT	WNT5B	1135	-0.023807876958814582
GSM7980862_N-3	PT	DKK1	1135	-0.008299573560733771
GSM7980862_N-3	PT	DKK3	1135	-0.014899619820341058
GSM7980862_N-3	PT	SFRP2	1135	0.11674299648151917
GSM7980862_N-3	PT	SFRP4	1135	-0.010215710383308119
GSM7980862_N-3	PT	CXCL12	1135	0.09683631039955497
GSM7980862_N-3	PT	CXCL14	1135	0.08556829574268177
GSM7980862_N-3	PT	CCL2	1135	-0.038848890452890465
GSM7980862_N-3	PT	CCL19	1135	0.1453553479494833
GSM7980862_N-3	PT	CCL21	1135	0.2770155602839813
GSM7980862_N-3	PT	IL6	1135	0.051389153237064875
GSM7980862_N-3	PT	IL11	1135	-0.005166105351874247
GSM7980862_N-3	PT	LIF	1135	-0.009534947540396667
GSM7980862_N-3	PT	MMP2	1135	-0.030327727840932725
GSM7980862_N-3	PT	MMP9	1135	0.004693114529977509
GSM7980862_N-3	PT	MMP11	1135	0.020506833870071822
GSM7980862_N-3	PT	TIMP1	1135	0.07430009487145343
GSM7980862_N-3	PT	BMP4	1135	-0.07268134647450208
GSM7980862_N-3	PT	BMP7	1135	-0.20114401982081803
GSM7980862_N-3	PT	GREM1	1135	0.005677362278509359
GSM7980862_N-3	PT	SPP1	1135	-0.027116201011880246
GSM7980862_N-3	PT	TNC	1135	0.06712592191093332
GSM7980862_N-3	PT	BGN	1135	0.015927494683324005
GSM7980862_N-3	PT	DCN	1135	0.23265754532927863
GSM7980862_N-3	PT	LUM	1135	-0.007679883660774776
GSM7980863_N-4	PT	TGFB1	757	-0.026477704438431945
GSM7980863_N-4	PT	TGFB2	757	-0.0876493200182864
GSM7980863_N-4	PT	TGFB3	757	0.05946067531596721
GSM7980863_N-4	PT	POSTN	757	-0.18400104537961434
GSM7980863_N-4	PT	FN1	757	0.21606338195586205
GSM7980863_N-4	PT	COL1A1	757	0.15747484261506126
GSM7980863_N-4	PT	COL1A2	757	0.3399603054440918
GSM7980863_N-4	PT	COL3A1	757	0.16297878752393868
GSM7980863_N-4	PT	FGF2	757	0.0071253534606080795
GSM7980863_N-4	PT	FGF7	757	-0.012746785088329785
GSM7980863_N-4	PT	VEGFA	757	-0.24160682537811715
GSM7980863_N-4	PT	VEGFC	757	-0.128424283950681
GSM7980863_N-4	PT	PDGFA	757	0.09436483887934566
GSM7980863_N-4	PT	PDGFB	757	-0.06184910379031092
GSM7980863_N-4	PT	PDGFC	757	-0.143955782768555
GSM7980863_N-4	PT	WNT5A	757	-0.00794760087545847
GSM7980863_N-4	PT	WNT5B	757	-0.047122722311249574
GSM7980863_N-4	PT	DKK3	757	0.09323357884479373
GSM7980863_N-4	PT	SFRP2	757	0.2698052362674649
GSM7980863_N-4	PT	SFRP4	757	0.005038757455658382
GSM7980863_N-4	PT	CXCL12	757	0.16862236984186363
GSM7980863_N-4	PT	CXCL14	757	0.18545697593519622
GSM7980863_N-4	PT	CCL2	757	-0.004665314342322583
GSM7980863_N-4	PT	CCL19	757	0.04592506189305002
GSM7980863_N-4	PT	CCL21	757	0.4077083884712655
GSM7980863_N-4	PT	IL6	757	-0.062078763294554785
GSM7980863_N-4	PT	LIF	757	-0.0962868640659182
GSM7980863_N-4	PT	MMP2	757	0.22493374055201967
GSM7980863_N-4	PT	MMP9	757	-0.04157864695461855
GSM7980863_N-4	PT	MMP11	757	-0.030720239511720662
GSM7980863_N-4	PT	TIMP1	757	0.19508352513162192
GSM7980863_N-4	PT	BMP4	757	0.00623901417339316
GSM7980863_N-4	PT	BMP7	757	-0.20972308743273008
GSM7980863_N-4	PT	GREM1	757	0.04075185813743297
GSM7980863_N-4	PT	SPP1	757	0.02529751212003305
GSM7980863_N-4	PT	TNC	757	0.04273544845063546
GSM7980863_N-4	PT	BGN	757	0.42282071729148474
GSM7980863_N-4	PT	DCN	757	0.4453040145604656
GSM7980863_N-4	PT	LUM	757	0.17391636662775148
GSM7980864_PTC-1	PTC	TGFB1	566	-0.027407457136054903
GSM7980864_PTC-1	PTC	TGFB2	566	-0.028321465040440582
GSM7980864_PTC-1	PTC	TGFB3	566	0.025851734418851764
GSM7980864_PTC-1	PTC	POSTN	566	0.29250783476342573
GSM7980864_PTC-1	PTC	FN1	566	-0.010833002193949736
GSM7980864_PTC-1	PTC	COL1A1	566	0.243552701822899
GSM7980864_PTC-1	PTC	COL1A2	566	0.3509560045323444
GSM7980864_PTC-1	PTC	COL3A1	566	0.3772914927583989
GSM7980864_PTC-1	PTC	FGF2	566	-0.046445678169978376
GSM7980864_PTC-1	PTC	FGF7	566	0.03044207970709343
GSM7980864_PTC-1	PTC	VEGFA	566	-0.15747953807652224
GSM7980864_PTC-1	PTC	VEGFC	566	-0.10083614613715922
GSM7980864_PTC-1	PTC	PDGFA	566	0.06067994792791574
GSM7980864_PTC-1	PTC	PDGFB	566	-0.05698293959552089
GSM7980864_PTC-1	PTC	PDGFC	566	-0.03616530064639669
GSM7980864_PTC-1	PTC	WNT5A	566	0.026819263939684753
GSM7980864_PTC-1	PTC	WNT5B	566	0.05239154926072955
GSM7980864_PTC-1	PTC	DKK1	566	-0.08403003703757495
GSM7980864_PTC-1	PTC	DKK3	566	0.05432808782043649
GSM7980864_PTC-1	PTC	SFRP2	566	0.25673000989612405
GSM7980864_PTC-1	PTC	SFRP4	566	0.21788422888566125
GSM7980864_PTC-1	PTC	CXCL12	566	0.06602629778534816
GSM7980864_PTC-1	PTC	CXCL14	566	0.11977228963330173
GSM7980864_PTC-1	PTC	CXCL13	566	0.03155689548375228
GSM7980864_PTC-1	PTC	CCL2	566	-0.021373675777598848
GSM7980864_PTC-1	PTC	CCL19	566	-0.17856561235171017
GSM7980864_PTC-1	PTC	CCL21	566	-0.2560371945514657
GSM7980864_PTC-1	PTC	IL6	566	0.02912644828237126
GSM7980864_PTC-1	PTC	IL11	566	-0.009512980370178085
GSM7980864_PTC-1	PTC	LIF	566	0.018942807568865447
GSM7980864_PTC-1	PTC	OSM	566	0.11571574281021142
GSM7980864_PTC-1	PTC	MMP2	566	-0.014278930471943776
GSM7980864_PTC-1	PTC	MMP9	566	-0.1104150510329759
GSM7980864_PTC-1	PTC	MMP11	566	-0.05331666877103815
GSM7980864_PTC-1	PTC	TIMP1	566	0.07455284863460014
GSM7980864_PTC-1	PTC	BMP4	566	0.006562555843478421
GSM7980864_PTC-1	PTC	BMP7	566	-0.07403243094619864
GSM7980864_PTC-1	PTC	GREM1	566	-0.004801577789556496
GSM7980864_PTC-1	PTC	SPP1	566	-0.08718482020962694
GSM7980864_PTC-1	PTC	TNC	566	-0.08942126011820452
GSM7980864_PTC-1	PTC	BGN	566	0.21821015048757397
GSM7980864_PTC-1	PTC	DCN	566	0.21838420601225478
GSM7980864_PTC-1	PTC	LUM	566	0.17654670161219166
GSM7980865_PTC-2	PTC	TGFB1	1237	-0.0820622680359841
GSM7980865_PTC-2	PTC	TGFB2	1237	-0.07380729704936785
GSM7980865_PTC-2	PTC	TGFB3	1237	0.06176431127673197
GSM7980865_PTC-2	PTC	POSTN	1237	-0.08202190091272565
GSM7980865_PTC-2	PTC	FN1	1237	0.030800080891627432
GSM7980865_PTC-2	PTC	COL1A1	1237	0.436118543013875
GSM7980865_PTC-2	PTC	COL1A2	1237	0.4227755182535615
GSM7980865_PTC-2	PTC	COL3A1	1237	0.25702092900747253
GSM7980865_PTC-2	PTC	FGF2	1237	-0.09424046137699024
GSM7980865_PTC-2	PTC	FGF7	1237	0.04869830504558738
GSM7980865_PTC-2	PTC	VEGFA	1237	-0.3051576341561546
GSM7980865_PTC-2	PTC	VEGFC	1237	-0.17898978361407678
GSM7980865_PTC-2	PTC	PDGFA	1237	-0.035058074973837554
GSM7980865_PTC-2	PTC	PDGFB	1237	-0.06496729192505732
GSM7980865_PTC-2	PTC	PDGFC	1237	-0.18623006592461472
GSM7980865_PTC-2	PTC	WNT5A	1237	-0.08338730623909206
GSM7980865_PTC-2	PTC	WNT5B	1237	0.009834962310114949
GSM7980865_PTC-2	PTC	DKK1	1237	0.010775026710541214
GSM7980865_PTC-2	PTC	DKK3	1237	-0.016402520548674374
GSM7980865_PTC-2	PTC	SFRP2	1237	0.31163249386344427
GSM7980865_PTC-2	PTC	SFRP4	1237	0.22765205645766257
GSM7980865_PTC-2	PTC	CXCL12	1237	-0.04278694771192424
GSM7980865_PTC-2	PTC	CXCL14	1237	0.024180791923904925
GSM7980865_PTC-2	PTC	CXCL13	1237	-0.008762025546848112
GSM7980865_PTC-2	PTC	CCL2	1237	0.07491830020614683
GSM7980865_PTC-2	PTC	CCL19	1237	0.20408197779077175
GSM7980865_PTC-2	PTC	CCL21	1237	0.13488791369921238
GSM7980865_PTC-2	PTC	IL6	1237	0.04399550723373251
GSM7980865_PTC-2	PTC	IL11	1237	-0.028382050606212652
GSM7980865_PTC-2	PTC	LIF	1237	-0.02871316684433894
GSM7980865_PTC-2	PTC	OSM	1237	0.009857918622686002
GSM7980865_PTC-2	PTC	MMP2	1237	0.09945735656050596
GSM7980865_PTC-2	PTC	MMP9	1237	0.09025144845914891
GSM7980865_PTC-2	PTC	MMP11	1237	-0.03230668714023768
GSM7980865_PTC-2	PTC	TIMP1	1237	0.245452885083396
GSM7980865_PTC-2	PTC	BMP4	1237	-0.028966859025634416
GSM7980865_PTC-2	PTC	BMP7	1237	-0.1806972102434066
GSM7980865_PTC-2	PTC	GREM1	1237	0.014718043116357707
GSM7980865_PTC-2	PTC	SPP1	1237	-0.02858947984145783
GSM7980865_PTC-2	PTC	TNC	1237	-0.10063869476368709
GSM7980865_PTC-2	PTC	BGN	1237	0.38803260846946486
GSM7980865_PTC-2	PTC	DCN	1237	0.33400122880167255
GSM7980865_PTC-2	PTC	LUM	1237	0.3278738328148626
GSM7980866_PTC-3	PTC	TGFB1	1129	-0.04901312790751574
GSM7980866_PTC-3	PTC	TGFB2	1129	-0.043837191578318904
GSM7980866_PTC-3	PTC	TGFB3	1129	-0.0479458525039344
GSM7980866_PTC-3	PTC	POSTN	1129	0.3035199174438327
GSM7980866_PTC-3	PTC	FN1	1129	0.28910405140852335
GSM7980866_PTC-3	PTC	COL1A1	1129	0.5908134110303042
GSM7980866_PTC-3	PTC	COL1A2	1129	0.6573652824589271
GSM7980866_PTC-3	PTC	COL3A1	1129	0.5204249279179498
GSM7980866_PTC-3	PTC	FGF2	1129	-0.01634587891581809
GSM7980866_PTC-3	PTC	FGF7	1129	-0.027810911974854857
GSM7980866_PTC-3	PTC	VEGFA	1129	-0.3248065423962557
GSM7980866_PTC-3	PTC	VEGFC	1129	-0.17345263963434748
GSM7980866_PTC-3	PTC	PDGFA	1129	0.02533695863568442
GSM7980866_PTC-3	PTC	PDGFB	1129	-0.12882741609721474
GSM7980866_PTC-3	PTC	PDGFC	1129	-0.15579395708961352
GSM7980866_PTC-3	PTC	WNT5A	1129	-0.09578749447633393
GSM7980866_PTC-3	PTC	WNT5B	1129	0.033616027509290505
GSM7980866_PTC-3	PTC	DKK1	1129	0.018711915343071275
GSM7980866_PTC-3	PTC	DKK3	1129	0.20847354544609872
GSM7980866_PTC-3	PTC	SFRP2	1129	0.36447421398105895
GSM7980866_PTC-3	PTC	SFRP4	1129	0.2747134819742672
GSM7980866_PTC-3	PTC	CXCL12	1129	0.06416634384137002
GSM7980866_PTC-3	PTC	CXCL14	1129	-0.03200809021019479
GSM7980866_PTC-3	PTC	CXCL13	1129	0.009129732819240758
GSM7980866_PTC-3	PTC	CCL2	1129	0.04452259165784823
GSM7980866_PTC-3	PTC	CCL19	1129	-0.14409328765602772
GSM7980866_PTC-3	PTC	CCL21	1129	-0.24951908987351837
GSM7980866_PTC-3	PTC	IL6	1129	0.05000725900646826
GSM7980866_PTC-3	PTC	IL11	1129	0.018361450652985487
GSM7980866_PTC-3	PTC	LIF	1129	-0.027879524635749563
GSM7980866_PTC-3	PTC	OSM	1129	0.04118297411284848
GSM7980866_PTC-3	PTC	MMP2	1129	0.07118204434043053
GSM7980866_PTC-3	PTC	MMP9	1129	0.01998333703342364
GSM7980866_PTC-3	PTC	MMP11	1129	0.10592506188192258
GSM7980866_PTC-3	PTC	TIMP1	1129	0.38416070467081315
GSM7980866_PTC-3	PTC	BMP4	1129	-0.031927581457955656
GSM7980866_PTC-3	PTC	BMP7	1129	-0.24600039859484468
GSM7980866_PTC-3	PTC	GREM1	1129	0.09659646060663883
GSM7980866_PTC-3	PTC	SPP1	1129	0.03004017807533172
GSM7980866_PTC-3	PTC	TNC	1129	-0.1029988858391652
GSM7980866_PTC-3	PTC	BGN	1129	0.6281649478865665
GSM7980866_PTC-3	PTC	DCN	1129	0.28845343485831515
GSM7980866_PTC-3	PTC	LUM	1129	0.5242194670340122
GSM7980867_PTC-4	PTC	TGFB1	1125	-0.17388211437249643
GSM7980867_PTC-4	PTC	TGFB2	1125	-0.04464601207167198
GSM7980867_PTC-4	PTC	TGFB3	1125	-0.03181140722198021
GSM7980867_PTC-4	PTC	POSTN	1125	0.06612496439104278
GSM7980867_PTC-4	PTC	FN1	1125	0.05270649599444663
GSM7980867_PTC-4	PTC	COL1A1	1125	0.4435220284414335
GSM7980867_PTC-4	PTC	COL1A2	1125	0.42799628968505943
GSM7980867_PTC-4	PTC	COL3A1	1125	0.2730085099884982
GSM7980867_PTC-4	PTC	FGF2	1125	-0.06068554306272259
GSM7980867_PTC-4	PTC	FGF7	1125	0.06051735611880554
GSM7980867_PTC-4	PTC	VEGFA	1125	-0.27726406748116045
GSM7980867_PTC-4	PTC	VEGFC	1125	-0.12639909599748012
GSM7980867_PTC-4	PTC	PDGFA	1125	-0.07766287614737324
GSM7980867_PTC-4	PTC	PDGFB	1125	-0.10079613820950781
GSM7980867_PTC-4	PTC	PDGFC	1125	-0.13780181416591514
GSM7980867_PTC-4	PTC	WNT5A	1125	-0.1504355868909756
GSM7980867_PTC-4	PTC	WNT5B	1125	-0.03915434238366669
GSM7980867_PTC-4	PTC	DKK3	1125	-0.06674927974534686
GSM7980867_PTC-4	PTC	SFRP2	1125	0.17194637395613863
GSM7980867_PTC-4	PTC	SFRP4	1125	0.23328432267283564
GSM7980867_PTC-4	PTC	CXCL12	1125	-0.03395473925564575
GSM7980867_PTC-4	PTC	CXCL14	1125	-0.18008200506316668
GSM7980867_PTC-4	PTC	CXCL13	1125	-0.01892005248866583
GSM7980867_PTC-4	PTC	CCL2	1125	0.014172883733534323
GSM7980867_PTC-4	PTC	CCL19	1125	0.07073806426806184
GSM7980867_PTC-4	PTC	CCL21	1125	-0.05618288098719742
GSM7980867_PTC-4	PTC	IL6	1125	0.025087094918094632
GSM7980867_PTC-4	PTC	LIF	1125	-0.07209521642293588
GSM7980867_PTC-4	PTC	MMP2	1125	0.016511330173530753
GSM7980867_PTC-4	PTC	MMP9	1125	-0.10447278358165098
GSM7980867_PTC-4	PTC	MMP11	1125	-0.07155582230566762
GSM7980867_PTC-4	PTC	TIMP1	1125	0.4451374569412556
GSM7980867_PTC-4	PTC	BMP4	1125	-0.010947770153708312
GSM7980867_PTC-4	PTC	BMP7	1125	-0.22758554411682808
GSM7980867_PTC-4	PTC	GREM1	1125	-0.020611677726357344
GSM7980867_PTC-4	PTC	SPP1	1125	-0.12511805874028434
GSM7980867_PTC-4	PTC	TNC	1125	-0.05106572709071097
GSM7980867_PTC-4	PTC	BGN	1125	0.4459011418028821
GSM7980867_PTC-4	PTC	DCN	1125	0.1732747203262925
GSM7980867_PTC-4	PTC	LUM	1125	0.27252125780819547
GSM7980868_LPTC-1	LPTC	TGFB1	380	-0.001379373694933115
GSM7980868_LPTC-1	LPTC	TGFB2	380	-0.01976366201594205
GSM7980868_LPTC-1	LPTC	TGFB3	380	0.05954473197749115
GSM7980868_LPTC-1	LPTC	POSTN	380	0.04067505115048964
GSM7980868_LPTC-1	LPTC	FN1	380	-0.12491563906466273
GSM7980868_LPTC-1	LPTC	COL1A1	380	0.7586682845085249
GSM7980868_LPTC-1	LPTC	COL1A2	380	0.6580733311097797
GSM7980868_LPTC-1	LPTC	COL3A1	380	0.6974330034712772
GSM7980868_LPTC-1	LPTC	FGF2	380	-0.17273382770027887
GSM7980868_LPTC-1	LPTC	FGF7	380	0.28026841479246706
GSM7980868_LPTC-1	LPTC	VEGFA	380	-0.3997207750695306
GSM7980868_LPTC-1	LPTC	VEGFC	380	-0.26534500823528623
GSM7980868_LPTC-1	LPTC	PDGFA	380	-0.09604761615153654
GSM7980868_LPTC-1	LPTC	PDGFB	380	-0.14245429118469685
GSM7980868_LPTC-1	LPTC	PDGFC	380	-0.24887340111032344
GSM7980868_LPTC-1	LPTC	WNT5A	380	-0.12402508658856665
GSM7980868_LPTC-1	LPTC	WNT5B	380	-0.02374550139227638
GSM7980868_LPTC-1	LPTC	DKK1	380	0.06813212249078869
GSM7980868_LPTC-1	LPTC	DKK3	380	-0.008136919824181675
GSM7980868_LPTC-1	LPTC	SFRP2	380	0.6901661050059752
GSM7980868_LPTC-1	LPTC	SFRP4	380	0.4651622538099916
GSM7980868_LPTC-1	LPTC	CXCL12	380	0.4599382083223873
GSM7980868_LPTC-1	LPTC	CXCL14	380	0.6870754407803296
GSM7980868_LPTC-1	LPTC	CXCL13	380	0.031607685691603
GSM7980868_LPTC-1	LPTC	CCL2	380	0.12401754041467045
GSM7980868_LPTC-1	LPTC	CCL19	380	0.46742634514748965
GSM7980868_LPTC-1	LPTC	CCL21	380	0.5298801078163483
GSM7980868_LPTC-1	LPTC	IL6	380	0.1450137793874531
GSM7980868_LPTC-1	LPTC	IL11	380	-0.057362096255131376
GSM7980868_LPTC-1	LPTC	LIF	380	-0.07259284470602873
GSM7980868_LPTC-1	LPTC	OSM	380	0.05371223461278025
GSM7980868_LPTC-1	LPTC	MMP2	380	0.26851650051910136
GSM7980868_LPTC-1	LPTC	MMP9	380	0.14607069342038728
GSM7980868_LPTC-1	LPTC	MMP11	380	0.008315291497163316
GSM7980868_LPTC-1	LPTC	TIMP1	380	0.02460480445383538
GSM7980868_LPTC-1	LPTC	BMP4	380	0.054093482402982535
GSM7980868_LPTC-1	LPTC	BMP7	380	-0.25858876826930305
GSM7980868_LPTC-1	LPTC	GREM1	380	-0.02036939744569971
GSM7980868_LPTC-1	LPTC	SPP1	380	0.15899419995400932
GSM7980868_LPTC-1	LPTC	TNC	380	-0.29957507029436065
GSM7980868_LPTC-1	LPTC	BGN	380	0.39185972987641376
GSM7980868_LPTC-1	LPTC	DCN	380	0.7587555520114793
GSM7980868_LPTC-1	LPTC	LUM	380	0.6353738119093297
GSM7980869_LPTC-2	LPTC	TGFB1	1018	-0.1235257758581221
GSM7980869_LPTC-2	LPTC	TGFB2	1018	0.019039682575292854
GSM7980869_LPTC-2	LPTC	TGFB3	1018	-0.036554168770384275
GSM7980869_LPTC-2	LPTC	POSTN	1018	-0.13744455590600924
GSM7980869_LPTC-2	LPTC	FN1	1018	-0.4481076058053113
GSM7980869_LPTC-2	LPTC	COL1A1	1018	-0.2827978777824093
GSM7980869_LPTC-2	LPTC	COL1A2	1018	-0.2337092402564249
GSM7980869_LPTC-2	LPTC	COL3A1	1018	-0.2069658655691889
GSM7980869_LPTC-2	LPTC	FGF2	1018	0.06455633356108663
GSM7980869_LPTC-2	LPTC	FGF7	1018	0.13826495899706082
GSM7980869_LPTC-2	LPTC	VEGFA	1018	-0.14465324566395582
GSM7980869_LPTC-2	LPTC	VEGFC	1018	-0.11194515186700668
GSM7980869_LPTC-2	LPTC	PDGFA	1018	0.021164972309780556
GSM7980869_LPTC-2	LPTC	PDGFB	1018	-0.06823202560161366
GSM7980869_LPTC-2	LPTC	PDGFC	1018	-0.15794305273620757
GSM7980869_LPTC-2	LPTC	WNT5A	1018	0.013336528463605899
GSM7980869_LPTC-2	LPTC	WNT5B	1018	-0.03224054787985234
GSM7980869_LPTC-2	LPTC	DKK3	1018	-0.043716731298482185
GSM7980869_LPTC-2	LPTC	SFRP2	1018	-0.12557657942149275
GSM7980869_LPTC-2	LPTC	SFRP4	1018	-0.14355913898613681
GSM7980869_LPTC-2	LPTC	CXCL12	1018	0.21262392795462629
GSM7980869_LPTC-2	LPTC	CXCL14	1018	0.053072629768319904
GSM7980869_LPTC-2	LPTC	CXCL13	1018	0.016470367220255442
GSM7980869_LPTC-2	LPTC	CCL2	1018	0.15661804607684798
GSM7980869_LPTC-2	LPTC	CCL19	1018	0.27074941301804856
GSM7980869_LPTC-2	LPTC	CCL21	1018	0.19639974043392813
GSM7980869_LPTC-2	LPTC	IL6	1018	0.1857350460228955
GSM7980869_LPTC-2	LPTC	IL11	1018	-0.008182868127896358
GSM7980869_LPTC-2	LPTC	LIF	1018	-0.04446579148520567
GSM7980869_LPTC-2	LPTC	OSM	1018	-0.01681415696594227
GSM7980869_LPTC-2	LPTC	MMP2	1018	0.13797500576527488
GSM7980869_LPTC-2	LPTC	MMP9	1018	0.024670686985443627
GSM7980869_LPTC-2	LPTC	MMP11	1018	-0.08112304666308075
GSM7980869_LPTC-2	LPTC	TIMP1	1018	-0.2205776219143692
GSM7980869_LPTC-2	LPTC	BMP4	1018	0.004824162901594939
GSM7980869_LPTC-2	LPTC	BMP7	1018	-0.18214259703908722
GSM7980869_LPTC-2	LPTC	GREM1	1018	0.013769251623690151
GSM7980869_LPTC-2	LPTC	SPP1	1018	-0.035213460748560486
GSM7980869_LPTC-2	LPTC	TNC	1018	0.023970658542111216
GSM7980869_LPTC-2	LPTC	BGN	1018	-0.309233673513152
GSM7980869_LPTC-2	LPTC	DCN	1018	0.28276686285795527
GSM7980869_LPTC-2	LPTC	LUM	1018	-0.062328441641084635
GSM7980870_LPTC-3	LPTC	TGFB1	834	-0.2891928354270001
GSM7980870_LPTC-3	LPTC	TGFB2	834	-0.0318982713818628
