stage	gene	n_slides	median_moran
LPTC	C3	4	0.44637003540992737
LPTC	DCN	4	0.43957360088825226
LPTC	JCHAIN	2	0.43020135164260864
LPTC	FOS	4	0.4284875765442848
LPTC	PTGDS	2	0.4223482310771942
LPTC	NPC2	4	0.42054857313632965
LPTC	ACTG2	1	0.42030155658721924
LPTC	ACKR1	2	0.418014332652092
LPTC	APOC1	4	0.4080708771944046
LPTC	COL3A1	4	0.40771906077861786
LPTC	APOE	4	0.4067990481853485
LPTC	IGLC1	3	0.4055095911026001
LPTC	ZCCHC12	4	0.4046609252691269
LPTC	APLP2	4	0.40455658733844757
LPTC	APOD	4	0.4040329158306122
LPTC	MYH11	2	0.39639557898044586
LPTC	MTRNR2L12	1	0.39629122614860535
LPTC	SFTPB	4	0.3935400992631912
LPTC	LUM	4	0.3920920789241791
LPTC	IGHA1	4	0.3919285386800766
LPTC	AEBP1	4	0.3860773593187332
LPTC	KRT17	3	0.3818150460720062
LPTC	ARHGAP36	2	0.37793493270874023
LPTC	SFRP4	4	0.3766148090362549
LPTC	COMP	4	0.37281253933906555
LPTC	RPL26	4	0.3687252700328827
LPTC	FOSB	4	0.3621796518564224
LPTC	IGHM	2	0.36145588755607605
LPTC	RPL34	4	0.36022982001304626
LPTC	CD24	4	0.3591267466545105
LPTC	IGHA2	1	0.35898762941360474
LPTC	BGN	4	0.3551712781190872
LPTC	CLU	4	0.3547067791223526
LPTC	C1R	4	0.35324203968048096
LPTC	KRT6A	1	0.34633946418762207
LPTC	RPL17	4	0.3456213027238846
LPTC	TAGLN	4	0.34550219774246216
LPTC	CCN5	2	0.34329257905483246
LPTC	SERPINF1	4	0.3417068123817444
LPTC	COL6A2	4	0.34076932072639465
LPTC	CTSB	4	0.34070560336112976
LPTC	NNMT	4	0.3392908424139023
LPTC	MT1A	1	0.3388068377971649
LPTC	CNN1	1	0.33766838908195496
LPTC	PLPP3	4	0.33701764047145844
LPTC	CCL21	3	0.3361619710922241
LPTC	NMB	4	0.33400020003318787
LPTC	ATF3	2	0.3336027003824711
LPTC	RPS4X	4	0.3330901265144348
LPTC	DGKI	1	0.3320397436618805
LPTC	RPS24	4	0.3316802531480789
LPTC	COX7C	4	0.3313186764717102
LPTC	TPT1	4	0.33130478858947754
LPTC	NPNT	4	0.3303627073764801
LPTC	RPS15A	4	0.33035752177238464
LPTC	LGALS1	4	0.32788144052028656
LPTC	CLIC5	1	0.32650429010391235
LPTC	ECRG4	4	0.3264342397451401
LPTC	RPL35A	4	0.3256213814020157
LPTC	EPCAM	4	0.325449600815773
LPTC	F5	1	0.32394880056381226
LPTC	RPS25	4	0.32364124059677124
LPTC	MT1M	1	0.3211449086666107
LPTC	MT3	1	0.32003670930862427
LPTC	MT-CO3	4	0.3193204998970032
LPTC	HBB	3	0.318397581577301
LPTC	MGST1	4	0.31747519969940186
LPTC	CD74	4	0.3170187622308731
LPTC	SPINT2	4	0.3169141262769699
LPTC	MZB1	2	0.31685180962085724
LPTC	DPEP1	1	0.3165859878063202
LPTC	SDC4	4	0.316260889172554
LPTC	SERPINA1	4	0.3160133808851242
LPTC	RPL37	4	0.3145889937877655
LPTC	C1S	4	0.3138668164610863
LPTC	PAX8	4	0.31321755051612854
LPTC	PRX	1	0.313198059797287
LPTC	RPS27A	4	0.3129870444536209
PT	MT-CO3	2	0.5546712577342987
PT	MT-CO2	2	0.5092375427484512
PT	LTF	1	0.49812597036361694
PT	TFF3	3	0.4716096818447113
PT	IGHGP	1	0.4500270485877991
PT	IGKC	4	0.44599899649620056
PT	IGLC1	3	0.4332565665245056
PT	IGLC3	3	0.4276364743709564
PT	IGLC2	4	0.3892402946949005
PT	IGHG2	1	0.37761327624320984
PT	IGHG3	4	0.37703557312488556
PT	IGHG4	4	0.3651842325925827
PT	IGHG1	4	0.36082233488559723
PT	MYH11	2	0.3600941300392151
PT	MT1G	4	0.3489382714033127
PT	IGHA1	3	0.34600314497947693
PT	MTRNR2L12	1	0.3297615349292755
PT	DES	2	0.31506219506263733
PT	MUSTN1	2	0.3129943460226059
PT	CNN1	1	0.2958609461784363
PT	APOC1	2	0.29018937796354294
PT	IGHM	2	0.2676413431763649
PT	MT-ND3	4	0.25433721393346786
PT	TPO	4	0.2519496977329254
PT	MT-CO1	3	0.2432183176279068
PT	IGFN1	1	0.24051715433597565
PT	EEF1A1	2	0.23996342718601227
PT	MT1X	4	0.23974347114562988
PT	CFD	4	0.23478346318006516
PT	MT-ND4	3	0.2274641990661621
PT	CCL21	4	0.22628873586654663
PT	MT1E	4	0.22116374969482422
PT	FOSB	4	0.2141040861606598
PT	HBA1	3	0.21237289905548096
PT	LYZ	2	0.20693041756749153
PT	C11orf96	3	0.20476706326007843
PT	MALAT1	4	0.2038298174738884
PT	HBA2	4	0.20373280346393585
PT	C3	4	0.2032727748155594
PT	MT-ATP6	4	0.19904154539108276
PT	CTSB	4	0.19731489568948746
PT	ACTA2	4	0.1958218440413475
PT	TAGLN	4	0.19468098878860474
PT	HBB	4	0.1875717043876648
PT	MT1F	4	0.1860445737838745
PT	TPM2	4	0.18530330806970596
PT	PPP1R14A	2	0.1759486235678196
PT	APOE	4	0.17567792534828186
PT	KRT8	4	0.17308276146650314
PT	FOS	4	0.17152730375528336
PT	MGP	4	0.16711409389972687
PT	MYL9	4	0.16546710580587387
PT	CD24	4	0.16429954767227173
PT	GSN	4	0.163347527384758
PT	MT2A	4	0.16074734926223755
PT	GPX3	3	0.16005897521972656
PT	JCHAIN	3	0.15890327095985413
PT	FBLN1	4	0.15619384497404099
PT	FCGBP	4	0.15516576915979385
PT	DCN	4	0.15104033797979355
PT	SLC26A7	4	0.15084713697433472
PT	PAX8	4	0.1489652618765831
PT	EGR1	4	0.145537830889225
PT	MT1H	4	0.14388345554471016
PT	IYD	4	0.14013606682419777
PT	CD74	4	0.13964420929551125
PT	NEAT1	4	0.13931330293416977
PT	HSP90B1	4	0.1390453241765499
PT	PEBP1	4	0.13837598264217377
PT	ATP1A1	4	0.1379922851920128
PT	SPINT2	4	0.13610102236270905
PT	PPIB	4	0.13551689684391022
PT	MT-CYB	4	0.13516565412282944
PT	S100A6	2	0.13426125422120094
PT	NUPR1	4	0.1298658475279808
PT	KRT7	4	0.1291535310447216
PT	CALR	4	0.12872297689318657
PT	SLC25A29	4	0.12745635583996773
PT	RPL18	3	0.1265282779932022
PT	CRIP1	4	0.12626883760094643
PT	C16orf89	4	0.12600844725966454
PT	ACTG1	4	0.12492561712861061
PT	ASAH1	4	0.1241576299071312
PT	PRDX1	4	0.12412865087389946
PT	RPS28	2	0.12407683953642845
PT	CRABP1	4	0.12332591414451599
PT	CTSK	1	0.1232079342007637
PT	ADIRF	4	0.12265199050307274
PT	WFDC2	4	0.12255875393748283
PT	TNXB	4	0.1224493682384491
PT	HSPA5	4	0.12167399749159813
PT	PTGDS	3	0.12134238332509995
PT	IER2	4	0.1212177500128746
PT	NDUFB2	4	0.1210654266178608
PT	CLU	4	0.12105951830744743
PT	TSPAN1	4	0.11679214984178543
PT	MTCH1	4	0.116045992821455
PT	FTL	2	0.11403638869524002
PT	ID1	4	0.11393740773200989
PT	ADAMTS1	1	0.11387492716312408
PTC	MTRNR2L12	1	0.8172683119773865
PTC	IGKC	4	0.7037348449230194
PTC	IGHG3	4	0.690275102853775
PTC	IGHG4	4	0.6798537373542786
PTC	IGHG1	4	0.6751412749290466
PTC	TFF3	4	0.6360351741313934
PTC	FDCSP	1	0.6322953104972839
PTC	IGLC2	4	0.6284814476966858
PTC	LTF	2	0.6080097258090973
PTC	TG	4	0.6016260385513306
PTC	IGLC1	4	0.5820757150650024
PTC	IGLC3	4	0.5621188282966614
PTC	CR2	1	0.5600807666778564
PTC	S100A6	4	0.5401521921157837
PTC	TPO	4	0.529718428850174
PTC	AEBP1	4	0.5248094797134399
PTC	IGHG2	2	0.4986867308616638
PTC	MT-CO3	4	0.49825161695480347
PTC	COMP	4	0.4928106218576431
PTC	SLC34A2	4	0.48713675141334534
PTC	COL1A1	4	0.4857168048620224
PTC	MS4A1	1	0.48294496536254883
PTC	IGHGP	1	0.4825669825077057
PTC	IGHA1	4	0.473997563123703
PTC	IGLC7	1	0.47395461797714233
PTC	MT-CO1	4	0.46940329670906067
PTC	PI16	2	0.4630844295024872
PTC	EEF1A1	4	0.4614732265472412
PTC	FTH1	4	0.45759402215480804
PTC	MGP	4	0.45594458281993866
PTC	BGN	4	0.45340169966220856
PTC	FN1	4	0.44796836376190186
PTC	COL1A2	4	0.44542305171489716
PTC	NPC2	4	0.43614257872104645
PTC	RPS4X	4	0.4279118776321411
PTC	MT-ND4	4	0.4213859885931015
PTC	COL3A1	4	0.420772060751915
PTC	MT-CO2	4	0.4206281304359436
PTC	SERPINA1	4	0.4177990257740021
PTC	RPL34	4	0.4168115556240082
PTC	MT-ATP6	4	0.4167463928461075
PTC	SFRP2	4	0.41524438560009
PTC	APOC1	4	0.41326162219047546
PTC	CCL21	3	0.4033093750476837
PTC	HMOX1	1	0.40206485986709595
PTC	MT1G	4	0.40143103897571564
PTC	APOE	4	0.4008493423461914
PTC	CCL19	3	0.392424613237381
PTC	RPS15A	4	0.38996414840221405
PTC	RPL24	4	0.3867093175649643
PTC	RPL36A	4	0.3830573856830597
PTC	MT-ND3	4	0.38140711188316345
PTC	RPL4	4	0.37763863801956177
PTC	RPL26	4	0.37762798368930817
PTC	LUM	4	0.3768399804830551
PTC	RPS24	4	0.3766490966081619
PTC	MT-CYB	4	0.3761988803744316
PTC	RPL41	4	0.37511885166168213
PTC	RPL35A	4	0.37416045367717743
PTC	FOS	4	0.36757737398147583
PTC	RPS8	4	0.3669036030769348
PTC	CTSB	4	0.36170920729637146
PTC	SNHG29	4	0.3599339872598648
PTC	NUPR1	4	0.35951387882232666
PTC	GNAS	4	0.3586011230945587
PTC	TAGLN	4	0.3568400740623474
PTC	DHRS3	4	0.3558632582426071
PTC	RPS7	4	0.3506113290786743
PTC	SFTPB	4	0.3451979011297226
PTC	IGHM	3	0.34414640069007874
PTC	SDC4	4	0.34350890666246414
PTC	TPT1	4	0.34243521094322205
PTC	RPL12	4	0.34227442741394043
PTC	DCN	4	0.34130026400089264
PTC	MT-ND1	4	0.34121188521385193
PTC	RPL22	4	0.3406604826450348
PTC	CLU	4	0.3401571959257126
PTC	JCHAIN	3	0.3333274722099304
PTC	RPL30	4	0.3329818844795227
PTC	RPL39	4	0.33183203637599945
PTC	RPS27A	4	0.3317546248435974
PTC	RPL37	4	0.3309911787509918
PTC	RPL5	4	0.3288922607898712
PTC	RPS23	4	0.32819296419620514
PTC	APLP2	4	0.32691844552755356
PTC	ANXA1	4	0.32584284991025925
PTC	CD79B	1	0.3255777359008789
PTC	RPS12	4	0.325507327914238
PTC	GPX3	4	0.32477419078350067
PTC	RPS25	4	0.32452596724033356
PTC	SFRP4	4	0.32449067384004593
PTC	MGST1	4	0.3243143856525421
PTC	CSTA	1	0.32375285029411316
PTC	SLC26A4	1	0.3212730288505554
PTC	PLA2G2A	1	0.32125675678253174
PTC	MT-ND2	4	0.3212159052491188
PTC	LGALS3	4	0.3207430839538574
PTC	MALAT1	4	0.3202504441142082
PTC	C1R	4	0.319933757185936
PTC	KRT17	1	0.3195321261882782
