sample_id	stage	mod_a	mod_b	same_spot_r	lag_a_to_neighbor_b	lag_b_to_neighbor_a	lag_symmetric
GSM7980863_N-4	PT	Bplasma	IFN_gamma	0.08589755743741989	0.061460014432668686	0.038052987307310104	0.049756500869989395
GSM7980863_N-4	PT	Bplasma	M1_M2	0.11240560561418533	0.08088532835245132	0.04991299659013748	0.0653991624712944
GSM7980863_N-4	PT	Bplasma	RAI_lineage	-0.187200665473938	-0.14118105173110962	-0.15086105465888977	-0.1460210531949997
GSM7980863_N-4	PT	Bplasma	TLS	0.08771975338459015	0.07479638606309891	0.053710997104644775	0.06425369158387184
GSM7980863_N-4	PT	CAF	CD8_Teff	0.006123802624642849	-0.006775350775569677	-0.009487920440733433	-0.008131635608151555
GSM7980863_N-4	PT	CAF	EMT	0.17003032565116882	0.2119419276714325	0.17696267366409302	0.19445230066776276
GSM7980863_N-4	PT	CAF	Endothelial	0.25614506006240845	0.2272784262895584	0.19178315997123718	0.2095307931303978
GSM7980863_N-4	PT	CAF	IFN_gamma	0.04175850749015808	0.07410547137260437	0.05343255400657654	0.06376901268959045
GSM7980863_N-4	PT	CAF	M1_M2	0.1861412078142166	0.1926148384809494	0.1514832079410553	0.17204902321100235
GSM7980863_N-4	PT	CAF	RAI_lineage	-0.3931044042110443	-0.3878941237926483	-0.45019811391830444	-0.4190461188554764
GSM7980863_N-4	PT	CAF	TLS	0.09048226475715637	0.03914071246981621	0.02894132398068905	0.03404101822525263
GSM7980863_N-4	PT	CD8_Teff	EMT	-0.005884439684450626	-0.013546054251492023	-0.008124751970171928	-0.010835403110831976
GSM7980863_N-4	PT	CD8_Teff	Endothelial	0.03931863233447075	0.03623969480395317	0.042222775518894196	0.03923123516142368
GSM7980863_N-4	PT	CD8_Teff	IFN_gamma	0.13031552731990814	0.04399263486266136	0.05539737269282341	0.049695003777742386
GSM7980863_N-4	PT	CD8_Teff	M1_M2	0.04791266843676567	0.00048480278928764164	-0.000604909670073539	-6.005344039294869e-05
GSM7980863_N-4	PT	CD8_Teff	RAI_lineage	-0.038260430097579956	-0.010696611367166042	-0.018433259800076485	-0.014564935583621264
GSM7980863_N-4	PT	CD8_Teff	TLS	0.04631829634308815	0.01174237485975027	0.02328401990234852	0.017513197381049395
GSM7980863_N-4	PT	EMT	Endothelial	0.1226099357008934	0.0908157005906105	0.09143217653036118	0.09112393856048584
GSM7980863_N-4	PT	EMT	IFN_gamma	0.01766042970120907	0.046787459403276443	0.03822445124387741	0.04250595532357693
GSM7980863_N-4	PT	EMT	M1_M2	0.0780717059969902	0.07936401665210724	0.07401470094919205	0.07668935880064964
GSM7980863_N-4	PT	EMT	RAI_lineage	-0.16209165751934052	-0.20138190686702728	-0.27079135179519653	-0.2360866293311119
GSM7980863_N-4	PT	EMT	TLS	0.029507309198379517	0.03949335962533951	0.03749223053455353	0.03849279507994652
GSM7980863_N-4	PT	Endothelial	IFN_gamma	0.07221519947052002	0.04474247992038727	0.04465930536389351	0.04470089264214039
GSM7980863_N-4	PT	Endothelial	M1_M2	0.12628455460071564	0.11523083597421646	0.10369515419006348	0.10946299508213997
GSM7980863_N-4	PT	Endothelial	RAI_lineage	-0.1980159878730774	-0.17627015709877014	-0.24285410344600677	-0.20956213027238846
GSM7980863_N-4	PT	Endothelial	TLS	0.05399331822991371	0.030058525502681732	0.025519205257296562	0.027788865379989147
GSM7980863_N-4	PT	IFN_gamma	M1_M2	0.06165560707449913	0.01380623783916235	0.009972789324820042	0.011889513581991196
GSM7980863_N-4	PT	IFN_gamma	RAI_lineage	-0.04115360602736473	-0.04891767352819443	-0.06972597539424896	-0.059321824461221695
