target	feature_set	heldout_sample	heldout_stage	alpha	n	spearman_r	pearson_r	r2	mae	auroc_q50	auroc_q75	auroc_q90
RAI_8_score	clinical_text_only	GSM7980874_ATC-3	ATC	10000.0	200			-0.00036546174979368296	0.06824914967468974			
RAI_8_score	clinical_text_only	GSM7980875_ATC-4	ATC	10000.0	200			-5.918985804242993e-05	0.3369336538557795	0.5	0.5	0.5
RAI_8_score	morphology_plus_text	GSM7980860_N-1	PT	606.1898993497572	200	0.3640753324585449	0.4328646505065867	0.168880989630518	0.334445470409137	0.6582	0.6355999999999999	0.6511111111111111
RAI_8_score	morphology_plus_text	GSM7980861_N-2	PT	606.1898993497572	200	0.23680342008550218	0.24007705159318954	0.04061476107323503	0.37767739580152015	0.6346000000000002	0.5842666666666667	0.45222222222222225
RAI_8_score	morphology_plus_text	GSM7980862_N-3	PT	606.1898993497572	200	0.19558538963474087	0.22148675788756636	0.0320853082636946	0.31676667971384076	0.5646	0.5906666666666667	0.5683333333333334
RAI_8_score	morphology_plus_text	GSM7980863_N-4	PT	300.7882518043102	200	-0.017331433285832146	0.054154565119929506	-0.0057801621053494845	0.3655492106893097	0.4690000000000001	0.4958666666666667	0.5416666666666667
RAI_8_score	morphology_plus_text	GSM7980864_PTC-1	PTC	300.7882518043102	200	0.1242040404637945	0.12016777625243098	-0.0013022581031028047	0.3335150773272711	0.54	0.5557333333333333	0.5519444444444445
RAI_8_score	morphology_plus_text	GSM7980865_PTC-2	PTC	606.1898993497572	200	0.43749643741093536	0.4597170855734958	0.13597263619037114	0.347667070502673	0.6773	0.6931999999999999	0.6897222222222222
RAI_8_score	morphology_plus_text	GSM7980866_PTC-3	PTC	606.1898993497572	200	0.09067655091748592	0.06184051171980331	-0.018730117635730625	0.3073757130613913	0.5490999999999999	0.4629333333333334	0.32222222222222224
RAI_8_score	morphology_plus_text	GSM7980867_PTC-4	PTC	300.7882518043102	200	0.31721862003755663	0.42471060558151547	0.1447291665693018	0.27866399427952904	0.6698000000000001	0.5764	0.44138888888888883
RAI_8_score	morphology_plus_text	GSM7980868_LPTC-1	LPTC	300.7882518043102	200	0.2745308632715818	0.36931547089436595	0.12751765477639299	0.27999370367077653	0.6113000000000001	0.6162666666666667	0.5422222222222222
RAI_8_score	morphology_plus_text	GSM7980869_LPTC-2	LPTC	606.1898993497572	200	0.25951351118097843	0.2871107485051159	0.07372024315846881	0.35699759367912764	0.6173	0.6505333333333334	0.6780555555555555
RAI_8_score	morphology_plus_text	GSM7980870_LPTC-3	LPTC	606.1898993497572	200	0.6084551391878812	0.5042722608561258	0.15248009463455703	0.366115707608316	0.8342999999999999	0.8513333333333334	0.8016666666666666
