panel_class	gene	n_DM1	n_DM2	mean_DM1	mean_DM2	cohen_d	MW_p	missing	BH_FDR
cytok_chemo	CXCL10	85	25	0.5268532303416653	-0.5827433497460816	0.9922990683126759	1.4944412008827889e-05	False	2.2950347013557116e-05
effector	GZMB	85	25	0.5193050888513182	-0.5786489780393819	0.9835085673440117	1.151536243562675e-05	False	1.8339280915998157e-05
cytok_chemo	CXCL9	85	25	0.44888294097381365	-0.6220282464314909	0.9779011652088692	2.6559918195376676e-05	False	3.938194766900679e-05
inhibitory	BTLA	85	25	0.4750507817468166	-0.5764849496989057	0.9065801298318119	1.5291175196954348e-06	False	2.8587849281262477e-06
effector	NKG7	85	25	0.5233834671245466	-0.523778232120738	0.8906096504469971	0.0001208047362987242	False	0.00015278246061309236
effector	PRF1	85	25	0.5141071264893441	-0.5321148528974328	0.876355713741588	0.0002907828696162222	False	0.00035724752552850157
effector	TNF	85	25	0.44776036289334736	-0.5813787912722888	0.855117364292941	4.790175680415758e-05	False	6.436798570558675e-05
inhibitory	LAG3	85	25	0.5022567307021245	-0.44014804859193823	0.8093900599573662	0.0006682997841611058	False	0.000776672722133177
cytok_chemo	CXCL11	85	25	0.4854439207597111	-0.46800300650856674	0.7961119514458252	8.491800479035655e-05	False	0.00011065073351470702
treg_suppr	IL10	85	25	0.35061803803755975	-0.5788701635568808	0.7919883592891876	8.263334862337712e-06	False	1.3666284580020062e-05
stimulatory	CD80	85	25	0.3779577811184818	-0.4882928399485145	0.767038560326886	0.0010608279606730822	False	0.0012004105870774351
cytok_chemo	IFNG	85	25	0.5053034779946323	-0.44226909537414755	0.7496416615292218	4.273633248884222e-05	False	5.9279428936135985e-05
effector	IFNG	85	25	0.5053034779946323	-0.44226909537414755	0.7496416615292218	4.273633248884222e-05	False	5.9279428936135985e-05
inhibitory	VTCN1	85	25	0.06856841707949005	-0.5877092171635975	0.6987129950754218	0.00031115833838069837	False	0.00037166134862138975
stimulatory	ICOSLG	85	25	0.19723698480021312	-0.5048069028628033	0.6922163250047275	0.0020121805220185036	False	0.002218558011456299
stimulatory	TNFRSF4	85	25	0.47770871047959196	0.06125482555386583	0.393399758930876	0.07114430331253666	False	0.0746147571326604
inhibitory	IDO1	85	25	0.2822783215022196	0.13324232803757385	0.12117494258184941	0.6480388902517893	False	0.6480388902517893
stimulatory	CD27	85	25	0.22968249464252277	0.4957879554344406	-0.23803170200850624	0.42437478118872873	False	0.43447894264560327
inhibitory	IDO2	85	25	0.015736481534284526	0.8654577434612787	-0.726864138060648	0.011804619709520308	False	0.01268996618773433
inhibitory	C10orf54	0	0					True	
