sample	stage	decile	n_spots	mean_dist	mean_HLA_II_smooth
PTC-2	PTC	3	446	972.5839269817368	0.49286879341437206
PTC-2	PTC	4	454	1183.551666522323	0.47550837778447014
PTC-2	PTC	5	450	1421.1085293353997	0.4563063862899498
PTC-2	PTC	6	451	1717.5455372972328	0.3926381819257304
PTC-2	PTC	7	449	2209.5763489295655	0.3384447775540804
PTC-2	PTC	8	450	3034.7723930328725	0.3366844170544177
PTC-2	PTC	9	451	4305.978768004415	0.42081602938006624
PTC-2	PTC	-1	446	0.0	0.6955770515766558
PTC-3	PTC	0	426	390.65757531963845	0.5088980946330336
PTC-3	PTC	1	425	644.5851391608453	0.4706244211701318
PTC-3	PTC	2	425	850.3505378333359	0.40745576544026146
PTC-3	PTC	3	426	1046.9767664792573	0.36707281041778056
PTC-3	PTC	4	425	1241.3874054044593	0.35518715387827426
PTC-3	PTC	5	425	1451.5238759256713	0.3152039447239645
PTC-3	PTC	6	426	1682.032028999718	0.2921960367430108
PTC-3	PTC	7	425	1941.4467225894243	0.25260768195897143
PTC-3	PTC	8	425	2281.1094335506236	0.2602612674741184
PTC-3	PTC	9	426	3217.6343894610714	0.2848810316812233
PTC-3	PTC	-1	262	0.0	0.9085395199285411
PTC-4	PTC	0	329	267.00487544992495	0.224760647943939
PTC-4	PTC	1	346	388.52802203573754	0.2040917490666657
PTC-4	PTC	2	344	485.9548870571813	0.2259635754081168
PTC-4	PTC	3	340	545.0077211270773	0.19485696259551186
PTC-4	PTC	4	340	624.9271973953157	0.20595166772983822
PTC-4	PTC	5	332	709.5191404945003	0.19305154910133068
PTC-4	PTC	6	347	781.3808452575431	0.20870322505930203
PTC-4	PTC	7	337	888.0479727175652	0.18855331472540468
PTC-4	PTC	8	343	1012.0393442115062	0.172581213377574
PTC-4	PTC	9	340	1241.6711190740982	0.16947186316011
PTC-4	PTC	-1	1100	0.0	0.28670361004599476
LPTC-1	LPTC	0	140	323.09947224889567	0.6921348490340368
LPTC-1	LPTC	1	139	506.41846082138835	0.6542976331585031
LPTC-1	LPTC	2	136	649.7938116676729	0.6294294587239331
LPTC-1	LPTC	3	141	794.9871175930692	0.6003769268916289
LPTC-1	LPTC	4	139	959.2526946335207	0.5868828547012319
LPTC-1	LPTC	5	141	1154.237236519878	0.5913190028529358
LPTC-1	LPTC	6	139	1386.4339625039497	0.5834910126441389
LPTC-1	LPTC	7	139	1651.6832106221957	0.5769624661979058
LPTC-1	LPTC	8	139	2119.9039021134363	0.5676988659608279
LPTC-1	LPTC	9	140	3756.642943588735	0.6674663326456434
LPTC-1	LPTC	-1	127	0.0	0.8085201475088365
LPTC-2	LPTC	0	373	74.56785810239464	0.8705124177912497
LPTC-2	LPTC	1	374	121.95966396889101	0.8084928573024676
LPTC-2	LPTC	2	376	161.3710273055355	0.7446323058023944
LPTC-2	LPTC	3	373	198.80073729414298	0.648983094456475
LPTC-2	LPTC	4	375	240.35403364514923	0.6345095636213091
LPTC-2	LPTC	5	375	286.27541145076816	0.5872466473726696
LPTC-2	LPTC	6	374	339.5054210233923	0.5159459753426426
LPTC-2	LPTC	7	374	408.6454672672414	0.44549242279151335
LPTC-2	LPTC	8	374	518.4381513184748	0.3308532777561436
LPTC-2	LPTC	9	375	722.1623161627148	0.20273490086385937
LPTC-2	LPTC	-1	328	0.0	0.9439270221518307
LPTC-3	LPTC	0	267	61.051406986601144	0.6541006212139249
LPTC-3	LPTC	1	271	89.91004201146784	0.675994094294229
LPTC-3	LPTC	2	265	112.6766930457676	0.6842325452456683
LPTC-3	LPTC	3	273	128.5522404024523	0.6530247175649116
LPTC-3	LPTC	4	265	149.90154412161124	0.6554116778651125
LPTC-3	LPTC	5	274	168.32459829625643	0.6374302188475637
LPTC-3	LPTC	6	266	191.98013190967006	0.6413599515096436
LPTC-3	LPTC	7	271	216.13215191093434	0.6401065576539855
LPTC-3	LPTC	8	269	248.47535838028585	0.6203829866833847
LPTC-3	LPTC	9	270	305.82233928925007	0.5887461166083077
LPTC-3	LPTC	-1	645	0.0	0.6636108560355443
LPTC-4	LPTC	0	425	86.65056051776186	0.4376937624334354
LPTC-4	LPTC	1	424	140.19143180260136	0.3758376609875627
LPTC-4	LPTC	2	426	184.89394337254066	0.34814332353159294
LPTC-4	LPTC	3	422	229.8535220278309	0.29423208637335474
LPTC-4	LPTC	4	426	278.3417686780157	0.2650575618048042
LPTC-4	LPTC	5	426	335.02037647973134	0.2125560479616755
LPTC-4	LPTC	6	424	400.8773199788454	0.15329533928314096
LPTC-4	LPTC	7	425	481.99056008461923	0.1288152484595542
LPTC-4	LPTC	8	425	573.442092481976	0.149993719291874
LPTC-4	LPTC	9	425	697.9341398578706	0.1376148566275017
LPTC-4	LPTC	-1	459	0.0	0.5715854937883937
ATC-1	ATC	0	439	307.02117568134355	0.7206190523413941
ATC-1	ATC	1	438	494.12538546035603	0.6995086811445862
ATC-1	ATC	2	438	637.0350042596086	0.6632814726866422
ATC-1	ATC	3	438	769.5884482915956	0.6168972270796288
ATC-1	ATC	4	438	909.5492200127557	0.5942014492279319
ATC-1	ATC	5	438	1055.5774162911994	0.5859280160331352
ATC-1	ATC	6	438	1247.9511307300722	0.526132469097864
ATC-1	ATC	7	438	1556.9888576858332	0.4676757329933417
ATC-1	ATC	8	438	1985.2955811735674	0.42736341566899777
ATC-1	ATC	9	439	2627.739525595384	0.42576293474446364
ATC-1	ATC	-1	333	0.0	0.9676421998055889
ATC-2	ATC	0	220	296.82826238609914	0.7404699751351819
ATC-2	ATC	1	219	467.82073420577814	0.6660302448073117
ATC-2	ATC	2	219	589.7071481188251	0.6470826145786128
ATC-2	ATC	3	219	710.2070307371241	0.6273046162451421
ATC-2	ATC	4	219	832.8908072118105	0.6387159508622763
ATC-2	ATC	5	219	971.35155941425	0.6171907674311865
ATC-2	ATC	6	219	1118.430545341271	0.5979636319402146
ATC-2	ATC	7	219	1292.8175802126439	0.5911780023351652
ATC-2	ATC	8	219	1512.6916053355533	0.5291449103117715
ATC-2	ATC	9	220	1937.4271463272887	0.4118976883592027
ATC-2	ATC	-1	162	0.0	0.8806708587301364
ATC-3	ATC	0	149	320.2342643127831	0.3943613079034403
ATC-3	ATC	1	150	496.3948840126246	0.37764616255108585
ATC-3	ATC	2	151	635.1674465462645	0.3682448848838928
ATC-3	ATC	3	149	755.2400077019169	0.3691449566006422
ATC-3	ATC	4	150	877.1449636017903	0.330084924557714
ATC-3	ATC	5	150	1006.9598477360979	0.3146856515068069
ATC-3	ATC	6	149	1161.00894892336	0.2814031577600977
ATC-3	ATC	7	150	1347.8818186226704	0.29478574778637184
ATC-3	ATC	8	150	1620.6245668425133	0.1985787467572113
ATC-3	ATC	9	150	2434.065698592802	0.21397339801123608
ATC-3	ATC	-1	123	0.0	0.47288641484841676
ATC-4	ATC	0	231	350.07512602766457	1.0064190471038366
ATC-4	ATC	1	238	542.4900283674609	0.9714998517796224
ATC-4	ATC	2	234	685.0196001392993	0.9582583616237448
ATC-4	ATC	3	235	827.1614110682295	0.9171436108897225
ATC-4	ATC	4	234	984.209994653906	0.8863304147613922
ATC-4	ATC	5	232	1183.4078940516995	0.8086119874727258
ATC-4	ATC	6	237	1454.9784892347886	0.7231230606007264
ATC-4	ATC	7	234	1773.5318033489743	0.6609612827113253
ATC-4	ATC	8	233	2134.778996196747	0.6104165066125409
ATC-4	ATC	9	236	2695.142594079107	0.6562060072635574
ATC-4	ATC	-1	242	0.0	1.1464827853266255
