accession	title	query
S-EPMC9420875	Cell non-autonomous effect of hepatic growth differentiation factor 15 on the thyroid gland.	thyroid spatial transcriptomics
S-EPMC8410017	Thyroid hormone receptor β sumoylation is required for thyrotropin regulation and thyroid hormone production.	thyroid spatial transcriptomics
S-EPMC8372534	Metastasis to the thyroid gland: a single-institution 16-year experience.	thyroid spatial transcriptomics
E-MTAB-736	miRNA expression in Follicular Thyroid Adenomas and Carcinoma	thyroid spatial transcriptomics
S-CMO3334	[BROD] [cell line] [HCM-BROD-1181-C73] Thyroid Gland Papillary Carcinoma	thyroid spatial transcriptomics
S-EPMC6467094	Poorly differentiated adenocarcinoma of an unknown primary with a thyroid tumour and an aggressive course: thyroid or lung carcinoma?	thyroid spatial transcriptomics
S-EPMC9703926	Revisiting the Geographical Distribution of Thyroid Cancer Incidence in Fukushima Prefecture: Analysis of Data From the Second- and Third-round Thyroid Ultrasou	thyroid spatial transcriptomics
S-EPMC11588387	Ammonium perchlorate: serum dosimetry, neurotoxicity, and resilience of the neonatal rat thyroid system.	thyroid spatial transcriptomics
S-EPMC8091578	Three-dimensional microscopy and image fusion reconstruction analysis of the thyroid gland during morphogenesis.	thyroid spatial transcriptomics
S-EPMC10789882	Thyroid storm triggered by thyroid nodule fine needle aspiration biopsy: a case report.	thyroid spatial transcriptomics
S-CMO799	[CMP] [cell line] [SIDM02158] Thyroid Gland Anaplastic Carcinoma	thyroid spatial transcriptomics
S-EPMC7872292	Mercury in the human thyroid gland: Potential implications for thyroid cancer, autoimmune thyroiditis, and hypothyroidism.	thyroid spatial transcriptomics
S-CMO3454	[BROD] [cell line] [HCM-BROD-1105-C73] Thyroid Gland Papillary Carcinoma	thyroid spatial transcriptomics
S-EPMC6399002	Loss of Primary Cilia Results in the Development of Cancer in the Murine Thyroid Gland.	thyroid spatial transcriptomics
S-EPMC8625755	The Nutritional Supply of Iodine and Selenium Affects Thyroid Hormone Axis Related Endpoints in Mice.	thyroid spatial transcriptomics
S-EPMC8973611	Thyroid and endostyle development in cyclostomes provides new insights into the evolutionary history of vertebrates.	thyroid spatial transcriptomics
S-EPMC6198368	Maternal smoking and high BMI disrupt thyroid gland development.	thyroid spatial transcriptomics
S-BSST1925	4D-DIA proteomics and transcriptomics of thyroid cancer subtypes	thyroid spatial transcriptomics
E-GEOD-3467	Transcription profiling of micro-RNA genes in human papillary thyroid carcinoma	papillary thyroid spatial
S-CMO3334	[BROD] [cell line] [HCM-BROD-1181-C73] Thyroid Gland Papillary Carcinoma	papillary thyroid spatial
S-EPMC10102529	Thirty synchronous medullary and papillary thyroid carcinomas.	papillary thyroid spatial
S-CMO3454	[BROD] [cell line] [HCM-BROD-1105-C73] Thyroid Gland Papillary Carcinoma	papillary thyroid spatial
S-EPMC10005984	Papillary thyroid cancer in black thyroid: a case report and literature review.	papillary thyroid spatial
S-EPMC8457451	Machine learning methods for automated classification of tumors with papillary thyroid carcinoma-like nuclei: A quantitative analysis.	papillary thyroid spatial
S-CMO829	[CMP] [cell line] [SIDM00601] Thyroid Gland Papillary Carcinoma	papillary thyroid spatial
S-EPMC8476314	Proto-oncogene Pokemon in thyroid cancer: a potential promoter of tumorigenesis in papillary thyroid carcinoma.	papillary thyroid spatial
S-CMO5659	[PDMR] [cell line] [K24623-012-T-J1-PDC] Thyroid Gland Papillary Carcinoma	papillary thyroid spatial
S-EPMC11635566	A nomogram for individualized prediction for cervical lymph node metastasis of papillary thyroid carcinoma.	papillary thyroid spatial
S-EPMC5089556	RET/PTC Rearrangements Are Associated with Elevated Postoperative TSH Levels and Multifocal Lesions in Papillary Thyroid Cancer without Concomitant Thyroid Beni	papillary thyroid spatial
S-CMO4092	[PDMR] [organoid] [K02507-261-T-V1-organoid] Thyroid Gland Papillary Carcinoma	papillary thyroid spatial
S-EPMC5399477	In-depth characterization of the microRNA transcriptome in normal thyroid and papillary thyroid carcinoma.	papillary thyroid spatial
S-EPMC6899100	Association of <i>IRAK1</i> Gene Polymorphism rs3027898 With Papillary Cancer Restricted to the Thyroid Gland: A Pilot Study.	papillary thyroid spatial
S-EPMC7692469	Patient-Derived Papillary Thyroid Cancer Organoids for Radioactive Iodine Refractory Screening.	papillary thyroid spatial
S-EPMC4686556	Clinicopathological Significance of Minimal Extrathyroid Extension in Solitary Papillary Thyroid Carcinomas.	papillary thyroid spatial
S-EPMC7151036	Analysis of Let-7 Family miRNA in Plasma as Potential Predictive Biomarkers of Diagnosis for Papillary Thyroid Cancer.	papillary thyroid spatial
S-EPMC11885905	Tumor Cell Plasticity and Stromal Microenvironment Distinguish Papillary and Follicular Growth Patterns in a Mouse Model of BRAFV600E-Induced Thyroid Cancer.	papillary thyroid spatial
S-EPMC3412261	Glucagon like peptide-1 receptor expression in the human thyroid gland.	papillary thyroid spatial
S-EPMC5981264	Alterations of Oxidative Phosphorylation Complexes in Papillary Thyroid Carcinoma.	papillary thyroid spatial
S-EPMC9360027	Clinical assessment of T2 papillary thyroid carcinoma: a retrospective study conducted at a single tertiary institution.	papillary thyroid spatial
S-EPMC5706659	Clonality analysis of multifocal papillary thyroid carcinoma by using genetic profiles.	papillary thyroid spatial
S-EPMC8276635	Radiogenomic Analysis of Papillary Thyroid Carcinoma for Prediction of Cervical Lymph Node Metastasis: A Preliminary Study.	papillary thyroid spatial
S-CMO5696	[PDMR] [PDX] [K24623-012-T] Thyroid Gland Papillary Carcinoma	papillary thyroid spatial
S-EPMC11399004	Correlation between body mass index and lymph node metastasis in papillary thyroid carcinoma: a retrospective clinical study.	papillary thyroid spatial
S-EPMC11286200	Prediagnostic serum concentrations of per- and polyfluoroalkyl substances and risk of papillary thyroid cancer in the Finnish Maternity Cohort.	papillary thyroid spatial
E-GEOD-3678	Transcription profiling of human papillary thyroid carcinoma and paired normal tissues	papillary thyroid spatial
S-EPMC6399002	Loss of Primary Cilia Results in the Development of Cancer in the Murine Thyroid Gland.	papillary thyroid spatial
S-EPMC5397626	Anaplastic Spindle Cell Squamous Carcinoma Arising from Tall Cell Variant Papillary Carcinoma of the Thyroid Gland: A Case Report and Review of the Literature.	papillary thyroid spatial
E-MTAB-12476	Whole transcriptome sequencing of papillary thyroid cancer of Indian origin	papillary thyroid spatial
E-MTAB-16420	Spatial transcriptomic profiling of healthy brain and RCAS-derived glioblastoma in a mouse model using 10x Genomics Visium HD	PTC Visium
E-MTAB-11114	10X Visium spatial RNA-seq from adult mouse brain sections paired to single-nucleus RNA-seq	PTC Visium
S-BSST2361	SpatialBench: Comparative benchmarking of high-resolution spatial transcriptomics platforms using immune reference tissue	PTC Visium
E-MTAB-16421	Spatial transcriptomic profiling of primary and recurrent RCAS-derived glioblastoma in a mouse model using 10x Genomics Visium v1	PTC Visium
E-MTAB-15471	spatial transcriptomics (10x Visium) of first and second trimester human reproductive tract	PTC Visium
E-MTAB-15756	Spatial transcriptomics and proteomics of post-transplant HCC recurrence using 10x Visium CytAssist	PTC Visium
E-MTAB-12700	Spatial transcriptomics of adipocyte-specific ATGL-KO mice 24 h after cardiac ischemia	PTC Visium
S-BSST2222	Molecular characterization of the effect of glucagon-like peptide-1 receptor agonist semaglutide in the nephrotoxic serum nephritis mouse model.	PTC Visium
S-EPMC11482879	Vispro improves imaging analysis for Visium spatial transcriptomics.	PTC Visium
S-EPMC11374018	SpatialOne: end-to-end analysis of visium data at scale.	PTC Visium
E-MTAB-13132	A spatial map of human liver cirrhosis reveals the patho-architecture and gene signatures associated with cell state transitions during liver disease - Spatial 	PTC Visium
E-MTAB-10972	Lineage recording in human cerebral organoids (Visium)	PTC Visium
E-MTAB-15010	Basal-like breast cancer stimulates MUC1 to support an epithelial/mesenchymal hybrid state and survive radiotherapy	PTC Visium
E-MTAB-14960	A spatial map of human liver cirrhosis reveals the patho-architecture and gene signatures associated with cell state transitions during liver disease - Spatial 	PTC Visium
E-MTAB-10386	The human gastrointestinal tract through space and time- Fetal Spatial transcriptomics	PTC Visium
E-MTAB-14560	Spatially resolved transcriptomic profiling: an experimental comparison of GeoMx Digital Spatial Profiling and Visium CytAssist spatial transcriptomics in three	PTC Visium
S-EPMC11608264	Microarray integrated spatial transcriptomics (MIST) for affordable and robust digital pathology.	PTC Visium
S-BSST1845	Muscle Spatial Transcriptomic Reveals Heterogeneous Profiles in Juvenile Dermatomyositis and Persistence of Abnormal Signature After Remission.	PTC Visium
E-MTAB-14082	Spatial transcriptomics of 8 whole opisthosomas samples from adult female L. sclopetarius spiders	PTC Visium
S-BIAD986	spatialLIBD - Transcriptome-scale spatial gene expression in the human dorsolateral prefrontal cortex	PTC Visium
E-MTAB-12975	Spatially resolved multiomics of human cardiac niches - Visium	PTC Visium
S-EPMC12462499	FUSION: a web-based application for in-depth exploration of multi-omics data with brightfield histology.	PTC Visium
E-MTAB-13461	A cell atlas of the human outflow tract of the heart and its adult derivatives - 10X visium samples	PTC Visium
E-MTAB-13687	Tonsil Atlas FASTQ files	PTC Visium
S-BIAD1900	Systematic Benchmarking of High-Throughput Subcellular Spatial Transcriptomics Platforms	PTC Visium
E-MTAB-11932	A robust experimental and computational framework analysis at multiple resolutions, modalities and coverages	PTC Visium
E-MTAB-11665	Spatial transcriptomics of the axolotl forebrain	PTC Visium
S-EPMC12298044	Comparing Xenium 5K and Visium HD data from identical tissue slide at a pathological perspective.	PTC Visium
S-EPMC11419951	Bin2cell reconstructs cells from high resolution Visium HD data.	PTC Visium
S-EPMC11925495	ENACT: End-to-End Analysis of Visium High Definition (HD) Data.	PTC Visium
S-CMO799	[CMP] [cell line] [SIDM02158] Thyroid Gland Anaplastic Carcinoma	anaplastic thyroid spatial
S-CMO721	[CMP] [cell line] [SIDM01639] Thyroid Gland Anaplastic Carcinoma	anaplastic thyroid spatial
S-EPMC7822790	The mutation profile of differentiated thyroid cancer coexisting with undifferentiated anaplastic cancer resembles that of anaplastic thyroid cancer but not tha	anaplastic thyroid spatial
S-CMO1236	[CMP] [cell line] [SIDM02112] Thyroid Gland Anaplastic Carcinoma, Squamous Cell Carcinoma Pattern	anaplastic thyroid spatial
S-CMO202	[CMP] [cell line] [SIDM02111] Thyroid Gland Anaplastic Carcinoma	anaplastic thyroid spatial
E-MTAB-12277	ChIP-seq analysis against E2F7 in CAL62 anaplastic thyroid cancer cells	anaplastic thyroid spatial
S-EPMC11561200	Development and validation of survival nomograms for patients with anaplastic thyroid carcinoma: a SEER program-based study.	anaplastic thyroid spatial
S-EPMC5796990	A dual mechanism of activation of the Sonic Hedgehog pathway in anaplastic thyroid cancer: crosstalk with RAS-BRAF-MEK pathway and ligand secretion by tumor str	anaplastic thyroid spatial
E-MTAB-11055	RNA-seq of anaplastic thyroid carcinoma cell line (8505c) after overexpression of OVOL2	anaplastic thyroid spatial
E-MTAB-12479	Whole transcriptome sequencing of anaplastic thyroid cancer of Indian origin	anaplastic thyroid spatial
S-CMO1072	[CMP] [cell line] [SIDM00619] Thyroid Gland Anaplastic Carcinoma	anaplastic thyroid spatial
S-EPMC5925145	CRISPR/Cas9 Genome Editing of Epidermal Growth Factor Receptor Sufficiently Abolished Oncogenicity in Anaplastic Thyroid Cancer.	anaplastic thyroid spatial
E-MTAB-13697	Whole exome sequencing of anaplastic thyroid cancer of Indian origin	anaplastic thyroid spatial
S-EPMC5397626	Anaplastic Spindle Cell Squamous Carcinoma Arising from Tall Cell Variant Papillary Carcinoma of the Thyroid Gland: A Case Report and Review of the Literature.	anaplastic thyroid spatial
S-CMO1914	[CMP] [cell line] [SIDM00496] Thyroid Gland Anaplastic Carcinoma	anaplastic thyroid spatial
S-CMO1926	[CMP] [cell line] [SIDM00491] Thyroid Gland Anaplastic Carcinoma	anaplastic thyroid spatial
S-EPMC12268892	Theaflavin inhibits the malignant phenotype of human anaplastic thyroid cancer 8305C cells by regulating lipid metabolism via PI3K/AKT signaling.	anaplastic thyroid spatial
S-EPMC8197631	Efficacy of adavosertib therapy against anaplastic thyroid cancer.	anaplastic thyroid spatial
S-EPMC7450603	Real-time, high-resolution imaging of tumor cells in genetically engineered and orthotopic models of thyroid cancer.	anaplastic thyroid spatial
E-GEOD-55933	p53 constrains progression to anaplastic thyroid carcinoma in a Braf-mutant mouse model of papillary thyroid cancer.	anaplastic thyroid spatial
S-EPMC10732305	Gestational Exposure to Perchlorate in the Rat: Thyroid Hormones in Fetal Thyroid Gland, Serum, and Brain.	anaplastic thyroid spatial
S-CMO1335	[CMP] [cell line] [SIDM00931] Thyroid Gland Anaplastic Carcinoma	anaplastic thyroid spatial
S-CMO829	[CMP] [cell line] [SIDM00601] Thyroid Gland Papillary Carcinoma	anaplastic thyroid spatial
S-EPMC4032243	MiR-20a is upregulated in anaplastic thyroid cancer and targets LIMK1.	anaplastic thyroid spatial
S-EPMC5620230	Effects of roniciclib in preclinical models of anaplastic thyroid cancer.	anaplastic thyroid spatial
E-GEOD-53072	Gene expression profilling of anaplastic thyroid carcinomas (ATC) and normal thyroid tissues	anaplastic thyroid spatial
E-GEOD-65144	Gene array analysis of anaplastic thyroid carcinoma tissue versus matched and unmatched normal thyroid tissue	anaplastic thyroid spatial
S-EPMC8437598	The Knockdown of Nrf2 Suppressed Tumor Growth and Increased the Sensitivity to Lenvatinib in Anaplastic Thyroid Cancer.	anaplastic thyroid spatial
S-EPMC6556325	Treatment Outcomes in Anaplastic Thyroid Cancer.	anaplastic thyroid spatial
S-EPMC10126990	Expanding the spectrum of thyroid carcinoma with somatic DICER1 mutation: a survey of 829 thyroid carcinomas using MSK-IMPACT next-generation sequencing platfor	anaplastic thyroid spatial
