pmid	year	journal	title	authors	accessions
40157360	2025		A spatially resolved transcriptome landscape during thyroid cancer progression.	Liao T, Zeng Y, Xu W, Shi X, Shen C, Du Y, Zhang M, Zhang Y,	
38426403	2024		Spatial transcriptomics reveals prognosis-associated cellular heterogeneity in the papillary thyroid carcinoma microenvironment.	Yan K, Liu QZ, Huang RR, Jiang YH, Bian ZH, Li SJ, Li L, She	
38816233	2024		Interactions between LAMP3+ dendritic cells and T-cell subpopulations promote immune evasion in papillary thyroid carcinoma.	Wang Z, Ji X, Zhang Y, Yang F, Su H, Zhang H, Li Z, Zhang W,	
41361062	2025		Long non-coding RNAs in cancer glycolysis and metabolism: mechanisms and translational opportunities.	Ren Y, Zhang Z, Lei X, Shi L.	
39540244	2025		Spatial and Single-Cell Transcriptomics Unraveled Spatial Evolution of Papillary Thyroid Cancer.	Zheng G, Chen S, Ma W, Wang Q, Sun L, Zhang C, Chen G, Zhang	
37868034	2023		Molecular signature incorporating the immune microenvironment enhances thyroid cancer outcome prediction.	Xu GJ, Loberg MA, Gallant JN, Sheng Q, Chen SC, Lehmann BD, 	
PMC13006413	2026		Proteogenomic characterization delineates clinically relevant subtypes of advanced differentiated thyroid cancer	Zhang T, Cui W, Tang H, Shen C, Zhang Y, Sun Y, Zhou Y, Shen	
40813851	2025		Multimodal spatial transcriptomic characterization of mouse kidney injury and repair.	Xuanyuan Q, Wu H, Sundaramoorthi H, Isnard P, Chen C, Rahman	
PPR899649	2024		A developmental cell atlas of the human thyroid gland	Massalha H, Trinh MK, Armingol E, Tuck L, Predeus A, Mazin P	
41472859	2025		Single-cell spatial transcriptomics reveals potential molecular mechanisms of &lt;i&gt;Abelmoschus manihot&lt;/i&gt; (L.) medic in treating 	Wu C, Tang H, Yu Y, Song Y, Ge H, Shen Y, Wu J, Gu HF.	
38229431	2024		Identification of invasive subpopulations using spatial transcriptome analysis in thyroid follicular tumors.	Suzuki A, Nojima S, Tahara S, Motooka D, Kohara M, Okuzaki D	
42006197	2026		The Diversity of Transplant Glomerulitis and its Relationship to Alloantibody.	Nankivell BJ, Viswanathan S, Ding X, Li JSY.	
41296555	2026		TE-SCALE: a comprehensive database for exploring transposable element expression across human cancers at single-cell resolution.	Meng X, Nie Z, Wang Q, Hu Y, Deng Y, Ai N, Huang Z, Li Y, Yu	
41407855	2026		Spatiotemporal cellular map of the developing human reproductive tract.	Lorenzi V, Icoresi-Mazzeo C, Cassie C, Yayon N, Ruiz-Morales	
41637628	2026		ATGL From iWAT and BAT Is Crucial for Cardiac Remodeling and Metabolism After Myocardial Ischemia/Reperfusion.	Zabri H, Ucar A, Wang L, Gorressen S, Kretschmer R, Gorski D	
41667485	2026		Seq-Scope-eXpanded: spatial omics beyond optical resolution.	Anacleto A, Cheng W, Feng Q, Park A, Cho CS, Hwang Y, Kim Y,	
39575251	2024		Integrated analysis of single-cell, spatial and bulk RNA-sequencing identifies a cell-death signature for predicting the outcomes of head an	Pan Y, Fei L, Wang S, Chen H, Jiang C, Li H, Wang C, Yang Y,	
PPR933398	2024		Spatiotemporal map of the developing human reproductive tract at single-cell resolution	Lorenzi V, Mazzeo CI, Yayon N, Ruiz-Morales ER, Sancho-Serra	
41214366	2025		TMPRSS11B promotes an acidified microenvironment and immune suppression in squamous lung cancer.	Sunil HS, Clemenceau JR, Grichuk A, Barnfather I, Nakkireddy	
PPR774149	2023		Encompassing view of spatial and single-cell RNA-seq renews the role of the microvasculature in human atherosclerosis	Bleckwehl T, Maryam S, Babler A, Nyberg M, Bosteen M, Halder	
39544521	2024		Spatially resolved transcriptomic signatures of hippocampal subregions and <i>Arc</i>-expressing ensembles in active place avoidance memory.	Vingan I, Phatarpekar S, Tung VSK, Hernández AI, Evgrafov OV	
38745232	2024		Single-cell and spatial transcriptomic investigation reveals the spatiotemporal specificity of the beta-defensin gene family during mouse sp	Zhang G, Sun Y, Guan M, Liu M, Sun S.	
37438528	2023		Spatially resolved multiomics of human cardiac niches.	Kanemaru K, Cranley J, Muraro D, Miranda AMA, Ho SY, Wilbrey	
PPR611400	2023		Spatially resolved multiomics of human cardiac niches	Kanemaru K, Cranley J, Muraro D, Miranda AM, Pett JP, Litvin	
39513273	2024		IL1RAP Blockade With a Monoclonal Antibody Reduces Cardiac Inflammation and Preserves Heart Function in Viral and Autoimmune Myocarditis.	Lema DA, Jakobsson G, Daoud A, Elias D, Talor MV, Rattik S, 	
41983103	2026		Spatial omics for profiling the dynamic tumor microenvironment.	Nguyen H, Eapen MM, Nguyen Q, Sharma A.	
40362187	2025		Spatial Omics in Clinical Research: A Comprehensive Review of Technologies and Guidelines for Applications.	Lee Y, Lee M, Shin Y, Kim K, Kim T.	
41266321	2025		Systematic benchmarking of imaging spatial transcriptomics platforms in FFPE tissues.	Wang H, Huang R, Nelson J, Gao C, Tran M, Yeaton A, Krishna 	
41129052	2025		Fibroblasts in the tumor microenvironment: heterogeneity and dynamic interactions in tumor progression revealed by spatial transcriptomics.	Ji X, Wu X, Sun W, Zhang H.	
41953641	2026		Single-Cell and Spatial Omics: Methods and Applications.	Cen X, Huang X, Deng E, Gong X, Tan N, Ye J, Wang Y, Eils R,	
40698867	2025		Path-MGCN: a pathway activity-based multi-view graph convolutional network for determining spatial domains.	Zhou Q, Li C, Chen C, Gu S, Sun W, Zhang Z, Cai Y, Huang Y, 	
41977488	2026		Mesenchymal Tissue-Driven Gene Programs Identify EMP3 as a Key Biomarker of Aggressiveness in Undifferentiated Sarcomas.	Lee EY, Cho A, Park SY, Kim JH, Kang HG, Park JW, Lim JH, Kw	
41571939	2026		Translating spatial transcriptomic signatures in adenosquamous carcinoma into bulk prognostic biomarkers in lung adenocarcinoma: a bottom-up	Hatakeyama K, Kawata T, Muramatsu K, Oishi T, Nagashima T, S	
PMC13041854	2026		A single-cell and spatial atlas of prostate cancer reveals the combinatorial nature of gene modules underlying lineage plasticity and metast		
38565973	2025		The covariance environment defines cellular niches for spatial inference.	Haviv D, Remšík J, Gatie M, Snopkowski C, Takizawa M, Pereir	
41647441	2026		Spatial proteomics in precision medicine: technologies, bioinformatics, and translational applications.	Li Y, Zhang Y, Zhang Y, Wang Q, Ji B, Yang H, Li X.	
41843154	2026		Association of CCL21&lt;sup&gt;+&lt;/sup&gt; CAFs with B-cell recruitment and TLS maturation in penile squamous cell carcinoma.	Li X, Chen D, Guo Y, Huang G, Cai Z, Xue T, Chen Z, Han H, L	
41402579	2025		Quantitative profiling of intratumor immune heterogeneity identifies loss of immune diversity as a hallmark of cancer progression.	Lu Q, Luo J, Tung CH, Wang X, Zhao Z.	
40841363	2025		Finding spatially variable ligand-receptor interactions with functional support from downstream genes.	Li S, Wang R, Liu S, Li SC.	
41219991	2025		Tertiary lymphoid structures in cancer: spatiotemporal heterogeneity, immune orchestration, and translational opportunities​​.	Deng S, Chen Y, Song B, Wang H, Huang S, Wu K, Chu Q.	
39824527	2025		Advances in the understanding and therapeutic manipulation of cancer immune responsiveness: a Society for Immunotherapy of Cancer (SITC) rev	Cesano A, Augustin R, Barrea L, Bedognetti D, Bruno TC, Cart	
38483255	2024		Deep learning in spatially resolved transcriptfomics: a comprehensive technical view	Zahedi R, Ghamsari R, Argha A, Macphillamy C, Beheshti A, Al	
40634824	2025		Comprehensive molecular characterization of craniopharyngiomas using whole transcriptome and spatial transcriptomics approaches.	Kert Š, Matjašič A, Pižem J, Mlakar J, Bošnjak M, Jerala M, 	
41693707	2025		Tertiary lymphoid structures in renal cell carcinoma: from heterogeneity dissection to translational precision immunotherapy.	Li Z, Ruan S, Yu Y, Xiang H, Mi W.	
41275706	2026		Serine/threonine kinase 32 family proteins: The potential multifaceted regulators in cancer.	Liu L, Feng Y, Liu Y, Cheng L, Cheng P.	
40955668	2025		Dissecting the mechanisms of MASLD fibrosis in the era of single-cell and spatial omics.	Colella F, Henderson NC, Ramachandran P.	
40199901	2025		Spatially resolved atlas of breast cancer uncovers intercellular machinery of venular niche governing lymphocyte extravasation.	Wang X, Wang Z, Liao Q, Yuan P, Mei J, Zhang Y, Wu C, Kang X	
41625480	2026		The Spatiotemporal Heterogeneity of Tumor-Associated Stromal Cells: Reprogramming Plasticity to Unlock Precision Cancer Immunotherapy.	Lv Y, Duan T, Song J, Liu S, Zhou Z, Ba Y, Weng S, Zuo A, Xu	
41810321	2026		Role of MeCP2 in Shaping the Histopathological Heterogeneity of Ampullary Carcinoma.	Ohno T, Kitazawa R, Haraguchi R, Taniwaki M, Takaoka Y, Hira	
41114794	2026		Spatial transcriptomic analysis of foveolar-type gastric adenoma with raspberry-like appearance.	Kitazawa S, Takeshita E, Tomida H, Miyake T, Ikeda Y, Bekku 	
41369553	2026		Microglia Display Heterogeneous Initial Responses to Disseminated Tumor Cells.	Tsuji T, Hirose H, Sugiyama D, Shindo M, Hartantyo RY, Saito	
41184554	2026		STORIES: learning cell fate landscapes from spatial transcriptomics using optimal transport.	Huizing GJ, Samaran J, Capocefalo D, Audit A, Peyré G, Canti	
37545501	2023		Application of spatial transcriptomics analysis using the Visium system for the mouse nasal cavity after intranasal vaccination.	Toyama S, Honda T, Iwabuchi S, Hashimoto S, Yamaji K, Tokuna	
41782022	2026		Reshaping the colorectal cancer immune microenvironment: insights from single-cell and spatial omics.	Zhang S, Fu Q, Yuan X, Wang S, Liu C, Zhang C, Liu B, Gong Y	
39003267	2024		Unraveling the molecular architecture of autoimmune thyroid diseases at spatial resolution.	Martínez-Hernández R, Sánchez de la Blanca N, Sacristán-Góme	
38785566	2024		Spatial Multi-Omics in Alzheimer's Disease: A Multi-Dimensional Approach to Understanding Pathology and Progression.	Ma Y, Shi W, Dong Y, Sun Y, Jin Q.	
PPR887274	2024		STORIES: learning cell fate landscapes from spatial transcriptomics	Huizing G, Samaran J, Capocefalo D, Audit A, Peyré G, Cantin	
38614865	2024		Spatial and single-cell colocalisation analysis reveals MDK-mediated immunosuppressive environment with regulatory T cells in colorectal car	Hashimoto M, Kojima Y, Sakamoto T, Ozato Y, Nakano Y, Abe T,	
39592224	2024		Tau Accumulation Induces Microglial State Alterations in Alzheimer's Disease Model Mice.	Nagata K, Hashimoto S, Joho D, Fujioka R, Matsuba Y, Sekiguc	
39330331	2024		Direct Cardiac Reprogramming in the Age of Computational Biology.	Ambroise R, Takasugi P, Liu J, Qian L.	
39803402	2024		Single-cell transcriptomics in thyroid eye disease.	Ahsanuddin S, Wu AY.	
35760847	2022		TAS-Seq is a robust and sensitive amplification method for bead-based scRNA-seq.	Shichino S, Ueha S, Hashimoto S, Ogawa T, Aoki H, Wu B, Chen	
36592512	2023		Non-coding RNAs in immunoregulation and autoimmunity: Technological advances and critical limitations.	Kumar D, Sahoo SS, Chauss D, Kazemian M, Afzali B.	
41493844	2026		Abstracts of the 84&lt;sup&gt;th&lt;/sup&gt; Annual Meeting of the Japanese Cancer Association.		
32386555	2020		Tools and Concepts for Interrogating and Defining Cellular Identity.	McKinley KL, Castillo-Azofeifa D, Klein OD.	
PMC11696521	2025		Abstracts		
PMC10902613	2024		Abstracts		
36475970	2022		WFITN2022_Abstract_SY_Oral_ePoster.	Sugimori Ms M.	
33590571	2021		Abstracts of the 79th Annual Meeting of the Japanese Cancer Association; 2020 Oct 1-3; Hiroshima, Japan as Cancer Science, Supplement 1, Vol		
PMC11188014	2023		Abstracts of the Annual Meeting of the ”Iuliu Haţieganu” University of Medicine and Pharmacy : 4th – 8th December 2023, Cluj-Napoca	Sevastre-Berghian A, Ielciu I, Bab T, Olah N, Toma V, Sevast	
36456694	2022		ACNP 61<sup>st</sup> Annual Meeting: Poster Abstracts P271-P540.		
41098393	2025		Pathogenesis of thymoma-associated myasthenia gravis: a narrative review.	Okuno T, Koizumi N, Yasumizu Y.	
39695834	2025		Application of Single-Cell Genomics to Animal Models of Periodontitis and Peri-Implantitis.	Hasuike A, Easter QT, Clark D, Byrd KM.	
41552720	2025		Emerging technologies and current challenges in intratumoral microbiota research.	Wang Z, Zhang T, Liu Y.	
40837072	2025		Experimental analysis of bone marrow adipose tissue and bone marrow adipocytes: An update from the bone marrow adiposity society (BMAS).	Tencerova M, Palmisano B, Lucas S, Attané C, Ivaska KK, Lois	
31841397	2020		Mice lacking uterine enhancer of zeste homolog 2 have transcriptomic changes associated with uterine epithelial proliferation.	Mesa AM, Mao J, Nanjappa MK, Medrano TI, Tevosian S, Yu F, K	
40498965	2025		EACR 2025 Congress: Innovative Cancer Science, 16-19 June 2025.		
PMC11925803	2025		Abstract		
39374085	2024		Special Issue: Abstracts from HIVR4P 2024, the 5th HIV Research for Prevention Conference, 6 - 10 October, Lima, Peru & Virtual.		
PMC11103445	2024		Abstracts of the ECTS 2024 Congress		
36066811	2022		The landscape of aging.	Cai Y, Song W, Li J, Jing Y, Liang C, Zhang L, Zhang X, Zhan	
41147645	2025		ISEV2025 Abstract Book.		
PMC11627200	2024		Abstracts from the 57th European Society of Human Genetics (ESHG) Conference: Hybrid Posters		
35972647	2022		34<sup>th</sup> European Congress of Pathology - Abstracts.		
40076457	2025		Spatial Transcriptomic Analysis of Surgical Resection Specimens of Primary Head and Neck Squamous Cell Carcinoma Treated with Afatinib in a 	Beyaert S, Loriot A, Machiels JP, Schmitz S.	
41876493	2026		Vascular invasion-associated gene expression is detectable in pre-surgical biopsies of stage I lung adenocarcinoma.	Steiner D, Sultan L, Sullivan T, Liu H, Xiao X, LeClerc A, M	
41815540	2026		Molecular remodeling of cancer-associated fibroblasts in breast cancer patients receiving anti-PD-1 immunotherapy.	Do KV, Tran AV, Pham AD, Mac TT, Pham TL, Do HN.	
PMC12940614	2026		Identification of a Tertiary Lymphoid Structure Signature for Predicting Tumor Outcomes Through Transcriptomics Analysis	Zhou M, Meng F, Wu F, Zhou C.	
41564380	2026		Genome-wide CRISPR screen identifies ACSL3 as a regulator of lipotoxicity and progression of MASLD.	Myojin Y, Kodama T, Takahashi R, Nagasawa H, Kondo Y, Yusa K	
39592394	2025		Visium spatial transcriptomics and proteomics identifies novel hepatic cell populations and transcriptomic signatures of alcohol-associated 	Gripshover TC, Treves RS, Rouchka EC, Chariker JH, Zheng S, 	
38280140	2024		Spatial Transcriptomics in a Case of Follicular Thyroid Carcinoma Reveals Clone-Specific Dysregulation of Genes Regulating Extracellular Mat	Condello V, Paulsson JO, Zedenius J, Näsman A, Juhlin CC.	
39167619	2024		Single-nucleus and spatial transcriptome reveal adrenal homeostasis in normal and tumoural adrenal glands.	Altieri B, Secener AK, Sai S, Fischer C, Sbiera S, Arampatzi	
PPR1110629	2025		Genetic Ablation and Multi-Omics Profiling Reveal CEP55 as a Key Driver of Tumorigenesis in Diverse Cancer Models	Rashidieh B, Yang Y, Bain AL, Theron P, Vosloo C, Ahangar P,	
41138165	2025		Clinical and translational study of ivosidenib plus nivolumab in advanced solid tumors harboring IDH1 mutations.	Nguyen MK, Jelinek M, Singh A, Isett B, Myers ES, Mullett SJ	
40096920	2025		Kidney deletions of Cyp27b1 fail to reduce serum 1,25(OH)&lt;sub&gt;2&lt;/sub&gt;D&lt;sub&gt;3&lt;/sub&gt;.	Lee SM, Cichanski SR, Pintozzi NG, Kaufmann M, Jones G, Meye	
41234894	2025		The role of cancer stem cells in the progression of colorectal cancer and the tumor microenvironment: new perspectives from single-cell RNA 	Wu Y, Liu X, Liu W, Jiang Q, Li Y, Li H, Hao L.	
PMC11815007	2025		MULTI-OMICS PROFILING OF HUMAN HIPPOCAMPUS NEUROGENIC NICHE TO DECIPHER THE NEUROBIOLOGY OF MAJOR DEPRESSION		
40350207	2025		Spatial transcriptomics highlights B cells as key contributors to a complete and durable response to chemo-immunotherapy in a patient with r	Porciello N, Gallina F, Frisullo G, Fusco F, D'Ambrosio L, B	
PMC11815258	2025		EFFECTS OF NEUROMODULATION ON LOCAL PREFRONTAL CIRCUITS IN MOUSE MODELS FOR PSYCHIATRIC DISORDERS		
41133215	2025		Spatial metabolomics and transcriptomics reveal cell type-specific dynamics in the placenta of patients with late-onset preeclampsia.	Wei X, Li Q, Qin C, Zeng W, Liu Y, Lu J, He J, Chen C, Zhang	
39614076	2024		Granzyme K<sup>+</sup>CD8<sup>+</sup> T cells interact with fibroblasts to promote neutrophilic inflammation in nasal polyps.	Guo CL, Wang CS, Wang ZC, Liu FF, Liu L, Yang Y, Li X, Guo B	
40437094	2025		Cross-tissue multicellular coordination and its rewiring in cancer.	Shi Q, Chen Y, Li Y, Qin S, Yang Y, Gao Y, Zhu L, Wang D, Zh	
41626563	2026		CXCL8/SDC1 axis mediates tumor stem cell interactions to drive remote transfer in thyroid cancer.	Wang W, Zhou J, Tao B, Kong N, Shao J.	
39113226	2024		Neutrophils Recruited by NKX2-1 Suppression via Activation of CXCLs/CXCR2 Axis Promote Lung Adenocarcinoma Progression.	La'ah AS, Tsai PH, Yarmishyn AA, Ching LJ, Chen CY, Chien Y,	
PMC12398756	2025		32 IDENTIFYING THE MOLECULAR SIGNATURE OF INFILTRATING EDGE CELLS IN GLIOBLASTOMA AS DRIVERS OF TUMOUR INVASION AND RECURRENCE		
PMC12398713	2025		30 RADIOTHERAPY APPROACHES AND CLINICAL OUTCOMES IN BRAIN METASTASES IN DIFFERENTIATED THYROID CANCER		
41615289	2026		SGCRNA: spectral clustering-guided co-expression network analysis without scale-free constraints for multi-omic data.	Osone T, Takao T, Otake S, Takarada T.	
41006208	2025		Spatially-restricted inflammation-induced senescent-like glia in multiple sclerosis and patient-derived organoids.	Fagiani F, Pedrini E, Martire MS, Gastoldi G, Vanden Bulcke 	
PMC12398752	2025		29 SNAT2 AS A NOVEL TARGETABLE VULNERABILITY IN RECURRENT GLIOBLASTOMA		
41320635	2026		Identification of cancer-associated fibroblasts and analysis of the association of origin with endothelial-to-mesenchymal transition in hepa	Yin Z, Wang Q, Xu Z, Guo K, Wang L.	
41736854	2026		Spatial transcriptomics reveals the molecular signatures of prodromal and advanced α-synucleinopathy.	Lin L, Jensen NM, Delaidelli A, Ferreira SA, Yarmahmoudi F, 	
41355756	2026		Modifying Glucose Metabolism Reverses Memory Defects of Alzheimer's Disease Model at Late Stages.	Liu F, Tang YL, Zhang ZB, Tan YH, Lin SH, Wang NY, Li JN, Pa	
41608657	2026		Breast cancer stem cell activity driven by <i>ME18D</i> gene expression in the tumor microenvironment.	Guo DY, Liu ZY, Yi QC.	
41548005	2026		Association of copy number alterations with the immune transcriptomic landscape in cancer.	Loipfinger S, Bhattacharya A, Urzúa-Traslaviña CG, van Vugt 	
41761123	2026		Spatial atlas of gastric cancer reveals macrophage-driven stromal activation via ICAM1⁺ smooth muscle cells.	Cheng K, Xu J, Yang J, Zhang Z.	
40758889	2025		A recurrent de novo damaging variant in &lt;i&gt;EMP2&lt;/i&gt; causes progressive symmetric erythrokeratoderma.	Jiang X, Mortlock RD, Pironon N, Zhou J, Hu R, Liu W, Acosta	
