accession	n_samples	platform	publication_date	entry_type	title	summary	suppfile
GSE305267	368	24676	2025/08/12	GSE	Microbial signals in primary and metastatic brain tumors	Gliomas and brain metastases (BrM) are associated with poor prognosis, necessitating a deeper understanding of brain tumor biology and the development of effective therapeutic strategies. While our group and others have demonstrated microbial presence in various tumors, recent controversies regarding cancer-type-specific intra-tumoral microbiota emphasize the importance of rigo	TXT
GSE305978	1	33484	2025/08/22	GSE	Thyroid Hormone Promotes Fetal Neurogenesis [CosMx]	Maternal low thyroxine (T4) serum levels during the first trimester of pregnancy correlate with cerebral cortex volume and mental development of the progeny, but why neural cells during early fetal brain development are vulnerable to maternal T4 levels remains unknown. In this study, using iPSCs obtained from a boy with a loss-of-function mutation in MCT8—a transporter previous	CSV, RDS, ZIP
GSE308145	1	24676	2025/10/03	GSE	Systematic benchmarking of imaging spatial transcriptomics platforms in FFPE tissues - scRNA-seq Data	Emerging imaging spatial transcriptomics (iST) platforms and coupled analytical methods can recover cell-to-cell interactions, groups of spatially covarying genes, and gene signatures associated with pathological features, and are thus particularly well-suited for applications in formalin fixed paraffin embedded (FFPE) tissues. Here, we benchmark the performance of three commer	CSV, MTX, TSV
GSE317276	9	24676	2026/02/01	GSE	Integrated multi-platform metabolomics reveals fatty acid-mediated inflammatory signatures in pretibial myxedema	Context: Pretibial myxedema (PTM) is a refractory autoimmune dermopathy associated with Graves’ disease. Although metabolic dysregulation has been recognized in thyroid-associated disorders, the metabolic profile and its functional role in PTM remain unclear. Objective: To characterize the metabolic landscape of PTM lesions and explore the contribution of fatty acids to fibrobl	CSV
GSE318551	6	23479	2026/02/05	GSE	TRalpha Deficiency Drives Sarcopenia by Disrupting Perimitochondrial Targeting of Pink1 mRNA and Mitophagy	Skeletal muscle-specific ablation of thyroid hormone receptor alpha (TRalpha) in young mice is sufficient to recapitulate key phenotypic hallmarks of age-related sarcopenia—including myofiber atrophy, exercise intolerance, and mitochondrial quality control failure—establishing receptor decline as a cell-autonomous driver of sarcopenia pathogenesis rather than a passive biomarke	TXT
GSM7221915		18573	2024/06/27	GSM	P1, ST-seq	thyroid	CSV, JPG, MTX, TSV
GSM7221916		18573	2024/06/27	GSM	P2, ST-seq	thyroid	CSV, JPG, MTX, TSV
GSM7221917		18573	2024/06/27	GSM	P3, ST-seq	thyroid	CSV, JPG, MTX, TSV
GSM7221918		18573	2024/06/27	GSM	P4, ST-seq	thyroid	CSV, JPG, MTX, TSV
GSM7306435		24247	2023/11/16	GSM	10_day, scRNAseq (spatial)	Thyroid tissues	XLS
GSM7980860		24676	2025/02/16	GSM	N-1, replicate 1, 10X visium	Thyroid	CSV, JSON, MTX, PNG, TSV
GSM7980861		24676	2025/02/16	GSM	N-2, replicate 2, 10X visium	Thyroid	CSV, JSON, MTX, PNG, TSV
GSM7980862		24676	2025/02/16	GSM	N-3, replicate 3, 10X visium	Thyroid	CSV, JSON, MTX, PNG, TSV
GSM7980863		24676	2025/02/16	GSM	N-4, replicate 4, 10X visium	Thyroid	CSV, JSON, MTX, PNG, TSV
GSM7980864		24676	2025/02/16	GSM	PTC-1, replicate 1, 10X visium	Thyroid	CSV, JSON, MTX, PNG, TSV
GSM7980865		24676	2025/02/16	GSM	PTC-2, replicate 2, 10X visium	Thyroid	CSV, JSON, MTX, PNG, TSV
GSM7980866		24676	2025/02/16	GSM	PTC-3, replicate 3, 10X visium	Thyroid	CSV, JSON, MTX, PNG, TSV
GSM7980867		24676	2025/02/16	GSM	PTC-4, replicate 4, 10X visium	Thyroid	CSV, JSON, MTX, PNG, TSV
GSM7980868		24676	2025/02/16	GSM	LPTC-1, replicate 1, 10X visium	Thyroid	CSV, JSON, MTX, PNG, TSV
GSM7980869		24676	2025/02/16	GSM	LPTC-2, replicate 2, 10X visium	Thyroid	CSV, JSON, MTX, PNG, TSV
GSM7980870		24676	2025/02/16	GSM	LPTC-3, replicate 3, 10X visium	Thyroid	CSV, JSON, MTX, PNG, TSV
GSM7980871		24676	2025/02/16	GSM	LPTC-4, replicate 4, 10X visium	Thyroid	CSV, JSON, MTX, PNG, TSV
GSM7980872		24676	2025/02/16	GSM	ATC-1, replicate 1, 10X visium	Thyroid	CSV, JSON, MTX, PNG, TSV
GSM7980873		24676	2025/02/16	GSM	ATC-2, replicate 2, 10X visium	Thyroid	CSV, JSON, MTX, PNG, TSV
GSM7980874		24676	2025/02/16	GSM	ATC-3, replicate 3, 10X visium	Thyroid	CSV, JSON, MTX, PNG, TSV
GSM7980875		24676	2025/02/16	GSM	ATC-4, replicate 4, 10X visium	Thyroid	CSV, JSON, MTX, PNG, TSV
