	M001	M002	M003	M004	M005	M006	M007	M008	M009	M010	M011	M012	M013	M014	M015	M016	M017	M018	M019	M020	M021
S0019	1.9307392	1.9084402	2.9722958	2.8036668	3.2949545	3.965469	2.161927	3.6646369	4.051285	3.2115579	2.148715	4.0591936	2.3072736	1.5776424	3.969607	3.0841627	3.6269245	3.108721	3.2725773	1.7605504	3.1778235
S0020	-0.9791403	1.080719	-1.3225074	0.3195667	-2.8936996	-4.729009	-3.6510086	-2.8872871	-2.5523064	-4.510605	-3.3331676	4.2256002	5.718089	4.9843225	0.15957347	0.27829054	0.6667759	4.7143745	1.7038945	4.4988117	3.8204172
S0021	4.8165636	2.221889	1.4332874	3.8993285	3.8510883	4.4205103	2.0777063	2.5856407	5.6862435	4.1340013	1.1917945	2.2252243	0.4537569	1.7986491	0.49478456	0.06248895	-0.58841676	-0.7103195	1.1898432	0.26017955	-0.13866064
S0022	5.422487	2.8058004	1.8557875	4.9848595	3.7656415	4.5400796	1.2097073	2.5672793	6.4013815	3.864726	1.6397426	2.396077	1.1213455	1.6753812	1.1580825	0.15941983	-0.76426524	-0.5818372	2.2160408	0.4499361	-0.26792073
S0023	-5.027603	-2.4946039	0.11089362	-2.2936115	2.2067547	2.0576642	3.0641737	3.723938	-1.830199	-1.176611	1.2595944	0.7880075	0.37331858	-2.0159457	5.6600976	6.4687586	7.826646	5.5652323	2.4251978	2.0003963	4.643314
S0024	3.6762745	2.739173	3.8474429	3.9296496	5.2169476	5.6184845	4.1661706	6.167545	5.5719976	5.1377616	3.820978	1.492804	1.8912752	0.9451669	2.0914052	2.10674	2.0267491	1.8062727	1.3170124	1.1529803	1.2168669
S0025	-2.6779664	1.5001559	2.3204806	0.4521884	0.5056731	-0.6069312	1.2212886	1.3343207	-0.99134	-2.1058688	0.5606503	6.050529	5.5598307	2.8225749	5.384866	4.042841	6.248075	5.5558114	4.6567383	4.22395	6.346159
S0026	-1.8998443	0.7086069	1.9449497	1.7563721	4.302979	2.69346	4.1377215	4.3746767	1.1821712	0.95168656	2.6389875	5.6539836	4.617023	2.8929312	7.9834533	7.1285744	7.397171	5.2254233	6.33262	3.8507743	5.78729
S0027	2.5361335	2.823153	5.048947	3.397748	4.481998	3.8007483	3.5796776	6.2017093	3.349367	4.5534782	4.8730063	1.6523734	3.1823626	0.67783374	2.528999	2.2512836	2.6980538	3.0609095	0.9916153	2.7939084	3.2168565
S0028	4.929621	1.9301462	0.476355	4.295799	3.8439445	6.2500267	2.5975814	2.4549985	5.781184	5.1675396	2.965027	1.6202435	-0.5711821	0.3523578	1.2435856	0.76389647	-0.21384953	-2.9336667	1.7389961	-0.7200264	-1.1929038
S0029	3.0921626	0.30872864	2.7468936	2.6561718	6.8625827	7.647091	4.7928934	6.5463777	6.2749596	7.5804133	3.20557	-2.547098	-3.134998	-3.1981137	1.6870309	2.9358332	1.649184	1.4676346	0.5046808	-0.7902941	-0.1730066
S0030	2.67821	1.2460815	0.96932626	1.9685135	1.9108173	3.622374	1.0938748	1.6174151	3.6153052	3.0551107	2.1466072	1.7293931	-0.7669365	0.25448638	1.0757579	0.39551708	0.11905805	-1.8297161	0.30567598	-0.9053599	-0.7954652
S0031	-3.3464143	2.965669	1.9010291	-0.15023498	-1.5849596	-5.4420996	-2.7283566	-3.309619	-3.56957	-7.6027956	-3.3943987	13.6897745	12.095311	8.001031	7.070368	2.5217931	6.7772703	7.338261	7.42102	5.9292445	11.750603
S0032	1.0547785	4.463952	1.2619431	2.6617076	-1.8350074	-5.167849	-3.2479393	-2.300882	-1.4686867	-2.674062	-0.8492514	10.720478	11.058433	8.814813	3.7299588	1.3219332	0.91942203	6.0818725	5.6327343	6.520244	6.2132735
S0033	3.808414	2.2751877	2.957596	4.3179	5.2621803	4.9132442	3.1790442	4.9099345	6.6342916	4.011695	1.6984746	2.2233202	1.0547947	0.87221587	2.4038966	2.3188064	1.9344474	3.1139338	2.6652305	1.610481	1.6531211
S0034	3.0277534	4.039996	3.7431436	4.343552	2.2855093	-0.28926283	-0.33314472	1.4017283	2.9765832	0.89442307	0.043368787	5.2039204	6.4500217	4.152825	1.4798322	0.41381666	1.6038094	4.1161695	2.6383858	4.225078	4.638081
S0035	-4.0607815	-0.0703094	2.6252332	-1.0411804	1.9082658	-0.034536093	2.4281893	2.910069	-1.1891637	-4.1828175	-1.9527212	4.731597	5.0316005	1.857501	5.8563004	5.528154	7.9517584	8.21889	4.5026984	4.644589	7.4678974
S0036	5.9498243	3.7442834	3.0987594	4.9766746	4.931758	5.3875895	2.673889	4.181688	6.2675753	6.057328	2.732164	2.599942	3.2066853	1.8060856	1.6683385	1.9378725	0.5770055	0.77600443	2.4118457	1.3592919	1.7344846
S0037	4.2937965	3.8825076	3.8577018	4.445191	4.8202643	4.4110885	3.452342	4.767119	5.0062	4.5457993	3.817739	3.4001975	3.3769658	1.7290454	3.1958067	2.0290937	2.0451598	1.5152028	3.0762982	2.1383	2.3055003
S0038	4.961565	1.2135583	1.3648762	4.028651	5.816181	6.296785	3.3307457	4.551714	7.60631	4.6865144	1.2069919	-1.0009097	-2.063343	-0.75479835	1.4264938	1.6611488	0.94462305	0.3725135	1.7546755	-0.38075966	-1.0108947
S0039	4.52475	0.8405416	1.403302	3.7306402	5.432815	8.006528	4.775718	5.5573897	7.1391373	7.0379915	2.9140103	-0.9992697	-2.010863	-1.1761638	1.4831343	2.242398	0.7457165	-0.99542516	1.5270616	-1.0980463	-1.631794
S0040	2.7137213	2.336416	2.289813	3.1228487	3.0604572	4.092829	2.789379	3.8929603	3.8297007	3.095206	3.2719233	1.4962806	0.9898443	0.3296084	2.8989766	2.0699267	2.1747823	0.19966839	1.8143078	1.0435863	0.28811046
S0041	4.050707	3.4347885	3.5191257	4.3327036	3.8336475	4.0395412	2.5194888	3.8500893	5.06487	3.7363784	3.3638806	3.9017887	2.6793427	2.0292885	3.2800243	1.6948512	1.486128	1.4664603	2.9489071	1.9467595	1.40592
S0042	-4.4936395	-0.81794757	-2.044779	-1.6455172	-3.4781747	-4.286045	-2.8328958	-3.408909	-3.5864632	-7.3789864	-2.293565	5.1098146	2.8678796	2.0844061	3.5407114	2.6352148	4.3912487	2.5556352	3.567399	2.6636872	4.4401584
S0043	7.4463797	3.9496117	2.3795269	6.276971	3.4639351	3.8708181	0.24398647	1.4869373	6.8286314	4.731625	1.5853447	4.4340763	4.1755743	3.3624966	0.63159823	-0.48862818	-1.791517	-0.33803985	2.835262	1.4753858	0.88613087
S0044	2.6813774	2.996053	3.62419	3.9834344	4.1782055	2.4377787	1.8276163	3.6052842	3.6900606	2.922166	2.569909	3.1959057	4.166402	1.8758883	2.9534945	2.3476956	3.2566657	3.6775002	2.5674891	2.543332	4.3028674
S0045	4.698129	1.9765527	2.2566288	4.0600142	3.741098	4.6434765	1.9795837	3.2961044	5.869213	3.9303586	1.5641631	1.5021865	0.9330268	0.22014521	1.5847968	1.1362188	1.0548528	1.7381777	2.0674028	0.8964895	1.1171436
S0046	-2.7876744	0.33464238	1.7014297	0.008191658	1.9879802	0.5412863	1.6202282	3.0881596	-0.9781015	-1.2078625	1.4799094	3.5759778	4.2491746	1.4977238	4.583746	4.5681286	5.744932	5.9062877	3.3514798	4.2919226	5.8735685
S0047	2.9383407	2.3969972	4.7584896	3.576096	5.5509014	5.616296	4.139099	6.7248335	4.4945793	5.542205	4.7994547	0.110234834	0.8951091	-0.42522192	2.8511486	2.5848787	1.8790492	1.6372824	1.1286069	0.9651199	1.483069
S0048	4.3027782	4.6313186	4.55191	5.401785	3.8909848	2.1038604	1.0036271	3.6543312	4.610507	4.247234	3.808738	4.2544804	5.5834394	3.4649348	1.6783513	0.6742405	0.77310765	3.2846398	2.3145409	3.3887131	3.3371608
S0049	4.1211624	1.6410328	0.50035983	3.8178332	5.531288	5.1792345	2.2026954	2.8870733	5.9729943	4.504994	1.2938069	-1.1361406	-1.7462121	-0.054738194	-0.82904625	-0.22503692	-1.7796179	-2.456901	0.008300272	-1.042103	-3.1392148
S0050	4.291465	0.538466	-0.15589	3.226163	3.489282	6.450631	2.4579244	2.1900096	6.5089173	5.449369	1.4199752	0.67906445	-1.4641409	-0.19938973	1.9299669	1.78581	0.18463804	-3.14763	2.340963	-1.5124553	-1.4820027
S0051	2.4712398	-1.1561191	2.0429385	2.4216564	6.114822	8.761342	4.782776	5.8260603	5.991508	7.1462054	3.5678873	-3.6264532	-6.159256	-3.7418833	2.2797294	3.4929411	1.530342	-0.74351233	-0.01961745	-2.5563967	-2.0206854
S0052	2.0071056	3.6948454	3.0476532	2.9909685	0.90213674	-0.70405996	-0.58083063	1.8514395	1.2684286	0.30923268	-0.32177794	2.4346812	4.7936697	3.4867542	-1.1697435	-0.7056747	-1.512993	2.9652	-0.46673998	3.4215794	0.5253108
S0053	3.6155877	2.8638637	3.915103	3.6681738	5.4666266	5.5405917	3.8705072	5.989844	5.634568	6.789459	3.1940181	0.059363093	0.8731471	-0.35502103	0.51358104	1.7808841	0.6053628	2.1932678	0.6325729	0.80305636	1.1537187
S0054	4.634132	1.8451866	2.2123604	4.6760507	5.6528773	7.531198	4.698958	5.779798	6.382006	6.5762796	4.2122097	0.043519106	-1.1085947	-0.5306481	2.6372004	1.9725324	0.75432956	-0.9449617	1.5502107	-0.11580071	-1.2047881
S0055	6.3345413	1.8857275	1.3143322	5.0892262	5.3057704	6.45141	2.4548142	3.4467354	7.2757645	5.143198	0.80384463	-1.2957182	-0.5370053	-0.24692278	-0.6686956	-0.31866613	-1.286022	-0.67064226	0.9919367	0.020536	-2.4790409
S0056	5.0502806	3.7024055	3.5915663	5.500484	6.3097186	5.1580844	1.9039218	3.9491825	7.020481	5.1907077	2.5186298	3.9338243	2.0408933	2.248384	2.1524715	1.7586415	0.80343896	1.5640737	2.6472929	0.9354155	2.2495553
S0057	4.30685	4.960427	2.123599	4.7862244	-0.045447353	-3.7759302	-3.2382278	-2.9699118	1.7695247	-0.41909084	-0.17823087	5.729783	7.420931	5.529967	-1.6492355	-3.2633326	-2.3278093	0.8856753	1.7427534	3.3554058	3.2522128
S0058	-3.473863	-0.6515475	1.0967915	-1.7023963	0.35568804	-0.8366875	0.9911859	0.37006295	-1.405546	-4.612618	-2.7324255	4.5860233	4.9073277	1.6283387	5.84503	4.444097	7.489192	7.1256022	5.228468	3.945538	7.498321
S0059	-0.14445515	3.2758582	0.2806326	2.379476	-2.5501173	-6.713187	-4.1870246	-4.432167	-2.1969712	-5.832862	-3.148456	10.563432	11.999174	8.838289	2.0269094	-0.1881688	2.552657	4.779681	5.4969153	6.7267094	7.641629
S0060	2.272448	2.7585773	2.5610356	3.6285467	2.2560165	3.4235635	2.425435	3.1704285	2.8515317	2.5525095	4.0057926	4.3453965	2.84926	1.8932801	4.288186	2.2535315	2.835941	0.005198852	3.2156062	1.2169702	2.156091
S0061	3.9607203	3.7842488	2.7441535	4.7677217	3.5155149	4.3989472	2.3733418	3.235239	4.6104894	3.0086284	3.766911	6.12541	3.1407323	3.3604393	3.8593485	1.9646041	1.7567216	-0.45941585	3.7605593	1.5999181	1.4385256
S0062	4.8346295	1.7513757	2.683982	4.172438	5.406622	6.480089	3.055046	4.718922	6.044125	6.7315173	2.4819229	0.3952363	-0.11075658	-0.11906315	1.778616	2.2361805	0.4634614	0.60289735	1.4390916	-0.04475231	-0.15931042
S0063	2.6010363	3.5205476	4.7356477	4.0791883	4.2165403	3.1625364	2.4709268	5.7390413	3.3399146	3.8174386	3.52685	2.830555	4.049561	1.915541	2.2236347	2.0501475	1.771056	3.19655	1.773748	3.0988514	2.8436744
S0064	5.174022	1.6228213	0.29219684	4.6539516	3.4540153	3.0354207	0.50049907	0.7860158	5.362501	2.7198858	-0.41457266	1.8499937	0.45315474	1.8945091	0.22447523	-0.617498	-1.4144844	-2.1027071	1.8958751	-0.21811251	-0.35318086
S0065	4.7994075	4.220883	1.5866022	4.3448243	-0.84572446	-1.1386075	-2.968238	-2.211968	2.077494	1.014803	0.7967453	5.548174	5.649924	4.7849255	-0.6227657	-2.5896134	-2.5963688	-1.3543179	1.2628995	1.8180019	0.77739507
S0066	5.195239	1.8224155	0.8044247	4.3415318	3.65629	4.3493896	1.8006433	1.7897644	6.1338363	4.2336984	1.1441747	0.16359143	-0.84011954	0.36152703	-0.32689777	-0.23552291	-1.6624513	-2.3380308	1.310658	-0.9956611	-1.9779466
S0067	1.0633672	0.19202478	3.198455	1.46814	4.845929	6.1329184	4.9091816	6.3647566	4.203709	5.3101106	4.6373863	-2.2298527	-2.8984942	-3.2209327	2.5979462	3.4644487	3.2511346	1.5940603	0.48221686	0.11638879	-0.1807409
S0068	4.3643208	1.9404522	2.376527	4.208188	4.8359127	5.8752136	3.0816603	4.3306823	6.0249205	5.159032	3.5226455	2.3174708	1.6296376	0.82271653	3.0707269	2.6317825	1.6670829	0.5943697	2.7255332	0.9420488	1.1653323
S0069	2.1970208	2.740041	2.8426008	3.3976257	3.382494	3.962602	2.602619	3.3577619	3.7367795	2.4747858	2.8849678	4.3747406	3.4717653	2.73267	4.6224065	2.9244585	2.7818391	1.9978083	4.540801	2.5289607	2.836088
S0070	3.2945485	1.2733853	2.892631	3.6308668	6.8124747	8.237198	5.3104067	7.3315377	6.479896	6.9152684	4.787472	-0.26751608	-2.0774112	-1.1811072	3.3244839	3.0829668	1.9034288	-0.048436634	1.1263616	-0.8930977	-0.4366032
S0071	3.1321905	1.5423774	3.7506232	3.5465624	6.0151877	7.3875546	4.9105372	7.556616	5.506302	6.9476733	4.497172	-1.0930791	-1.1887242	-1.6280574	2.6180356	2.9977288	1.9252578	1.5160302	0.8391381	0.18561988	0.37463775
S0072	-1.763244	0.16248871	0.8306496	0.5779463	0.80560994	-1.638443	-0.50851405	-0.11203899	-0.29664555	-3.0270267	-1.8334572	6.047513	5.5490894	3.1082377	4.4577622	3.6251197	6.4104013	7.008429	4.7030044	4.470405	7.532948
S0073	4.7123694	1.6621869	-0.25307715	3.509208	0.2420655	1.1972338	-0.9540814	-1.0348566	3.379801	1.9052665	-1.3794588	0.0010676885	0.12694642	1.2875421	-2.1865244	-2.2223647	-3.0034175	-1.7735757	0.82975703	0.2704277	-2.1641827
S0074	1.9441944	1.093658	-1.1097844	1.1101404	-3.2738404	-2.8217182	-3.6230478	-4.441461	-0.42926365	-0.80404544	-0.6984096	0.3985979	0.019285155	1.7090372	-3.30385	-3.610663	-4.5037265	-4.0335655	-2.288365	-0.8078813	-3.1164742
S0075	3.8143563	0.81308466	0.9446707	3.6998973	4.725128	5.7581935	2.512686	3.1766558	6.893892	4.8133636	2.005088	-0.6369124	-3.1571164	-1.4179109	0.79401195	0.76130253	-0.056071997	-1.8575283	0.896563	-1.7365644	-2.1731443
S0076	4.3317847	4.18565	1.513672	4.503892	0.017244328	-1.4953146	-2.6906934	-2.89466	2.4679275	0.0796559	0.6721053	6.8035097	4.4663944	5.001428	0.69742864	-2.6798651	-1.6271875	-2.218655	1.591006	1.035061	1.9482998
S0077	2.1154153	3.2727854	0.57092154	1.6531153	-2.011929	-2.3125935	-2.7315416	-1.5699646	0.2099799	-0.067893036	-0.91458905	3.3165445	3.825934	4.6886053	-2.5042205	-2.1937435	-3.6668568	0.50073767	-0.866847	1.9597567	-0.24424024
S0078	3.5461352	2.4863071	1.0816712	3.5644276	1.1216267	1.4544531	-0.48521957	0.2350376	4.046402	1.661498	0.9898499	3.4068782	1.8449754	1.8674	1.2929404	0.114134185	-0.4800711	-0.068878494	2.3515983	1.0286229	0.92600256
S0079	5.5846114	2.5193796	1.8747776	5.4083033	4.807804	4.2144713	1.6699355	2.7952805	6.41378	3.7209115	0.8559776	1.8923621	0.8554719	1.6084546	1.2496674	0.2966767	0.05966308	0.21848375	2.1978378	0.6205729	0.26671025
S0080	-5.3208346	-0.62008685	-3.3770776	-2.0726345	-4.562853	-6.9419737	-3.5533044	-6.329088	-5.214582	-8.34799	-1.9139082	8.031993	5.1932473	4.72991	4.6354814	2.4482498	5.8038664	0.32536352	4.7892356	2.4284549	6.0830007
S0081	-2.2520292	0.5612068	1.5527306	0.2757179	1.3470258	-0.67409116	0.33779225	1.2364998	-0.58438057	-2.3678234	-0.3730273	5.0103765	5.686327	2.4161706	4.8851357	4.5984883	6.201603	6.9797688	4.279174	4.565915	6.9713154
S0082	2.9604757	0.7592389	1.9533017	3.266782	5.372621	6.813224	4.134745	5.3743916	6.1240177	4.892608	3.3927855	0.44678402	-1.2715652	-0.8448814	3.7026184	3.217429	2.9425216	0.7244084	1.8424996	-0.30241174	0.7716555
S0083	1.4582324	4.518853	-0.9979397	1.2859094	-7.461612	-13.032842	-8.29587	-10.288109	-4.890835	-7.5361567	-6.753167	7.1782455	13.348424	10.312962	-3.236042	-6.012931	-1.3471864	2.4957945	2.5793831	4.1459656	6.2751884
S0084	1.4983178	3.2520573	2.6240575	2.8815615	0.72887135	-0.2261919	-0.2568201	0.14075322	0.7605691	-0.5999731	1.7094096	7.7389426	5.7477756	4.2557473	4.6331606	2.1603425	3.4368718	2.1042855	4.852151	3.0862768	5.0489326
S0085	-1.6117463	1.7525334	3.3513265	0.87930477	3.0348756	0.8869841	2.4395113	4.1218777	0.12686324	0.34088275	1.1049192	4.0761104	4.0523324	1.9185901	5.483197	5.1169853	5.7548323	7.9806895	4.4	4.436658	5.6211967
S0086	5.2009525	4.267042	-0.31874186	4.776611	0.44566792	-0.9775139	-1.5784038	-2.027175	3.7249646	-0.784712	-2.5847204	3.3643482	2.9223392	4.809977	-3.012781	-3.497084	-4.352281	-1.2897815	1.8854558	0.53862125	-0.48009804
S0087	-4.54439	-0.9224616	1.9128096	-1.9038261	3.1331692	2.2373264	4.342867	4.853734	-0.792731	-2.8853698	-1.3379835	2.9030354	2.7664251	0.14572807	6.366897	6.9729166	8.760911	7.6827846	3.7475235	3.440331	6.8100824
S0088	3.8085253	2.9359665	4.324701	4.159828	5.447258	4.01843	3.3923376	6.3112807	4.350081	3.6095352	3.7552571	0.93095934	2.3311024	0.8409061	1.954158	1.7229396	1.9672387	1.8949684	1.4666891	1.6099894	2.183489
S0089	6.1045685	3.6355534	1.2739781	6.0107465	3.6955304	2.414288	0.06969437	0.24898714	6.6005197	3.0687714	0.87059736	5.5087433	2.789232	4.0385394	1.4046323	-0.86075354	-1.1971141	-1.8645183	3.8979905	0.32990143	1.3329364
S0090	-3.6718733	0.12025884	0.774691	-0.24793299	1.7715061	0.71838045	2.3370233	2.267982	-1.6485995	-1.849985	1.6987833	4.2696123	4.5662894	1.3359082	6.4803705	5.6381326	7.748982	5.13153	4.805868	3.6197069	6.864254
S0091	4.1148787	2.2393966	4.237806	3.7621105	6.88258	7.5154853	5.2545695	7.8129797	5.410636	7.4638357	5.507833	-0.41846788	-0.23995075	-0.86178726	2.1270044	3.0468278	1.5804795	0.8982359	0.119258225	0.19167723	0.016772484
S0092	5.683958	3.0661244	2.5773783	5.601789	5.091882	3.9266872	1.6423947	3.9465308	6.0081043	3.7463107	1.3947603	2.5751724	3.4665234	2.5264494	0.9745224	0.34380275	-0.3658203	2.4518425	2.2728548	2.5483446	0.9455594
S0093	2.2996716	4.2038703	4.16612	4.3003516	3.251847	0.9822233	1.6819617	4.0342464	2.4109983	1.7170979	3.8330088	4.369908	6.16847	2.9827478	3.4949627	1.5105956	2.5682726	4.2587457	3.1191008	4.52597	4.0483084
S0094	2.8489614	2.126503	1.7871271	3.6244857	3.2038105	4.1095862	2.922062	3.795154	4.5368094	3.6145422	3.4619246	2.6831138	1.7660933	1.2895691	3.3960001	2.1917925	2.678859	0.18937941	2.3039007	0.7869051	1.6098453
S0095	1.9955425	2.0081713	2.7095892	2.640968	4.1932406	5.7450767	3.0973978	4.083872	3.5403545	4.5798492	4.397097	2.3743804	0.73295784	0.42484823	4.1513257	3.6049314	2.9961045	0.60537297	2.8056636	0.6478066	1.8717535
S0096	2.2151093	2.6787481	3.4195094	3.627847	4.881114	3.1878014	2.6443405	4.535203	3.4236372	2.386947	2.0014105	2.9536707	4.6103034	1.5957633	3.3223891	2.8679888	3.2413566	4.4843955	3.5432043	3.9390798	3.889319
S0097	2.11872	3.046099	4.6611457	3.120381	3.140841	1.69857	1.4579322	3.7683587	2.8966002	2.4261374	2.5394673	3.1618686	4.151406	1.6437324	2.5141594	1.1409215	2.2193475	4.9414344	2.150084	3.329416	3.9153545
S0098	4.3652606	3.7491643	4.493434	4.758821	4.4486623	3.1302845	1.1821104	4.0839	4.502993	3.62892	2.8910632	3.2508388	3.2846673	2.1464734	1.4752421	0.9217701	0.7221236	2.3437665	1.6654706	2.3674324	2.5777895
S0099	4.5443225	-0.048815466	-1.5875694	3.3072472	2.0443144	3.3948653	0.06232271	-0.37923512	4.9377947	2.585531	-0.9303934	-1.9975568	-2.9092813	-0.7298218	-1.9324911	-1.4650844	-2.6944027	-3.818623	-0.026789915	-2.2273464	-3.4114203
S0100	-2.5857556	0.7777803	1.6264596	0.41247702	0.4712966	-1.6917435	0.11028234	0.6865539	-1.6306165	-3.306438	-0.580209	6.012822	6.0867567	2.8135579	5.1993566	3.9440246	6.0584936	6.9313946	4.974985	5.0735683	6.795709
S0101	5.486764	6.051844	2.713166	5.0680995	-0.0069443733	-2.454875	-1.6303266	0.41731036	1.4159936	2.409338	-0.4484849	4.3089595	8.672755	6.747278	-2.6035063	-2.225797	-3.898648	3.8165963	0.7818159	4.725712	1.52201
S0102	3.9608505	0.78086555	1.8679543	3.644959	6.714953	8.280953	5.6683145	7.532368	6.905711	6.808018	3.9711664	-2.1043077	-2.7896569	-2.0524049	1.878928	2.759935	1.6918439	-0.23024827	0.880099	-0.7035676	-1.3432689
S0103	-4.580136	-1.3774189	1.0614091	-2.2885616	2.8931797	2.279881	3.6393723	3.6963694	-0.4506904	-2.4700031	-0.58122677	4.186094	3.28574	0.99912363	7.293546	7.2977047	9.155296	6.5749035	4.8829446	3.1551943	7.07572
S0104	-2.8945434	0.056566905	1.1383625	-0.21648009	0.008759627	-1.0849353	0.46670768	0.71290183	-2.4979844	-3.1428921	-0.36792755	5.7232075	5.592679	2.4298322	5.142431	4.097578	6.579303	5.359421	4.2790275	4.275812	6.918351
S0105	-4.1681585	0.66621363	0.43698746	-1.0270358	-0.19826126	-2.1026587	-0.2617003	-0.10549502	-3.2483406	-4.300709	0.2468826	8.0088625	5.775304	3.7907481	5.8280354	4.5374007	6.5852036	4.9178195	4.592139	3.4413586	7.25916
S0106	-5.649048	0.3363906	1.4730737	-2.520489	1.2415279	-0.7665593	2.145226	2.4224954	-2.6473112	-4.847548	-2.2627397	6.8508563	6.985084	3.4570982	6.6048684	6.1750355	8.8806505	7.485075	5.2564387	4.207396	9.074792
