gene	module_id	module_size	eigengene_corr_Y	eigengene_pval_Y	eigengene_corr_cohort	module_preserved
MLEC	M000	1182				False
GNA15	M000	1182				False
GATAD2A	M009	117	0.324656	4.5004084e-11	0.9549998	True
JAK3	M000	1182				False
NOTCH2	M006	83	0.32443193	4.6484528e-11	0.9076619	True
CDON	M000	1182				False
LGALS1	M000	1182				False
KRT15	M000	1182				False
ANKRD46	M000	1182				False
MXRA8	M000	1182				False
SPTBN2	M000	1182				False
GAP43	M000	1182				False
SFXN3	M009	117	0.324656	4.5004084e-11	0.9549998	True
TMSB4X	M001	63	0.39597368	3.627845e-16	0.91419816	True
INPP4A	M006	83	0.32443193	4.6484528e-11	0.9076619	True
CD1C	M000	1182				False
RAP2B	M009	117	0.324656	4.5004084e-11	0.9549998	True
PTPRF	M010	67	0.429704	4.7946997e-19	0.8822221	True
IQGAP2	M000	1182				False
SEC23A	M006	83	0.32443193	4.6484528e-11	0.9076619	True
TMEM100	M000	1182				False
NRIP1	M000	1182				False
MSN	M009	117	0.324656	4.5004084e-11	0.9549998	True
SERPINB8	M000	1182				False
NCF2	M000	1182				False
TIPARP	M011	30	0.30460626	7.33937e-10	0.9156813	True
DOK2	M000	1182				False
IFNGR1	M009	117	0.324656	4.5004084e-11	0.9549998	True
CACNB4	M000	1182				False
S100B	M000	1182				False
SORBS2	M000	1182				False
KCTD12	M009	117	0.324656	4.5004084e-11	0.9549998	True
ACP5	M000	1182				False
BCL2L1	M001	63	0.39597368	3.627845e-16	0.91419816	True
P2RY6	M000	1182				False
WNT4	M000	1182				False
BATF3	M000	1182				False
PEA15	M004	89	0.26029536	1.7180874e-07	0.9743594	True
ANKLE2	M010	67	0.429704	4.7946997e-19	0.8822221	True
METTL7A	M000	1182				False
YBX3	M001	63	0.39597368	3.627845e-16	0.91419816	True
ALDH1A1	M000	1182				False
YIPF1	M021	54	-0.14418523	0.0042288513	0.91452366	True
SCARB1	M020	35	-0.0680788	0.1785777	0.94541353	True
VASP	M000	1182				False
FAP	M000	1182				False
CD151	M000	1182				False
IFI16	M009	117	0.324656	4.5004084e-11	0.9549998	True
EHF	M000	1182				False
IRS1	M000	1182				False
IL1RL1	M000	1182				False
ZNF430	M000	1182				False
RAD23B	M011	30	0.30460626	7.33937e-10	0.9156813	True
BCL2	M017	44	-0.14110602	0.0051284735	0.88136363	True
ST8SIA4	M000	1182				False
MNDA	M000	1182				False
EPHA2	M009	117	0.324656	4.5004084e-11	0.9549998	True
BFSP1	M000	1182				False
SLC6A12	M000	1182				False
PARP4	M010	67	0.429704	4.7946997e-19	0.8822221	True
EMP3	M000	1182				False
ANPEP	M000	1182				False
COLEC12	M000	1182				False
DVL1	M004	89	0.26029536	1.7180874e-07	0.9743594	True
MARCO	M000	1182				False
S100A2	M000	1182				False
NOD2	M000	1182				False
CD52	M000	1182				False
STRA6	M000	1182				False
KANK2	M009	117	0.324656	4.5004084e-11	0.9549998	True
RIPK2	M000	1182				False
SPR	M012	88	-0.056926005	0.2608475	0.94203234	True
KCNAB1	M000	1182				False
HPSE	M000	1182				False
UPP1	M000	1182				False
NFKBIE	M000	1182				False
PSTPIP2	M000	1182				False
IQGAP1	M006	83	0.32443193	4.6484528e-11	0.9076619	True
THBS2	M000	1182				False
CAMK2N1	M000	1182				False
NFE2L3	M000	1182				False
SH3BP2	M009	117	0.324656	4.5004084e-11	0.9549998	True
SLC25A42	M018	47	-0.10684348	0.034456037	0.9061806	True
NXN	M000	1182				False
RSAD2	M000	1182				False
ANXA3	M000	1182				False
BDH1	M021	54	-0.14418523	0.0042288513	0.91452366	True
BACH2	M000	1182				False
PFKFB2	M017	44	-0.14110602	0.0051284735	0.88136363	True
ARHGAP10	M009	117	0.324656	4.5004084e-11	0.9549998	True
TSC22D1	M000	1182				False
TFAP2C	M000	1182				False
ACOT7	M000	1182				False
ABCC8	M000	1182				False
CIITA	M000	1182				False
ITGB2	M000	1182				False
ACOT11	M000	1182				False
CSF2RB	M000	1182				False
SLC20A1	M000	1182				False
SNCG	M000	1182				False
MAPKAPK3	M001	63	0.39597368	3.627845e-16	0.91419816	True
TNFRSF1A	M001	63	0.39597368	3.627845e-16	0.91419816	True
ITGA2	M000	1182				False
PTK2B	M000	1182				False
IFIT5	M010	67	0.429704	4.7946997e-19	0.8822221	True
CLEC10A	M000	1182				False
COMP	M000	1182				False
CD207	M000	1182				False
ARHGAP24	M000	1182				False
STAT2	M009	117	0.324656	4.5004084e-11	0.9549998	True
