level	module_id	parent_id	n_genes	best_match_pathway	best_match_db	best_jaccard	novelty_score	top_10_genes
1	L1_25	root	1	ABC Transporters In Lipid Homeostasis R-HSA-1369062	Reactome_2022	0.055556	0.944444	ABCG4
1	L1_26	root	1	Estrogen Response Late	MSigDB_Hallmark_2020	0.005	0.995	TNNC1
1	L1_27	root	1			0.0	1.0	OVOL1
1	L1_3	root	1	CHL1 Interactions R-HSA-447041	Reactome_2022	0.111111	0.888889	CHL1
1	L1_4	root	1			0.0	1.0	BIRC7
1	L1_5	root	1	Nectin/Necl Trans Heterodimerization R-HSA-420597	Reactome_2022	0.142857	0.857143	CADM3
1	L1_6	root	1	Antigen Processing: Ubiquitination And Proteasome Degradation R-HSA-983168	Reactome_2022	0.003257	0.996743	TRIM36
1	L1_7	root	1			0.0	1.0	SSX1
1	L1_8	root	1	Phase I - Functionalization Of Compounds R-HSA-211945	Reactome_2022	0.009615	0.990385	AOC1
1	L1_9	root	1	MECP2 Regulates Neuronal Receptors And Channels R-HSA-9022699	Reactome_2022	0.055556	0.944444	GRIN2A
2	L2_0	L1_0	1068	Signaling By GPCR R-HSA-372790	Reactome_2022	0.062916	0.937084	EPYC,CST1,SPRR1B,CST5,SLC18A3,PLA2G2E,CHAT,PSG4,TCN1,IL37
2	L2_1	L1_0	911	Immune System R-HSA-168256	Reactome_2022	0.060967	0.939033	SYT12,KLK7,TMPRSS6,FN1,SFTPB,TACSTD2,DCSTAMP,CARTPT,KCNN4,TMPRSS4
2	L2_10	L1_9	1	MECP2 Regulates Neuronal Receptors And Channels R-HSA-9022699	Reactome_2022	0.055556	0.944444	GRIN2A
2	L2_11	L1_10	1	Peptide Ligand-Binding Receptors R-HSA-375276	Reactome_2022	0.005102	0.994898	NPY1R
2	L2_12	L1_11	1	Complement	MSigDB_Hallmark_2020	0.005	0.995	PHEX
2	L2_13	L1_12	1			0.0	1.0	PSORS1C1
2	L2_14	L1_13	1	Gluconeogenesis R-HSA-70263	Reactome_2022	0.03125	0.96875	ALDOC
2	L2_15	L1_14	1	Acyl Chain Remodelling Of PI R-HSA-1482922	Reactome_2022	0.058824	0.941176	PLA2G5
2	L2_16	L1_15	1	Myogenesis	MSigDB_Hallmark_2020	0.005	0.995	COX7A1
2	L2_17	L1_16	1	Collagen Chain Trimerization R-HSA-8948216	Reactome_2022	0.022727	0.977273	COL11A2
2	L2_18	L1_17	1	Signaling By ERBB4 R-HSA-1236394	Reactome_2022	0.017544	0.982456	GABRG3
2	L2_19	L1_18	1	Citric Acid Cycle (TCA Cycle) R-HSA-71403	Reactome_2022	0.047619	0.952381	PCDHB11
2	L2_2	L1_1	768	Immune System R-HSA-168256	Reactome_2022	0.081804	0.918196	MMP13,TMPRSS11E,KLK6,VTCN1,CLDN10,EREG,CEACAM6,COL11A1,CRLF2,IVL
2	L2_20	L1_19	1	Transport Of Organic Anions R-HSA-879518	Reactome_2022	0.090909	0.909091	SLCO4C1
2	L2_21	L1_20	1	CRMPs In Sema3A Signaling R-HSA-399956	Reactome_2022	0.0625	0.9375	DPYSL4
2	L2_22	L1_21	1	Synthesis Of IP3 And IP4 In Cytosol R-HSA-1855204	Reactome_2022	0.038462	0.961538	PLCH2
2	L2_23	L1_22	1	Glyoxylate Metabolism And Glycine Degradation R-HSA-389661	Reactome_2022	0.032258	0.967742	DDO
2	L2_24	L1_23	1			0.0	1.0	SCIN
2	L2_25	L1_24	1	Axonal Growth Inhibition (RHOA Activation) R-HSA-193634	Reactome_2022	0.125	0.875	MAG
2	L2_26	L1_25	1	ABC Transporters In Lipid Homeostasis R-HSA-1369062	Reactome_2022	0.055556	0.944444	ABCG4
2	L2_27	L1_26	1	Estrogen Response Late	MSigDB_Hallmark_2020	0.005	0.995	TNNC1
2	L2_28	L1_27	1			0.0	1.0	OVOL1
2	L2_3	L1_2	1	Common Pathway Of Fibrin Clot Formation R-HSA-140875	Reactome_2022	0.045455	0.954545	CD177
2	L2_4	L1_3	1	CHL1 Interactions R-HSA-447041	Reactome_2022	0.111111	0.888889	CHL1
2	L2_5	L1_4	1			0.0	1.0	BIRC7
2	L2_6	L1_5	1	Nectin/Necl Trans Heterodimerization R-HSA-420597	Reactome_2022	0.142857	0.857143	CADM3
2	L2_7	L1_6	1	Antigen Processing: Ubiquitination And Proteasome Degradation R-HSA-983168	Reactome_2022	0.003257	0.996743	TRIM36
2	L2_8	L1_7	1			0.0	1.0	SSX1
2	L2_9	L1_8	1	Phase I - Functionalization Of Compounds R-HSA-211945	Reactome_2022	0.009615	0.990385	AOC1
3	L3_0	L2_1	488	Epithelial Mesenchymal Transition	MSigDB_Hallmark_2020	0.039275	0.960725	SYT12,CLDN10,CEACAM6,KLK7,TMPRSS6,FN1,SIGLEC6,SFTPB,ST6GALNAC5,TACSTD2
3	L3_1	L2_2	481	Allograft Rejection	MSigDB_Hallmark_2020	0.101942	0.898058	MMP13,COL11A1,IVL,SLC6A14,MUC16,FCRL2,IGLV6-57,CCL19,COL10A1,CCL17
3	L3_10	L2_1	14	Butyrophilin (BTN) Family Interactions R-HSA-8851680	Reactome_2022	0.130435	0.869565	HLA-DPA1,HLA-DPB1,HLA-DQB1,BTN3A2,ERAP2,BTN3A1,APOBEC3G,INPP5D,PLTP,ENTPD1-AS1
3	L3_100	L2_0	1	Neutrophil Degranulation R-HSA-6798695	Reactome_2022	0.002137	0.997863	SERPINB3
3	L3_1000	L2_1	1	Defective F9 Activation R-HSA-9673221	Reactome_2022	0.2	0.8	GP5
3	L3_1001	L2_0	1	Prostanoid Ligand Receptors R-HSA-391908	Reactome_2022	0.111111	0.888889	PTGDR2
3	L3_1002	L2_1	1	Mitotic Spindle	MSigDB_Hallmark_2020	0.005025	0.994975	SYNPO
3	L3_1003	L2_1	1	Myogenesis R-HSA-525793	Reactome_2022	0.034483	0.965517	CTNNA2
3	L3_1004	L2_0	1			0.0	1.0	PRB3
3	L3_1005	L2_0	1			0.0	1.0	NPPB
3	L3_1006	L2_0	1	Chemokine Receptors Bind Chemokines R-HSA-380108	Reactome_2022	0.017857	0.982143	XCL1
3	L3_1007	L2_1	1			0.0	1.0	TOMM34
3	L3_1008	L2_1	1	POU5F1 (OCT4), SOX2, NANOG Repress Genes Related To Differentiation R-HSA-2892245	Reactome_2022	0.111111	0.888889	TSC22D1
3	L3_1009	L2_0	1			0.0	1.0	DNAI1
3	L3_101	L2_1	1	SMAD2/3 Phosphorylation Motif Mutants In Cancer R-HSA-3304356	Reactome_2022	0.166667	0.833333	TGFBR1
3	L3_1010	L2_1	1	RHO GTPases Activate WASPs And WAVEs R-HSA-5663213	Reactome_2022	0.027778	0.972222	BAIAP2
3	L3_1011	L2_1	1	Neurexins And Neuroligins R-HSA-6794361	Reactome_2022	0.017544	0.982456	SIPA1L1
3	L3_102	L2_1	1	GABA Receptor Activation R-HSA-977443	Reactome_2022	0.016949	0.983051	GABRA5
3	L3_103	L2_0	1			0.0	1.0	MAGEA12
3	L3_104	L2_0	1	Adrenoceptors R-HSA-390696	Reactome_2022	0.111111	0.888889	ADRB3
3	L3_105	L2_0	1	Chemokine Receptors Bind Chemokines R-HSA-380108	Reactome_2022	0.017857	0.982143	CCL1
3	L3_106	L2_1	1	Loss Of Nlp From Mitotic Centrosomes R-HSA-380259	Reactome_2022	0.014493	0.985507	CDK5RAP2
3	L3_107	L2_0	1	Synthesis, Secretion, And Inactivation Of Glucose-dependent Insulinotropic Polypeptide (GIP) R-HSA-400511	Reactome_2022	0.076923	0.923077	GATA4
3	L3_108	L2_1	1	TP53 Regulates Transcription Of Additional Cell Death Genes With Uncertain Roles In P53-Dependent Apoptosis R-HSA-6803205	Reactome_2022	0.071429	0.928571	PERP
3	L3_109	L2_1	1	BMAL1:CLOCK,NPAS2 Activates Circadian Gene Expression R-HSA-1368108	Reactome_2022	0.037037	0.962963	BHLHE41
3	L3_11	L2_1	14	IRS Activation R-HSA-74713	Reactome_2022	0.055556	0.944444	C8A,PLA2G3,COL9A1,SEMA3B,KCNJ10,TPH1,CA14,TSPAN1,PTPRR,ANO2
3	L3_110	L2_1	1			0.0	1.0	RAP2A
3	L3_111	L2_1	1			0.0	1.0	RHBDL1
3	L3_112	L2_0	1			0.0	1.0	MKRN3
3	L3_113	L2_1	1			0.0	1.0	MYO1D
3	L3_114	L2_4	1	CHL1 Interactions R-HSA-447041	Reactome_2022	0.111111	0.888889	CHL1
3	L3_115	L2_0	1	Coagulation	MSigDB_Hallmark_2020	0.007246	0.992754	CPQ
3	L3_116	L2_0	1	Estrogen Biosynthesis R-HSA-193144	Reactome_2022	0.166667	0.833333	CYP19A1
3	L3_117	L2_5	1			0.0	1.0	BIRC7
3	L3_118	L2_0	1	Immunoregulatory Interactions Between A Lymphoid And A non-Lymphoid Cell R-HSA-198933	Reactome_2022	0.00813	0.99187	SIGLEC5
3	L3_119	L2_0	1			0.0	1.0	NXF3
3	L3_12	L2_1	14	Scavenging By Class A Receptors R-HSA-3000480	Reactome_2022	0.1	0.9	COL1A1,COL3A1,COL1A2,FBLN2,THBS1,MMP2,AEBP1,TGFBI,COL6A2,CLIP2
3	L3_120	L2_1	1	IL-2/STAT5 Signaling	MSigDB_Hallmark_2020	0.005025	0.994975	CAPG
3	L3_121	L2_1	1	HDL Clearance R-HSA-8964011	Reactome_2022	0.2	0.8	AMN
3	L3_122	L2_6	1	Nectin/Necl Trans Heterodimerization R-HSA-420597	Reactome_2022	0.142857	0.857143	CADM3
3	L3_123	L2_0	1	AMPK Inhibits chREBP Transcriptional Activity R-HSA-163680	Reactome_2022	0.125	0.875	ADIPOQ
3	L3_124	L2_1	1	Elevation Of Cytosolic Ca2+ Levels R-HSA-139853	Reactome_2022	0.066667	0.933333	P2RX3
3	L3_125	L2_0	1	Thyroxine Biosynthesis R-HSA-209968	Reactome_2022	0.1	0.9	DIO3
3	L3_126	L2_0	1	Eicosanoids R-HSA-211979	Reactome_2022	0.083333	0.916667	CYP4F8
3	L3_127	L2_1	1	Androgen Response	MSigDB_Hallmark_2020	0.01	0.99	STEAP4
3	L3_128	L2_0	1	MECP2 Regulates Transcription Of Neuronal Ligands R-HSA-9022702	Reactome_2022	0.142857	0.857143	CRH
3	L3_129	L2_0	1	Antimicrobial Peptides R-HSA-6803157	Reactome_2022	0.011236	0.988764	BPIFA1
3	L3_13	L2_1	13	HDL Clearance R-HSA-8964011	Reactome_2022	0.058824	0.941176	POPDC3,SOX3,SMR3B,APOA1,GCK,CTNND2,ECEL1,BCHE,FAM155A,ADCY2
3	L3_130	L2_1	1	Nef Mediated Downregulation Of MHC Class I Complex Cell Surface Expression R-HSA-164940	Reactome_2022	0.1	0.9	HLA-A
3	L3_131	L2_0	1			0.0	1.0	EN1
3	L3_132	L2_0	1			0.0	1.0	MMP27
3	L3_133	L2_0	1			0.0	1.0	CRCT1
3	L3_134	L2_1	1			0.0	1.0	ENDOU
3	L3_135	L2_0	1			0.0	1.0	CEACAM3
3	L3_136	L2_0	1	Neurotransmitter Receptors And Postsynaptic Signal Transmission R-HSA-112314	Reactome_2022	0.005495	0.994505	GLRA1
3	L3_137	L2_1	1	IL-6/JAK/STAT3 Signaling	MSigDB_Hallmark_2020	0.011494	0.988506	DNTT
3	L3_138	L2_0	1	ATF6 (ATF6-alpha) Activates Chaperone Genes R-HSA-381183	Reactome_2022	0.111111	0.888889	HSP90B1
3	L3_139	L2_0	1	Adenylate Cyclase Inhibitory Pathway R-HSA-170670	Reactome_2022	0.076923	0.923077	GNAT3
3	L3_14	L2_1	11	Glycoprotein Hormones R-HSA-209822	Reactome_2022	0.05	0.95	CAMP,NXPH4,NEFL,HCN2,CHAC1,INHBE,SRGAP3,AGER,DMRT1,CTF1
3	L3_140	L2_1	1	Neutrophil Degranulation R-HSA-6798695	Reactome_2022	0.002137	0.997863	TMC6
3	L3_141	L2_1	1	Neurexins And Neuroligins R-HSA-6794361	Reactome_2022	0.017544	0.982456	BEGAIN
3	L3_142	L2_1	1	Metallothioneins Bind Metals R-HSA-5661231	Reactome_2022	0.090909	0.909091	MT3
3	L3_143	L2_0	1	Post-chaperonin Tubulin Folding Pathway R-HSA-389977	Reactome_2022	0.043478	0.956522	TUBB3
3	L3_144	L2_0	1	Assembly Of Active LPL And LIPC Lipase Complexes R-HSA-8963889	Reactome_2022	0.052632	0.947368	FGF21
3	L3_145	L2_0	1	Expression And Translocation Of Olfactory Receptors R-HSA-9752946	Reactome_2022	0.002545	0.997455	OR1F1
3	L3_146	L2_0	1	PKA Activation In Glucagon Signaling R-HSA-164378	Reactome_2022	0.0625	0.9375	GNAS
3	L3_147	L2_0	1			0.0	1.0	NELL1
3	L3_148	L2_0	1			0.0	1.0	PKD2L1
3	L3_149	L2_0	1			0.0	1.0	INSRR
3	L3_15	L2_0	10	Mitochondrial Fatty Acid Beta-Oxidation Of Unsaturated Fatty Acids R-HSA-77288	Reactome_2022	0.066667	0.933333	CKB,FLG,WFDC2,AGR2,CDK2AP2,PPIB,MZT2B,OPN3,ECI1,TM7SF2
3	L3_150	L2_0	1	Keratinization R-HSA-6805567	Reactome_2022	0.004808	0.995192	KRT75
3	L3_151	L2_0	1	Interleukin-23 Signaling R-HSA-9020933	Reactome_2022	0.111111	0.888889	IL12B
3	L3_152	L2_1	1	BMAL1:CLOCK,NPAS2 Activates Circadian Gene Expression R-HSA-1368108	Reactome_2022	0.037037	0.962963	BHLHE40
3	L3_153	L2_0	1			0.0	1.0	MMP20
3	L3_154	L2_0	1	Cation-coupled Chloride Cotransporters R-HSA-426117	Reactome_2022	0.142857	0.857143	SLC12A3
3	L3_155	L2_0	1	Expression And Translocation Of Olfactory Receptors R-HSA-9752946	Reactome_2022	0.002545	0.997455	OR3A2
3	L3_156	L2_0	1			0.0	1.0	IGLJ3
3	L3_157	L2_1	1	Reduction Of Cytosolic Ca++ Levels R-HSA-418359	Reactome_2022	0.090909	0.909091	ATP2B4
3	L3_158	L2_0	1	N-glycan Trimming In ER And Calnexin/Calreticulin Cycle R-HSA-532668	Reactome_2022	0.028571	0.971429	MLEC
3	L3_159	L2_1	1	Multifunctional Anion Exchangers R-HSA-427601	Reactome_2022	0.111111	0.888889	SLC26A3
3	L3_16	L2_1	9	Voltage Gated Potassium Channels R-HSA-1296072	Reactome_2022	0.019608	0.980392	MYOC,SOSTDC1,HHIPL2,PAX1,TSPAN8,CNTNAP2,FAM163A,KCNA1,ODAM
3	L3_160	L2_1	1	Ion Transport By P-type ATPases R-HSA-936837	Reactome_2022	0.018868	0.981132	ATP4A
3	L3_161	L2_0	1	Regulation Of TLR By Endogenous Ligand R-HSA-5686938	Reactome_2022	0.055556	0.944444	LBP
3	L3_162	L2_1	1			0.0	1.0	CAMSAP1
3	L3_163	L2_0	1			0.0	1.0	LGALS14
3	L3_164	L2_0	1			0.0	1.0	ELF5
3	L3_165	L2_0	1	GABA Synthesis, Release, Reuptake And Degradation R-HSA-888590	Reactome_2022	0.052632	0.947368	GAD1
3	L3_166	L2_1	1	Glycosphingolipid Metabolism R-HSA-1660662	Reactome_2022	0.022222	0.977778	UGCG
3	L3_167	L2_1	1	Signal Regulatory Protein Family Interactions R-HSA-391160	Reactome_2022	0.076923	0.923077	SIRPA
3	L3_168	L2_0	1			0.0	1.0	TRAV12-2
3	L3_169	L2_0	1	Immunoregulatory Interactions Between A Lymphoid And A non-Lymphoid Cell R-HSA-198933	Reactome_2022	0.00813	0.99187	NCR3
3	L3_17	L2_0	7	Activated NTRK3 Signals Thru PI3K R-HSA-9603381	Reactome_2022	0.083333	0.916667	GBX2,NTF3,SLC38A4,ARL14,CABYR,KIAA0319,ARMC4
3	L3_170	L2_0	1	NGF-independant TRKA Activation R-HSA-187024	Reactome_2022	0.2	0.8	NTRK1
3	L3_171	L2_0	1			0.0	1.0	SFRP5
3	L3_172	L2_0	1	Dopamine Receptors R-HSA-390651	Reactome_2022	0.2	0.8	DRD1
3	L3_173	L2_0	1	G-protein Activation R-HSA-202040	Reactome_2022	0.041667	0.958333	PDYN
3	L3_174	L2_0	1	Metabolism Of Angiotensinogen To Angiotensins R-HSA-2022377	Reactome_2022	0.055556	0.944444	CPB1
3	L3_175	L2_0	1	Interleukin-20 Family Signaling R-HSA-8854691	Reactome_2022	0.038462	0.961538	IL24
3	L3_176	L2_0	1	Defective B3GALTL Causes PpS R-HSA-5083635	Reactome_2022	0.027027	0.972973	ADAMTS20
3	L3_177	L2_0	1			0.0	1.0	NPTX1
3	L3_178	L2_0	1	Tachykinin Receptors Bind Tachykinins R-HSA-380095	Reactome_2022	0.2	0.8	TACR3
3	L3_179	L2_1	1			0.0	1.0	PART1
3	L3_18	L2_0	7	Neurotransmitter Clearance R-HSA-112311	Reactome_2022	0.0625	0.9375	TCL1A,RGS13,AICDA,GPR18,SERPINA5,ACHE,VPREB3
3	L3_180	L2_0	1	Chromatin Modifying Enzymes R-HSA-3247509	Reactome_2022	0.004202	0.995798	PADI1
3	L3_181	L2_1	1	Defective EXT1 Causes Exostoses 1, TRPS2 And CHDS R-HSA-3656253	Reactome_2022	0.076923	0.923077	SDC4
3	L3_182	L2_1	1			0.0	1.0	RFX4
3	L3_183	L2_1	1	Translocation Of ZAP-70 To Immunological Synapse R-HSA-202430	Reactome_2022	0.058824	0.941176	HLA-DRA
3	L3_184	L2_0	1	FOXO-mediated Transcription Of Cell Cycle Genes R-HSA-9617828	Reactome_2022	0.058824	0.941176	FOXG1
3	L3_185	L2_0	1	Interleukin-18 Signaling R-HSA-9012546	Reactome_2022	0.125	0.875	IL37
3	L3_186	L2_0	1			0.0	1.0	FCGR3B
3	L3_187	L2_1	1			0.0	1.0	KLK15
3	L3_188	L2_1	1	Unwinding Of DNA R-HSA-176974	Reactome_2022	0.090909	0.909091	MCM5
3	L3_189	L2_1	1	Terminal Pathway Of Complement R-HSA-166665	Reactome_2022	0.142857	0.857143	CLU
3	L3_19	L2_0	6	MECP2 Regulates Transcription Of Neuronal Ligands R-HSA-9022702	Reactome_2022	0.083333	0.916667	HOXD1,SST,SLCO5A1,FUT7,SIGLEC7,GRIA3
3	L3_190	L2_1	1	TGF-beta Receptor Signaling In EMT (Epithelial To Mesenchymal Transition) R-HSA-2173791	Reactome_2022	0.0625	0.9375	PARD3
3	L3_191	L2_1	1	Hedgehog Signaling	MSigDB_Hallmark_2020	0.027778	0.972222	CELSR1
3	L3_192	L2_0	1	Neutrophil Degranulation R-HSA-6798695	Reactome_2022	0.002137	0.997863	SERPINB10
3	L3_193	L2_0	1	Regulation Of IFNA/IFNB Signaling R-HSA-912694	Reactome_2022	0.04	0.96	IFNA1
3	L3_194	L2_0	1	Suppression Of Apoptosis R-HSA-9635465	Reactome_2022	0.166667	0.833333	CTSG
3	L3_195	L2_0	1	Transcriptional Regulation By MECP2 R-HSA-8986944	Reactome_2022	0.016667	0.983333	PVALB
3	L3_196	L2_0	1			0.0	1.0	DAZL
3	L3_197	L2_0	1	Apical Surface	MSigDB_Hallmark_2020	0.022727	0.977273	RHCG
3	L3_198	L2_1	1	RHO GTPases Activate WASPs And WAVEs R-HSA-5663213	Reactome_2022	0.027778	0.972222	WIPF1
3	L3_199	L2_0	1	Vitamins R-HSA-211916	Reactome_2022	0.166667	0.833333	CYP26A1
3	L3_2	L2_2	410	Signal Transduction R-HSA-162582	Reactome_2022	0.033058	0.966942	TMPRSS11E,KLK6,VTCN1,EREG,CRLF2,CST2,VGLL1,CST5,SLC18A3,BRINP2
3	L3_20	L2_1	6	FGFR3b Ligand Binding And Activation R-HSA-190371	Reactome_2022	0.083333	0.916667	TREH,ARMCX3,CACNA1B,SLC52A1,ZDHHC8P1,FGF17
3	L3_200	L2_1	1	Acyl Chain Remodelling Of PC R-HSA-1482788	Reactome_2022	0.037037	0.962963	MBOAT2
3	L3_201	L2_1	1	Regulation Of RUNX2 Expression And Activity R-HSA-8939902	Reactome_2022	0.013889	0.986111	MSX2
3	L3_202	L2_1	1			0.0	1.0	LINC00652
3	L3_203	L2_0	1	Serotonin Receptors R-HSA-390666	Reactome_2022	0.090909	0.909091	HTR1A
3	L3_204	L2_0	1	BBSome-mediated Cargo-Targeting To Cilium R-HSA-5620922	Reactome_2022	0.043478	0.956522	MCHR1
3	L3_205	L2_0	1			0.0	1.0	ZG16
3	L3_206	L2_0	1	Keratinization R-HSA-6805567	Reactome_2022	0.004808	0.995192	KRT24
3	L3_207	L2_0	1	ECM Proteoglycans R-HSA-3000178	Reactome_2022	0.018182	0.981818	IBSP
3	L3_208	L2_1	1			0.0	1.0	POU5F1B
3	L3_209	L2_1	1	Amyloid Fiber Formation R-HSA-977225	Reactome_2022	0.012658	0.987342	SORL1
3	L3_21	L2_0	6	Formation Of Editosome R-HSA-75094	Reactome_2022	0.076923	0.923077	APOBEC3B,TXK,KIF14,GTSE1,TRIP13,E2F8
3	L3_210	L2_0	1	Dopamine Receptors R-HSA-390651	Reactome_2022	0.2	0.8	DRD5
3	L3_211	L2_1	1	Post-translational Protein Phosphorylation R-HSA-8957275	Reactome_2022	0.009434	0.990566	IGFBP5
3	L3_212	L2_0	1	Serotonin Receptors R-HSA-390666	Reactome_2022	0.090909	0.909091	HTR4
3	L3_213	L2_0	1	CD163 Mediating An Anti-Inflammatory Response R-HSA-9662834	Reactome_2022	0.111111	0.888889	IL10
3	L3_214	L2_0	1			0.0	1.0	CGA
3	L3_215	L2_0	1			0.0	1.0	RALYL
3	L3_216	L2_0	1			0.0	1.0	NXPE4
3	L3_217	L2_1	1	Peptide Ligand-Binding Receptors R-HSA-375276	Reactome_2022	0.005102	0.994898	PYY
3	L3_218	L2_7	1	Antigen Processing: Ubiquitination And Proteasome Degradation R-HSA-983168	Reactome_2022	0.003257	0.996743	TRIM36
3	L3_219	L2_0	1	Chemokine Receptors Bind Chemokines R-HSA-380108	Reactome_2022	0.017857	0.982143	ACKR4
3	L3_22	L2_1	5	Physiological Factors R-HSA-5578768	Reactome_2022	0.055556	0.944444	NPPC,SLC1A2,CES3,DGKG,FAM110B
3	L3_220	L2_0	1	Downregulation Of SMAD2/3:SMAD4 Transcriptional Activity R-HSA-2173795	Reactome_2022	0.032258	0.967742	ATP1B4
3	L3_221	L2_0	1	Other Interleukin Signaling R-HSA-449836	Reactome_2022	0.041667	0.958333	PTPRZ1
3	L3_222	L2_0	1			0.0	1.0	ADARB2
3	L3_223	L2_0	1	Smooth Muscle Contraction R-HSA-445355	Reactome_2022	0.023256	0.976744	MYL7
3	L3_224	L2_0	1			0.0	1.0	PAX2
3	L3_225	L2_1	1	Defective EXT1 Causes Exostoses 1, TRPS2 And CHDS R-HSA-3656253	Reactome_2022	0.076923	0.923077	SDC3
3	L3_226	L2_0	1	Signaling By MAPK Mutants R-HSA-9652817	Reactome_2022	0.142857	0.857143	DUSP9
3	L3_227	L2_0	1			0.0	1.0	CDX1
3	L3_228	L2_0	1	Voltage Gated Potassium Channels R-HSA-1296072	Reactome_2022	0.023256	0.976744	KCNS1
3	L3_229	L2_0	1			0.0	1.0	TRIM15
3	L3_23	L2_0	5	HDL Remodeling R-HSA-8964058	Reactome_2022	0.071429	0.928571	APOA2,ORM1,ALB,FGA,HP
3	L3_230	L2_1	1	Cholesterol Biosynthesis R-HSA-191273	Reactome_2022	0.038462	0.961538	DHCR24
3	L3_231	L2_1	1	Apical Junction	MSigDB_Hallmark_2020	0.005	0.995	MPZL2
3	L3_232	L2_1	1	Estrogen Response Early	MSigDB_Hallmark_2020	0.005	0.995	TBC1D30
3	L3_233	L2_1	1	Class B/2 (Secretin Family Receptors) R-HSA-373080	Reactome_2022	0.01087	0.98913	PTH1R
3	L3_234	L2_1	1	Sphingolipid De Novo Biosynthesis R-HSA-1660661	Reactome_2022	0.022727	0.977273	SGMS1
3	L3_235	L2_1	1	Activation Of Arylsulfatases R-HSA-1663150	Reactome_2022	0.076923	0.923077	ARSF
3	L3_236	L2_0	1	Detoxification Of Reactive Oxygen Species R-HSA-3299685	Reactome_2022	0.029412	0.970588	GPX3
3	L3_237	L2_0	1			0.0	1.0	CA10
3	L3_238	L2_0	1	Voltage Gated Potassium Channels R-HSA-1296072	Reactome_2022	0.023256	0.976744	KCNB2
3	L3_239	L2_0	1			0.0	1.0	CDHR1
3	L3_24	L2_1	5	Sodium-coupled Phosphate Cotransporters R-HSA-427652	Reactome_2022	0.111111	0.888889	SLC2A3,HBEGF,MAFF,SLC20A1,ANO3
3	L3_240	L2_0	1	Impaired BRCA2 Binding To RAD51 R-HSA-9709570	Reactome_2022	0.028571	0.971429	SERPINA2
3	L3_241	L2_0	1			0.0	1.0	TEX11
3	L3_242	L2_0	1	Class C/3 (Metabotropic Glutamate/Pheromone Receptors) R-HSA-420499	Reactome_2022	0.025	0.975	GRM3
3	L3_243	L2_1	1	Na+/Cl- Dependent Neurotransmitter Transporters R-HSA-442660	Reactome_2022	0.052632	0.947368	SLC6A6
3	L3_244	L2_1	1	Synthesis Of PIPs At Plasma Membrane R-HSA-1660499	Reactome_2022	0.019608	0.980392	PLEKHA4
3	L3_245	L2_1	1	Signaling By BMP R-HSA-201451	Reactome_2022	0.037037	0.962963	FSTL1
3	L3_246	L2_1	1	Neutrophil Degranulation R-HSA-6798695	Reactome_2022	0.002137	0.997863	FOLR3
3	L3_247	L2_1	1	Other Interleukin Signaling R-HSA-449836	Reactome_2022	0.041667	0.958333	CSF1
3	L3_248	L2_0	1	Cell Surface Interactions At Vascular Wall R-HSA-202733	Reactome_2022	0.007463	0.992537	CD244
3	L3_249	L2_0	1	Adherens Junctions Interactions R-HSA-418990	Reactome_2022	0.034483	0.965517	CDH10
