pmid	title	year	journal	query_types	direction	outcome	clinical	druggable
29657921	Toxic effects of polybrominated diphenyl ethers (BDE 47 and 99) and localization of BDE-99-induced cyp1a mRNA in zebrafish larvae.	2017	Toxicology reports	thyroid		0	0	0
41487507	Bromhexine hydrochloride enhances the therapeutic efficacy of tiamulin against experimental Staphylococcus aureus infection in dogs: targeting bacterial virulence, boosting antioxidant defense, and improving histopathology.	2025	Frontiers in pharmacology	drug	mixed	0	0	0
41424575	Investigating the therapeutic potential of pinocembrin in Alzheimer's disease: insights from network pharmacology and molecular docking.	2026	In silico pharmacology	drug		0	0	0
41336283	Translocation of benzo(a)pyrene reactive metabolites across human mammary epithelial cell membranes.	2025	PloS one	cancer		0	0	0
41175304	Novel molecular biomarkers associated with Taxane-induced toxicities in women with breast cancer from the Brazilian Amazon.	2026	Clinical &amp; translational oncology : official publication of the Federation o	cancer		0	0	0
40719721	Paucity of optineurin gene variants in Indian juvenile open-angle glaucoma patients.	2025	Indian journal of ophthalmology	drug		0	0	0
41825701	Molecular crosstalk between PPAR&#x3b3; and AhR determines the endocrine-disrupting profile of amiodarone (AMD) in hippocampal neurons.	2026	Food and chemical toxicology : an international journal published for the Britis	drug	down	0	0	1
33452985	Features of the Copy Number Variation of Certain Genes in Tumor Cells in Patients with Serous Ovarian Adenocarcinoma.	2021	Bulletin of experimental biology and medicine	braf		0	0	0
41392618	Origin of the metabolic site selectivity of 7,12-dimethylbenz[a]anthracene catalysed by the P450 1B1 cytochrome: an in silico protocol.	2026	Physical chemistry chemical physics : PCCP	cancer		0	0	0
39885683	Application of a CYP1B1-Targeted NIR Probe for Breast Cancer Diagnosis, Surgical Navigation, and CYP1B1-Associated Chemotherapy Resistance Monitoring.	2025	Molecular pharmaceutics	cancer	up	0	0	0
39925462	Network pharmacology and in silico approach to study the mechanism of quercetin against breast cancer.	2025	In silico pharmacology	cancer		1	0	0
40774096	B7-H3 enhances the malignant phenotype of colorectal cancer by activating the Wnt/&#x3b2;-catenin pathway mediated by CYP1B1.	2025	Tissue &amp; cell	cancer		0	0	0
40944994	Phytoestrogens and their synthetic analogues as substrate mimic inhibitors of CYP1B1 - An update (2020-2025).	2025	Bioorganic &amp; medicinal chemistry	cancer,drug		0	0	1
40940993	Synergistic Effects of Novel Xanthone Derivatives and Mild Hyperthermia in Ovarian Cancer: Insights from Gene Expression and In Silico Analyses.	2025	Cancers	cancer,drug		0	0	0
31936153	The Aryl Hydrocarbon Receptor Is Expressed in Thyroid Carcinoma and Appears to Mediate Epithelial-Mesenchymal-Transition.	2020	Cancers	thyroid		1	0	0
