pmid	title	year	journal	query_types	direction	outcome	clinical	druggable
41612594	PRKAB2 as a tumor suppressor in renal cell carcinoma: inhibiting mitophagy via the LRPPRC-PRKN/parkin interaction and cardiolipin biosynthesis.	2026	Autophagy	cancer,drug	mixed	1	0	1
41959031	Rejuvenation of the Aged Cerebrovascular System via Protein Corona-Guided Fusogenic Liposome Delivery.	2026	bioRxiv : the preprint server for biology	drug		0	0	0
39772239	Vesicular Stomatitis Virus: Insights into Pathogenesis, Immune Evasion, and Technological Innovations in Oncolytic and Vaccine Development.	2024	Viruses	cancer		0	0	1
40354680	Accelerated atherosclerosis associated with immune checkpoint inhibitors: a systematic review and meta-analysis of pre-clinical studies.	2025	Atherosclerosis	cancer	up	0	0	0
41558900	Severe hypercholesterolemia in a pediatric cohort: Familial homozygous and autosomal recessive hypercholesterolemia.	2026	Journal of clinical lipidology	drug	up	1	0	0
27463962	Role of LRP-1 in cancer cell migration in 3-dimensional collagen matrix.	2017	Cell adhesion &amp; migration	thyroid	up	0	0	1
41881029	Programmable Lipid Functionalization of Nucleic Acid Nanoparticles Modulates Liver Cell-Type Targeting.	2026	ACS applied materials &amp; interfaces	drug	up	0	0	0
36419462	Thyroid hormone elicits intergenerational epigenetic effects on adult social behavior and fetal brain expression of autism susceptibility genes.	2022	Frontiers in neuroscience	thyroid	down	0	0	0
34817021	The role of purslane in modulating diverse effects of high fat diet on biochemical, histological, and molecular parameters of rats' liver.	2021	Brazilian journal of biology = Revista brasleira de biologia	thyroid		0	0	0
41694628	The High Price of Interrupted Follow-Up: Catastrophic Progression of Homozygous Familial Hypercholesterolemia-A Case Report and Literature Review.	2026	Clinical case reports	drug	up	1	0	0
37446330	Low-Density Lipoprotein Receptor Is a Key Driver of Aggressiveness in Thyroid Tumor Cells.	2023	International journal of molecular sciences	thyroid,braf	mixed	1	0	0
40362754	(-)-Oleuropein as a Novel Metastatic Castration-Resistant Prostate Cancer Progression and Recurrence Suppressor via Targeting PCSK9-LDLR Axis.	2025	Nutrients	cancer	down	1	0	0
41603583	Mining Potential Therapeutic Targets for T Cell Exhaustion in Osteoarthritis by Integrating Mendelian Randomization and Single-Cell Sequencing.	2026	FASEB journal : official publication of the Federation of American Societies for	drug	mixed	1	0	1
41667233	Frequency of familial hypercholesterolaemia-causing genetic variants in the 100 000 Genomes Project cohort: whole genome sequencing analyses of 77 260 participants.	2026	Journal of medical genetics	cancer	up	0	0	0
40617379	Causal role of phenylalanine and cholesterol metabolism in bladder cancer Chemoresistance: Insights from mendelian randomization and targeted molecular docking.	2025	Archives of biochemistry and biophysics	cancer	up	0	0	0
39869796	Chronic stress-induced cholesterol metabolism abnormalities promote ESCC tumorigenesis and predict neoadjuvant therapy response.	2025	Proceedings of the National Academy of Sciences of the United States of America	cancer		0	0	0
39804138	Ternary Complex Components Responsible for Rapid LDL Internalization as Biomarkers for Breast Cancer Associated with Proliferation and Early Recurrence.	2025	Cancer research communications	cancer	up	1	0	0
41799714	Biochemical characterisation of familial hypercholesterolemia: Associations between genetic and lipid profiles.	2026	Journal of medical biochemistry	drug	up	0	0	0
41624538	NIR-II biomimetic nanoplatform optogenetic CD274 editing of HNSCC immunogenicity for enhanced photoimmunotherapy.	2026	Materials today. Bio	drug		0	0	0
29865996	The LDL-Receptor and its Molecular Properties: From Theory to Novel Biochemical and Pharmacological Approaches in Reducing LDL-cholesterol.	2020	Current medicinal chemistry	thyroid		0	0	0
40551403	Mechanisms of action and therapeutic potential of PCSK9-regulating drugs.	2025	Pharmaceutical biology	cancer		0	0	1
39265628	Divergent effects of acute and chronic PPT1 inhibition in melanoma.	2025	Autophagy	braf	up	0	0	1
40452015	Cholesterol-induced colorectal cancer progression and its mitigation through gut microbiota remodeling and simvastatin treatment.	2025	BMC cancer	cancer	mixed	0	0	0
40192514	PCSK9 Promotes the Malignancy of Triple-negative Breast Cancer Cells by Reducing Cholesterol Levels at the Plasma Membrane to Activate EGFR and HER3.	2025	Advanced science (Weinheim, Baden-Wurttemberg, Germany)	cancer	mixed	1	0	0
41700118	Structural heterogeneity of apolipoprotein B-100.	2026	The FEBS journal	drug		0	0	0
41894579	Evinacumab with or without lipoprotein apheresis in homozygous familial hypercholesterolaemia.	2026	European journal of preventive cardiology	drug	up	0	0	1
41501311	PCSK9 and ANGPTL3 Inhibitors in Homozygous Familial Hypercholesterolemia: A Meta-analysis of Randomized Clinical Trials.	2026	Drugs	drug	down	0	1	0
40270603	Cholesterol effects on the tumor immune microenvironment: from fundamental concepts to mechanisms and implications.	2025	Frontiers in oncology	cancer	up	0	0	0
41956189	Facilitating siRNA delivery into mammalian cells via the LDL receptor.	2026	International journal of biological macromolecules	drug		0	0	0
41567901	Sodium-Glucose Cotransporter 2 (SGLT2) Inhibitors and Lipid Modulation in Heart Failure: A Narrative Review.	2025	Cureus	drug		0	0	1
35951260	Changes in regulators of lipid metabolism in the brain: a study of animal models of depression and hypothyroidism.	2022	Pharmacological reports : PR	thyroid	down	0	0	0
40829599	The Causal Pivot: A structural approach to genetic heterogeneity and variant discovery in complex diseases.	2025	American journal of human genetics	cancer		0	0	0
39403034	Pancreatic inflammation induced by hypothyroidism in female rabbits is associated with cholesterol accumulation and a reduced expression of CYP51A1, FXR&#x3b2;, and PPAR&#x3b2;/&#x3b4;.	2025	Anatomical record (Hoboken, N.J. : 2007)	thyroid	down	0	0	0
40972529	mTOR inhibition reprograms cellular lipid homeostasis by inducing alternative lipid uptake and promoting cholesterol transport.	2025	Molecular cell	cancer		0	0	0
