plate_v4_arm	candidate_success_rate	unlock_probability	threshold_successes	n_candidates	endpoint
B_mechanism_TCR_MD	0.8200000000000001	0.9676	1	2	pMHC_binding_plus_TCR_readout
B_mechanism_TCR_MD	0.8300000000000001	0.9711	1	2	pMHC_binding_plus_TCR_readout
B_mechanism_TCR_MD	0.84	0.9743999999999999	1	2	pMHC_binding_plus_TCR_readout
B_mechanism_TCR_MD	0.85	0.9774999999999999	1	2	pMHC_binding_plus_TCR_readout
B_mechanism_TCR_MD	0.86	0.9803999999999999	1	2	pMHC_binding_plus_TCR_readout
B_mechanism_TCR_MD	0.87	0.9831000000000001	1	2	pMHC_binding_plus_TCR_readout
B_mechanism_TCR_MD	0.88	0.9856	1	2	pMHC_binding_plus_TCR_readout
B_mechanism_TCR_MD	0.89	0.9879	1	2	pMHC_binding_plus_TCR_readout
B_mechanism_TCR_MD	0.9	0.99	1	2	pMHC_binding_plus_TCR_readout
B_mechanism_TCR_MD	0.91	0.9919	1	2	pMHC_binding_plus_TCR_readout
B_mechanism_TCR_MD	0.92	0.9936	1	2	pMHC_binding_plus_TCR_readout
B_mechanism_TCR_MD	0.93	0.9951000000000001	1	2	pMHC_binding_plus_TCR_readout
B_mechanism_TCR_MD	0.9400000000000001	0.9964000000000001	1	2	pMHC_binding_plus_TCR_readout
B_mechanism_TCR_MD	0.9500000000000001	0.9974999999999999	1	2	pMHC_binding_plus_TCR_readout
B_mechanism_TCR_MD	0.96	0.9984000000000001	1	2	pMHC_binding_plus_TCR_readout
B_mechanism_TCR_MD	0.97	0.9991	1	2	pMHC_binding_plus_TCR_readout
B_mechanism_TCR_MD	0.98	0.9995999999999999	1	2	pMHC_binding_plus_TCR_readout
B_mechanism_TCR_MD	0.99	0.9999	1	2	pMHC_binding_plus_TCR_readout
B_mechanism_TCR_MD	1.0	1.0	1	2	pMHC_binding_plus_TCR_readout
A_clean_discovery	0.0	0.0	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.01	0.001460447605	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.02	0.005687123519999999	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.03	0.012455870445	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.04	0.021552762879999996	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.05	0.032773828125	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.06	0.04592477087999999	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.07	0.06082070144499999	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.08	0.07728586752000001	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.09	0.09515338960500001	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.1	0.11426500000000002	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.11	0.134470785405	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.12	0.15562893311999998	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.13	0.177605480845	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.14	0.20027407008	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.15	0.22351570312499994	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.16	0.24721850367999998	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.17	0.27127748104500005	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.18	0.2955942979200001	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.19	0.3200770418050001	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.2	0.3446400000000001	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.21	0.369203438205	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.22	0.39369338272000004	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.23	0.418041406245	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.24	0.44218441727999996	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.25	0.466064453125	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
