sample_id	v17_dark_cluster	CD274	PDCD1	CTLA4	IDO1	HLA-A	HLA-B	HLA-C	B2M	cytolytic_score
TCGA-EL-A3CS-01A	DM1	4.012246988470174	0.4481963606216322	0.6746252678307545	1.0191739047887505	10.058905687964543	10.265195633096614	9.999905027463354	11.05480784702712	0.8182304654631081
TCGA-FK-A3SD-01A	DM2	2.031510499346813	1.378686268818068	0.0201115016954122	5.034818311979981	9.7172322410522	9.076658203296038	8.889101193220553	10.598594085550785	0.39266067308172287
TCGA-DJ-A13W-01A	DM1	0.6116833792280761	0.5768844015412491	0.2851059894702575	2.8388328871145685	8.909424276083385	8.42171030587622	6.751859458678441	7.807102532791477	1.4293812251981142
TCGA-DJ-A13R-01A	DM1	3.2477766930015672	4.496615876580571	1.7948512111924082	6.048658484382919	11.516835721762725	11.104436564803851	10.305429319735437	11.940630927325254	5.100470605312376
TCGA-EL-A3ZK-01A	DM1	5.878698452306415	1.1268653126049857	1.965611511110296	2.111329829789506	9.960235448509156	10.45671764853144	9.948116407058745	11.882206567970329	1.9530330787884607
TCGA-ET-A3DS-01A	DM2	2.022535941416692	1.3709806527443738	0.5875011393039534	1.5975429740410962	8.37519910645735	8.731618775852699	9.222364237403555	10.323489122261387	1.648336105828122
TCGA-EL-A3D4-01A	DM1	2.60715217954225	1.0219953888670572	0.1121546171763759	0.8221115070508641	10.340047683222636	9.58340772027156	9.529035186097609	10.979453549158844	1.8957667632553556
TCGA-EM-A3AN-01A	DM1	2.807689386164921	0.9837797913243624	0.4506068467400336	2.2306046713555374	9.857758642286717	9.85458828433883	9.982415471225986	11.50337032919835	1.8925821616273732
TCGA-DE-A0Y2-01A	DM1	3.717677177224149	0.6407060362218212	0.3999707152958189	0.4514388078177196	10.19250628287703	10.380180836078251	9.968848283691257	11.741022975802274	0.929393200193112
TCGA-CE-A27D-01A	DM1	4.028034001149984	4.004947303233386	2.240968981986926	6.208140198911952	11.355921584538605	11.48569709276328	10.893251319326655	12.724594798364198	4.415960389913414
TCGA-BJ-A0Z0-01A	DM2	1.825662181963887	0.2646911998297611	0.0	0.7143562799079577	8.77174298614357	7.979638808330367	7.485148099829962	10.106762200974964	0.8019323896002544
TCGA-FK-A4UB-01A	DM1	2.319980464433677	1.4610759608770478	0.5723874416905076	1.280054385356882	10.150274554137196	10.238678249173295	8.60565328777444	10.560235681696396	1.485533811119227
TCGA-H2-A421-01A	DM1	4.139699925159396	3.3994984589153496	2.6734753220311163	2.491115844325348	11.253761809257464	11.92740765431334	11.011197651541696	12.788875130609116	3.359639890297859
TCGA-CE-A483-01A	DM1	3.4874525664946696	0.3676168748747401	0.3347945932232677	0.3997090081370732	9.703005533261353	10.181721800396152	9.18970109523614	11.895494535305389	1.5516568595209383
TCGA-FY-A76V-01A	DM1	3.247875194553298	0.9076667966199332	0.5358961764449648	1.246835751280862	8.638932124077245	8.883103964883547	8.677985121068545	10.58307541506107	1.94710136399528
TCGA-DO-A2HM-01B	DM1	5.019793887171601	2.914605044839333	3.367343356098465	5.640623330080699	10.549692948680168	11.392693092525905	10.527442708759713	12.49807264917544	4.272810828044193
TCGA-EL-A3T0-01A	DM1	3.287721583666765	1.557123721020215	0.9141555712375342	1.5178781874491831	9.693003831487957	9.99665155653806	9.31305986424186	11.34850660126893	2.294018578274116
TCGA-BJ-A0ZJ-01A	DM1	3.328603124535684	3.777046802466565	2.05735614209788	3.0259209169813994	11.007721294039037	11.485809361824398	10.605254527775326	12.421966556949434	3.8632040095146216
TCGA-EL-A3T9-01A	DM1	2.660788615569534	0.4902952137049672	2.271841017435313	1.6757682252456207	8.91580139677918	9.187595641522815	9.054546168452264	10.095903705404869	0.8123898477634355
TCGA-EM-A1YD-01A	DM2	2.1308577361252903	0.6670178196632138	0.52691074434283	2.924905729562852	9.025569198128965	9.370935740066574	9.365000108270175	10.499850053094658	1.9612278110932624
TCGA-EL-A3H1-01A	DM2	1.783853325559279	0.7142761124360137	0.0630848381712657	0.8985146758271979	9.428379061555743	8.915789325155206	8.184630921077051	10.491834551953758	0.9380451997582335
TCGA-DJ-A3VK-01A	DM1	1.5040764854617608	1.7530331438281974	0.1156646815032525	0.6175188302451078	9.097476003504411	9.811986208601729	8.903045314284187	10.906591774680614	2.6294861170744968
TCGA-EM-A4FR-01A	DM1	2.339852532676388	1.2752161921448617	0.6878701541377253	0.2795500479373338	9.758594261663331	9.814059640311672	8.126918626774929	9.547007726868506	1.2151596111670206
TCGA-EL-A3ZR-01A	DM2	1.3728959299817984	0.7101371800889048	0.1159373462141791	0.0706741868295922	9.22504809145166	8.363064179450893	8.826667913111091	10.485847375623152	0.9024603958885673
TCGA-EM-A2P1-06A	DM1	3.7242274168351632	2.7947559144505147	3.271986939448433	3.710575350347754	10.977739974917316	11.487600316513078	10.375219316578834	13.185057075565684	3.779204580930058
TCGA-ET-A39R-01A	DM1	4.916884564418783	3.758031986494237	2.6315945933484977	6.182121841119205	12.670616958720172	12.725019236529295	11.935970738467034	13.322164112576834	4.438669931983192
