sample_id	cluster	rai_score
TCGA-EL-A3CX-01A	DM1	3.713022289346987
TCGA-EM-A1YB-01A	DM2	7.714585642171316
TCGA-ET-A3DV-01A	DM2	9.23300731754149
TCGA-BJ-A28V-01A	DM2	9.618704687357255
TCGA-EM-A3FP-01A	DM2	9.472600792148738
TCGA-EM-A22N-01A	DM2	9.558454576075995
TCGA-DJ-A3VL-01A	DM1	8.896579959348424
TCGA-EM-A3FL-01A	DM2	9.774846475742718
TCGA-EM-A2OY-01A	DM2	9.089360130567787
TCGA-EM-A3AJ-01A	DM1	8.731270289760156
TCGA-FE-A238-01A	DM1	7.396540740723165
TCGA-DJ-A2Q1-01A	DM1	5.317078621545768
TCGA-EM-A1YE-01A	DM2	9.83022631216876
TCGA-ET-A25N-01A	DM1	7.68527426476423
TCGA-E8-A438-01A	DM1	6.988212502443887
TCGA-ET-A3DQ-01A	DM1	7.97987569132944
TCGA-J8-A3O1-01A	DM1	5.59439922835984
TCGA-FE-A239-01A	DM2	10.24759547164534
TCGA-DE-A4M8-01A	DM1	7.7634563591496395
TCGA-BJ-A28W-01A	DM1	8.595945197921456
TCGA-BJ-A28T-01A	DM1	9.77207149731225
TCGA-EM-A3FQ-06A	DM1	8.266531811153296
TCGA-DJ-A4V0-01A	DM1	9.55918833732052
TCGA-EL-A3H2-01A	DM2	10.35532776424863
TCGA-EM-A2CO-01A	DM2	8.961315383244939
TCGA-EL-A3ZM-01A	DM1	4.931554824365996
TCGA-FE-A3PA-01A	DM1	7.374725825805831
TCGA-ET-A25P-01A	DM1	9.16012744421737
TCGA-BJ-A191-01A	DM2	7.844796515112649
TCGA-EM-A3O9-01A	DM2	6.474902242489798
TCGA-DJ-A3UV-01A	DM1	9.39483231952736
TCGA-FE-A3PD-01A	DM1	7.279338743808463
TCGA-ET-A3BN-01A	DM1	7.706093126509616
TCGA-BJ-A45E-01A	DM1	6.579429107784756
TCGA-EL-A3D5-01A	DM2	8.54707264256406
TCGA-EL-A3CW-01A	DM1	9.03737132181458
TCGA-KS-A41J-01A	DM1	7.046600251154812
TCGA-BJ-A0ZA-01A	DM2	9.866916673685202
TCGA-KS-A41L-01A	DM2	9.895220678594177
TCGA-BJ-A28S-01A	DM2	8.610408029086912
TCGA-BJ-A28Z-01A	DM1	6.492766515188831
TCGA-DJ-A3US-01A	DM1	9.037402918871603
TCGA-DE-A2OL-01A	DM2	9.426023587746826
TCGA-FK-A3S3-01A	DM1	7.30301593777853
TCGA-ET-A39T-01A	DM1	7.121654244918018
TCGA-DE-A69K-01A	DM1	7.143705238251592
TCGA-ET-A25M-01A	DM1	6.919134755013719
TCGA-DJ-A4V5-01A	DM1	7.857462477631627
TCGA-DE-A4M9-01A	DM2	8.83341971093472
TCGA-ET-A39N-01A	DM2	8.335387107637729
TCGA-E8-A416-01A	DM2	9.207464236736893
TCGA-KS-A4ID-01A	DM1	8.622616214013108
TCGA-DJ-A13U-01A	DM1	7.428059424455936
TCGA-EL-A3T2-01A	DM2	9.033341631704605
TCGA-DE-A4MA-01A	DM1	6.108869687402248
TCGA-DJ-A2Q0-01A	DM2	7.3809180531293626
TCGA-EL-A3T6-01A	DM1	6.898200310049534
TCGA-EM-A3O8-01A	DM2	9.02142277967419
TCGA-DJ-A2Q2-01A	DM2	9.695516696165177
TCGA-BJ-A0ZG-01A	DM2	9.534847815130101
TCGA-EM-A2OW-01A	DM2	10.040703707728575
TCGA-BJ-A3F0-01A	DM2	10.851633031312453
TCGA-EL-A3CY-01A	DM1	7.042476280102049
TCGA-EM-A3AQ-01A	DM1	7.037646803085524
TCGA-J8-A4HW-06A	DM1	7.520168184961039
TCGA-J8-A4HW-01A	DM1	8.312764817611367
TCGA-BJ-A291-01A	DM2	8.643422239833269
TCGA-CE-A3MD-01A	DM1	7.601368325241796
TCGA-EL-A3ZN-01A	DM1	7.528520118886969
TCGA-BJ-A2N9-01A	DM2	9.360146847899284
TCGA-DJ-A4UP-01A	DM1	8.489313286821716
TCGA-E8-A44M-01A	DM1	8.36329553954683
TCGA-EM-A3O6-01A	DM2	9.754490237966165
TCGA-EM-A4FH-01A	DM2	9.526857438002525
TCGA-FY-A40N-01A	DM2	9.316637051399576
TCGA-FY-A3WA-01A	DM2	9.527532754915743
TCGA-ET-A2MX-01A	DM1	6.22166193139517
TCGA-FY-A3I5-01B	DM2	9.567397910425077
TCGA-EM-A2OV-01A	DM2	9.384847748793867
TCGA-EM-A3AI-01A	DM2	9.791067166975065
TCGA-FY-A4B0-01A	DM2	9.35684789494718
TCGA-FY-A40M-01A	DM1	6.9932565346841855
TCGA-ET-A4KN-01A	DM1	4.960186739635887
TCGA-ET-A40P-01A	DM1	8.287137025068967
TCGA-FE-A22Z-01A	DM1	5.9186613222722
TCGA-FK-A3SG-01A	DM1	7.627333423503505
TCGA-EM-A22Q-01A	DM1	8.814807090306854
TCGA-DE-A4MC-01A	DM1	6.0547136540692215
TCGA-DJ-A13S-01A	DM2	8.794071433006431
TCGA-EM-A3SY-01A	DM2	7.64784065427131
TCGA-EL-A3TB-01A	DM1	8.179112505061477
TCGA-BJ-A45C-01A	DM2	8.899403145150867
TCGA-DJ-A2PX-01A	DM1	7.668794450572699
TCGA-EL-A3ZS-01A	DM1	8.458826352349412
