pathway	Name	pathway	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	source
20	prerank	Rheumatoid arthritis	-0.8936828965024797	-1.4398172361018946	0.0012468827930174563	0.01222678094095198	0.117	46/89	5.48%	ICAM1;ACP5;HLA-DQA1;CXCL2;ITGB2;HLA-DRB1;LTB;HLA-DOA;HLA-DPB1;HLA-DRA;HLA-DPA1;HLA-DQB1;HLA-DRB5;CCL5;CD86;CXCL8;HLA-DQA2;HLA-DOB;CSF2;HLA-DMA;IL18;CTSK;CTLA4;TCIRG1;TLR2;TNFSF11;CCL2;TNFSF13B;TGFB1;CCL20;ITGAL;CD28;CSF1;ATP6V1B2;TGFB3;CXCL3;IL6;IL1B;CXCL5;CXCL1;HLA-DMB;TNFRSF11A;IL23A;IFNG;TNF;CD80	KEGG
21	prerank	Leukocyte transendothelial migration	-0.8873428189670607	-1.4380634649461241	0.0	0.012752007295058808	0.128	40/112	5.61%	CLDN1;RAC2;ICAM1;CLDN16;CLDN10;ITGB2;NCF2;ITGAM;NCF4;CLDN2;PTK2B;VAV1;PIK3CD;CYBB;RASSF5;MMP9;ITK;RHOH;SIPA1;ACTN1;NCF1;VASP;ITGAL;ITGA4;CXCR4;MSN;MAPK13;GNAI2;MMP2;VCAM1;CLDN4;TXK;CYBA;CLDN11;MYL12B;MYL12A;CLDN9;MYL9;PRKCB;CLDN7	KEGG
22	prerank	Epstein-Barr virus infection	-0.8522018644920829	-1.432054054279978	0.0	0.015652094339994184	0.16	69/196	4.43%	JAK3;ICAM1;HLA-DQA1;HLA-DRB1;HLA-DOA;HLA-DPB1;HLA-DRA;BID;HLA-DPA1;HLA-DQB1;HLA-DRB5;CD3E;CCNA1;TRAF5;CD40;HLA-DQA2;HLA-DOB;NFKBIE;HLA-G;STAT1;PIK3CD;CD3D;HLA-B;BTK;HLA-DMA;FAS;NFKB2;CD58;HLA-F;CXCL10;HLA-A;TLR2;HLA-C;CD3G;RELB;CD247;LYN;RUNX3;ITGAL;ENTPD8;TAP1;IKBKE;MYC;MAP3K14;TAP2;CD19;HLA-E;B2M;MAPK13;ENTPD1;ISG15;CASP8;CR2;DDB2;IFNAR2;IRF9;IRF3;OAS1;MYD88;IL6;GADD45A;IRF7;FCER2;TNFAIP3;OAS3;CCND3;CD44;CCND2;HLA-DMB	KEGG
23	prerank	Hematopoietic cell lineage	-0.89576682330731	-1.4306829458575405	0.0012376237623762376	0.015497841816063809	0.17	58/95	4.83%	HLA-DQA1;HLA-DRB1;HLA-DOA;CD55;ITGAM;HLA-DPB1;HLA-DRA;HLA-DPA1;HLA-DQB1;CD2;HLA-DRB5;CD37;CD3E;CD1C;CSF2RA;IL7R;ANPEP;HLA-DQA2;HLA-DOB;CD1E;CD5;CD3D;CD1A;CD7;IL2RA;CD4;ITGA3;CSF2;HLA-DMA;CSF1R;CD33;IL4R;MS4A1;IL6R;CD3G;CD22;CSF1;IL1R2;ITGA4;ITGA2;IL7;CR1;CD14;CD8B;CD19;CD8A;FCGR1A;CD1B;CR2;FLT3;IL6;CSF3R;IL1B;FCER2;CD44;HLA-DMB;MME;CD59	KEGG
24	prerank	Leishmaniasis	-0.918304349786492	-1.4304666341179741	0.0	0.01476741074686408	0.172	43/74	6.26%	C3;HLA-DQA1;ITGB2;HLA-DRB1;HLA-DOA;NCF2;ITGAM;HLA-DPB1;HLA-DRA;HLA-DPA1;NCF4;HLA-DQB1;HLA-DRB5;PTGS2;HLA-DQA2;HLA-DOB;FCGR2A;STAT1;CYBB;HLA-DMA;NCF1;TLR2;TGFB1;FCGR3A;ITGA4;FCGR2C;CR1;MAPK13;FCGR1A;TGFB3;IFNGR1;MYD88;PTPN6;CYBA;IL1B;HLA-DMB;IFNG;TNF;ELK1;PRKCB;TGFB2;IFNGR2;RELA	KEGG
25	prerank	Coronavirus disease	-0.8339056163288313	-1.4278793682745505	0.001091703056768559	0.016196515012689636	0.193	103/225	9.93%	C3;STING1;CXCL8;FCGR2A;STAT1;PIK3CD;CYBB;C7;CSF2;C2;C1S;CFB;C1QB;C1R;C1QC;C1QA;TNFRSF1A;NLRP3;CXCL10;TLR2;C3AR1;IL6R;CCL2;CASP1;C4B;IKBKE;SELP;TLR8;C5AR1;MX2;C4A;CGAS;MAPK13;ISG15;IFNAR2;RPLP1;IRF9;HBEGF;IRF3;OAS1;MYD88;IL6;TLR7;IL1B;RPL36;OAS3;RPS9;RPL22L1;RPL12;RPS2;RPL28;RPS4X;TNF;RPLP2;PRKCB;DDX58;IFIH1;RPS8;F13A1;RPL14;RPS20;RPSA;RELA;RPS19;STAT2;RPS3;OAS2;RPL24;STAT3;IL12B;RPS27;RPL35;RPL7A;CFD;MAPK11;RPL32;EGFR;PIK3R1;MMP1;C6;RPL13;RPL13A;RPLP0;RPL4;RPS15;MX1;RPL3;RPL8;IFNA1;RPL18;CSF3;RPS29;RPS18;RPL37A;MMP3;RPL34;FAU;TYK2;RPS17;IL6ST;PLCG2;RPL10A;RPS28	KEGG
26	prerank	Viral protein interaction with cytokine and cytokine receptor	-0.8929063683777176	-1.4264337515912338	0.0	0.01635530437555914	0.206	56/97	6.07%	CXCL14;CCL18;CXCL2;CCL13;CCL22;IL2RG;CCL5;CXCL8;CCR1;TNFRSF1B;CCR2;CCR5;IL10RA;IL2RA;IL2RB;CCL17;CSF1R;CXCL9;IL18;CCL19;TNFRSF1A;TNFSF14;TNFRSF10A;CXCL10;CXCL13;IL6R;CCR4;CCL2;CCR7;CCL20;CSF1;CXCR4;CXCL11;CCL4;CX3CL1;LTA;CXCR3;XCL1;XCR1;CXCL3;IL6;CCL4L2;XCL2;CCL21;CXCL5;CCL23;CXCL1;TNFRSF10B;IL18RAP;CCL24;TNFRSF10C;TNF;IL18R1;IL24;CCL26;ACKR4	KEGG
27	prerank	Inflammatory bowel disease	-0.9157232188258773	-1.4241366114268446	0.0	0.01760054727385158	0.238	43/63	7.05%	HLA-DQA1;STAT4;HLA-DRB1;HLA-DOA;HLA-DPB1;HLA-DRA;HLA-DPA1;HLA-DQB1;IL2RG;HLA-DRB5;HLA-DQA2;HLA-DOB;STAT1;HLA-DMA;NOD2;IL18;FOXP3;IL4R;TLR2;IL12RB1;TGFB1;IL21R;TGFB3;IFNGR1;TLR5;IL6;IL1B;HLA-DMB;IL18RAP;IL23A;STAT6;IFNG;TNF;TBX21;GATA3;IL18R1;TGFB2;IFNGR2;RELA;MAF;IL10;STAT3;IL12B	KEGG
28	prerank	Arginine and proline metabolism	0.8105627223646902	1.4154768473247101	0.030201342281879196	0.2159741229161483	0.782	17/50	3.85%	ALDH4A1;GATM;ALDH1B1;CKB;ALDH7A1;ALDH9A1;ALDH2;GOT2;HOGA1;GOT1;SAT2;CKMT1B;OAT;PYCR1;ALDH18A1;CKMT2;CKMT1A	KEGG
29	prerank	Th1 and Th2 cell differentiation	-0.8883996374076044	-1.410703057931253	0.002512562814070352	0.028629722125371973	0.355	38/90	5.67%	JAK3;HLA-DQA1;STAT4;HLA-DRB1;HLA-DOA;HLA-DPB1;HLA-DRA;HLA-DPA1;HLA-DQB1;IL2RG;HLA-DRB5;CD3E;HLA-DQA2;HLA-DOB;NFKBIE;STAT1;LCK;CD3D;IL2RA;CD4;IL2RB;HLA-DMA;ZAP70;IL4R;CD3G;IL12RB1;CD247;RUNX3;STAT5A;MAPK13;IFNGR1;HLA-DMB;STAT6;IFNG;TBX21;GATA3;NOTCH2;MAML2	KEGG
30	prerank	Osteoclast differentiation	-0.8567742229979111	-1.4055149134780411	0.00585480093676815	0.034570712716161064	0.415	60/126	6.37%	ACP5;OSCAR;SPI1;NCF2;NCF4;TYROBP;SIRPA;FCGR2B;TREM2;FCGR2A;STAT1;LCK;PIK3CD;LILRB4;LILRB3;BTK;CSF1R;NFKB2;CTSK;TGFBR1;TNFRSF1A;SIRPG;NCF1;LCP2;TNFSF11;RELB;TGFB1;FCGR3A;FOSL1;LILRB2;CSF1;FCGR2C;LILRB1;MAP3K14;SIRPB1;MAPK13;FCGR1A;LILRA6;IFNAR2;IRF9;CAMK4;FYN;IFNGR1;LILRA2;CYBA;SOCS3;IL1B;SOCS1;TNFRSF11A;TEC;IFNG;TNF;JUNB;GAB2;MAP2K7;FOSL2;TGFB2;IFNGR2;RELA;STAT2	KEGG
31	prerank	Intestinal immune network for IgA production	-0.9313750754884407	-1.4042317494178342	0.00430416068866571	0.03486148284816887	0.43	29/45	4.74%	HLA-DQA1;HLA-DRB1;HLA-DOA;HLA-DPB1;HLA-DRA;HLA-DPA1;HLA-DQB1;HLA-DRB5;CD86;CD40;HLA-DQA2;HLA-DOB;HLA-DMA;ITGB7;TNFSF13B;TGFB1;CD28;ICOS;ITGA4;CXCR4;MAP3K14;CD40LG;IL15RA;IL6;TNFRSF13C;HLA-DMB;TNFRSF13B;TNFRSF17;PIGR	KEGG
32	prerank	NF-kappa B signaling pathway	-0.8694908703944347	-1.4014958300103246	0.007662835249042145	0.03765379065609943	0.474	48/102	5.70%	PLAU;ICAM1;CARD11;CXCL2;CCL13;LTB;BIRC3;PTGS2;CXCL8;TRAF5;CD40;LCK;BCL2A1;BTK;ZAP70;NFKB2;CCL19;TNFRSF1A;TNFSF14;LY96;TNFSF11;TNFSF13B;RELB;LYN;CCL4;TRAF1;CD14;MAP3K14;CD40LG;LTA;BCL2L1;UBE2I;VCAM1;CXCL3;MYD88;TNFRSF13C;GADD45A;CCL4L2;CFLAR;IL1B;TNFAIP3;CCL21;CXCL1;TNFRSF11A;TICAM1;TNF;PRKCB;DDX58	KEGG
