pathway	Name	pathway	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	source
10	prerank	Mitochondrial Translation R-HSA-5368287	0.7627306512616289	1.4817496463270112	0.015789473684210527	0.20736905139314524	0.743	44/87	10.64%	MRPS33;MRPS11;MRPS10;MRPS35;GFM1;MRPL15;GFM2;MRPS7;MRPL34;MRPS27;MRPS26;MTIF2;MRPS17;MRPS14;MRPL19;MRPL42;TUFM;ERAL1;MRPS18B;MRPL30;MRPL49;MRPS30;MRPS18A;OXA1L;MRPS22;MRPS36;MRPS16;MRPL45;MRRF;MRPS31;MTIF3;MRPS2;MRPS34;MTRF1L;MRPS9;MRPL44;MRPL24;MRPL16;MRPL13;MRPL32;MRPL36;MRPS15;MRPL12;PTCD3	Reactome
11	prerank	Cell Surface Interactions At Vascular Wall R-HSA-202733	-0.8985524247377586	-1.4807253481980627	0.0	0.005214913910566084	0.01	47/133	4.46%	FN1;PROS1;SDC4;JAML;ITGB2;SELL;TREM1;ITGAX;FCER1G;S100A9;CEACAM6;SELPLG;SDC3;ITGAM;DOK2;CD2;CD74;SIRPA;OLR1;LCK;ITGA3;INPP5D;CD84;GRB7;CD58;TNFRSF10A;JCHAIN;SIRPG;CD47;CD48;LYN;TGFB1;ITGAL;ITGA4;CD177;SRC;SLC7A7;CEACAM21;PROCR;PROC;SLC7A5;FYN;IGLL5;PTPN6;CD244;CD44;TNFRSF10B	Reactome
12	prerank	Cell-Cell Communication R-HSA-1500931	-0.9008217789105718	-1.480665117583729	0.0	0.003911185432924564	0.01	33/117	3.88%	LAMB3;CLDN1;CLDN16;CLDN10;SDK1;CDH11;ITGB4;NECTIN4;CDH6;TYROBP;CLDN2;SIRPA;PTK2B;FLNA;DST;FYB1;SIRPG;CD47;CD151;VASP;CDH4;CADM3;CDH15;SRC;SIRPB1;PLEC;CDH24;CLDN4;NECTIN1;FYN;ANG;IQGAP1;PTPN6	Reactome
13	prerank	TCR Signaling R-HSA-202403	-0.8991013160134738	-1.4615386683460863	0.0012135922330097086	0.013633274937622765	0.038	31/112	3.29%	HLA-DQB2;CARD11;HLA-DQA1;HLA-DRB1;HLA-DRA;HLA-DPA1;HLA-DRB5;CD3E;WAS;HLA-DQA2;PSMB9;LCK;CD3D;PTPRC;CD4;INPP5D;PSMB8;PTPN22;ZAP70;ITK;FYB1;LCP2;VASP;CD247;PAG1;CD101;GRAP2;CSK;PSMB10;TRAT1;RIPK2	Reactome
14	prerank	Cell Junction Organization R-HSA-446728	-0.9148520036719481	-1.4573174732175225	0.0	0.014341013254056732	0.047	22/83	3.70%	LAMB3;CLDN1;CLDN16;CLDN10;SDK1;CDH11;ITGB4;NECTIN4;CDH6;CLDN2;FLNA;DST;CD151;VASP;CDH4;CADM3;CDH15;PLEC;CDH24;CLDN4;NECTIN1;ANG	Reactome
15	prerank	Signaling By Interleukins R-HSA-449147	-0.8378446014623863	-1.4467446189946158	0.0	0.025861715923827723	0.101	146/451	5.99%	TIMP1;ALOX5;FN1;JAK3;ICAM1;IL1RAP;MUC1;ANXA1;DUSP6;STAT4;NOD1;PELI1;CXCL2;ITGB2;LCN2;S100B;EBI3;ITGAX;DUSP4;CCL22;S100A9;ITGAM;IL2RG;HCK;ANXA2;PTPN7;CCL5;CSF2RA;IL7R;CD86;PTGS2;CXCL8;CCR1;PTK2B;HAVCR2;TNFRSF1B;CCR2;STAT1;PSMB9;CCR5;LCK;VAV1;BATF;IL10RA;IL2RA;CD4;CSF2RB;INPP5D;CSF2;IL2RB;OSMR;PSMB8;NOD2;CRLF1;CSF1R;IL18;LGALS9;NFKB2;MMP9;PTAFR;CCL19;TNFRSF1A;IRAK2;IL4R;IL1RL1;CXCL10;IL1RN;IL6R;CCL2;IL12RB1;LYN;TGFB1;CCL20;CCM2;FPR1;IL21R;LIF;CASP1;CSF1;IL1R2;NLRC5;CLCF1;MYC;IL32;STAT5A;MSN;CCL4;IL7;CRLF2;COL1A2;CTF1;HMOX1;IL16;BCL2L1;CASP8;IL15RA;PSMB10;MMP2;CEBPD;RIPK2;VCAM1;RHOU;SNAP25;FASLG;FYN;MYD88;IL6;MCL1;CSF3R;PTPN6;IL27RA;SOCS3;IL1B;FCER2;PSME2;SOCS1;IL36RN;MAPKAPK3;CXCL1;CNN2;IL18RAP;IL18BP;IL23A;TWIST1;PSME1;STAT6;TEC;CAPZA1;IL22RA2;CCND1;IFNG;MAPKAPK2;TNF;GATA3;CD80;TANK;STXBP2;IL13RA1;IL18R1;IL24;PTPN5;PTPN2;BIRC5;GAB2;F13A1;MAP2K7	Reactome
16	prerank	Mitochondrial Translation Elongation R-HSA-5389840	0.7523744016131518	1.4455077667620144	0.0297029702970297	0.3576349994716263	0.926	39/81	10.64%	MRPS33;MRPS11;MRPS10;MRPS35;GFM1;MRPL15;MRPS7;MRPL34;MRPS27;MRPS26;MRPS17;MRPS14;MRPL19;MRPL42;TUFM;ERAL1;MRPS18B;MRPL30;MRPL49;MRPS30;MRPS18A;OXA1L;MRPS22;MRPS36;MRPS16;MRPL45;MRPS31;MRPS2;MRPS34;MRPS9;MRPL44;MRPL24;MRPL16;MRPL13;MRPL32;MRPL36;MRPS15;MRPL12;PTCD3	Reactome
17	prerank	Intraflagellar Transport R-HSA-5620924	0.8682295324872826	1.4437340977154574	0.013201320132013201	0.33563976444141297	0.929	15/37	5.88%	TTC30A;DYNLL2;TTC30B;HSPB11;IFT22;KIF3B;IFT140;DYNC2I1;DYNLRB2;IFT20;TNPO1;KIF17;DYNC2H1;TTC26;IFT88	Reactome
18	prerank	Keratinization R-HSA-6805567	-0.8651403730150288	-1.44139011765305	0.0	0.030730742687264428	0.131	24/180	5.96%	KRT19;KRT15;PKP2;KRT17;IVL;DSC3;TGM1;CSTA;KRT80;KRT6A;PKP1;KRT5;PPL;KRT14;KRT13;PERP;KRT16;TCHH;KLK12;PKP4;KLK13;SPRR1B;KRTAP2-3;KRT6B	Reactome
19	prerank	Antimicrobial Peptides R-HSA-6803157	-0.9191181368687035	-1.4387845359607332	0.0012919896640826874	0.03228280039874243	0.15	16/76	4.87%	CLU;LCN2;S100A9;PRSS2;LYZ;GNLY;CCR2;CD4;S100A8;RNASE6;TLR2;SLC11A1;TRIM21;TLR1;BPIFB1;PLA2G2A	Reactome
20	prerank	Mitochondrial Translation Termination R-HSA-5419276	0.7504617359349492	1.4376487843247672	0.01932367149758454	0.34335922364296034	0.944	40/81	10.64%	MRPS33;MRPS11;MRPS10;MRPS35;MRPL15;GFM2;MRPS7;MRPL34;MRPS27;MRPS26;MRPS17;MRPS14;MRPL19;MRPL42;ERAL1;MRPS18B;MRPL30;MRPL49;MRPS30;MRPS18A;OXA1L;MRPS22;MRPS36;MRPS16;MRPL45;MRRF;MRPS31;MRPS2;MRPS34;MTRF1L;MRPS9;MRPL44;MRPL24;MRPL16;MRPL13;MRPL32;MRPL36;MRPS15;MRPL12;PTCD3	Reactome
21	prerank	Interferon Signaling R-HSA-913531	-0.8583524779811974	-1.4358626624803135	0.0	0.033747942878377665	0.175	74/192	6.79%	ICAM1;GBP2;HLA-DQB2;HLA-DQA1;HLA-DRB1;HLA-DRA;HLA-DPA1;HLA-DRB5;IRF5;CIITA;HLA-DQA2;HLA-G;STAT1;HLA-B;PSMB8;FLNA;TRIM14;HLA-F;PTAFR;GBP5;IFIT5;SAMHD1;HLA-A;HLA-C;TRIM22;IRF8;IFITM1;IFIT2;IRF1;OASL;TRIM46;IFIT3;UBE2L6;MX2;SP100;HLA-E;B2M;RSAD2;FCGR1A;ISG15;HERC5;VCAM1;IFNAR2;BST2;TRIM21;IRF9;ISG20;IFNGR1;IRF3;OAS1;PTPN6;IRF7;SOCS3;GBP1;OAS3;SOCS1;CD44;PML;IFITM2;TRIM38;UBA7;IFNG;IFITM3;GBP6;PTPN2;IFIT1;IFNGR2;TRIM29;STAT2;XAF1;GBP4;IFI35;OAS2;IRF4	Reactome
22	prerank	Mitochondrial Translation Initiation R-HSA-5368286	0.7465066798418943	1.4343714826158627	0.02512562814070352	0.33521651127061675	0.952	39/81	10.64%	MRPS33;MRPS11;MRPS10;MRPS35;MRPL15;MRPS7;MRPL34;MRPS27;MRPS26;MTIF2;MRPS17;MRPS14;MRPL19;MRPL42;ERAL1;MRPS18B;MRPL30;MRPL49;MRPS30;MRPS18A;OXA1L;MRPS22;MRPS36;MRPS16;MRPL45;MRPS31;MTIF3;MRPS2;MRPS34;MRPS9;MRPL44;MRPL24;MRPL16;MRPL13;MRPL32;MRPL36;MRPS15;MRPL12;PTCD3	Reactome
23	prerank	TNFR2 Non-Canonical NF-kB Pathway R-HSA-5668541	-0.8948334527527061	-1.4334429918551164	0.0012165450121654502	0.03606417736852519	0.198	37/98	5.64%	TNFRSF12A;LTB;BIRC3;TNFRSF18;CD40;TNFRSF1B;PSMB9;PSMB8;NFKB2;TNFRSF1A;TNFSF14;TNFRSF25;TNFSF11;TNFSF13B;RELB;TNFSF9;CD70;TNFSF4;TNFRSF9;MAP3K14;CD40LG;LTA;PSMB10;TNFSF8;TNFSF15;FASLG;TNFRSF13C;TNFSF18;PSME2;TNFRSF13B;TNFRSF8;TNFRSF11A;TNFRSF17;PSME1;TNFSF12;TNF;TANK	Reactome
24	prerank	Regulation Of IGF Transport And Uptake By IGFBPs R-HSA-381426	-0.8756791606294442	-1.4285296282417943	0.0035211267605633804	0.042836792836792835	0.242	31/122	3.80%	SERPINA1;IGFBP6;TIMP1;FN1;FAM20A;C3;PRSS23;LGALS1;EVA1A;APOE;MFGE8;MXRA8;FSTL3;APOL1;FAM20C;QSOX1;LTBP1;VCAN;F5;IGF1;IGFBP5;CSF1;GZMH;C4A;CP;CHRDL1;MELTF;MMP2;PROC;SHISA5;IL6	Reactome
25	prerank	Class A/1 (Rhodopsin-like Receptors) R-HSA-373076	-0.8261366123882655	-1.4239718251665479	0.0	0.05303739367284518	0.298	104/317	7.89%	CYSLTR2;C3;ANXA1;LPAR5;CXCL2;CCL13;CCL22;P2RY6;CCL5;CXCL8;SSTR3;CXCL16;CCR1;CCR2;PTGER4;CCR5;FPR3;CCL17;CXCL9;PTAFR;CCL19;S1PR2;NLRP3;ADORA1;CXCR6;CXCL10;GPNMB;CXCL13;C3AR1;P2RY10;CCL2;CCR7;GPR68;CCL20;FPR1;ECE1;P2RY13;NPFFR1;FFAR4;CXCR4;GPR55;ADRA2A;INSL3;CXCL11;C5AR1;CCL4;CMKLR1;SFTPA2;S1PR4;GPR65;CX3CL1;CD200R1;GPR37;GPR183;CXCR3;RIPK2;XCL1;PTGER2;ADRB2;XCR1;CXCL3;NMU;PTGER1;PLPPR4;P2RY12;GPR18;XCL2;CCL21;CXCL5;ADORA3;CCL23;CXCL1;KISS1R;ADRA1B;EDNRA;PTGIR;PNOC;CCRL2;HTR1D;LTB4R;ACKR4;UTS2;HTR7;C5AR2;HCAR2;TACR1;GPBAR1;LPAR6;CCR8;SAA2;PLPPR1;OXTR;PTGDR;F2RL2;CCR3;FPR2;CXCR2;ADRB3;EDN1;CCL7;LHB;NPY1R;PPBP;S1PR3	Reactome
26	prerank	Interferon Alpha/Beta Signaling R-HSA-909733	-0.9154163605899612	-1.4236389024151723	0.0	0.05044631007363927	0.301	40/68	6.79%	GBP2;IRF5;HLA-G;STAT1;HLA-B;PSMB8;HLA-F;IFIT5;SAMHD1;HLA-A;HLA-C;IRF8;IFITM1;IFIT2;IRF1;OASL;IFIT3;MX2;HLA-E;RSAD2;ISG15;IFNAR2;BST2;IRF9;ISG20;IRF3;OAS1;PTPN6;IRF7;SOCS3;OAS3;SOCS1;IFITM2;IFITM3;IFIT1;STAT2;XAF1;IFI35;OAS2;IRF4	Reactome
27	prerank	Antigen processing-Cross Presentation R-HSA-1236975	-0.8910877928281403	-1.4222644792687402	0.0	0.05073366247279291	0.317	29/103	4.18%	MRC2;S100A9;NCF2;MRC1;NCF4;CD207;HLA-G;PSMB9;HLA-B;CYBB;S100A8;CTSS;BTK;PSMB8;HLA-F;LY96;HLA-A;NCF1;TLR2;HLA-C;TLR6;HLA-E;FCGR1A;PSMB10;VAMP8;MYD88;CYBA;TLR1;PSME2	Reactome
28	prerank	Cristae Formation R-HSA-8949613	0.8925547074518383	1.4188304582331548	0.030959752321981424	0.4066571307800305	0.983	20/28	8.29%	ATP5F1B;ATP5F1A;HSPA9;ATP5MC1;DMAC2L;ATP5PD;ATP5PB;ATP5MC3;IMMT;ATP5F1C;APOOL;CHCHD3;MTX1;ATP5PF;MTX2;SAMM50;DNAJC11;ATP5MC2;TMEM11;ATP5PO	Reactome
29	prerank	Metabolism Of Amine-Derived Hormones R-HSA-209776	0.9677230492743853	1.4166968365546828	0.0026666666666666666	0.39425657825213994	0.986	3/17	0.10%	TPO;DIO2;IYD	Reactome
30	prerank	Interleukin-4 And Interleukin-13 Signaling R-HSA-6785807	-0.8831341794627563	-1.414006455642539	0.0	0.07270614349418697	0.438	47/106	5.42%	TIMP1;ALOX5;FN1;JAK3;ICAM1;MUC1;ANXA1;ITGB2;LCN2;ITGAX;CCL22;ITGAM;IL2RG;PTGS2;CXCL8;TNFRSF1B;STAT1;BATF;IL18;MMP9;IL4R;IL6R;CCL2;TGFB1;CCM2;LIF;MYC;COL1A2;HMOX1;BCL2L1;MMP2;CEBPD;VCAM1;RHOU;FASLG;IL6;MCL1;SOCS3;IL1B;FCER2;SOCS1;IL23A;TWIST1;STAT6;CCND1;TNF;GATA3	Reactome
31	prerank	Post-translational Protein Phosphorylation R-HSA-8957275	-0.8757728899513322	-1.4136723989114997	0.007194244604316547	0.06948105886724813	0.443	27/105	3.80%	SERPINA1;TIMP1;FN1;FAM20A;C3;PRSS23;LGALS1;EVA1A;APOE;MFGE8;MXRA8;FSTL3;APOL1;FAM20C;QSOX1;LTBP1;VCAN;F5;IGFBP5;CSF1;C4A;CP;CHRDL1;MELTF;PROC;SHISA5;IL6	Reactome
32	prerank	Extracellular Matrix Organization R-HSA-1474244	-0.8255931029899247	-1.4091868329807602	0.0010548523206751054	0.07996201329534662	0.488	108/289	6.29%	LAMB3;TIMP1;FN1;COL8A2;ICAM1;SDC4;ICAM5;TMPRSS6;ITGB4;ITGB2;ITGAX;COL7A1;LRP4;CEACAM6;KLK7;PRSS2;SDC3;ITGAM;COL1A1;LUM;ADAM8;COMP;ADAMTS14;ITGB8;MMP7;LTBP1;MMP16;ITGA3;CTSS;COL8A1;ADAMTS9;VCAN;DCN;LOXL1;CTSK;MMP9;DST;ITGB7;FBN3;MMP11;ACTN1;COL10A1;CD47;MFAP2;CD151;TGFB1;BMP1;ITGAL;TPSAB1;ITGA4;MMP12;ITGA2;ADAM19;PCOLCE;ADAM12;MFAP4;FBLN2;COL11A1;COL1A2;CAPN3;TIMP2;P3H3;ICAM3;FBN2;COL3A1;LOX;FBLN1;THBS1;PLEC;ASPN;DMD;MMP2;LOXL3;COL13A1;VCAM1;TGFB3;MFAP5;MMP19;SPOCK3;ITGB6;COL6A3;SERPINE1;CAPN12;COL5A1;LTBP4;ADAM15;CD44;COLGALT1;COL16A1;MMP14;CAPN6;COL6A2;LAMA1;MMP13;CTSD;COL6A5;TNXB;COL4A3;ITGA9;LTBP3;COL19A1;SH3PXD2A;AGRN;BGN;ITGA7;TGFB2;P4HA2;CASP3	Reactome
33	prerank	Complement Cascade R-HSA-166658	-0.9196684180531638	-1.4087527621189204	0.002805049088359046	0.07775319011016951	0.493	23/54	3.80%	PROS1;C3;CLU;CFH;CD55;CFI;C1S;CFB;SERPING1;C1QB;C1R;C1QC;C1QA;C3AR1;C4B;GZMM;C5AR1;CR1;C4A;FCN1;CD19;CR2;IGLL5	Reactome
34	prerank	Downstream TCR Signaling R-HSA-202424	-0.88713168184538	-1.4067403747634997	0.0038022813688212928	0.08157615331528376	0.521	19/90	3.29%	HLA-DQB2;CARD11;HLA-DQA1;HLA-DRB1;HLA-DRA;HLA-DPA1;HLA-DRB5;CD3E;HLA-DQA2;PSMB9;LCK;CD3D;CD4;INPP5D;PSMB8;CD247;PSMB10;TRAT1;RIPK2	Reactome
35	prerank	Interleukin-10 Signaling R-HSA-6783783	-0.9347312641002521	-1.4060967628381678	0.002797202797202797	0.07987332428326217	0.532	30/43	4.37%	TIMP1;ICAM1;CXCL2;CCL22;CCL5;CD86;PTGS2;CXCL8;CCR1;TNFRSF1B;CCR2;CCR5;IL10RA;CSF2;IL18;PTAFR;TNFRSF1A;CXCL10;IL1RN;CCL2;CCL20;FPR1;LIF;CSF1;IL1R2;CCL4;IL6;IL1B;FCER2;CXCL1	Reactome
36	prerank	Regulation Of Complement Cascade R-HSA-977606	-0.9393408518516146	-1.4039430280045582	0.001451378809869376	0.08376032180380005	0.568	21/44	3.80%	PROS1;C3;CLU;CFH;CD55;CFI;C1S;CFB;SERPING1;C1QB;C1R;C1QC;C1QA;C3AR1;C4B;C5AR1;CR1;C4A;CD19;CR2;IGLL5	Reactome
37	prerank	Platelet Degranulation R-HSA-114608	-0.8553804314017587	-1.4027954682678183	0.0011933174224343676	0.08419980565538222	0.581	34/123	4.52%	SERPINA1;TIMP1;FN1;TMSB4X;PROS1;CLU;FERMT3;ECM1;QSOX1;CD109;PLEK;TAGLN2;F5;FLNA;SERPING1;IGF1;ENDOD1;ACTN1;TGFB1;CTSW;TUBA4A;RARRES2;SFTPA2;THBS1;TOR4A;RAB27B;TGFB3;SERPINF2;SRGN;SERPINE1;ANXA5;PFN1;APLP2;ISLR	Reactome
38	prerank	Response To Elevated Platelet Cytosolic Ca2+ R-HSA-76005	-0.851180317630841	-1.3966386269631599	0.0023752969121140144	0.10550888322627451	0.662	34/128	4.52%	SERPINA1;TIMP1;FN1;TMSB4X;PROS1;CLU;FERMT3;ECM1;QSOX1;CD109;PLEK;TAGLN2;F5;FLNA;SERPING1;IGF1;ENDOD1;ACTN1;TGFB1;CTSW;TUBA4A;RARRES2;SFTPA2;THBS1;TOR4A;RAB27B;TGFB3;SERPINF2;SRGN;SERPINE1;ANXA5;PFN1;APLP2;ISLR	Reactome
