gene_symbol	BACI107	BACI109	BACI110	BACI111	BACI112	BACI113	BACI114	BACI116	BACI117	BACI118	BACI119	BACI120	BACI121	BACI122	BACI123	BACI124	BACI126	BACI128	BACI131	BACI133	BACI135	BACI136	BACI137	BACI138	BACI139	BACI140	BACI142	BACI143	BACI144	BACI148	BACI149	BACI150	BACI151	BACI152	BACI153	BACI154	BACI155	BACI156	BACI157	BACI158	BACI159	BACI160	BACI161	BACI162	BACI163	BACI164	BACI165	BACI167	BACI169	BACI170	BACI172	BACI173	BACI174	BACI175	BACI177	BACI178	BACI180	BACI181	BACI182	BACI183	BACI184	BACI185	BACI186	BACI187	BACI188	BACI189	BACI190	BACI191	BACI192	BACI193	BACI194	BACI195	BACI196	BACI197	BACI199	BACI201	BACI202	BACI203	BACI204	BACI205	BACI206	BACI207	BACI208	BACI209	BACI210	BACI211	BACI212	BACI217	BACI219
AGRN	0.888640612	0.888102593	1.149683691	0.917373211	0.555094422	0.917561878	0.711048834	0.924235436	1.16337537	0.832222473	1.14356319	0.998747607	0.96425617	1.099390662	1.079315981	1.445291273	0.633155689	1.015830865	1.04382747	0.940823271	0.982477754	0.616286792	1.018360566	1.06916626	0.930896761	0.929771573	1.177888738	1.05130676	1.069466286	0.885206556	0.874773773	1.013247162	1.138998923	1.056791605	1.00891206	0.927127639	1.057679148	1.07382379	1.025264145	1.001178172	0.542796319	1.087448124	1.033785273	0.976438691	1.164600229	1.31357614	0.9153864	1.483738929	0.554488026	1.437738272	0.826623326	1.043133517	0.966371774	1.104519569	0.79892229	1.014481474	1.00644121	0.915502163	1.416068195	0.85079678	0.756864558	1.072031205	0.997481533	0.995415483	1.113810852	1.322205741	0.587005921	1.212695171	1.203063713	0.867714387	1.052239417	0.965219957	0.772962413	0.945666477	0.83043122	0.878709072	0.875183582	0.709489286	0.992659628	1.155306126	0.816092946	0.605426254	0.926632113	0.908010922	0.567311663	0.832259852	1.146131404	0.921978918	1.078397397
RNF223	-0.304570275	-1.306955797	-0.758072262	-0.93461414	-1.530137567	-0.48924347	-0.679098519	-0.418001243	-0.571356241	-1.014683133	-0.946561606	-0.589446853	-1.040111691	-0.467728834	-0.677319757	-0.460068467	-1.095379192	-0.50859204	0.101731036	-0.996076171	-0.072496139	-0.948084348	-0.42591922	-0.655975834	-0.484748578	-0.788599754	-0.354726846	-0.727202352	-1.03782094	-0.773138635	-0.381990345	-0.363443606	-0.995179341	-0.223501836	-0.546710054	-0.99632879	-1.008627337	-0.022613502	-1.065482561	-0.83236521	-1.997306258	-0.949661724	-0.396397236	-0.349383023	-0.523784928	-0.380938838	-0.932428553	-0.377273971	-1.925645521	-0.202178079	-0.392707623	-1.078871819	-0.632576587	-0.467411017	-0.578070631	-0.608919057	-0.821528042	-0.730888922	-0.214268674	-1.547752535	-0.330720499	-0.146321375	-0.206948107	-0.38434033	-0.614389274	-0.723279899	-1.786293133	-0.69153566	-0.421963163	-0.342657634	-0.665995421	-1.370233149	-0.690909645	-1.193335521	-0.540768813	-0.456528376	-0.968582402	-0.443566358	-0.745046773	-0.413692321	-1.062057636	-0.986262989	-0.765618088	-0.654695899	-0.368162218	-2.112642512	-0.755222126	-0.401304034	-0.464460285
C1orf159	0.105095042	-0.225089789	-0.092253752	-0.023072738	-0.306622852	0.069618767	-0.025392995	0.0559303	0.056685806	-0.009281435	0.107150332	-0.055831788	0.012049347	0.100403165	-0.038142826	-0.098316121	0.116527569	0.141205656	0.263609253	0.031502477	0.119116647	-0.104843615	0.177956658	0.116592412	0.07014359	0.012105658	0.110551917	0.045350417	-0.064886826	-0.07744202	0.021212152	0.115661608	0.00930719	0.154416243	0.068542304	-0.06173437	-0.238397835	0.101958626	0.113906783	-0.094778952	0.038659429	-0.141038722	0.154080088	0.229878288	0.066577507	0.175819369	-0.121875894	0.134229266	-0.173645123	0.240000883	0.141847994	-0.105734569	-0.057499966	-0.026034616	0.077108956	0.125413207	-0.026833312	-0.07437866	0.414570947	-0.221341303	0.049113751	0.157183425	0.026559487	0.172395384	0.087047677	0.077960994	0.156547786	0.181227157	0.32380605	0.12592549	0.012284454	0.041206577	0.003217836	0.01745282	-0.139072425	0.143436608	-0.029917818	-0.121475187	-0.036234406	-0.01997472	-0.20345578	-0.12382219	-0.060918095	-0.073653279	-0.024305591	-0.065939223	-0.025673218	0.175363248	-0.002151714
TTLL10	-0.722910938	-0.88684273	-0.855162132	-0.761743372	-1.001385331	-0.717375085	-0.923435136	-1.130958835	-0.665245051	-0.803631102	-1.2128407	-0.373635986	-0.896726469	-1.18652794	-0.639659154	-0.419690972	-0.37494884	-0.118539935	-0.444691208	-0.890741275	-0.35999672	-0.78339879	-0.652473252	-0.343251471	-1.528681819	-1.375287645	-0.274339991	-0.559592358	-0.818270724	-1.329176658	-0.311317218	-0.601288427	-1.348683526	-0.870887899	-0.835628601	-0.668603765	-1.398381213	-0.23494635	-0.503080956	-0.472043503	-1.997306258	-0.399900158	-0.700632857	-1.136766757	-0.571850635	-0.276846243	-1.51896658	-0.747314715	-1.229619642	-0.288623055	-0.490454339	-1.113686157	-0.867943501	-0.999775996	-0.550858722	-0.3070715	-0.849878614	-0.44944651	-0.353854063	-1.988479132	-0.904588046	-0.165877337	-0.670852469	-0.729120301	-0.7702494	-0.318556955	-1.786293133	-0.71271191	-0.581696617	-0.71414334	-0.769853735	-0.665257832	-0.716085532	-0.249931329	-1.524075882	-0.558934731	-1.542152678	-1.212065543	-0.870686032	-0.638141447	-1.205964706	-0.725059089	-0.371227554	-1.068613658	-0.829073635	-1.15406145	-1.196070678	-1.041539181	-0.870584017
TNFRSF18	-0.928517028	-0.379429992	-0.689989165	-0.701914352	-0.661867679	-1.144772917	-0.728262377	-0.999703499	-0.65974934	-0.755851446	-0.620710375	-0.671478172	-0.572358468	-0.872841669	-0.027029119	0.063568402	-0.4665289	-0.966439668	0.000190238	-0.215275264	-0.858570616	-1.069629481	-0.853260981	0.052874319	-0.612993515	-0.503412992	-0.424214241	-0.33856582	-0.94270458	-0.705626347	-0.68679847	-1.279608893	0.034886664	-0.95380429	-0.780135932	-0.680584567	-0.491630377	-0.769322226	-0.192812616	-0.302591636	-0.729878288	-0.660587374	-0.521837486	-1.267990529	0.037729478	-0.334752995	-1.211625973	0.305892219	-0.792092785	-0.16949241	-1.103931361	-0.604638006	-0.757759745	-1.170878761	-0.85640902	-0.761732711	-0.49015751	-0.796679816	0.039412359	-1.330770626	-0.746850336	-0.74318231	-0.413120762	-0.63616849	-0.456304398	-0.205701221	-1.405443081	-0.44194494	-0.226674978	-0.958721191	-0.87824382	-0.380660421	-0.83668441	-0.765210542	-0.95112878	-0.695554426	-0.994618591	-0.735650926	-0.395687425	-0.638141465	-0.963898857	-0.713024527	-0.726760983	-0.460299479	-0.549462342	-0.955188619	-1.043273713	-0.264423801	-0.739657177
TNFRSF4	-0.815579085	-0.606456497	-0.765084703	-0.761743225	-0.733541487	-1.061990891	-0.796225648	-1.03608074	-0.926870487	-0.677492703	-0.669320499	-0.906936381	-0.736423294	-0.688676485	-0.611851008	-0.35958625	-0.853836131	-1.147649109	-0.354917719	-0.475068199	-0.575988943	-0.895887448	-0.86171213	-0.53046633	-0.738237679	-0.546629583	-0.853935781	-0.672739404	-1.108625705	-1.102103002	-0.882645054	-1.352715984	-0.346898268	-0.630754247	-0.647987123	-0.674530331	-0.677462638	-0.896831502	-0.459186167	-0.740257171	-0.776415627	-0.74506387	-0.966474245	-0.809772024	-0.217098385	-0.611438325	-0.984501294	-0.18414669	-0.72077086	-0.589329802	-0.946388755	-0.549866695	-1.051219101	-0.933643676	-0.844287367	-1.065252011	-0.987119346	-0.950545012	-0.193582635	-0.940409448	-0.810791629	-0.703762641	-0.584235534	-0.736082364	-0.618892342	-0.419540479	-1.092955769	-0.637306648	-0.459067121	-0.801647624	-1.155821629	-0.49388968	-0.991095348	-1.014262535	-0.63738704	-0.813048026	-0.8401281	-0.867353629	-0.394053696	-0.838363262	-0.78543624	-0.757536582	-0.877227058	-0.809720257	-0.804823361	-0.854783391	-0.967438804	-0.461533331	-0.801177032
SDF4	0.583317408	0.579716345	0.651429026	0.578645084	0.473379772	0.520505897	0.60771643	0.611985645	0.655153713	0.591529132	0.726734866	0.586691978	0.560233809	0.653872428	0.729571013	1.06494894	0.456713142	0.566685553	0.997282256	0.928997124	0.557348883	0.343206062	0.730927432	0.824536174	0.495721024	0.773891538	0.792804375	0.67098473	0.611275734	0.605391128	0.526992355	0.504107653	0.848578294	0.59761694	0.549697287	0.577444368	0.65841214	0.629805656	0.825642472	0.644217327	0.878237057	0.581236079	0.695458729	0.636753428	1.071155006	0.808706094	0.560933799	1.050891316	0.595211075	1.0437969	0.47474914	0.571646366	0.52653058	0.59946829	0.517737256	0.62624401	0.600552974	0.57523254	1.043266123	0.64128632	0.532436855	0.628771863	0.778157974	0.719593945	0.745007389	1.03947001	0.543082936	0.827447478	0.781193552	0.533696264	0.584416272	0.514174782	0.534875955	0.642412885	0.633803001	0.631816196	0.662706182	0.590693488	0.661124921	0.861141752	0.48169389	0.629587914	0.609345317	0.610100989	0.645804103	0.595255113	0.682389666	0.801171026	0.53479441
B3GALT6	-0.157628073	-0.111465824	-0.2096066	-0.199918913	-0.198681377	0.048134564	-0.228057047	-0.120691962	-0.034447064	-0.172556759	0.009306203	0.137025908	-0.183470573	-0.075562475	-0.049733971	0.078571159	0.0123296	0.122114304	0.028156572	-0.066211708	-0.065336493	-0.260612626	-0.067617207	0.082072713	-0.08348372	-0.22134217	-0.021153778	-0.133658846	-0.079785309	-0.348183477	-0.125485868	0.014252988	0.056648697	-0.167672714	-0.297622548	0.049806926	-0.203359548	-0.009238876	-0.034411887	-0.184353053	0.100888268	-0.191811683	0.040362997	-0.067895609	0.163579677	0.131207423	-0.157312004	0.098469269	-0.139160783	0.09301964	-0.029746404	-0.140168325	-0.218526737	-0.115771038	-0.078137633	0.219022983	-0.137343344	-0.055241897	0.368178212	-0.115388872	-0.097327746	-0.019084945	-0.151144853	-0.094038406	-0.105033048	0.210262905	0.215079874	-0.077751818	0.152000729	-0.081606578	-0.068110944	-0.122911613	-0.237378844	-0.176808338	-0.213319633	-0.114091695	0.012881028	-0.126054682	-0.135397608	-0.059652492	-0.09859834	-0.306439817	-0.125749072	-0.189713951	-0.032902386	-0.061644305	-0.210180749	-0.093566313	0.007197517
UBE2J2	0.188476082	0.09665841	0.112533079	0.072577755	0.014758798	0.197545193	0.034303517	0.269915358	0.162385148	0.08924743	0.229425435	0.128154514	0.175734533	0.12644852	0.199304907	0.194906629	0.175529961	0.253359204	0.267063487	0.146818118	0.112328869	-0.03783495	0.189373589	0.210300998	0.105007897	0.101582353	0.167136123	0.117500054	0.066528442	0.283332524	0.139830142	0.107027014	0.242322932	0.118702135	0.135959789	0.023547955	0.070892201	0.204363246	0.179369874	0.062765227	0.196270209	0.079902009	0.16701461	0.254201894	0.22482387	0.180158391	0.061595317	0.239716805	0.090986084	0.194916186	0.173899792	0.068959302	0.159749793	0.089259	0.167982136	0.241302455	0.063154817	0.005476493	0.388089435	0.128652911	0.155433159	0.193815027	0.130494947	0.198456879	0.171896882	0.22244587	0.250667475	0.326450176	0.25137701	0.150191167	0.205746002	0.141828605	0.06870118	0.171997023	0.028781658	0.156960512	0.157447748	0.178732051	0.132725853	0.227268268	0.065990977	0.161795294	0.13516213	0.078036405	0.195084165	0.165661341	0.188751779	0.19209583	0.169326696
SCNN1D	-0.575740916	-0.502690171	-0.62076522	-0.540495282	-0.47000337	-0.502352596	-0.388452919	-0.152246902	-0.392145806	-0.126401164	-0.33581534	-0.413069253	-0.39004245	-0.467728932	0.080740315	-0.127447446	-0.414889927	-0.101156555	-0.183949268	0.080403202	-0.253720852	-0.613270038	-0.263070627	-0.357991884	-0.351735157	-0.191237665	-0.159897183	-0.401107418	-0.337624408	-0.59004761	-0.254809397	-0.36344342	-0.459877242	-0.260153369	-0.136071185	-0.298255824	-0.449835254	-0.290410927	-0.352585879	-0.245780839	-0.277832432	-0.354427184	-0.235742708	-0.495127552	-0.05215672	-0.185996018	-0.560220804	-0.221360086	-0.220737173	0.097278502	-0.194636397	-0.525847763	-0.741644001	-0.246928025	-0.464413326	-0.191040272	-0.408589611	-0.395304627	0.175806717	-0.442264894	-0.326408868	-0.591214267	-0.282781955	-0.536944824	-0.167015318	-0.023217039	0.184606596	-0.324901282	-0.36594896	-0.228668551	-0.434495924	-0.339799107	-0.181465348	-0.726504183	-0.608546622	-0.302033292	-0.200550076	-0.743192698	-0.19959888	-0.366393514	-0.386116023	-0.560749938	-0.465627207	-0.427603795	-0.407109096	-0.029804119	-0.480631683	-0.335274954	-0.218852238
ACAP3	0.367291086	0.184640017	0.405555117	0.447969771	0.130599928	0.417261756	0.379218785	0.454344426	0.28926514	0.442919478	0.430892417	0.355903485	0.319817191	0.339741538	0.496995337	0.692677477	0.257002483	0.505982716	0.817490771	0.795790076	0.462546915	0.176137921	0.637721671	0.706382458	0.348230123	0.547948213	0.581957158	0.386664439	0.4439276	0.171720942	0.284342948	0.385266059	0.529273067	0.605126932	0.698570616	0.386119285	0.246027928	0.568814463	0.488113129	0.48629228	0.555402042	0.298969483	0.587139138	0.518040398	0.786772757	0.586258177	0.311232243	0.773715448	0.180921645	0.857926237	0.426404751	0.316102823	0.38740259	0.478624717	0.414809832	0.606696536	0.321743098	0.39261392	0.983096677	0.438613865	0.300149049	0.692115444	0.681616269	0.50140483	0.536803199	0.926492869	0.931825262	0.601251579	0.895521943	0.619005095	0.422790401	0.481891284	0.264213973	0.229799048	0.426099398	0.313726101	0.473888558	0.37507202	0.452355937	0.478171638	0.226164282	0.311309306	0.404701509	0.433039894	0.39090835	0.677991537	0.421726579	0.420409493	0.581980738
PUSL1	0.034295193	-0.290498181	-0.213442473	-0.193320585	-0.406378582	0.00347923	-0.119491485	-0.026362802	-0.103894426	-0.29644631	-0.071247614	-0.07812678	-0.140555788	-0.075588284	-0.105765126	-0.090222486	-0.043089384	-0.037867264	-0.062480732	-0.081433722	0.003064549	-0.259279979	-0.003461386	0.008264727	-0.095604648	-0.266727744	-0.017599396	-0.066492268	-0.075407433	-0.025787008	-0.153211949	-0.084821953	-0.019182604	-0.110399938	-0.066357988	-0.2749342	-0.308446774	0.096132317	-0.043250502	-0.291976783	-0.098196482	-0.292114377	0.048909663	0.15984836	0.010993183	-0.039805753	-0.238924979	0.065105542	-0.403184814	0.104428174	-0.078657335	-0.346996927	-0.069916866	-0.155635428	0.012587983	0.120723054	-0.313386286	-0.078733916	0.252847799	-0.217978401	-0.132635453	0.173303212	-0.019123871	0.029441208	-0.087912664	0.109155408	0.19257943	-0.190508641	0.22996841	0.026059826	-0.095996581	-0.165917872	-0.321987542	-0.104432986	-0.058827157	-0.110945212	-0.162478102	0.005682357	-0.233135079	-0.07646554	-0.227849356	-0.107751096	-0.118387153	-0.085301679	-0.090475612	-0.143654191	-0.059592508	0.019127425	0.034709394
