cohort	sample	group	score
TCGA-THCA	TCGA-EL-A3CZ-01A	DM1	1.0120671604897002
TCGA-THCA	TCGA-EM-A2P3-01A	DM2	-0.3721121796835979
TCGA-THCA	TCGA-BJ-A2N7-01A	DM1	0.5025687720960421
TCGA-THCA	TCGA-EL-A3GW-01A	DM1	0.3198478193301717
TCGA-THCA	TCGA-DJ-A13P-01A	DM2	-0.06085710171590106
TCGA-THCA	TCGA-ET-A39O-01A	DM2+hashi	-0.8296791077914528
TCGA-THCA	TCGA-IM-A3ED-01A	DM2+hashi	0.16114564688384814
TCGA-THCA	TCGA-ET-A39L-01A	DM1	0.39963247628979875
TCGA-THCA	TCGA-FY-A3YR-01A	DM2	-0.9959882236130936
TCGA-THCA	TCGA-KS-A4IB-01A	DM2	-0.40163212293533
TCGA-THCA	TCGA-EM-A3ST-01A	DM2	0.17513592062414965
TCGA-THCA	TCGA-E8-A413-01A	DM2	-0.17742466892523487
TCGA-THCA	TCGA-EL-A3TA-01A	DM2	0.12088870637237384
TCGA-THCA	TCGA-DJ-A2PW-01A	DM2	-0.5605010283902364
TCGA-THCA	TCGA-DJ-A2PO-01A	DM2+hashi	-0.4346661519534729
TCGA-THCA	TCGA-ET-A3BT-01A	DM2	-0.31226112987961596
TCGA-THCA	TCGA-EM-A2CJ-01A	DM1	1.2366846827401174
TCGA-THCA	TCGA-DJ-A3VD-01A	DM2+hashi	-0.42094223567526506
TCGA-THCA	TCGA-DJ-A1QE-01A	DM2	-0.48738919490837157
TCGA-THCA	TCGA-BJ-A0ZB-01A	DM2	-0.6059679287654404
TCGA-THCA	TCGA-IM-A3U3-01A	DM2	-0.6586352257212369
TCGA-THCA	TCGA-BJ-A45F-01A	DM1	0.10041216229034468
TCGA-THCA	TCGA-EL-A4KG-01A	DM2	-0.7981110345426764
TCGA-THCA	TCGA-ET-A39S-01A	DM2	0.3486576962946071
TCGA-THCA	TCGA-E8-A436-01A	DM2	-0.20978912261321014
TCGA-THCA	TCGA-EM-A22K-01A	DM1	0.63756419094279
TCGA-THCA	TCGA-E3-A3DY-01A	DM2	-0.5331301291901065
TCGA-THCA	TCGA-KS-A4I7-01A	DM2	-0.22406491797213138
TCGA-THCA	TCGA-4C-A93U-01A	DM2+hashi	-0.9643704960394464
TCGA-THCA	TCGA-ET-A25G-01A	DM2	-0.512398161416072
TCGA-THCA	TCGA-EL-A3H4-01A	DM2	-0.42588583420684195
TCGA-THCA	TCGA-EL-A3ZL-01A	DM2	-0.7341964029782664
TCGA-THCA	TCGA-DJ-A3VE-01A	DM2	-0.39966252920771594
TCGA-THCA	TCGA-DJ-A1QL-01A	DM1	1.0887401556411933
TCGA-THCA	TCGA-FE-A234-01A	DM2	-0.5778867578143551
TCGA-THCA	TCGA-H2-A26U-01A	DM2+hashi	-0.744383420118598
TCGA-THCA	TCGA-EM-A1CS-01A	DM2	-0.10385084101515321
TCGA-THCA	TCGA-CE-A484-01A	DM1	0.237476492359973
TCGA-THCA	TCGA-DJ-A3VJ-01A	DM2	0.038164653742728635
TCGA-THCA	TCGA-ET-A39M-01A	DM2+hashi	-0.34509003169350294
TCGA-THCA	TCGA-BJ-A2P4-01A	DM1	0.47663741221589884
TCGA-THCA	TCGA-ET-A2MY-01A	DM2	-0.5740543144117805
TCGA-THCA	TCGA-EL-A3ZP-01A	DM2+hashi	0.2818735599706391
TCGA-THCA	TCGA-E8-A418-01A	DM2	-0.5495004421541075
TCGA-THCA	TCGA-DJ-A2Q4-01A	DM2	0.08606579073551565
TCGA-THCA	TCGA-EL-A3MW-01A	DM2	-0.1847565020221103
TCGA-THCA	TCGA-BJ-A0YZ-01A	DM1	0.24403054096908616
TCGA-THCA	TCGA-E8-A2JQ-01A	DM2+hashi	-0.6848699996142549
TCGA-THCA	TCGA-FY-A3NM-01A	DM1	1.3298867813617936
TCGA-THCA	TCGA-EM-A4FN-01A	DM2	-0.71092688664285
TCGA-THCA	TCGA-EL-A3H7-01A	DM2+hashi	-1.022466921207314
TCGA-THCA	TCGA-DJ-A1QF-01A	DM2	-0.48463041447541677
TCGA-THCA	TCGA-BJ-A2NA-01A	DM2	-0.4035873539294095
TCGA-THCA	TCGA-BJ-A3PR-01A	DM2+hashi	-0.4395917764469205
TCGA-THCA	TCGA-KS-A4I3-01A	DM2	-0.42673524521467654
TCGA-THCA	TCGA-DJ-A2PY-01A	DM2	-0.6926316289859357
TCGA-THCA	TCGA-EL-A3H8-01A	DM2	-0.26313316557233507
TCGA-THCA	TCGA-EL-A3CO-01A	DM2	0.21729194795055196
TCGA-THCA	TCGA-EL-A4K2-01A	DM1	0.8843814442388266
TCGA-THCA	TCGA-FE-A23A-01A	DM2+hashi	-0.5829559086067729
TCGA-THCA	TCGA-EL-A4K1-01A	DM2	-0.9216590345524418
TCGA-THCA	TCGA-DJ-A3VF-01A	DM2	-1.4349261026186708
TCGA-THCA	TCGA-CE-A482-01A	DM2	-0.2939075902883556
TCGA-THCA	TCGA-EM-A3SU-01A	DM2+hashi	-0.820450904303727
TCGA-THCA	TCGA-FE-A3PC-01A	DM2	-0.21467401964912228
TCGA-THCA	TCGA-EM-A3FQ-01A	DM2+hashi	0.3456676522451646
TCGA-THCA	TCGA-EL-A3GO-01A	DM1	0.4689830532546363
TCGA-THCA	TCGA-E8-A44K-01A	DM2	-0.8034875381727171
TCGA-THCA	TCGA-DJ-A3UZ-01A	DM2	0.5130310044220237
TCGA-THCA	TCGA-BJ-A0ZE-01A	DM1	0.13474717531285885
TCGA-THCA	TCGA-E8-A432-01A	DM2	-0.6379207820943125
TCGA-THCA	TCGA-BJ-A18Y-01A	DM1	1.0346918734013077
TCGA-THCA	TCGA-DJ-A4UT-01A	DM2+hashi	-0.13153852789311815
TCGA-THCA	TCGA-DJ-A2Q3-01A	DM2+hashi	-0.3289267721332517
TCGA-THCA	TCGA-ET-A40R-01A	DM2	0.8559530717361545
TCGA-THCA	TCGA-EM-A2CR-01A	DM1	-0.07313810217842759
TCGA-THCA	TCGA-J8-A4HY-01A	DM2	0.08477301986392569
TCGA-THCA	TCGA-DJ-A3UP-01A	DM1	0.5592327503952987
TCGA-THCA	TCGA-EM-A3FR-01A	DM1	0.7409954151138094
TCGA-THCA	TCGA-DJ-A4UQ-01A	DM2	0.41308626779671753
TCGA-THCA	TCGA-ET-A4KQ-01A	DM1	1.1381542320685778
TCGA-THCA	TCGA-CE-A481-01A	DM2+hashi	0.396846180341043
TCGA-THCA	TCGA-EM-A3O3-01A	DM2+hashi	-0.970946077770013
TCGA-THCA	TCGA-EM-A2CP-01A	DM1+hashi	-0.11403928916338674
TCGA-THCA	TCGA-EL-A3H3-01A	DM2+hashi	-0.8850020737693275
TCGA-THCA	TCGA-EL-A3CS-01A	DM2	-0.7390653515083514
TCGA-THCA	TCGA-BJ-A0Z3-01A	DM2+hashi	-0.44138510940774506
TCGA-THCA	TCGA-DJ-A2PT-01A	DM2	-1.0229609204290195
TCGA-THCA	TCGA-ET-A39I-01A	DM1	1.0645063683580531
TCGA-THCA	TCGA-FK-A3SD-01A	DM1	0.8959294604840541
TCGA-THCA	TCGA-DJ-A13W-01A	DM1	-0.6638141294781907
TCGA-THCA	TCGA-DJ-A13R-01A	DM1+hashi	-0.6277128921170615
TCGA-THCA	TCGA-DJ-A1QI-01A	DM2	-0.358705612244
TCGA-THCA	TCGA-EL-A3ZK-01A	DM2	-0.6891949693062842
TCGA-THCA	TCGA-EL-A4JZ-01A	DM2+hashi	-0.5310184422962381
TCGA-THCA	TCGA-ET-A2N4-01A	DM2	-0.2915243879906759
TCGA-THCA	TCGA-ET-A3DS-01A	DM1	1.3540290670727972
TCGA-THCA	TCGA-EL-A3D4-01A	DM1	0.4919866585454285
TCGA-THCA	TCGA-DJ-A2PZ-01A	DM2	-0.14909505266924078
TCGA-THCA	TCGA-FY-A3RA-01A	DM2	-0.7055270334552066
TCGA-THCA	TCGA-EM-A4FV-01A	DM2+hashi	0.35406822269600974
TCGA-THCA	TCGA-EM-A3AN-01A	DM2	0.08824803802020273
TCGA-THCA	TCGA-DJ-A3UN-01A	DM2	-0.009399778415395132
TCGA-THCA	TCGA-J8-A42S-01A	DM2	0.03495322848857878
TCGA-THCA	TCGA-EL-A4JX-01A	DM2+hashi	-1.1173680446211431
TCGA-THCA	TCGA-DE-A0Y2-01A	DM2	-0.5235705587899113
TCGA-THCA	TCGA-EL-A4JV-01A	DM1	0.6903396429188831
TCGA-THCA	TCGA-KS-A4I1-01A	DM2	-0.34972333435568975
TCGA-THCA	TCGA-CE-A27D-01A	DM2+hashi	0.8252912730244414
TCGA-THCA	TCGA-BJ-A0Z0-01A	DM1	1.0715490212827086
TCGA-THCA	TCGA-EL-A3CU-01A	DM2+hashi	-0.5396477167759226
TCGA-THCA	TCGA-EM-A2CK-01A	DM1	0.7302065926096524
TCGA-THCA	TCGA-FK-A4UB-01A	DM2	0.05740975792146255
TCGA-THCA	TCGA-ET-A2N5-01A	DM1	0.5307307861372392
TCGA-THCA	TCGA-EM-A2P0-01A	DM2	0.26551371579285443
TCGA-THCA	TCGA-H2-A421-01A	DM2+hashi	-0.4007484453794574
TCGA-THCA	TCGA-CE-A483-01A	DM2	-0.42971581828234096
TCGA-THCA	TCGA-FY-A76V-01A	DM2	0.31105651118765376
TCGA-THCA	TCGA-EL-A3GX-01A	DM2	-0.7142174004973741
TCGA-THCA	TCGA-IM-A3U2-01A	DM2	-0.6497524326751012
TCGA-THCA	TCGA-EL-A3T0-01A	DM2	0.3643053755570599
TCGA-THCA	TCGA-E3-A3E1-01A	DM2	0.0781798354209374
TCGA-THCA	TCGA-ET-A3BX-01A	DM2	-0.2683522912066644
TCGA-THCA	TCGA-BJ-A0ZJ-01A	DM1+hashi	0.3648621200389733
TCGA-THCA	TCGA-EL-A3T9-01A	DM2	-1.639159366887127
TCGA-THCA	TCGA-EM-A1YD-01A	DM1	1.1206976327928577
TCGA-THCA	TCGA-ET-A3BP-01A	DM2	-0.5819439332300882
TCGA-THCA	TCGA-EL-A3H1-01A	DM1	0.9182269376770102
TCGA-THCA	TCGA-DJ-A3VK-01A	DM1	0.43635417853263864
TCGA-THCA	TCGA-EM-A4FR-01A	DM1	0.758498089642978
TCGA-THCA	TCGA-EM-A22M-01A	DM2+hashi	-0.32818996902204545
TCGA-THCA	TCGA-EL-A3ZR-01A	DM1	0.8689303428368194
TCGA-THCA	TCGA-DJ-A4UW-01A	DM2	0.31333441555322855
TCGA-THCA	TCGA-DJ-A13V-01A	DM2	-0.31877327045139103
TCGA-THCA	TCGA-E8-A417-01A	DM2+hashi	-0.4972612168453764
TCGA-THCA	TCGA-DJ-A1QQ-01A	DM2	0.5155531830698378
TCGA-THCA	TCGA-ET-A39R-01A	DM2+hashi	0.03616968763197173
TCGA-THCA	TCGA-ET-A3DR-01A	DM2	0.7482654583762758
TCGA-THCA	TCGA-CE-A485-01A	DM2	-0.11306661025465305
TCGA-THCA	TCGA-ET-A3DT-01A	DM2+hashi	-0.5808122950486247
TCGA-THCA	TCGA-CE-A13K-01A	DM2	-0.37991329892147774
TCGA-THCA	TCGA-DJ-A3V8-01A	DM2	-0.24817517322232585
TCGA-THCA	TCGA-BJ-A290-01A	DM2	-0.4732453440895098
TCGA-THCA	TCGA-ET-A3BO-01A	DM2+hashi	-0.622097110740582
TCGA-THCA	TCGA-EL-A3N3-01A	DM2+hashi	-0.7921997262012775
TCGA-THCA	TCGA-DJ-A1QH-01A	DM2	-0.6225312166576846
TCGA-THCA	TCGA-DJ-A2Q9-01A	DM2+hashi	-1.2904708766741304
TCGA-THCA	TCGA-BJ-A190-01A	DM1	0.9203051064851249
TCGA-THCA	TCGA-DE-A3KN-01A	DM2	-0.19147995008940213
TCGA-THCA	TCGA-EM-A3AL-01A	DM1	0.9158109192188834
TCGA-THCA	TCGA-ET-A25R-01A	DM2	-0.7095768782317642
TCGA-THCA	TCGA-EM-A1YC-01A	DM1	-0.17884352296422873
TCGA-THCA	TCGA-ET-A3DO-01A	DM2+hashi	-0.961759621627156
TCGA-THCA	TCGA-EM-A3SZ-01A	DM2+hashi	-0.6654762626036828
TCGA-THCA	TCGA-BJ-A18Z-01A	DM2	-0.461470369156992
TCGA-THCA	TCGA-EM-A4FK-01A	DM1	0.7065572922925302
TCGA-THCA	TCGA-EM-A3FK-01A	DM2	-0.01366612935529024
TCGA-THCA	TCGA-EM-A3SX-01A	DM2	-0.2387965877472195
TCGA-THCA	TCGA-BJ-A0Z5-01A	DM2	-0.19380422342526654
TCGA-THCA	TCGA-EM-A4FM-01A	DM2	-0.9491292685524355
TCGA-THCA	TCGA-EL-A3GY-01A	DM2	-0.5575388563055715
TCGA-THCA	TCGA-DO-A1JZ-01A	DM2	0.09434215525959899
TCGA-THCA	TCGA-EM-A3AO-01A	DM2	-0.030778736425789488
TCGA-THCA	TCGA-ET-A39J-01A	DM2	0.010168600297283226
TCGA-THCA	TCGA-E8-A437-01A	DM2	0.12430814807246898
TCGA-THCA	TCGA-EM-A2OZ-01A	DM2	-0.4898051479944297
TCGA-THCA	TCGA-EM-A1CW-01A	DM1+hashi	0.3404282331450904
TCGA-THCA	TCGA-DJ-A3VM-01A	DM1	0.04994820276949816
TCGA-THCA	TCGA-EM-A2CL-01A	DM1	0.8179953281450751
TCGA-THCA	TCGA-ET-A40T-01A	DM2	-0.11630026404156071
TCGA-THCA	TCGA-ET-A25K-01A	DM2	-0.1477654108893419
TCGA-THCA	TCGA-FE-A236-01A	DM2	-0.48587823046930306
TCGA-THCA	TCGA-EL-A3ZQ-01A	DM2	-1.0643761066385973
TCGA-THCA	TCGA-EL-A3CP-01A	DM2	-0.35667597331966727
TCGA-THCA	TCGA-DJ-A1QM-01A	DM2	1.0465941552112707
TCGA-THCA	TCGA-DJ-A3UQ-01A	DM2	-0.29731291654226055
TCGA-THCA	TCGA-BJ-A0ZF-01A	DM1	0.6794391725542503
TCGA-THCA	TCGA-EM-A3O7-01A	DM2	-0.4688256416225989
TCGA-THCA	TCGA-IM-A3EB-01A	DM2+hashi	-0.2787494940572018
TCGA-THCA	TCGA-EL-A3ZO-01A	DM2+hashi	-1.1184859954612543
TCGA-THCA	TCGA-EL-A3H5-01A	DM2+hashi	-1.7319596683483642
TCGA-THCA	TCGA-EM-A3AK-01A	DM2	-0.13925598655645624
TCGA-THCA	TCGA-ET-A25L-01A	DM2	-0.7546153249338681
TCGA-THCA	TCGA-FY-A3ON-01A	DM2	0.3544217117649292
TCGA-THCA	TCGA-DE-A4MB-01A	DM2	-0.46233761308663
TCGA-THCA	TCGA-EL-A3CT-01A	DM2	-0.9620541494043183
TCGA-THCA	TCGA-ET-A2MZ-01A	DM2	-0.014075206509836985
TCGA-THCA	TCGA-EM-A4FU-01A	DM1	0.481487139387121
TCGA-THCA	TCGA-EM-A1CU-01A	DM2	0.034895740486123206
TCGA-THCA	TCGA-FY-A3TY-01A	DM2	-0.11655971779424723
TCGA-THCA	TCGA-EM-A3FN-01A	DM1	0.8969385489754924
TCGA-THCA	TCGA-E3-A3DZ-01A	DM1	0.9363783407954135
TCGA-THCA	TCGA-EM-A1YA-01A	DM1	-0.09628458746471852
TCGA-THCA	TCGA-EL-A4KH-01A	DM2	-0.07276535076876957
TCGA-THCA	TCGA-E3-A3E0-01A	DM2	0.23528560895837597
TCGA-THCA	TCGA-FE-A232-01A	DM2	0.3429677524708887
TCGA-THCA	TCGA-BJ-A0ZC-01A	DM1	0.9633597628639918
TCGA-THCA	TCGA-EM-A2CU-01A	DM2	0.33450997749629124
TCGA-THCA	TCGA-DJ-A2PV-01A	DM2	-0.14750525590502106
TCGA-THCA	TCGA-DJ-A3V3-01A	DM2	0.035204392789947025
TCGA-THCA	TCGA-BJ-A45K-01A	DM1	0.9660615266880056
TCGA-THCA	TCGA-EM-A3OB-01A	DM1	0.6692969221395302
TCGA-THCA	TCGA-FY-A3R6-01A	DM2+hashi	0.02920574577410305
TCGA-THCA	TCGA-E8-A2EA-01A	DM2+hashi	-0.4456000529949396
TCGA-THCA	TCGA-DJ-A3V7-01A	DM2	-0.7929095383869608
TCGA-THCA	TCGA-IM-A41Z-01A	DM1	0.23945220439197235
TCGA-THCA	TCGA-EL-A3CX-01A	DM2	-3.7651362143745
TCGA-THCA	TCGA-EM-A2OX-01A	DM2	-0.0878784025226775
TCGA-THCA	TCGA-DJ-A3UT-01A	DM1	1.1020610642011757
TCGA-THCA	TCGA-J8-A3YH-01A	DM2	-0.280254965379493
TCGA-THCA	TCGA-FY-A3NN-01A	DM2	-0.49064425083236307
TCGA-THCA	TCGA-EM-A1YB-01A	DM1	-0.9964201083399423
TCGA-THCA	TCGA-DJ-A4V4-01A	DM2	-0.04304554442762752
TCGA-THCA	TCGA-ET-A3DV-01A	DM1	0.9248745945530188
TCGA-THCA	TCGA-EM-A4FF-01A	DM2+hashi	-0.44824645306185973
TCGA-THCA	TCGA-DJ-A13M-01A	DM1	0.6007312806630106
TCGA-THCA	TCGA-EL-A3D1-01A	DM2	-0.09044078829005814
TCGA-THCA	TCGA-BJ-A28V-01A	DM1	1.0846521555927306
TCGA-THCA	TCGA-BJ-A3EZ-01A	DM2	-0.43890257072305394
TCGA-THCA	TCGA-H2-A3RI-01A	DM2	-0.39429763726340195
TCGA-THCA	TCGA-EM-A3FP-01A	DM1	0.8023598369088953
TCGA-THCA	TCGA-ET-A3DU-01A	DM2+hashi	-0.8827556846451151
TCGA-THCA	TCGA-EM-A22N-01A	DM1	0.45517215264605615
TCGA-THCA	TCGA-FY-A3BL-01A	DM2	-0.4326532512512228
TCGA-THCA	TCGA-QD-A8IV-01A	DM1	0.888185680672122
TCGA-THCA	TCGA-FY-A3R8-01A	DM2	-0.6581222876510228
TCGA-THCA	TCGA-EM-A22J-01A	DM1	0.18179394345109462
TCGA-THCA	TCGA-FE-A235-01A	DM2	-0.3259260265006204
TCGA-THCA	TCGA-ET-A3BS-01A	DM2+hashi	-0.5573771420464086
TCGA-THCA	TCGA-J8-A3YE-01A	DM2	-0.41444422040026485
TCGA-THCA	TCGA-EM-A2CT-01A	DM1	0.15607399898456087
TCGA-THCA	TCGA-DJ-A3VL-01A	DM1	0.7238611619198103
TCGA-THCA	TCGA-EM-A3FJ-01A	DM2	0.3531239328378047
TCGA-THCA	TCGA-DJ-A1QG-01A	DM1	-0.21098892908034983
TCGA-THCA	TCGA-EM-A4G1-01A	DM1	-0.14038115894058165
TCGA-THCA	TCGA-BJ-A4O9-01A	DM2	-0.3656540431444517
TCGA-THCA	TCGA-DE-A4MD-01A	DM2	-1.2391217438254487
TCGA-THCA	TCGA-EM-A3FL-01A	DM1	0.8279390503390958
TCGA-THCA	TCGA-FY-A3I4-01A	DM2	0.6717752089408422
TCGA-THCA	TCGA-DJ-A3UM-01A	DM2	-0.16486979350084544
TCGA-THCA	TCGA-EM-A2OY-01A	DM1	0.08962367855982528
TCGA-THCA	TCGA-DJ-A3UK-01A	DM2	-0.20919733962426246
TCGA-THCA	TCGA-EM-A3AJ-01A	DM1+hashi	0.5576724528920357
TCGA-THCA	TCGA-FY-A3R9-01A	DM1	0.25111196439028693
TCGA-THCA	TCGA-L6-A4EQ-01A	DM2	-0.14870982307905345
TCGA-THCA	TCGA-DJ-A3UO-01A	DM2	-0.0333199997490255
TCGA-THCA	TCGA-DJ-A1QD-01A	DM2	-0.7868990988535642
TCGA-THCA	TCGA-DJ-A4V2-01A	DM2	-0.4263831142530766
TCGA-THCA	TCGA-EL-A4K7-01A	DM2	-0.2489281313356719
TCGA-THCA	TCGA-MK-A4N6-01A	DM2	-0.6489702770684149
TCGA-THCA	TCGA-EL-A3GP-01A	DM2+hashi	-1.1780242381183288
TCGA-THCA	TCGA-EL-A3GU-01A	DM2	-0.5549101875117279
TCGA-THCA	TCGA-FE-A238-01A	DM2	-0.11744034706228883
TCGA-THCA	TCGA-CE-A3ME-01A	DM2	-0.586504662763986
TCGA-THCA	TCGA-EM-A4FO-01A	DM2+hashi	0.16467489217067233
TCGA-THCA	TCGA-IM-A420-01A	DM2+hashi	-0.4520562783182247
TCGA-THCA	TCGA-DJ-A2Q1-01A	DM2+hashi	-1.7708661618596024
TCGA-THCA	TCGA-FK-A3SH-01A	DM2	-0.2647925411037825
TCGA-THCA	TCGA-EM-A1YE-01A	DM1	1.3330889727654316
TCGA-THCA	TCGA-KS-A4I5-01A	DM2	-0.044345629546572965
TCGA-THCA	TCGA-EL-A3GV-01A	DM2	-0.1742928415249838
TCGA-THCA	TCGA-FE-A233-01A	DM2	-0.38426669801035973
TCGA-THCA	TCGA-EL-A3MX-01A	DM2	-0.4106775274464213
TCGA-THCA	TCGA-BJ-A45D-01A	DM1	0.48990823324503585
TCGA-THCA	TCGA-MK-A4N7-01A	DM2	-0.624251181818777
TCGA-THCA	TCGA-ET-A25N-01A	DM2	-0.22116200623792637
TCGA-THCA	TCGA-DJ-A2PQ-01A	DM2	-0.3179279601680603
TCGA-THCA	TCGA-E8-A438-01A	DM2	-0.14389684671779393
TCGA-THCA	TCGA-EM-A22I-01A	DM2	-0.9409433647282687
TCGA-THCA	TCGA-DJ-A1QO-01A	DM2	-0.16955146213154562
TCGA-THCA	TCGA-E8-A3X7-01A	DM2	-0.5841850399957773
TCGA-THCA	TCGA-E3-A3E2-01A	DM2+hashi	-0.038015784458238236
TCGA-THCA	TCGA-E8-A434-01A	DM2	0.543927648339392
TCGA-THCA	TCGA-EL-A3MZ-01A	DM2	-0.7021727582925066
TCGA-THCA	TCGA-ET-A3DQ-01A	DM2+hashi	-0.24362520662655734
TCGA-THCA	TCGA-J8-A3O1-01A	DM2	-1.1704774417121824
TCGA-THCA	TCGA-BJ-A0Z2-01A	DM1	0.8829570813912939
TCGA-THCA	TCGA-DJ-A2PN-01A	DM2	-0.015658899111632277
TCGA-THCA	TCGA-EL-A3CV-01A	DM2+hashi	-1.0657943636289926
TCGA-THCA	TCGA-FE-A239-01A	DM1	1.1835744482499484
TCGA-THCA	TCGA-DE-A4M8-01A	DM2+hashi	-0.06864332047365651
TCGA-THCA	TCGA-BJ-A28W-01A	DM1+hashi	-0.18124988827211247
TCGA-THCA	TCGA-EM-A22L-01A	DM1	1.0620810982505553
TCGA-THCA	TCGA-BJ-A28T-01A	DM1+hashi	0.8063232524634785
TCGA-THCA	TCGA-DJ-A4V0-01A	DM1+hashi	0.9356964835882783
TCGA-THCA	TCGA-EL-A3H2-01A	DM1	1.1749023291915757
TCGA-THCA	TCGA-DJ-A3UY-01A	DM2	0.09367245027278284
TCGA-THCA	TCGA-J8-A3O2-01A	DM2	0.1925019771579572
TCGA-THCA	TCGA-EM-A2CO-01A	DM1	0.25034921902859375
TCGA-THCA	TCGA-FE-A3PB-01A	DM2+hashi	-1.1878978508003053
TCGA-THCA	TCGA-EL-A3ZM-01A	DM2	-1.9064659642692174
TCGA-THCA	TCGA-BJ-A4O8-01A	DM2+hashi	-0.6417342376694029
TCGA-THCA	TCGA-EM-A3AP-01A	DM1	0.5889063903215176
TCGA-THCA	TCGA-FE-A3PA-01A	DM2	0.18446792237634035
TCGA-THCA	TCGA-ET-A25P-01A	DM1	0.7027278829742398
TCGA-THCA	TCGA-EL-A3ZH-01A	DM1	1.5412824540799985
TCGA-THCA	TCGA-DJ-A2PU-01A	DM2	-0.24020638842797815
TCGA-THCA	TCGA-ET-A3DP-01A	DM2	-0.38602028524579185
TCGA-THCA	TCGA-DJ-A2QC-01A	DM2	-0.46084178922052726
TCGA-THCA	TCGA-MK-A4N9-01A	DM2	-0.4530706872490533
TCGA-THCA	TCGA-EL-A3GS-01A	DM2	-0.2969380458584373
TCGA-THCA	TCGA-MK-A84Z-01A	DM1	0.6965088215971384
TCGA-THCA	TCGA-EM-A3OA-01A	DM1	0.5643766964746773
TCGA-THCA	TCGA-DJ-A3VA-01A	DM2	-0.45057399444989443
TCGA-THCA	TCGA-BJ-A191-01A	DM1	0.22871865233647992
TCGA-THCA	TCGA-EL-A3ZG-01A	DM2	-0.3338551231058047
TCGA-THCA	TCGA-EM-A3O9-01A	DM1	-2.0649804506381417
TCGA-THCA	TCGA-EL-A3N2-01A	DM2	-0.7792041667611134
TCGA-THCA	TCGA-DJ-A3UV-01A	DM2	0.9431609934401319
TCGA-THCA	TCGA-FE-A3PD-01A	DM2	-0.0035979602197512284
TCGA-THCA	TCGA-IM-A4EB-01A	DM2+hashi	-0.4350357251772245
TCGA-THCA	TCGA-ET-A3BN-01A	DM2	0.16522090722724286
TCGA-THCA	TCGA-BJ-A45E-01A	DM2+hashi	-1.399924942357853
TCGA-THCA	TCGA-FY-A40L-01A	DM2	-0.47442789603359126
TCGA-THCA	TCGA-E3-A3E5-01A	DM2	-0.36854472170532393
