ModelID	RAI_8_score	THYROID_NONOVERLAP_score	TDS_like_score	TF_collapse_score	STAT3_AP1_DNMT_score	DM1_like_score	PatientID	CellLineName	StrippedCellLineName	DepmapModelType	OncotreeLineage	OncotreePrimaryDisease	OncotreeSubtype	OncotreeCode	PatientSubtypeFeatures	RRID	Age	AgeCategory	Sex	PatientRace	PrimaryOrMetastasis	SampleCollectionSite	SourceType	SourceDetail	CatalogNumber	ModelType	TissueOrigin	ModelDerivationMaterial	ModelTreatment	PatientTreatmentStatus	PatientTreatmentType	PatientTreatmentDetails	Stage	StagingSystem	PatientTumorGrade	PatientTreatmentResponse	GrowthPattern	OnboardedMedia	FormulationID	SerumFreeMedia	PlateCoating	EngineeredModel	EngineeredModelDetails	CulturedResistanceDrug	PublicComments	CCLEName	HCMIID	PediatricModelType	ModelAvailableInDbgap	ModelSubtypeFeatures	WTSIMasterCellID	SangerModelID	COSMICID	ModelIDAlias	is_thyroid	is_thyroid_model	cancer_type	lineage_silenced_score
ACH-000012	-0.2241359740673954	-0.3351750359093835	0.4197557501815621	0.9173372457935639	0.7564950647180205	0.2241359740673954	PT-NdspH5	HCC-827	HCC827	LUAD	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD		CVCL_2063	39.0	Adult	Female	caucasian	Primary	lung	ATCC		CRL-2868	Cell Line											Adherent	MF-001-001	RPMI + 10% FBS	False						HCC827_LUNG		False	Approved for public sharing - CCLE		354.0	SIDM01067	1240146.0		False	False	Lung	0.5139044560072393
ACH-000013	0.42032384303551806	0.2874079641612872	0.856867828608493	1.0368718762232711	0.04236322979485071	-0.42032384303551806	PT-gj46wT	ONCO-DG-1	ONCODG1	HGSOC	Ovary/Fallopian Tube	Ovarian Epithelial Tumor	High-Grade Serous Ovarian Cancer	HGSOC		CVCL_1882	60.0	Adult	Female	caucasian	Metastatic	ascites	DSMZ		ACC 507	Cell Line											Adherent	MF-001-001	RPMI + 10% FBS	False					SNP fingerprinting confirms that this line is an OVCAR-3 derivative. DepMap metadata has been updated (as of 22Q2) to reflect this.	ONCODG1_OVARY		False	Approved for public sharing - CCLE			SIDM00093			False	False	Ovary/Fallopian Tube	-0.9637288114985472
ACH-000014	-0.2655824097347701	-0.1277670053361922	-0.20897226863717877	-0.05631145383936895	0.12040966337188765	0.2655824097347701	PT-fp8PeY	Hs 294T	HS294T	MEL	Skin	Melanoma	Melanoma	MEL		CVCL_0331	56.0	Adult	Male	caucasian	Metastatic	lymph_node	ATCC		HTB-140	Cell Line											Adherent	MF-002-001	DMEM + 10% FBS	False						HS294T_SKIN		False	Approved for public sharing - CCLE			SIDM00800			False	False	Skin	0.6089338597596092
ACH-000015	-0.2748040077565313	-0.21843168603997443	-0.043718892401794135	0.4999393375191563	0.02947913589765903	0.2748040077565313	PT-ffwajI	NCI-H1581	NCIH1581	LCLC	Lung	Non-Small Cell Lung Cancer	Large Cell Lung Carcinoma	LCLC		CVCL_1479	44.0	Adult	Male	caucasian	Primary	lung	ATCC		CRL-5878	Cell Line											Adherent	MF-007-008	DMEM:F12 + 5% FBS	False						NCIH1581_LUNG		False	Approved for public sharing - CCLE		1237.0	SIDM00748	908471.0	ACH-000010	False	False	Lung	0.6300773657702313
ACH-000016	0.3085898631609994	0.014652834762473338	0.49603001112869055	0.9529426904350898	0.5806478232192754	-0.3085898631609994	PT-JnARLB	SLR 21	SLR21	CCRCC	Kidney	Renal Cell Carcinoma	Renal Clear Cell Carcinoma	CCRCC		CVCL_V607		Unknown	Unknown		Metastatic	kidney	Dana-Farber Cancer Institute	Bill Kaelin		Cell Line											Adherent	MF-001-001	RPMI + 10% FBS	False						SLR21_KIDNEY		False	Approved for public sharing - CCLE						False	False	Kidney	-0.7075424032976371
ACH-000017	1.2352879414212246	0.402895361096016	1.1931784295915013	-0.7835470857925868	0.11986155070122649	-1.2352879414212246	PT-8CE6ah	SK-BR-3	SKBR3	BRCA	Breast	Invasive Breast Carcinoma	Invasive Breast Carcinoma	BRCA		CVCL_0033	43.0	Adult	Female	caucasian	Metastatic	pleural_effusion	ATCC			Cell Line											Mixed	MF-023-001	McCoy's 5A + 10% FBS	False						SKBR3_BREAST		False	Approved for public sharing - CCLE	HER2+		SIDM00897			False	False	Breast	-2.832298475020761
ACH-000018	-0.20188571010473477	-0.22951696423368162	0.02070044966693234	0.6792913901480648	0.6697893216544806	0.20188571010473477	PT-Mi0cKz	T24	T24	BLCA	Bladder/Urinary Tract	Bladder Urothelial Carcinoma	Bladder Urothelial Carcinoma	BLCA		CVCL_0554	82.0	Adult	Female	caucasian	Primary	urinary_tract	ATCC		HTB-4	Cell Line											Adherent	MF-023-001	McCoy's 5A + 10% FBS	False						T24_URINARY_TRACT		False	Approved for public sharing - CCLE		1455.0	SIDM01184	724812.0		False	False	Bladder/Urinary Tract	0.46288850533119863
ACH-000019	-0.19374320942904558	-0.20758356910363648	-0.22124319562640096	-0.24200606842138317	-0.02404031352618877	0.19374320942904558	PT-viJKnw	MCF-7	MCF7	BRCA	Breast	Invasive Breast Carcinoma	Invasive Breast Carcinoma	BRCA		CVCL_0031	69.0	Adult	Female	caucasian	Metastatic	pleural_effusion	ATCC		HTB-22	Cell Line											Adherent	MF-015-010	EMEM + 10% FBS + 0.01 mg/ml recombinant insulin	False						MCF7_BREAST		False	Approved for public sharing - CCLE	ER+	588.0	SIDM00148	905946.0		False	False	Breast	0.4442191801695875
ACH-000020	-0.28357815975592876	-0.28329512696545217	-0.398356334729671	0.006207937520258999	-0.4577647545769869	0.28357815975592876	PT-GMWtlF	MHH-CALL-2	MHHCALL2	BALL	Lymphoid	B-Cell Acute Lymphoblastic Leukemia	B-Cell Acute Lymphoblastic Leukemia		No Fusion [PMID: 21518330]	CVCL_1409	15.0	Pediatric	Female	caucasian	Primary	haematopoietic_and_lymphoid_tissue	DSMZ			Cell Line											Suspension	MF-001-020	RPMI + 20% FBS	False						MHHCALL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE		True	Approved for public sharing - CCLE	Near haploid	1906.0	SIDM00331	908132.0		False	False	Lymphoid	0.6501949565716943
ACH-000021	-0.20698143619458187	-0.27509190213290247	-0.08983964142372623	0.008384701002922323	-0.16393705576705367	0.20698143619458187	PT-9p1WQv	NCI-H1693	NCIH1693	LUAD	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD		CVCL_1488	55.0	Adult	Female	caucasian	Metastatic	lymph_node	ATCC		CRL-5887	Cell Line											Adherent	MF-001-001	RPMI + 10% FBS	False						NCIH1693_LUNG		False	Approved for public sharing - CCLE		634.0	SIDM00742	687802.0		False	False	Lung	0.4745721110310911
ACH-000022	-0.3424000174577048	-0.3079441473753847	-0.3409296032978657	-0.12843341617236181	-0.3170501146215616	0.3424000174577048	PT-lVglGI	PA-TU-8988S	PATU8988S	PAAD	Pancreas	Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma	PAAD		CVCL_1846	64.0	Adult	Female		Metastatic	liver	DSMZ		ACC 204	Cell Line											Adherent	MF-002-003	DMEM + 10% FBS + 2mM Glutamine	False						PATU8988S_PANCREAS		False	Approved for public sharing - CCLE			SIDM00452			False	False	Pancreas	0.7850631539208489
ACH-000023	-0.3652351318650105	-0.34725094522311845	-0.30066434410593534	0.009628409856177744	-0.07406080062449502	0.3652351318650105	PT-lVglGI	PA-TU-8988T	PATU8988T	PAAD	Pancreas	Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma	PAAD		CVCL_1847	64.0	Adult	Female		Metastatic	liver	DSMZ		ACC 162	Cell Line											Adherent	MF-002-001	DMEM + 10% FBS	False						PATU8988T_PANCREAS		False	Approved for public sharing - CCLE		1242.0	SIDM00453	1240201.0		False	False	Pancreas	0.8374200640339077
ACH-000024	-0.06922493065408064	-0.1825867413311371	-0.1001179110224316	-0.257633224464294	-0.22722429532429958	0.06922493065408064	PT-codP7n	OPM-2	OPM2	PCM	Lymphoid	Mature B-Cell Neoplasms	Plasma Cell Myeloma	PCM		CVCL_1625	56.0	Adult	Female		Primary	haematopoietic_and_lymphoid_tissue	DSMZ			Cell Line											Suspension	MF-001-001	RPMI + 10% FBS	False						OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE		False	Approved for public sharing - CCLE		112.0	SIDM00457	909249.0		False	False	Lymphoid	0.15872061804423748
ACH-000025	-0.28145837670143886	-0.2784970233052734	-0.07202187228840272	-0.19103218039810388	0.6397780190575204	0.28145837670143886	PT-nrgozM	CH-157MN	CH157MN	MNG	CNS/Brain	Meningothelial Tumor	Meningioma	MNG		CVCL_5723	41.0	Adult	Female		Primary	central_nervous_system	Brigham and Women's Hospital	Ian Dunn		Cell Line											Mixed	MF-002-001	DMEM + 10% FBS	False						CH157MN_CENTRAL_NERVOUS_SYSTEM		False	Approved for public sharing - CCLE						False	False	CNS/Brain	0.6453346660181422
ACH-000026	-0.14322023399777334	-0.21033585563652557	0.21980244553452213	0.4925093802034893	0.6479341329164997	0.14322023399777334	PT-AR7W9o	253J-BV	253JBV	BLCA	Bladder/Urinary Tract	Bladder Urothelial Carcinoma	Bladder Urothelial Carcinoma	BLCA		CVCL_7937	53.0	Adult	Male		Metastatic	lymph_node	KCLB		80002	Cell Line											Mixed	MF-002-001	DMEM + 10% FBS	False						253JBV_URINARY_TRACT		False	Approved for public sharing - CCLE						False	False	Bladder/Urinary Tract	0.3283788635363104
ACH-000027	0.8832665516958433	-0.11159220945108372	0.015124174347278462	-0.28324015559509097	0.8346118949767295	-0.8832665516958433	PT-llPs5J	GOS-3	GOS3	GB	CNS/Brain	Adult-Type Diffuse Glioma	Glioblastoma, IDH-Wildtype	GB		CVCL_2050	64.0	Adult	Male		Primary	central_nervous_system	DSMZ		ACC 408	Cell Line											Adherent	MF-002-001	DMEM + 10% FBS	False					SNP fingerprinting confirms that this line is an U-343 MG derivative. DepMap metadata has been updated (as of 22Q2) to reflect this.	GOS3_CENTRAL_NERVOUS_SYSTEM		False	Approved for public sharing - CCLE						False	False	CNS/Brain	-2.02517520289784
ACH-000028	-0.0690110028559047	-0.09704524200620793	-0.007079876979368244	-0.20913837546307326	0.30639414520599784	0.0690110028559047	PT-viJKnw	KPL-1	KPL1	BRCA	Breast	Invasive Breast Carcinoma	Invasive Breast Carcinoma	BRCA		CVCL_2094	69.0	Adult	Female	caucasian	Metastatic	pleural_effusion	DSMZ			Cell Line											Adherent	MF-002-001	DMEM + 10% FBS	False					SNP fingerprinting confirms that this line is an MCF-7 derivative. DepMap metadata has been updated (as of 22Q2) to reflect this.	KPL1_BREAST		False	Approved for public sharing - CCLE	ER+		SIDM00147			False	False	Breast	0.15823011914416632
ACH-000029	0.20050967058107402	-0.26023950625754644	0.595413125480211	0.6342354515461619	0.4705142024699588	-0.20050967058107402	PT-NdspH5	HCC-827-GR5	HCC827GR5	LUAD	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD		CVCL_V622	39.0	Adult	Female	caucasian	Primary	lung	Dana-Farber Cancer Institute	Pasi Janne		Cell Line											Adherent	MF-001-014	RPMI + 5% FBS	False		engineered clone	MET amplified			HCC827GR5_LUNG		False	Approved for public sharing - CCLE						False	False	Lung	-0.45973348817791143
ACH-000030	-0.24660279411579475	-0.30014803623699465	0.15014068874620184	0.16972135374549668	0.3864101906633457	0.24660279411579475	PT-nDRyc6	PC-14	PC14	LUAD	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD		CVCL_1640	45.0	Adult	Male	asian	Primary	lung	RIKEN		RCB4455	Cell Line											Adherent	MF-001-001	RPMI + 10% FBS	False						PC14_LUNG		False	Approved for public sharing - CCLE		198.0	SIDM00237	753608.0		False	False	Lung	0.5654169317855073
ACH-000031	1.190268967043953	0.8092093310725942	-0.009493462532338518	-0.15174048278550434	0.49406050103444604	-1.190268967043953	PT-o4NqQC	Panc 02.13	PANC0213	PAAD	Pancreas	Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma	PAAD		CVCL_1634	64.0	Adult	Female	caucasian	Primary	pancreas	ATCC		CRL-2554	Cell Line											Adherent	MF-001-001	RPMI + 10% FBS	False						PANC0213_PANCREAS		False	Approved for public sharing - CCLE						False	False	Pancreas	-2.729077866933998
ACH-000032	-0.15424323342948798	-0.24509659222009242	-0.16150684796449338	0.22202508456058173	-0.42584367412470686	0.15424323342948798	PT-p2KOyI	MHH-CALL-3	MHHCALL3	BALL	Lymphoid	B-Cell Acute Lymphoblastic Leukemia	B-Cell Acute Lymphoblastic Leukemia		TCF3::PBX1	CVCL_0089	11.0	Pediatric	Female		Primary	bone_marrow	DSMZ		ACC-339	Cell Line				Pre-treatment							Mixed	MF-001-020	RPMI + 20% FBS	False						MHHCALL3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE		True	Approved for public sharing - CCLE	TCF3::PBX1					False	False	Lymphoid	0.3536526668608052
ACH-000033	0.2780221436359724	0.2456368976496895	0.6986149481685187	1.1804781750079578	-0.3271667225806176	-0.2780221436359724	PT-9p1WQv	NCI-H1819	NCIH1819	LUAD	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD		CVCL_1497	55.0	Adult	Female	caucasian	Metastatic	lymph_node	Academic lab			Cell Line											Adherent	MF-001-014	RPMI + 5% FBS	False						NCIH1819_LUNG		False	Approved for public sharing - CCLE						False	False	Lung	-0.6374559866068146
ACH-000034	-0.31255980076807016	-0.3020190030343082	-0.436363047042559	-0.10224490635769495	0.08808307127559836	0.31255980076807016	PT-5qa3uk	PLB-985	PLB985	AML	Myeloid	Acute Myeloid Leukemia	Acute Myeloid Leukemia	AML	TP53(del), CDKN2A and NRAS mutations	CVCL_2162	35.0	Adult	Female	caucasian	Primary	haematopoietic_and_lymphoid_tissue	Dana-Farber Cancer Institute	David Pellman		Cell Line											Suspension	MF-001-001	RPMI + 10% FBS	False					SNP fingerprinting confirms that this line is an HL-60 derivative. DepMap metadata has been updated (as of 22Q2) to reflect this.	PLB985_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE		True	Approved for public sharing - CCLE			SIDM00811			False	False	Myeloid	0.7166447735656554
ACH-000035	-0.10891930168993477	-0.24849850290315253	0.0044137740351370535	0.07349495846299414	0.7330738830163612	0.10891930168993477	PT-5LVIPg	NCI-H1650	NCIH1650	NSCLC	Lung	Non-Small Cell Lung Cancer	Non-Small Cell Lung Cancer	NSCLC		CVCL_1483	27.0	Adult	Male	caucasian	Metastatic	pleural_effusion	ATCC		NCIH1650	Cell Line											Adherent	MF-001-001	RPMI + 10% FBS	False						NCIH1650_LUNG		False	Approved for public sharing - CCLE		1548.0	SIDM00745	687800.0		False	False	Lung	0.24973284505781063
ACH-000036	-0.3120306612465721	-0.2878348831275917	0.2887597520010976	-0.4450176059140477	0.302977806698935	0.3120306612465721	PT-llPs5J	U343	U343	GB	CNS/Brain	Adult-Type Diffuse Glioma	Glioblastoma, IDH-Wildtype	GB		CVCL_4773	64.0	Adult	Male		Primary	central_nervous_system	Academic lab	Linda Chin		Cell Line											Adherent	MF-002-001	DMEM + 10% FBS	False						U343_CENTRAL_NERVOUS_SYSTEM		False	Approved for public sharing - CCLE						False	False	CNS/Brain	0.7154315494989751
ACH-000037	-0.12265098902871081	-0.23802343572521298	0.25548025157841114	0.9123792025609008	0.7824061668901948	0.12265098902871081	PT-JfLphU	S-117	S117	SARCNOS	Soft Tissue	Sarcoma, NOS	Sarcoma, NOS	SARCNOS		CVCL_1674	47.0	Adult	Female			soft_tissue	DSMZ		266	Cell Line											Adherent	MF-001-001	RPMI + 10% FBS	False						S117_THYROID		False	Approved for public sharing - CCLE			SIDM00035			True	True	Soft Tissue	0.2812171944187628
ACH-000038	0.5176015398338101	0.4997918949429207	0.29005435015141223	-0.8073665832204681	-0.19608735321635168	-0.5176015398338101	PT-LoXnDo	EHEB	EHEB	ZTRABL	Lymphoid	Non-Cancerous	Transformed cell line, B lymphoblast			CVCL_1194	69.0	Adult	Female		Primary	B lymphoblastoid cells	DSMZ			Cell Line			EBV								Suspension	MF-001-001	RPMI + 10% FBS	False					Probably misclassified. Originally thought to be a leukemia cell line but is probably a B-lymphoblastoid cell line (PubMed=12592342).	EHEB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE		True	Approved for public sharing - CCLE		39.0	SIDM01049	906854.0		False	False	Lymphoid	-1.1867694994683038
ACH-000039	0.5490569457028687	0.26181044304565526	0.28231500276717325	-0.1424187866739696	0.08819626577011944	-0.5490569457028687	PT-wGDMGe	SK-N-MC	SKNMC	ES	Bone	Ewing Sarcoma	Ewing Sarcoma	ES		CVCL_0530	14.0	Pediatric	Female	caucasian	Metastatic	bone	ATCC		HTB-10	Cell Line											Adherent	MF-006-001	MEM + 10% FBS	False						SKNMC_BONE		True	Approved for public sharing - CCLE	EWS::FLI		SIDM00634			False	False	Bone	-1.2588912251702422
ACH-000040	-0.16203068631194315	0.24731754707366896	0.06446924625043178	-0.24223547325322992	0.756122926914756	0.16203068631194315	PT-5XnRfQ	U-118 MG	U118MG	ASTR	CNS/Brain	Adult-Type Diffuse Glioma	Astrocytoma, IDH-Mutant	ASTR		CVCL_0633	47.0	Adult	Male	caucasian	Primary	central_nervous_system	ATCC		HTB-15	Cell Line											Adherent	MF-002-001	DMEM + 10% FBS	False					SNP fingerprinting confirms that this line is an U-138 MG derivative. DepMap metadata has been updated (as of 22Q2) to reflect this.	U118MG_CENTRAL_NERVOUS_SYSTEM		False	Approved for public sharing - CCLE		7.0	SIDM01193	687588.0		False	False	CNS/Brain	0.37150792973813684
ACH-000041	0.7095185948813273	0.6939897350148808	-0.05106744961951164	-0.7252753311109965	-0.3827647491078325	-0.7095185948813273	PT-3yDaRJ	RD-ES	RDES	ES	Bone	Ewing Sarcoma	Ewing Sarcoma	ES		CVCL_2169	19.0	Adult	Male	caucasian	Primary	bone	ATCC		HTB-166	Cell Line											Mixed	MF-001-017	RPMI + 15% FBS	False						RDES_BONE		True	Approved for public sharing - CCLE	EWS::FLI					False	False	Bone	-1.6268016281039757
ACH-000042	-0.1719388431118976	-0.2951698893623945	-0.1840157638117804	0.10508437156567944	0.14069576671937709	0.1719388431118976	PT-QOpMVz	Panc 02.03	PANC0203	PAAD	Pancreas	Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma	PAAD		CVCL_1633	70.0	Adult	Female	caucasian	Primary	pancreas	ATCC		CRL-2553	Cell Line											Adherent	MF-001-042	RPMI + 15% FBS + 10 Units/ml recombinant Insulin	False						PANC0203_PANCREAS		False	Approved for public sharing - CCLE		1838.0	SIDM01139	1298475.0		False	False	Pancreas	0.3942255945463035
ACH-000043	-0.36284775518638124	-0.2783436273866901	-0.15458088268281	-0.14111533979209415	0.35928468262866836	0.36284775518638124	PT-rTUVZQ	Hs 895.T	HS895T	ZFIBSKI	Fibroblast	Non-Cancerous	Fibroblast, Skin			CVCL_0993	48.0	Adult	Female	caucasian	Metastatic	fibroblast	ATCC		CRL-7637	Cell Line											Adherent	MF-002-001	DMEM + 10% FBS	False						HS895T_FIBROBLAST		False	Approved for public sharing - CCLE						False	False	Fibroblast	0.8319462282589043
ACH-000044	0.2258551651084346	-0.302059865577519	0.09098627954766117	-0.7702252327372532	-0.14107792071550843	-0.2258551651084346	PT-HMBfbj	MDA-MB-134-VI	MDAMB134VI	ILC	Breast	Invasive Breast Carcinoma	Breast Invasive Lobular Carcinoma	ILC		CVCL_0617	47.0	Adult	Female	caucasian	Metastatic	pleural_effusion	ATCC			Cell Line											Adherent	MF-021-003	L-15 + 20% FBS	False						MDAMB134VI_BREAST		False	Approved for public sharing - CCLE	luminal ER+		SIDM00005			False	False	Breast	-0.5178462593718883
ACH-000045	-0.17302390582447436	-0.21517227327828656	-0.3004377767683468	-0.13145530125911964	-0.22926223759031877	0.17302390582447436	PT-zb7Sx0	MV4-11	MV411	AML	Myeloid	Acute Myeloid Leukemia	Acute Myeloid Leukemia	AML	KMT2A::AFF1 (e9-e5)	CVCL_0064	10.0	Pediatric	Male		Primary	haematopoietic_and_lymphoid_tissue	ATCC		CRL-9591	Cell Line											Suspension	MF-005-001	IMDM + 10% FBS	False						MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE		True	Approved for public sharing - CCLE	KMT2A::AFF1, FLT3-ITD, TP53, STAG2 and MGA	133.0	SIDM00657	908156.0	ACH-001288	False	False	Myeloid	0.3967134529338769
