method_name	method_family	method_role	uses_public_pretraining	training_overlap_audited	clean_comparator_allowed	mean_AUPRC	mean_top10_precision	mean_ECE	source_collapse_rate	utility_score	posterior_alpha	public_overlap_penalty	bounded_fallback_penalty	uncertainty_only_penalty	calibration_penalty	abstention_penalty	posterior_weight_global
prespecified_lr_qk_quantum_only_w0.5	qk_fallback	bounded_fallback	False	True	True	0.5698246252535977	0.6209150326797386	0.2219834290443963	0.0	0.41402226391506614	4.312178111320529	0.0	0.1	0.0	0.1219834290443963	0.0	0.00986410316110867
F_topk_diversification_hla_cluster	classical_biophysical	internal_candidate	False	True	True	0.5044063414740251	0.681530612244898	0.2470699533145036	0.25	0.3903505335206026	4.1228042681648205	0.0	0.0	0.0	0.1470699533145036	0.09161786237915384	0.009430910682347287
GP_quantum	qk_fallback	bounded_fallback	False	True	True	0.5946414016568287	0.7677083333333333	0.2394369858773386	0.0	0.38529296972525756	4.082343757802061	0.0	0.1	0.0	0.1394369858773386	0.0730811495825032	0.009338357304943508
prespecified_C_0.5_QK_quantum_0.5	qk_fallback	bounded_fallback	False	True	True	0.4988849562031652	0.5562091503267974	0.1913959948893525	0.0	0.38474459008985046	4.077956720718804	0.0	0.1	0.0	0.09139599488935249	0.0	0.009328321961958196
prespecified_rf_qk_quantum_only_w0.5	qk_fallback	bounded_fallback	False	True	True	0.5019037265468916	0.5797385620915033	0.2029224297699629	0.0	0.38078450584622847	4.046276046769828	0.0	0.1	0.0	0.10292242976996288	0.0	0.009255852451659965
v0_fixed_late_fusion_C_QK_quantum	qk_fallback	bounded_fallback	False	True	True	0.4987288707365597	0.550326797385621	0.1935440809378029	0.0	0.3800701138424147	4.040560910739318	0.0	0.1	0.0	0.09354408093780289	0.0	0.00924277908364747
sourceheld_prespecified_late_fusion_w0.5	ensemble_or_fusion	internal_candidate	False	True	True	0.600567101061887	0.7458163265306123	0.2653642112091404	0.5	0.37987423784865576	4.038993902789246	0.0	0.0	0.0	0.16536421120914038	0.09161786237915384	0.009239194554512829
B_rank_normalization_hla_supertype_train_only	classical_biophysical	internal_candidate	False	True	True	0.4566358717292943	0.6786734693877552	0.2728878216987849	0.0	0.3787799716463035	4.030239773170428	0.0	0.0	0.0	0.1728878216987849	0.09161786237915384	0.009219169491675318
qk_clean_no_tcr_gamma1	tcr_aware	internal_candidate	False	True	True	0.3189728720500634	0.3823529411764705	0.1447577352967335	0.0	0.37805389831495917	4.024431186519673	0.0	0.0	0.0	0.04475773529673349	0.0	0.009205882355461518
pairwise_positive_over_unlabeled	classical_biophysical	internal_candidate	False	True	True	0.4126829732621625	0.3801666666666666	0.1465251198366204	0.2	0.37710695262970473	4.016855621037638	0.0	0.0	0.0	0.04652511983662039	0.07618301365555818	0.00918855325692026
radius_of_gyration_peptide	classical_biophysical	internal_candidate	False	True	True	0.3315897204475527	0.4326797385620915	0.2179351073621437	0.0	0.3751746089540214	4.001396871632171	0.0	0.0	0.0	0.11793510736214369	0.0	0.009153191382957553
MHCflurry	deep_immunogenicity	caveated_public_comparator	True	False	False	0.600867866897983	0.81875	0.1558937282741515	0.0	0.3739789693381626	3.991831754705301	0.18	0.0	0.0	0.05589372827415148	0.06786163420960505	0.009131311187455653
nested_rf_qk_quantum_only_train_selected	qk_fallback	bounded_fallback	False	True	True	0.4679665324103141	0.5150326797385621	0.1784787562057855	0.0	0.36707585375856333	3.9366068300685066	0.0	0.1	0.0	0.07847875620578548	0.0	0.00900498422701501
pu_weighted_rf	classical_biophysical	internal_candidate	False	True	True	0.6170767212758665	0.7472448979591837	0.2607044440225223	0.75	0.366187637290979	3.929501098327832	0.0	0.0	0.0	0.1607044440225223	0.09161786237915384	0.008988729872692036
nested_learned_gate_C_QK_structure	qk_fallback	bounded_fallback	False	True	True	0.4944848041881513	0.4856209150326798	0.1877979366937925	0.0	0.3623341656752139	3.8986733254017114	0.0	0.1	0.0	0.08779793669379249	0.0	0.008918211372639318
hard_decoy_nested_meta_C_QK_aux	qk_fallback	bounded_fallback	False	True	True	0.465127826424441	0.5032679738562091	0.1783955400917585	0.0	0.3614157153841543	3.8913257230732343	0.0	0.1	0.0	0.0783955400917585	0.0	0.008901403739586169
qk_quantum_only	qk_fallback	bounded_fallback	False	True	True	0.4453381614243109	0.5117647058823529	0.1727242342167048	0.0	0.35884057902302713	3.870724632184217	0.0	0.1	0.0	0.07272423421670479	0.0	0.00885427876457014
interface_contacts_10A	classical_biophysical	internal_candidate	False	True	True	0.3615586313775046	0.4091503267973856	0.241142702810692	0.0	0.35790621919233356	3.8632497535386685	0.0	0.0	0.0	0.141142702810692	0.0	0.008837179987067678
G_abstention_extreme_ood	classical_biophysical	internal_candidate	False	True	True	0.5729714704944949	0.7286734693877551	0.2815238376023303	0.5	0.3575448237964734	3.860358590371787	0.0	0.0	0.0	0.1815238376023303	0.09161786237915384	0.00883056645418534
prespecified_lr_qk_no_anchor_w0.5	qk_fallback	bounded_fallback	False	True	True	0.4959900934072867	0.538562091503268	0.2109814904163695	0.0	0.3534471805239855	3.827577444191884	0.0	0.1	0.0	0.11098149041636948	0.0	0.008755579614748198
prespecified_rf_qk_no_anchor_w0.5	qk_fallback	bounded_fallback	False	True	True	0.4593730962920596	0.526797385620915	0.1926477287186332	0.0	0.34874515634982817	3.7899612507986253	0.0	0.1	0.0	0.0926477287186332	0.0	0.00866953260959662
qk_quantum_only_gamma1	qk_fallback	bounded_fallback	False	True	True	0.431278368065646	0.5	0.170665222309597	0.0	0.3485943214291841	3.788754571433473	0.0	0.1	0.0	0.07066522230959699	0.0	0.008666772331743303
v0_QK_quantum_only_fallback	qk_fallback	bounded_fallback	False	True	True	0.431278368065646	0.5	0.170665222309597	0.0	0.3485943214291841	3.788754571433473	0.0	0.1	0.0	0.07066522230959699	0.0	0.008666772331743303
source_balanced_plus_pu_rf	classical_biophysical	internal_candidate	False	True	True	0.4902453697150267	0.6886734693877551	0.2779338786976444	0.25	0.34696259199882606	3.7757007359906085	0.0	0.0	0.0	0.1779338786976444	0.09161786237915384	0.008636911696089475
peptide_helicity_proxy	classical_biophysical	internal_candidate	False	True	True	0.3799499183736777	0.4326797385620915	0.2670875941882732	0.0	0.3461749474768634	3.769399579814907	0.0	0.0	0.0	0.1670875941882732	0.0	0.008622497807574944
rule_gate_rf_qk_fallback_train_selected	qk_fallback	bounded_fallback	False	True	True	0.4511283644634047	0.4797385620915032	0.1808611585737402	0.0	0.3417773067899337	3.7342184543194694	0.0	0.1	0.0	0.08086115857374018	0.0	0.008542021017829207
pu_logistic_weighted	classical_biophysical	internal_candidate	False	True	True	0.3875875948506161	0.3761666666666666	0.1628613265055892	0.2	0.3405843700117833	3.7246749600942666	0.0	0.0	0.0	0.0628613265055892	0.07618301365555818	0.008520190284235965
v0_fixed_late_fusion_C_QK_no_anchor	qk_fallback	bounded_fallback	False	True	True	0.4539569437057641	0.515032679738562	0.1958967264158899	0.0	0.337488344509617	3.699906756076936	0.0	0.1	0.0	0.0958967264158899	0.0	0.008463533042063862
nested_lr_qk_quantum_only_train_selected	qk_fallback	bounded_fallback	False	True	True	0.4583593245017353	0.526797385620915	0.2017527457433393	0.0	0.3371905974101798	3.6975247792814385	0.0	0.1	0.0	0.10175274574333928	0.0	0.00845808427250203
nested_rf_qk_no_anchor_train_selected	qk_fallback	bounded_fallback	False	True	True	0.4346894126653668	0.5032679738562091	0.1942682962284694	0.0	0.3234965914894752	3.5879727319158015	0.0	0.1	0.0	0.09426829622846938	0.0	0.00820748407259647
nested_lr_qk_no_anchor_train_selected	qk_fallback	bounded_fallback	False	True	True	0.4490730811848039	0.526797385620915	0.2087094332799915	0.0	0.3230851015096998	3.5846808120775986	0.0	0.1	0.0	0.1087094332799915	0.0	0.008199953809225186
hard_decoy_rule_aux_C_QK_no_anchor	qk_fallback	bounded_fallback	False	True	True	0.4047721799483591	0.5	0.1788668412505069	0.0	0.3223185420673744	3.5785483365389954	0.0	0.1	0.0	0.07886684125050689	0.0	0.008185925777501043
BigMHC_IM	deep_immunogenicity	caveated_public_comparator	True	False	False	0.6217138229550467	0.771875	0.2033580731624393	0.0	0.3140087482275967	3.512069985820774	0.18	0.0	0.0	0.1033580731624393	0.06786163420960505	0.008033856616038672
MHCnuggets_2	deep_immunogenicity	caveated_public_comparator	True	False	False	0.5800491446642597	0.7895833333333333	0.1854257998228523	0.0	0.31055432114920933	3.4844345691936747	0.18	0.0	0.0	0.08542579982285228	0.07302352208854225	0.007970640627859918
A_score_standardization_train_only	classical_biophysical	internal_candidate	False	True	True	0.4450797771901458	0.6743877551020407	0.2911929433098205	0.25	0.29819190424164577	3.385535233933166	0.0	0.0	0.0	0.19119294330982048	0.09161786237915384	0.007744408496349937
bagging_pu_rf	classical_biophysical	internal_candidate	False	True	True	0.3022967174429875	0.3341666666666666	0.1452690015217167	0.2	0.29453481599970066	3.3562785279976053	0.0	0.0	0.0	0.0452690015217167	0.07618301365555818	0.007677483810482957
qk_no_anchor	qk_fallback	bounded_fallback	False	True	True	0.3703926922118239	0.4764705882352941	0.1817535399524862	0.0	0.2895392212283474	3.3163137698267793	0.0	0.1	0.0	0.08175353995248619	0.0	0.00758606446572749
v0_QK_no_anchor_fallback	qk_fallback	bounded_fallback	False	True	True	0.364254055021712	0.4647058823529412	0.1836586647872279	0.0	0.27944711636878794	3.2355769309503035	0.0	0.1	0.0	0.08365866478722789	0.0	0.0074013790267173
qk_no_anchor_gamma1	qk_fallback	bounded_fallback	False	True	True	0.364254055021712	0.4647058823529412	0.1836586647872279	0.0	0.27944711636878794	3.2355769309503035	0.0	0.1	0.0	0.08365866478722789	0.0	0.0074013790267173
NetMHCstabpan	deep_immunogenicity	caveated_public_comparator	True	False	False	0.5351922012486295	0.7583333333333333	0.1836172970743769	0.0	0.2742305920357282	3.1938447362858255	0.18	0.0	0.0	0.0836172970743769	0.0730811495825032	0.007305916672732154
TSCAPE_TITANiAN	deep_immunogenicity	caveated_public_comparator	True	False	False	0.5597997370914287	0.7614583333333333	0.2068093391919312	0.0	0.2627193137171986	3.1017545097375887	0.18	0.0	0.0	0.1068093391919312	0.0730811495825032	0.007095260370661297
TransPHLA	deep_immunogenicity	caveated_public_comparator	True	False	False	0.5350093380889892	0.7427083333333333	0.1917562246235845	0.0	0.25909563131166313	3.072765050493305	0.18	0.0	0.0	0.09175622462358449	0.07302352208854225	0.007028947011336071
NetMHCpan_4.1	deep_immunogenicity	caveated_public_comparator	True	False	False	0.5004061865943354	0.734375	0.1775072322915368	0.0	0.25706902272903875	3.05655218183231	0.18	0.0	0.0	0.0775072322915368	0.06786163420960505	0.0069918600903228325
PRIME	deep_immunogenicity	caveated_public_comparator	True	False	False	0.5077576398636467	0.721875	0.1829382156256713	0.0	0.2508597437550505	3.006877950040404	0.18	0.0	0.0	0.0829382156256713	0.06786163420960505	0.006878230334270354
source_prespecified_rf_qk_compact_w0.5	qk_fallback	bounded_fallback	False	True	True	0.5814672387086828	0.7429591836734695	0.2585463158064002	0.5	0.22724236910152884	2.8179389528122307	0.0	0.1	0.0	0.1585463158064002	0.09161786237915384	0.006446032565137763
positive_only_centroid	classical_biophysical	internal_candidate	False	True	True	0.3268742573707666	0.3401666666666667	0.1548870316576591	0.6	0.2202712545917929	2.762170036734343	0.0	0.0	0.0	0.0548870316576591	0.07618301365555818	0.006318461224814106
C_source_balanced_training	classical_biophysical	internal_candidate	False	True	True	0.4579138546959085	0.6801020408163265	0.2905099611577333	0.75	0.20891146802058036	2.671291744164643	0.0	0.0	0.0	0.1905099611577333	0.09161786237915384	0.006110577220519483
DeepImmuno	deep_immunogenicity	caveated_public_comparator	True	False	False	0.5550511054984465	0.7802083333333333	0.2581050237594454	0.0	0.20459534064853252	2.63676272518826	0.18	0.0	0.0	0.15810502375944538	0.0730811495825032	0.006031592123790577
ESM2_Bayesian	bayesian_uncertainty	uncertainty_only	False	True	True	0.5378305627750056	0.7466666666666666	0.2400467664091577	0.0	0.19160422414373307	2.5328337931498646	0.0	0.0	0.22	0.1400467664091577	0.06566127175244799	0.005793854794629875
H_anchor_rf_plus_qk_compact_w0.5	qk_fallback	bounded_fallback	False	True	True	0.5687384291291067	0.7329591836734693	0.2846466159564871	0.5	0.18463014698208735	2.477041175856699	0.0	0.1	0.0	0.1846466159564871	0.09161786237915384	0.0056662292377997305
source_qk_compact_gamma1	qk_fallback	bounded_fallback	False	True	True	0.4958582825298849	0.7158163265306122	0.2746558364877545	0.5	0.14560482002447772	2.1648385601958218	0.0	0.1	0.0	0.17465583648775448	0.09161786237915384	0.004952066063518467
sourceheld_qk_compact_gamma1	qk_fallback	bounded_fallback	False	True	True	0.5092857296574265	0.7029591836734693	0.2797246023945368	0.5	0.14347588958398616	2.1478071166718893	0.0	0.1	0.0	0.17972460239453678	0.09161786237915384	0.00491310665331655
