method_name	method_role	method_family	method_disposition	n_matched_anchor_splits	n_wins_vs_anchor	n_losses_vs_anchor	n_ties_vs_anchor	win_rate_vs_anchor	median_delta_AUPRC_vs_anchor	median_delta_top10_precision_vs_anchor	median_delta_ECE_vs_anchor	source_heldout_median_delta_AUPRC	hla_heldout_median_delta_AUPRC	low_prevalence_median_delta_AUPRC	mean_AUPRC	mean_top10_precision	reviewer_safe_score
TENT	internal_candidate	classical_biophysical	clean_internal_candidate	29	10	19	0	0.3448275862068966	-0.08165291498624838	0.0	0.07715897941489738	0.09622946868936177	-0.24946362117414744	0.09622946868936177	0.5351319324833842	0.7355555555555555	0.6753963021215434
RF_biophys	internal_candidate	internal_baseline	clean_internal_candidate	29	12	17	0	0.41379310344827586	-0.08741690408357083	0.0	0.09029857683027001	0.15240860701135706	-0.15927128427128429	0.15240860701135706	0.5706072727927642	0.7770833333333333	0.7210407254538579
v0_fixed_late_fusion_C_QK_quantum	bounded_fallback	qk_fallback	bounded_fallback_not_headline	21	0	17	4	0.0	-0.09315580618212205	0.0	-0.013247391515043498	-0.0960210743874057	-0.07918705843429613	-0.13172766195210694	0.4987288707365597	0.550326797385621	0.5894398221199036
sourceheld_prespecified_late_fusion_w0.5	internal_candidate	ensemble_or_fusion	clean_internal_candidate	23	3	16	4	0.13043478260869565	-0.09319432462707322	-0.09999999999999998	-0.0030757094826854015	-0.2614808639542311	-0.0536769329995635	-0.7635657551737515	0.600567101061887	0.7458163265306123	0.7431939452470955
prespecified_C_0.5_QK_quantum_0.5	bounded_fallback	qk_fallback	bounded_fallback_not_headline	21	0	17	4	0.0	-0.09489078032409709	0.0	-0.004122582077577597	-0.09661016436069306	-0.08448713323713328	-0.13059804773152384	0.4988849562031652	0.5562091503267974	0.5909871867795894
TransPHLA	caveated_public_comparator	deep_immunogenicity	caveated_public_not_clean_claim	29	5	22	2	0.1724137931034483	-0.10413128167138863	0.0	0.01865760843318337	-0.10413128167138863	-0.05264056930723604	-0.10413128167138863	0.5350093380889892	0.7427083333333333	0.5843753822932973
prespecified_rf_qk_quantum_only_w0.5	bounded_fallback	qk_fallback	bounded_fallback_not_headline	21	0	19	2	0.0	-0.1045843776106935	0.0	0.008943967576594589	-0.1071496497071606	-0.0845495602012129	-0.14530121438340204	0.5019037265468916	0.5797385620915033	0.5975591959881961
D_positive_class_reweighting	internal_candidate	classical_biophysical	clean_internal_candidate	23	7	15	1	0.30434782608695654	-0.1072599206175584	0.0	-0.028427020682445597	-0.3887389020951233	-0.0864949721466799	-0.7492804711579639	0.6611072491150088	0.7429591836734695	0.8079835730463278
source_prespecified_rf_qk_compact_w0.5	bounded_fallback	qk_fallback	bounded_fallback_not_headline	23	5	17	1	0.21739130434782608	-0.11357317664410838	-0.09999999999999998	0.005759299310591881	-0.29136197908424477	-0.05020462986843449	-0.7616504302201811	0.5814672387086828	0.7429591836734695	0.7042044438627366
anchor_lr	anchor	internal_baseline	clean_internal_candidate	21	4	17	0	0.19047619047619047	-0.1155052775785318	0.0	-0.0076013792178234035	-0.07664993511402629	-0.2360345040940971	-0.1155052775785318	0.526168165769229	0.6032679738562092	0.6690709305801377
H_anchor_rf_plus_qk_compact_w0.5	bounded_fallback	qk_fallback	bounded_fallback_not_headline	23	2	21	0	0.08695652173913043	-0.11574851076199721	-0.09999999999999998	-0.00017014812974699978	-0.308210275250464	-0.11390585135828929	-0.7636878896459894	0.5687384291291067	0.7329591836734693	0.6868656042681518
NetMHCstabpan	caveated_public_comparator	deep_immunogenicity	caveated_public_not_clean_claim	29	10	19	0	0.3448275862068966	-0.11649410297804141	0.0	0.0028052127067207944	-0.09666553762795166	-0.12157287157287158	0.0180909405508336	0.5351922012486295	0.7583333333333333	0.5884971382078585
Stack_LR_OOF_E3b	internal_candidate	ensemble_or_fusion	clean_internal_candidate	23	9	12	2	0.391304347826087	-0.11741339616986696	-0.09999999999999998	0.091772760512215	-0.05330567055783264	0.0	0.09622946868936166	0.5346310665904996	0.4823529411764705	0.6228424842451526
nested_learned_gate_C_QK_structure	bounded_fallback	qk_fallback	bounded_fallback_not_headline	21	2	17	2	0.09523809523809523	-0.1185687253805407	-0.0444444444444444	-0.021143921882423998	-0.15879349056141093	-0.11656821679151763	-0.2544802523799321	0.4944848041881513	0.4856209150326798	0.572829193525308
ESM2_Bayesian	uncertainty_only	bayesian_uncertainty	uncertainty_only_not_ranking_headline	30	9	20	1	0.3	-0.1245385633921802	0.0	0.06543120804974892	0.12828532133344983	-0.14461032388663964	0.12828532133344983	0.5378305627750056	0.7466666666666666	0.6231592194674231
nested_lr_qk_quantum_only_train_selected	bounded_fallback	qk_fallback	bounded_fallback_not_headline	21	2	19	0	0.09523809523809523	-0.12811870112439605	-0.0444444444444444	0.003274616377806197	-0.12300695796959388	-0.20062367819771518	-0.1178952148147917	0.4583593245017353	0.526797385620915	0.5435435270515845
NetMHCpan_4.1	caveated_public_comparator	deep_immunogenicity	caveated_public_not_clean_claim	30	7	23	0	0.23333333333333334	-0.1333333333333333	0.0	-0.004868698891900905	-0.12598044290101995	-0.1333333333333333	-0.1019186794587863	0.5004061865943354	0.734375	0.5495304633651816
Wave8_SelfSim_full	internal_candidate	tcr_aware	clean_internal_candidate	29	3	25	1	0.10344827586206896	-0.1360941527608196	0.0	0.002633012860202205	-0.08937076893865298	-0.16666666666666674	-0.05195647235372214	0.4793055304135335	0.7552083333333334	0.6331729539313498
nested_rf_qk_quantum_only_train_selected	bounded_fallback	qk_fallback	bounded_fallback_not_headline	21	0	19	2	0.0	-0.1378602368024805	-0.0444444444444444	-0.000871444345615896	-0.15229978418526985	-0.12367052423025049	-0.18779494104659955	0.4679665324103141	0.5150326797385621	0.5531251927374481
PRIME	caveated_public_comparator	deep_immunogenicity	caveated_public_not_clean_claim	30	5	23	2	0.16666666666666666	-0.14062734513778108	0.0	0.008253690085956805	-0.14062734513778108	-0.1333333333333333	-0.09691023474445937	0.5077576398636467	0.721875	0.5538388183010796
Wave8_SelfSim_no_exact	internal_candidate	tcr_aware	clean_internal_candidate	29	10	19	0	0.3448275862068966	-0.14186507936507942	0.0	-0.013120324128680194	-0.09470623030126685	-0.16666666666666674	0.10019772265761584	0.5251991143609056	0.7708333333333334	0.6833031685334955
hard_decoy_nested_meta_C_QK_aux	bounded_fallback	qk_fallback	bounded_fallback_not_headline	21	0	19	2	0.0	-0.1421497160752906	-0.0444444444444444	-0.010275475622687186	-0.13532275765867038	-0.11250000000000004	-0.1421497160752906	0.465127826424441	0.5032679738562091	0.5479418671865071
v0_C_counterfactual_RF	internal_candidate	internal_baseline	clean_internal_candidate	21	0	21	0	0.0	-0.16457632480420092	0.0	-0.01039097605738809	-0.13292148605065846	-0.2240743402624208	-0.14828415041858956	0.4387272197550305	0.5032679738562091	0.5422940569537762
pu_weighted_rf	internal_candidate	classical_biophysical	clean_internal_candidate	23	5	18	0	0.21739130434782608	-0.16828520861217955	-0.09999999999999998	0.00246276896478298	-0.3102360448455745	-0.1298233441082784	-0.7772968838856968	0.6170767212758665	0.7472448979591837	0.7604552564654511
prespecified_lr_qk_no_anchor_w0.5	bounded_fallback	qk_fallback	bounded_fallback_not_headline	21	5	16	0	0.23809523809523808	-0.1696428571428572	0.0	0.0004539479043192962	-0.1368931274409643	-0.1696428571428572	-0.18921285843363755	0.4959900934072867	0.538562091503268	0.5826043626663033
qk_quantum_only	bounded_fallback	qk_fallback	bounded_fallback_not_headline	21	0	19	2	0.0	-0.17493244356196624	0.0	-0.016754556056955777	-0.18090584277364355	-0.16064615684115502	-0.17493244356196624	0.4453381614243109	0.5117647058823529	0.5304186791791111
Wave8_TCR_only	internal_candidate	tcr_aware	clean_internal_candidate	29	7	21	1	0.2413793103448276	-0.17497506578388927	0.0	0.021621291735937298	-0.03860554798323912	-0.22063492063492074	-0.25333763087773775	0.4996462215008605	0.7739583333333333	0.6560625163039255
elastic_net_lr	internal_candidate	classical_biophysical	clean_internal_candidate	21	2	19	0	0.09523809523809523	-0.19028719499365532	0.0	0.0189750166650402	-0.16263015369912442	-0.1263599200943064	-0.19028719499365532	0.4827540835334972	0.538562091503268	0.5930593588792117
qk_quantum_only_gamma1	bounded_fallback	qk_fallback	bounded_fallback_not_headline	21	0	21	0	0.0	-0.19430327867041675	0.0	-0.010865746848278901	-0.19650585532557072	-0.16453660273986948	-0.19430327867041675	0.431278368065646	0.5	0.5142118458346864
v0_QK_quantum_only_fallback	bounded_fallback	qk_fallback	bounded_fallback_not_headline	21	0	21	0	0.0	-0.19430327867041675	0.0	-0.010865746848278901	-0.19650585532557072	-0.16453660273986948	-0.19430327867041675	0.431278368065646	0.5	0.5142118458346864
rule_gate_rf_qk_fallback_train_selected	bounded_fallback	qk_fallback	bounded_fallback_not_headline	21	2	17	2	0.09523809523809523	-0.19801040070377474	-0.0444444444444444	-0.0035198408494115097	-0.14826688023162196	-0.214100075358381	-0.19801040070377474	0.4511283644634047	0.4797385620915032	0.5289899610243313
anchor_rf_retrained_cf	anchor	internal_baseline	clean_internal_candidate	23	2	21	0	0.08695652173913043	-0.2021058153725095	-0.09999999999999998	0.006980281956716378	-0.2868142781511238	-0.14311715104501238	-0.7722236021652791	0.6338654497872817	0.7443877551020408	0.7951719582264749
nested_lr_qk_no_anchor_train_selected	bounded_fallback	qk_fallback	bounded_fallback_not_headline	21	2	18	1	0.09523809523809523	-0.20285837491143055	0.0	0.011360536192002696	-0.15496091066088655	-0.23149591065697278	-0.20285837491143055	0.4490730811848039	0.526797385620915	0.5335616149809876
prespecified_rf_qk_no_anchor_w0.5	bounded_fallback	qk_fallback	bounded_fallback_not_headline	21	2	18	1	0.09523809523809523	-0.21027696446690078	0.0	-0.001699664643409704	-0.14522226726010146	-0.21027696446690078	-0.23718148518718796	0.4593730962920596	0.526797385620915	0.5454678005443793
v0_fixed_late_fusion_C_QK_no_anchor	bounded_fallback	qk_fallback	bounded_fallback_not_headline	21	2	19	0	0.09523809523809523	-0.2265738459146417	-0.0444444444444444	0.004155701596717798	-0.16279087356523586	-0.2265738459146417	-0.27752720829898436	0.4539569437057641	0.515032679738562	0.5373738070118876
nested_rf_qk_no_anchor_train_selected	bounded_fallback	qk_fallback	bounded_fallback_not_headline	21	2	19	0	0.09523809523809523	-0.22729458368355748	-0.09999999999999998	-0.004040299966873009	-0.15654616728466902	-0.24408434674022766	-0.22729458368355748	0.4346894126653668	0.5032679738562091	0.5159161778137618
qk_no_anchor	bounded_fallback	qk_fallback	bounded_fallback_not_headline	21	0	21	0	0.0	-0.2276636696371902	-0.09999999999999998	-0.015703233580272508	-0.23932487167471367	-0.2138095238095239	-0.2825126987008907	0.3703926922118239	0.4764705882352941	0.4475114558636341
ESMFold_3D_CV_score	internal_candidate	structure_proxy	clean_internal_candidate	22	4	16	2	0.18181818181818182	-0.23666993194298563	-0.1	0.03896188961523145	-0.300500183964632	-0.2084719405774212	-0.340437197977305	0.5028430277971025	0.4326797385620915	0.5870620874133771
stacked_calibrated_meta_model_lowdim_only	internal_candidate	ensemble_or_fusion	clean_internal_candidate	21	0	19	2	0.0	-0.23701020384518268	-0.09999999999999998	0.003201743347250291	-0.24901163314548003	-0.23297221418107233	-0.23701020384518268	0.366920003365823	0.4738562091503268	0.464028543762913
hard_decoy_rule_aux_C_QK_no_anchor	bounded_fallback	qk_fallback	bounded_fallback_not_headline	21	2	19	0	0.09523809523809523	-0.2404761904761905	-0.09999999999999998	-0.0007959559531081073	-0.192702814152953	-0.2404761904761905	-0.24872498406455645	0.4047721799483591	0.5	0.4868854958233084
E_pu_style_conservative_ranker	internal_candidate	classical_biophysical	clean_internal_candidate	23	4	19	0	0.17391304347826086	-0.24632897080783955	-0.09999999999999998	-0.005074741392506021	-0.3289385704899302	-0.1396443670920694	-0.7693619418977435	0.6140849306469575	0.7343877551020408	0.7530450860479913
min_pLDDT_peptide	internal_candidate	structure_proxy	clean_internal_candidate	22	2	18	2	0.09090909090909091	-0.2513349734939215	-0.10000000000000003	0.02220748871411079	-0.29429878414831157	-0.22090820520866555	-0.3372625948027017	0.4473491882785721	0.4209150326797385	0.527166184870536
interface_contacts_8A	internal_candidate	classical_biophysical	clean_internal_candidate	22	2	18	2	0.09090909090909091	-0.2520072901402509	-0.14444444444444438	-0.013556335944162196	-0.31061481241897193	-0.19487350044982288	-0.30297688051698746	0.4369328429240434	0.4091503267973856	0.5218722158962188
mean_pLDDT_peptide	internal_candidate	structure_proxy	clean_internal_candidate	22	2	20	0	0.09090909090909091	-0.2601791160649596	-0.10000000000000003	0.0033042526365972963	-0.2853986734805509	-0.225990706532944	-0.32337370591381287	0.399944586155548	0.4209150326797385	0.4867580453082516
sourceheld_qk_compact_gamma1	bounded_fallback	qk_fallback	bounded_fallback_not_headline	23	2	21	0	0.08695652173913043	-0.26526488200337406	-0.19999999999999996	-0.007797767167386199	-0.3057261135288899	-0.15451189527801923	-0.7600188474368181	0.5092857296574265	0.7029591836734693	0.6219051061526667
G_abstention_extreme_ood	internal_candidate	classical_biophysical	clean_internal_candidate	23	3	20	0	0.13043478260869565	-0.266625628865533	-0.09999999999999998	-0.011485722719571712	-0.3263698294439497	-0.1306703895033488	-0.7638417260092398	0.5729714704944949	0.7286734693877551	0.710553780611813
qk_no_anchor_gamma1	bounded_fallback	qk_fallback	bounded_fallback_not_headline	21	0	21	0	0.0	-0.27047619047619054	-0.09999999999999998	-0.006360531843430703	-0.23887067069831264	-0.27047619047619054	-0.2828764304486001	0.364254055021712	0.4647058823529412	0.4388293650135775
v0_QK_no_anchor_fallback	bounded_fallback	qk_fallback	bounded_fallback_not_headline	21	0	21	0	0.0	-0.27047619047619054	-0.09999999999999998	-0.006360531843430703	-0.23887067069831264	-0.27047619047619054	-0.2828764304486001	0.364254055021712	0.4647058823529412	0.4388293650135775
calibrated_linear_svm	internal_candidate	classical_biophysical	clean_internal_candidate	21	0	21	0	0.0	-0.2724091338987099	-0.10000000000000003	-0.007914908808394822	-0.26400084751183117	-0.24389526041903636	-0.22045696859438768	0.3455865953043199	0.4326797385620915	0.4356185572748434
xgboost_depth2	internal_candidate	classical_biophysical	clean_internal_candidate	21	0	21	0	0.0	-0.28415598013081295	-0.1	0.017619198261951602	-0.28732037922936615	-0.24832511800614537	-0.2904847783279194	0.3529231868786339	0.3915032679738562	0.4356861543010815
qk_clean_no_tcr_gamma1	internal_candidate	tcr_aware	clean_internal_candidate	21	0	21	0	0.0	-0.2855584213493646	-0.1	-0.027328461058404113	-0.3140401721609849	-0.27759637188208613	-0.37358394456039407	0.3189728720500634	0.3823529411764705	0.4009676867556842
v0_Structure_baseline_RF	internal_candidate	structure_proxy	clean_internal_candidate	21	0	21	0	0.0	-0.286485260770975	-0.1	-0.024457776798777406	-0.2947040220881967	-0.286485260770975	-0.3303639270968176	0.3203193848902968	0.3973856209150326	0.401606856943368
source_qk_compact_gamma1	bounded_fallback	qk_fallback	bounded_fallback_not_headline	23	2	21	0	0.08695652173913043	-0.2915974484909853	-0.19999999999999996	-0.004370711845941205	-0.2915974484909853	-0.22391475046576403	-0.7603372670480245	0.4958582825298849	0.7158163265306122	0.6115559641872319
source_balanced_rf	internal_candidate	classical_biophysical	clean_internal_candidate	23	2	21	0	0.08695652173913043	-0.2989356038764573	-0.09999999999999998	0.017602388904928393	-0.2989356038764573	-0.1984304463966014	-0.7494207374999651	0.6050674042912851	0.7129591836734694	0.741015959118158
peptide_helicity_proxy	internal_candidate	classical_biophysical	clean_internal_candidate	22	2	20	0	0.09090909090909091	-0.29973431739179435	-0.1	0.07145590709104255	-0.3220890452987542	-0.19508457155982334	-0.34599275353286046	0.3799499183736777	0.4326797385620915	0.4597771066672687
rf_secondary	internal_candidate	classical_biophysical	clean_internal_candidate	21	0	21	0	0.0	-0.3002184012387513	-0.19999999999999996	0.005013749938717588	-0.30026163334892836	-0.25206844529011124	-0.3002184012387513	0.3299086677543026	0.4091503267973856	0.4171013004125583
hard_decoy_sequence_only_source_stress	internal_candidate	classical_biophysical	clean_internal_candidate	23	3	20	0	0.13043478260869565	-0.3005170602434677	0.0	-0.0073748309755873875	-0.21979607447640048	-0.3005170602434677	-0.7385440711261992	0.6815679940633383	0.7286734693877551	0.8238794267731345
radius_of_gyration_peptide	internal_candidate	classical_biophysical	clean_internal_candidate	22	0	20	2	0.0	-0.30807227571107426	-0.10000000000000003	0.0443343949898196	-0.32473092732038	-0.2718820861678004	-0.3413895789296858	0.3315897204475527	0.4326797385620915	0.4163321574237566
interface_contacts_10A	internal_candidate	classical_biophysical	clean_internal_candidate	22	2	20	0	0.09090909090909091	-0.31453314483001404	-0.10000000000000003	0.016201876032486847	-0.3262867520157284	-0.2521194595773316	-0.3382149757550827	0.3615586313775046	0.4091503267973856	0.4392744264559125
decoy_focal_positive_pattern	internal_candidate	classical_biophysical	clean_internal_candidate	27	0	27	0	0.0	-0.32220439071982493	-0.3	-0.013515082996442399	-0.2588390738791808	-0.33724972396923303	-0.6290058666693772	0.6449232670520787	0.6875992063492063	0.7757698640105996
anchor_rf	anchor	internal_baseline	clean_internal_candidate	27	1	25	1	0.037037037037037035	-0.3223599512729392	-0.2	-0.0362565812146589	-0.3223599512729392	-0.32495561383702093	-0.7267115667969799	0.6145059707030316	0.7098214285714285	0.7682675736993567
pairwise_positive_over_unlabeled	internal_candidate	classical_biophysical	clean_internal_candidate	27	0	27	0	0.0	-0.3340675931577197	-0.5	-0.1180442794156373	-0.16016452802635894	-0.659842134203369	-0.7183901052606114	0.4126829732621625	0.3801666666666666	0.4940637946118338
pu_logistic_weighted	internal_candidate	classical_biophysical	clean_internal_candidate	27	0	27	0	0.0	-0.34162185962274183	-0.5	-0.11678180864163461	-0.1899612564216291	-0.6155733155733156	-0.7475297749635336	0.3875875948506161	0.3761666666666666	0.4665347955333905
C_source_balanced_training	internal_candidate	classical_biophysical	clean_internal_candidate	23	2	20	1	0.08695652173913043	-0.34677491840582003	-0.3	-0.011192292827978179	-0.3951752923641797	-0.3353310063309739	-0.7666628179774608	0.4579138546959085	0.6801020408163265	0.5848832667434005
source_balanced_plus_pu_rf	internal_candidate	classical_biophysical	clean_internal_candidate	23	2	21	0	0.08695652173913043	-0.352868137790393	-0.30000000000000004	-0.026483674782877706	-0.34634401740371906	-0.352868137790393	-0.7631063335014509	0.4902453697150267	0.6886734693877551	0.6201866757228133
positive_only_centroid	internal_candidate	classical_biophysical	clean_internal_candidate	27	0	27	0	0.0	-0.3701288178956677	-0.5	-0.09608043970899871	-0.30436708982585103	-0.4844202934415205	-0.711645743291301	0.3268742573707666	0.3401666666666667	0.399418887538334
F_topk_diversification_hla_cluster	internal_candidate	classical_biophysical	clean_internal_candidate	23	2	21	0	0.08695652173913043	-0.4053975416613333	-0.2	0.0029435527056043964	-0.2904186129854068	-0.4009360936305049	-0.7652439860508458	0.5044063414740251	0.681530612244898	0.6360054685915543
A_score_standardization_train_only	internal_candidate	classical_biophysical	clean_internal_candidate	23	2	21	0	0.08695652173913043	-0.4097339846988343	-0.30000000000000004	0.023884666971661	-0.3898417241079656	-0.4097339846988343	-0.7505680951919014	0.4450797771901458	0.6743877551020407	0.570838033879572
bagging_pu_rf	internal_candidate	classical_biophysical	clean_internal_candidate	27	0	27	0	0.0	-0.41970628919953673	-0.5	-0.12386568415249849	-0.2779353383471066	-0.6116883116883117	-0.7463999277553008	0.3022967174429875	0.3341666666666666	0.3746031506241492
B_rank_normalization_hla_supertype_train_only	internal_candidate	classical_biophysical	clean_internal_candidate	23	2	21	0	0.08695652173913043	-0.4635260890421058	-0.30000000000000004	0.0423999813590146	-0.3832057109606566	-0.4637921787850936	-0.7427032749422283	0.4566358717292943	0.6786734693877552	0.5850817834369669
