method_name	method_role	method_family	method_disposition	n_matched_anchor_splits	n_wins_vs_anchor	n_losses_vs_anchor	n_ties_vs_anchor	win_rate_vs_anchor	median_delta_AUPRC_vs_anchor	median_delta_top10_precision_vs_anchor	median_delta_ECE_vs_anchor	source_heldout_median_delta_AUPRC	hla_heldout_median_delta_AUPRC	low_prevalence_median_delta_AUPRC	mean_AUPRC	mean_top10_precision	reviewer_safe_score	recommended_position
VQC	bounded_fallback	qk_fallback	bounded_fallback_not_headline	29	10	14	5	0.3448275862068966	-0.007204372941180592	0.0	0.018932476729736594	0.030222459825210102	-0.10162596906017957	0.030222459825210102	0.5579112980450861	0.7833333333333333	0.6956181062204816	bounded fallback/fusion component
Stack_median_E2	internal_candidate	ensemble_or_fusion	clean_internal_candidate	29	10	15	4	0.3448275862068966	-0.0159156050611165	0.0	0.036199126275886506	0.007458747426467127	0.006506192220477991	0.13872586118575425	0.6129595859237941	0.7770833333333333	0.7671535013191434	does not beat anchor median; retain as comparator or support branch
kNN	internal_candidate	classical_biophysical	clean_internal_candidate	29	13	16	0	0.4482758620689655	-0.016789738613574745	0.0	0.023863288971905407	0.1728167702766632	-0.054969336219336196	0.1728167702766632	0.61054647575326	0.7958333333333333	0.7665392168366923	does not beat anchor median; retain as comparator or support branch
DeepImmuno	caveated_public_comparator	deep_immunogenicity	caveated_public_not_clean_claim	29	11	15	3	0.3793103448275862	-0.02192067105688489	0.0	0.07787295952612391	0.07669548350095778	-0.151984126984127	0.13872586118575425	0.5550511054984465	0.7802083333333333	0.6052822697891685	field comparator only; public overlap audit required
MultiTask_A_only	internal_candidate	classical_biophysical	clean_internal_candidate	29	12	15	2	0.41379310344827586	-0.02346095487624128	0.0	0.07208226695950878	0.09622946868936177	-0.13416213416213418	0.09622946868936177	0.5977420282156533	0.7955555555555556	0.7513417184055982	does not beat anchor median; retain as comparator or support branch
rule_gated_C_QK_structure	bounded_fallback	qk_fallback	bounded_fallback_not_headline	21	7	12	2	0.3333333333333333	-0.03792779405136404	0.0	-0.0252487994988563	-0.08957496053999175	-0.04085292359421677	-0.24126690877776524	0.5519147906953146	0.5915032679738562	0.6532321273534715	bounded fallback/fusion component
MultiTask_AC	internal_candidate	classical_biophysical	clean_internal_candidate	29	14	15	0	0.4827586206896552	-0.04896396207501896	0.0	0.12278741870722229	0.10734057980047285	-0.12208100541433886	0.10734057980047285	0.5871865189717569	0.7755555555555556	0.735888906477295	does not beat anchor median; retain as comparator or support branch
prespecified_equal_weight_C_QK_no_anchor	bounded_fallback	qk_fallback	bounded_fallback_not_headline	21	6	12	3	0.2857142857142857	-0.050899977289908804	0.0	-0.0033301307729281804	-0.10155553399064249	-0.043851867330245264	-0.221148694711522	0.5481642876965633	0.5973856209150327	0.6500546638555277	bounded fallback/fusion component
prespecified_lr_qk_quantum_only_w0.5	bounded_fallback	qk_fallback	bounded_fallback_not_headline	21	2	14	5	0.09523809523809523	-0.052331954069558706	0.0	0.0011627528338832988	-0.02717533519624893	-0.012796954507480751	-0.052331954069558706	0.5698246252535977	0.6209150326797386	0.6718092888851057	bounded fallback/fusion component
MultiTask_AB	internal_candidate	classical_biophysical	clean_internal_candidate	29	12	17	0	0.41379310344827586	-0.055746848181058684	0.0	0.12403906345821389	0.10734057980047285	-0.15716999050332392	0.10734057980047285	0.5835678346621742	0.7555555555555556	0.7259235231017716	does not beat anchor median; retain as comparator or support branch
MultiTask_AD	internal_candidate	classical_biophysical	clean_internal_candidate	29	10	17	2	0.3448275862068966	-0.05749462178033604	0.0	0.0695174045212811	0.08749930995920296	-0.15716999050332392	0.08749930995920296	0.5797043746351314	0.7688888888888888	0.7278205336991197	does not beat anchor median; retain as comparator or support branch
Wave8_TCR_SelfSim_full	internal_candidate	tcr_aware	clean_internal_candidate	30	5	24	1	0.16666666666666666	-0.05793505060432358	0.0	0.00526335319855141	-0.05398420652431357	-0.304945054945055	-0.05398420652431357	0.4843528280615256	0.79375	0.647618191169275	does not beat anchor median; retain as comparator or support branch
Wave8_TCR_SelfSim_no_exact	internal_candidate	tcr_aware	clean_internal_candidate	30	12	18	0	0.4	-0.06068586350109739	0.0	-0.005266478395225205	-0.04872401643788005	-0.19588401016972445	0.1583728808327738	0.5640159289183905	0.821875	0.7335396950723696	does not beat anchor median; retain as comparator or support branch
GP_quantum	bounded_fallback	qk_fallback	bounded_fallback_not_headline	29	6	20	3	0.20689655172413793	-0.06195441092308929	0.0	0.0626239997203474	-0.06195441092308929	0.0	-0.06195441092308929	0.5946414016568287	0.7677083333333333	0.7242393697357615	bounded fallback/fusion component
sourceheld_counterfactual_rf	internal_candidate	internal_baseline	clean_internal_candidate	23	8	13	2	0.34782608695652173	-0.06819204173832788	0.0	0.024032554006293214	-0.3040196270341281	-0.0039312854726158974	-0.7740333278534717	0.6960135224342753	0.7601020408163265	0.8415008439128107	does not beat anchor median; retain as comparator or support branch
