candidate_id	exact_peptide_train_overlap	exact_peptide_hla_train_overlap	near_peptide_train_overlap	source_protein_window_train_overlap	study_train_overlap	patient_train_overlap	public_tool_training_overlap_any	public_tool_training_overlap_detail	leakage_risk_level
CNV0_00151	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00152	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00153	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00154	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00155	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00156	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00157	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00158	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00159	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00160	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00161	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00162	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00163	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00164	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00165	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00166	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00167	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00168	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00169	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00170	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00171	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00172	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00173	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00174	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00175	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00176	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00177	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00178	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00179	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00180	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00181	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00182	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00183	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00184	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00185	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00186	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00187	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00188	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00189	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00190	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00191	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00192	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00193	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00194	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00195	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00196	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00197	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00198	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00199	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00200	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00201	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00202	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00203	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00204	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00205	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00206	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00207	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00208	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00209	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00210	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00211	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00212	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00213	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00214	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00215	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00216	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00217	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00218	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00219	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00220	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00221	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00222	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00223	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00224	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00225	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00226	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00227	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00228	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00229	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00230	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00231	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00232	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00233	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00234	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00235	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00236	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00237	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00238	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00239	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00240	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00241	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00242	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00243	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00244	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00245	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00246	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00247	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00248	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00249	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00250	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00251	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00252	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00253	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00254	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00255	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00256	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00257	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00258	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00259	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00260	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00261	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00262	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00263	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00264	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00265	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00266	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00267	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00268	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00269	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00270	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00271	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00272	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00273	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00274	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00275	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00276	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00277	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00278	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00279	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00280	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00281	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00282	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00283	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00284	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00285	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00286	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00287	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
